tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05835,366,149.251,15.306,"{58,140,156,160,167}",54626,61488,44.373,21.583,"{31,42,44,46,4461}",,0.770,42.5098,-73.7907,Albany,I-87
120N05836,366,167.443,1.928,"{139,168,168,168,168}",61284,61488,409.480,90.261,"{303,390,406,417,5196}",,7.306,42.5319,-73.7844,Albany,I-87
120N05837,366,167.096,3.122,"{120,167,168,168,168}",61157,61488,330.187,156.441,"{238,313,327,337,34331}",,5.927,42.6308,-73.7794,Albany,I-87
120N05838,366,154.317,12.945,"{55,148,159,163,168}",56480,61488,80.116,38.170,"{39,52,84,98,4413}",68646,0.917,42.6941,-73.8439,Albany,I-87
120N05845,366,128.208,26.371,"{42,107,141,148,157}",46924,61488,48.293,60.577,"{30,42,44,48,3993}",114938,0.689,42.6656,-73.7301,Albany,I-90
120N05846,366,149.008,22.672,"{47,133,161,164,168}",54537,61488,89.798,61.928,"{56,81,85,89,8202}",122594,1.416,42.6702,-73.7422,Albany,I-90
120N05847,366,142.544,26.382,"{42,122,157,160,167}",52171,61488,57.122,42.236,"{38,53,55,58,5213}",117284,0.900,42.6802,-73.7697,Albany,I-90
120N05848,366,144.123,25.334,"{37,122,158,161,168}",52749,61488,65.283,120.486,"{40,57,60,63,5659}",64210,0.977,42.6819,-73.7812,Albany,I-90
120N05849,366,118.822,30.882,"{27,90,134,141,155}",43489,61488,31.018,35.936,"{20,28,30,31,2862}",111616,0.494,42.6872,-73.7998,Albany,I-90
120N05850,366,134.134,28.062,"{38,106,150,154,164}",49093,61488,40.844,45.252,"{27,37,39,42,3822}",115213,0.660,42.687,-73.8061,Albany,I-90
120N05851,366,131.484,26.952,"{30,104,145,151,161}",48123,61488,40.667,46.813,"{26,37,39,41,3732}",122674,0.644,42.691,-73.8203,Albany,I-90
120N05852,366,155.615,15.500,"{67,145,164,166,168}",56955,61488,129.648,141.106,"{37,86,106,137,4715}",95946,0.814,42.6939,-73.8292,Albany,I-90
120N05853,366,167.249,2.261,"{136,167,168,168,168}",61213,61488,274.517,85.737,"{192,253,263,274,4625}",71256,4.658,42.7004,-73.8445,Albany,I-90
120N05854,366,161.530,9.282,"{80,158,166,167,168}",59120,61488,55.106,27.117,"{38,50,52,54,2139}",73866,0.923,42.7431,-73.9147,Albany,I-90
120N05859,366,146.910,21.436,"{32,132,157,161,167}",53769,61488,67.386,50.098,"{20,32,72,84,3361}",,0.502,42.6987,-73.8363,Albany,I-87
