tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05041,366,133.719,22.577,"{44,125,141,150,165}",48941,61488,437.126,94.891,"{310,408,423,441,4938}",4391,7.672,42.3245,-77.7418,Allegany,I-86
104N05042,366,132.672,22.220,"{47,124,140,149,161}",48558,61488,429.758,208.228,"{290,399,416,437,42047}",3794,7.259,42.3069,-77.8706,Allegany,I-86
104N05043,366,114.309,23.518,"{30,105,122,131,147}",41837,61488,244.020,183.573,"{172,227,236,245,24216}",3947,4.208,42.2993,-78.007,Allegany,I-86
104N05044,366,124.522,22.205,"{36,114,132,140,157}",45575,61488,333.210,325.079,"{231,306,318,330,33220}",3581,5.727,42.2637,-78.0597,Allegany,I-86
104N05045,366,132.355,21.238,"{46,123,140,147,161}",48442,61488,421.548,303.979,"{290,392,407,424,42265}",3908,7.278,42.216,-78.1395,Allegany,I-86
104N05941,153,33.170,14.592,"{1,22,36,44,61}",5075,25704,546.702,1647.364,"{197,282,304,349,23402}",,4.040,41.9995,-78.2688,Allegany,Portville-Ceres Rd
104N07901,153,38.268,16.956,"{2,25,42,51,74}",5855,25704,1423.528,4237.631,"{379,520,605,865,42409}",,7.322,42.0667,-78.1676,Allegany,Wellsville St
104P05042,366,133.142,27.602,"{40,113,147,152,163}",48730,61488,432.763,219.046,"{303,399,417,441,41796}",70,7.216,42.3069,-77.8706,Allegany,I-86
104P05043,366,131.937,27.647,"{42,112,146,151,163}",48289,61488,431.304,324.901,"{301,403,417,431,43961}",334,7.602,42.2993,-78.007,Allegany,I-86
104P05044,366,112.221,28.677,"{27,89,126,132,153}",41073,61488,240.687,226.075,"{164,223,232,240,24248}",529,4.148,42.2637,-78.0597,Allegany,I-86
104P05045,366,122.451,28.318,"{33,98,136,142,157}",44817,61488,309.416,160.780,"{211,289,300,312,30591}",288,5.281,42.216,-78.1395,Allegany,I-86
104P05046,366,134.120,26.609,"{47,116,148,153,162}",49088,61488,454.509,595.080,"{312,420,436,451,45340}",751,7.828,42.2252,-78.2724,Allegany,I-86
104P05940,153,31.627,14.029,"{1,23,35,42,67}",4839,25704,460.767,1086.205,"{187,284,309,357,23402}",,4.040,42.0249,-78.3373,Allegany,RT-417
104P05941,153,39.085,16.742,"{3,26,43,52,80}",5980,25704,1162.338,2902.994,"{377,519,597,848,42409}",,7.322,41.9995,-78.2688,Allegany,Portville-Ceres Rd
