tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04360,366,85.762,22.069,"{29,69,86,104,142}",31389,61488,9.446,21.092,"{1,3,4,5,337}",,0.031,40.8046,-73.9189,Bronx,I-87
120N04361,366,137.475,21.757,"{47,127,147,153,163}",50316,61488,30.995,73.313,"{9,15,16,18,1273}",,0.220,40.8051,-73.9199,Bronx,I-87
120N04362,366,157.189,15.200,"{78,154,164,166,168}",57531,61488,47.260,75.319,"{18,32,35,40,2517}",,0.435,40.8057,-73.9214,Bronx,I-87
120N04363,366,161.057,11.909,"{78,161,166,167,168}",58947,61488,69.369,86.649,"{27,45,52,69,3071}",,0.509,40.8112,-73.9312,Bronx,I-87
120N04364,366,162.251,10.664,"{75,163,167,168,168}",59384,61488,73.371,123.358,"{26,47,53,65,3265}",,0.564,40.8176,-73.9308,Bronx,I-87
120N04365,366,158.997,12.651,"{69,158,164,166,168}",58193,61488,50.518,82.977,"{21,35,38,46,2568}",,0.443,40.8248,-73.931,Bronx,I-87
120N04366,366,161.025,11.542,"{79,161,166,167,168}",58935,61488,54.673,43.086,"{23,41,45,54,3088}",,0.533,40.8326,-73.9317,Bronx,I-87
120N04367,366,165.505,6.737,"{88,167,168,168,168}",60575,61488,168.160,155.189,"{54,87,105,212,6903}",,1.187,40.8399,-73.9291,Bronx,I-87
120N04368,366,158.197,13.783,"{68,156,164,166,168}",57900,61488,61.441,62.091,"{18,30,33,69,2512}",,0.434,40.8547,-73.9186,Bronx,I-87
120N04369,366,165.566,6.822,"{97,167,168,168,168}",60597,61488,157.120,151.530,"{48,84,109,182,6501}",,1.111,40.8594,-73.9158,Bronx,I-87
120N04370,366,163.117,9.767,"{88,164,167,168,168}",59701,61488,98.703,115.935,"{35,57,64,110,4674}",,0.807,40.8743,-73.9055,Bronx,I-87
120N04371,366,159.011,13.355,"{81,156,165,167,168}",58198,61488,59.998,84.071,"{24,38,42,54,3216}",,0.551,40.8863,-73.896,Bronx,I-87
120N04372,366,161.295,11.623,"{90,160,167,168,168}",59034,61488,87.402,91.604,"{33,56,62,73,4627}",,0.790,40.8889,-73.8895,Bronx,I-87
120N04373,366,147.363,20.168,"{53,138,157,161,166}",53935,61488,47.238,61.985,"{20,29,32,35,2797}",,0.483,40.8936,-73.8833,Bronx,I-87
120N04425,366,146.861,12.573,"{23,142,150,155,164}",53751,61488,58.913,99.578,"{28,39,43,49,3759}",,0.619,40.8289,-73.837,Bronx,Hutchinson River Pky
120N04426,366,120.415,13.710,"{19,115,123,129,145}",44072,61488,20.886,49.680,"{10,14,16,18,1449}",,0.250,40.8378,-73.8386,Bronx,Hutchinson River Pky
120N04427,366,154.180,11.322,"{34,151,157,161,166}",56430,61488,68.884,147.289,"{33,51,55,60,4828}",,0.833,40.843,-73.8376,Bronx,Hutchinson River Pky
120N04428,366,137.962,13.323,"{21,132,141,147,159}",50494,61488,33.970,56.467,"{20,27,29,32,2543}",3187,0.439,40.8522,-73.8358,Bronx,Hutchinson River Pky
120N04429,366,157.546,9.330,"{41,155,160,162,167}",57662,61488,85.113,170.146,"{42,61,66,74,5720}",10323,0.988,40.8604,-73.8286,Bronx,Hutchinson River Pky
120N04430,366,160.492,8.670,"{48,159,163,165,168}",58740,61488,94.716,121.859,"{51,72,77,84,6861}",,1.184,40.871,-73.8191,Bronx,Hutchinson River Pky
120N04431,366,104.716,12.788,"{12,98,106,113,131}",38326,61488,18.259,35.331,"{7,11,12,16,1062}",4724,0.183,40.8837,-73.816,Bronx,Hutchinson River Pky
120N04795,366,167.189,4.440,"{96,168,168,168,168}",61191,61488,196.268,162.884,"{36,61,175,280,4150}",,0.716,40.8452,-73.9278,Bronx,I-95
120N04796,366,166.467,4.999,"{95,167,168,168,168}",60927,61488,111.314,95.301,"{19,42,89,152,2740}",13780,0.473,40.8451,-73.9163,Bronx,I-95
120N04797,366,165.932,6.179,"{80,167,168,168,168}",60731,61488,108.093,96.459,"{18,32,87,157,2249}",,0.388,40.8448,-73.9048,Bronx,I-95
120N04798,366,167.434,3.548,"{111,168,168,168,168}",61281,61488,248.776,188.507,"{47,123,181,336,5485}",15792,0.947,40.8439,-73.8976,Bronx,I-95
120N04799,366,166.557,5.198,"{95,167,168,168,168}",60960,61488,209.906,151.547,"{25,115,169,283,2962}",8112,0.511,40.8383,-73.8824,Bronx,I-95
120N04800,366,165.287,7.059,"{71,166,168,168,168}",60495,61488,159.948,133.814,"{15,55,132,222,2067}",12428,0.357,40.8365,-73.8767,Bronx,I-95
