tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04978,366,161.169,10.588,"{74,156,166,168,168}",58988,61488,213.392,98.762,"{152,204,212,218,21949}",,3.789,41.998,-75.7518,Broome,I-81
104N04979,366,162.440,9.693,"{64,159,167,168,168}",59453,61488,230.290,26.080,"{162,221,230,237,2150}",2302,4.083,42.0405,-75.7912,Broome,I-81
104N04980,366,142.721,20.159,"{42,129,152,157,167}",52236,61488,58.313,18.523,"{40,55,57,60,2972}",6115,1.026,42.0958,-75.814,Broome,I-81
104N04981,366,162.656,10.018,"{71,160,167,168,168}",59532,61488,186.298,210.922,"{129,172,181,190,17446}",,3.012,42.105,-75.8301,Broome,I-81
104N04982,366,137.948,20.961,"{43,121,148,153,165}",50489,61488,34.660,73.515,"{21,29,31,32,2872}",1863,0.496,42.1154,-75.8864,Broome,I-81
104N04983,366,144.301,20.905,"{48,128,153,160,167}",52814,61488,43.424,50.769,"{27,38,40,43,3559}",,0.585,42.1153,-75.8929,Broome,I-81
104N04984,366,150.407,18.734,"{51,140,159,163,168}",55049,61488,66.408,72.082,"{42,58,61,65,5217}",10650,0.940,42.1154,-75.9061,Broome,I-81
104N04985,366,148.680,18.850,"{42,136,158,161,167}",54417,61488,49.423,28.379,"{32,46,47,49,2235}",,0.772,42.1243,-75.9054,Broome,I-81
104N04986,366,146.011,22.195,"{38,128,158,161,167}",53440,61488,90.306,90.604,"{59,85,88,92,8484}",,1.465,42.1393,-75.902,Broome,I-81
104N04987,366,108.096,24.648,"{22,84,119,126,144}",39563,61488,35.118,23.997,"{23,33,35,36,3351}",,0.579,42.1505,-75.8965,Broome,I-81
104N04988,366,156.609,15.961,"{49,147,165,167,168}",57319,61488,269.056,102.849,"{187,257,268,276,18438}",,4.775,42.1646,-75.8959,Broome,I-81
104N04989,366,161.792,11.086,"{60,159,167,168,168}",59216,61488,414.947,50.710,"{292,394,413,430,3974}",,7.365,42.2306,-75.9142,Broome,I-81
104N04990,366,139.333,23.793,"{29,119,151,156,165}",50996,61488,92.715,67.798,"{64,88,92,95,9538}",,1.647,42.3197,-75.9675,Broome,I-81
104N04991,366,156.358,16.199,"{49,146,165,167,168}",57227,61488,283.208,196.109,"{197,263,275,288,28709}",1023,4.956,42.3383,-75.9783,Broome,I-81
104N05083,366,153.219,21.435,"{46,139,165,167,168}",56078,61488,345.345,147.042,"{254,328,340,351,17708}",1841,6.114,42.0628,-76.1439,Broome,RT-17
104N05084,366,117.145,31.835,"{30,85,133,141,154}",42875,61488,46.584,45.007,"{31,43,45,47,4521}",7018,0.766,42.0911,-76.0482,Broome,RT-17
104N05085,366,142.279,28.621,"{52,114,158,162,168}",52074,61488,114.974,82.142,"{77,108,112,116,11296}",1370,1.965,42.0989,-76.0276,Broome,RT-17
104N05086,366,141.120,29.115,"{50,115,158,161,166}",51650,61488,99.526,62.774,"{71,95,98,102,9595}",4426,1.656,42.1118,-76.0054,Broome,RT-17
104N05087,366,143.358,27.874,"{44,119,159,162,167}",52469,61488,80.387,59.344,"{53,76,79,83,7429}",4638,1.283,42.1203,-75.9747,Broome,RT-17
104N05088,366,146.317,26.669,"{46,126,161,164,168}",53552,61488,108.474,116.118,"{65,92,98,109,8837}",,1.526,42.1197,-75.9501,Broome,RT-17
104N05089,366,104.781,29.276,"{31,77,118,127,150}",38350,61488,27.674,32.889,"{16,23,26,28,2455}",,0.338,42.1127,-75.9206,Broome,RT-17
104N05090,366,82.809,25.246,"{19,59,91,101,126}",30308,61488,20.188,23.059,"{12,17,18,22,1909}",14502,0.330,42.1113,-75.9139,Broome,RT-17
104N05091,366,44.669,30.818,"{4,20,30,81,109}",16349,61488,44.870,171.866,"{11,18,19,20,1589}",,0.261,42.1135,-75.9099,Broome,RT-17
104N05092,366,60.052,19.813,"{7,40,68,75,93}",21979,61488,81.091,24.534,"{58,75,79,82,2059}",6613,1.422,42.0559,-75.4229,Broome,RT-17
104N05093,366,77.615,24.882,"{9,52,89,97,113}",28407,61488,145.749,129.977,"{100,135,142,147,14871}",7254,2.567,42.0488,-75.4514,Broome,RT-17
104N05094,366,101.708,29.395,"{12,71,115,123,142}",37225,61488,369.033,855.627,"{218,294,309,326,32313}",8992,5.578,42.0514,-75.494,Broome,RT-17
104N05095,366,85.768,26.339,"{12,58,98,106,122}",31391,61488,198.137,115.665,"{119,159,177,219,16411}",8150,2.833,42.0646,-75.5655,Broome,RT-17
104N05096,366,75.033,24.189,"{9,50,86,94,112}",27462,61488,123.529,140.417,"{87,113,119,125,12578}",9919,2.172,42.0547,-75.6142,Broome,RT-17
104N05097,366,79.948,25.434,"{10,53,91,100,121}",29261,61488,150.366,137.309,"{103,138,145,152,15490}",5915,2.674,42.0743,-75.6476,Broome,RT-17
104N05098,366,93.219,27.509,"{15,67,105,115,131}",34118,61488,206.363,87.719,"{134,176,188,208,6425}",8359,3.328,42.086,-75.6935,Broome,RT-17
104N05099,366,82.951,24.744,"{18,57,93,102,124}",30360,61488,115.852,109.628,"{79,102,109,120,10777}",7632,1.860,42.092,-75.7517,Broome,RT-17
104N05100,366,69.158,20.452,"{15,49,77,85,106}",25312,61488,72.242,87.414,"{46,63,67,73,6649}",12309,1.148,42.0995,-75.7875,Broome,RT-17
104N05101,366,29.697,9.535,"{5,22,30,36,51}",10869,61488,29.008,74.821,"{19,24,25,27,2650}",16672,0.457,42.1003,-75.8115,Broome,RT-17
104N05102,366,26.219,8.039,"{5,21,27,32,51}",9596,61488,23.802,48.345,"{16,21,22,23,2346}",16672,0.405,42.1007,-75.8198,Broome,RT-17
104N05132,366,108.115,23.283,"{16,88,117,126,142}",39570,61488,55.612,49.090,"{36,51,54,57,4737}",737,0.818,42.1393,-75.902,Broome,I-88
104N05133,366,128.705,26.315,"{16,103,142,148,158}",47106,61488,101.865,90.248,"{69,95,99,104,9240}",,1.595,42.1439,-75.894,Broome,I-88
104N05134,366,133.011,25.401,"{21,108,146,151,159}",48682,61488,137.523,130.805,"{93,130,135,140,12801}",,2.210,42.1624,-75.8776,Broome,I-88
104N05135,366,136.926,24.772,"{21,118,149,155,164}",50115,61488,220.587,275.040,"{145,198,209,221,19978}",,3.449,42.1643,-75.8392,Broome,I-88
104N05136,366,140.566,23.367,"{21,122,152,158,166}",51447,61488,258.961,416.382,"{167,223,242,261,23379}",532,4.036,42.1619,-75.7752,Broome,I-88
104N05137,366,141.787,22.629,"{23,124,153,158,166}",51894,61488,252.142,215.334,"{161,226,241,260,22469}",,3.879,42.1871,-75.7088,Broome,I-88
104N05976,366,54.372,20.873,"{8,33,63,70,87}",19900,61488,120.681,284.581,"{32,50,59,87,2964}",22900,0.512,42.1618,-75.8934,Broome,Upper Front St
104N05977,366,71.574,28.847,"{9,38,84,93,119}",26196,61488,340.745,838.340,"{108,217,234,273,16271}",14624,2.809,42.168,-75.8879,Broome,Upper Front St
104N05999,366,45.303,17.038,"{1,29,50,58,79}",16581,61488,296.857,637.495,"{141,194,226,280,16124}",4607,2.784,42.3492,-75.9986,Broome,Main St
104N06000,366,59.172,20.797,"{4,40,66,74,98}",21657,61488,229.497,518.946,"{55,99,115,158,5140}",10288,0.887,42.3292,-75.9652,Broome,RT-79
104N06001,366,22.025,9.351,"{2,13,24,29,50}",8061,61488,56.162,137.692,"{18,27,30,38,1545}",7213,0.267,42.2417,-75.8413,Broome,RT-79
104N06002,365,8.669,5.734,"{1,4,8,12,35}",2878,61320,613.762,1354.320,"{247,333,379,583,30338}",454,5.237,42.1978,-75.6566,Broome,RT-79
104N06003,365,13.686,7.893,"{1,7,14,20,41}",4927,61320,202.620,385.044,"{74,101,143,206,8466}",2445,1.462,42.1859,-75.6372,Broome,RT-79
104N06004,366,21.554,11.697,"{1,10,24,30,62}",7824,61488,878.460,2163.867,"{207,325,426,628,22600}",2814,3.902,42.0715,-75.6415,Broome,Main St
104N06008,366,112.943,29.020,"{15,94,124,134,152}",41337,61488,785.821,1961.234,"{207,363,441,583,21778}",,3.760,42.0884,-76.0452,Broome,Vestal Pky E
104N06009,366,74.169,33.134,"{8,47,71,107,127}",27146,61488,194.860,438.946,"{54,96,122,164,5675}",,0.980,42.0956,-75.9745,Broome,Vestal Pky E
104N06010,365,2.661,1.756,"{1,1,2,3,10}",793,61320,5.525,8.280,"{1,2,3,4,60}",10065,0.010,42.0985,-75.9125,Broome,State St
104N06032,366,53.396,20.221,"{9,36,59,68,86}",19543,61488,48.362,61.085,"{26,41,45,51,3384}",1841,0.584,42.0899,-76.0429,Broome,RT-26
104N06033,366,57.336,22.715,"{10,34,67,75,98}",20985,61488,200.685,444.245,"{50,97,112,148,4730}",22172,0.817,42.0984,-76.0441,Broome,RT-26
104N07431,366,61.123,25.613,"{9,32,72,80,116}",22371,61488,263.535,639.280,"{138,196,212,235,16433}",9756,2.837,42.1984,-75.8611,Broome,Upper Front St
104N07432,366,34.194,14.576,"{5,18,39,45,66}",12515,61488,69.561,119.980,"{27,50,55,64,2923}",8222,0.505,42.2365,-75.8479,Broome,RT-12
