tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05046,366,129.751,21.878,"{46,120,138,146,162}",47489,61488,392.165,382.808,"{264,361,374,389,38857}",6727,6.708,42.2252,-78.2724,Cattaraugus,I-86
104N05047,366,126.161,22.410,"{40,116,133,142,158}",46175,61488,334.941,182.467,"{241,315,327,337,34040}",9868,5.877,42.1772,-78.3768,Cattaraugus,I-86
104N05048,366,89.981,21.559,"{20,79,96,106,123}",32933,61488,88.182,35.200,"{59,82,85,89,4027}",6395,1.501,42.1051,-78.4214,Cattaraugus,I-86
104N05049,366,111.546,22.522,"{31,99,119,128,147}",40826,61488,185.517,107.275,"{133,174,180,187,18844}",8478,3.253,42.0925,-78.4491,Cattaraugus,I-86
104N05050,366,78.585,18.726,"{16,69,83,92,111}",28762,61488,57.724,36.249,"{40,54,56,58,5818}",4403,1.004,42.1029,-78.5029,Cattaraugus,I-86
104N05051,366,128.626,22.115,"{38,119,137,145,156}",47077,61488,316.065,161.648,"{230,297,308,319,32002}",6739,5.525,42.1015,-78.5224,Cattaraugus,I-86
104N05052,366,136.710,20.866,"{46,125,146,152,162}",50036,61488,429.003,228.223,"{316,402,417,433,42698}",10310,7.371,42.0872,-78.6253,Cattaraugus,I-86
104N05053,366,97.325,21.024,"{33,86,103,113,130}",35621,61488,120.285,75.010,"{83,112,116,121,11942}",13363,2.062,42.1518,-78.7002,Cattaraugus,I-86
104N05054,366,111.852,21.378,"{33,102,118,127,145}",40938,61488,217.482,164.156,"{153,202,210,218,21804}",7749,3.764,42.1532,-78.7426,Cattaraugus,I-86
104N05055,366,109.642,21.225,"{30,101,116,126,145}",40129,61488,213.282,46.801,"{152,200,208,215,3606}",6715,3.734,42.1097,-78.7792,Cattaraugus,I-86
104N05056,366,101.383,20.854,"{29,91,107,116,139}",37106,61488,152.805,38.967,"{106,143,149,153,2584}",9706,2.676,42.1005,-78.8427,Cattaraugus,I-86
104N05057,366,128.598,20.428,"{49,120,135,143,159}",47067,61488,380.583,206.329,"{273,355,367,381,38186}",5773,6.592,42.1058,-78.8955,Cattaraugus,I-86
104N05058,366,95.022,19.876,"{29,85,100,110,131}",34778,61488,118.071,36.597,"{84,108,113,118,2893}",6296,2.014,42.157,-78.9903,Cattaraugus,I-86
104N05059,366,107.000,20.389,"{37,95,113,122,140}",39162,61488,194.474,171.274,"{129,177,185,195,18982}",10580,3.261,42.1622,-79.0276,Cattaraugus,I-86
