tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04967,366,166.046,5.196,"{103,166,168,168,168}",60773,61488,348.387,159.204,"{247,332,345,354,36145}",,6.240,43.0231,-76.6737,Cayuga,I-90
104N04968,366,163.232,9.194,"{74,160,168,168,168}",59743,61488,186.098,90.689,"{129,177,184,189,19341}",,3.339,43.0604,-76.5679,Cayuga,I-90
104N04969,366,55.620,13.437,"{14,47,56,64,94}",20357,61488,7.573,10.271,"{5,7,7,8,799}",,0.138,43.0743,-76.5004,Cayuga,I-90
104N05357,366,60.175,24.968,"{4,34,70,79,100}",22024,61488,155.293,440.834,"{77,105,112,125,9799}",7926,1.692,42.963,-76.7338,Cayuga,Clark St Rd
104N05358,366,85.568,29.423,"{12,55,100,107,128}",31318,61488,260.108,583.090,"{84,149,176,219,8953}",10682,1.546,42.9292,-76.5965,Cayuga,Arterial
104N05359,366,82.071,29.407,"{5,56,95,105,122}",30038,61488,887.216,2174.051,"{302,479,587,776,36095}",8624,6.231,42.9332,-76.5612,Cayuga,John St
104N05382,366,29.798,12.872,"{2,18,32,40,57}",10906,61488,230.216,767.802,"{101,132,143,162,11328}",3058,1.956,43.255,-76.6435,Cayuga,RT-104
104N05506,366,41.680,17.785,"{3,26,46,56,75}",15255,61488,246.806,518.826,"{68,104,128,188,4690}",11016,0.810,42.9201,-76.5652,Cayuga,South St
104N05507,366,21.172,9.216,"{1,14,23,28,42}",7749,61488,64.896,116.453,"{10,23,33,53,697}",8633,0.120,42.9318,-76.5661,Cayuga,North St/South St
104N05508,366,76.817,32.218,"{8,39,91,101,124}",28115,61488,248.244,619.045,"{116,159,178,213,12973}",8114,2.240,42.948,-76.5673,Cayuga,North St
104N05509,366,86.626,34.868,"{10,48,102,112,142}",31705,61488,379.606,877.064,"{208,286,306,339,25417}",7280,4.388,42.9793,-76.5614,Cayuga,North St Rd
104N05510,366,51.413,21.822,"{4,28,59,68,88}",18817,61488,93.004,199.817,"{36,60,66,76,3124}",7280,0.539,43.0411,-76.5633,Cayuga,North St Rd/S Seneca St
104N05511,366,61.626,25.383,"{5,33,71,81,101}",22555,61488,145.648,297.985,"{37,67,80,109,3058}",9941,0.528,43.0488,-76.563,Cayuga,Seneca St
104N05512,366,53.836,22.187,"{5,29,62,71,92}",19704,61488,82.386,173.063,"{21,39,48,70,1890}",11608,0.326,43.0555,-76.5581,Cayuga,N Seneca St
104N05513,366,46.568,19.943,"{3,26,53,62,82}",17044,61488,422.317,919.369,"{217,304,325,376,27805}",8062,4.800,43.0602,-76.5591,Cayuga,RT-34
104N05514,366,31.768,13.860,"{2,18,36,42,60}",11627,61488,639.550,2002.044,"{140,198,227,300,17727}",2850,3.060,43.1265,-76.5568,Cayuga,RT-34
104N05515,153,25.816,11.328,"{1,17,28,34,50}",3924,25704,479.196,1336.339,"{179,238,273,371,21413}",,3.697,43.168,-76.5729,Cayuga,South St/North St
