tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05060,366,123.883,20.449,"{47,114,130,139,152}",45341,61488,319.819,75.258,"{218,296,309,323,5739}",7438,5.398,42.1447,-79.0849,Chautauqua,I-86
104N05061,366,105.694,21.829,"{31,92,112,123,142}",38684,61488,154.306,147.809,"{104,140,146,152,15046}",5213,2.649,42.1337,-79.1846,Chautauqua,I-86
104N05062,366,88.557,18.548,"{25,78,92,102,120}",32412,61488,107.441,129.688,"{73,97,101,106,10542}",10008,1.775,42.1235,-79.2334,Chautauqua,I-86
104N05063,366,126.235,20.816,"{41,116,132,142,160}",46202,61488,349.085,248.190,"{233,312,327,351,33317}",7264,5.752,42.1247,-79.2688,Chautauqua,I-86
104N05064,366,43.505,11.115,"{10,36,44,52,75}",15923,61488,35.241,45.998,"{25,31,33,35,3303}",7748,0.570,42.1518,-79.368,Chautauqua,I-86
104N05065,366,22.186,6.709,"{4,17,22,27,46}",8120,61488,13.879,5.766,"{10,12,13,14,270}",13580,0.224,42.1523,-79.3841,Chautauqua,I-86
104N05066,366,71.478,15.854,"{22,62,73,84,105}",26161,61488,57.679,87.509,"{37,49,52,55,5208}",13580,0.899,42.1521,-79.3855,Chautauqua,I-86
104N05067,366,108.527,21.229,"{35,95,114,124,141}",39721,61488,203.052,128.603,"{136,185,192,201,19984}",10612,3.450,42.1518,-79.4023,Chautauqua,I-86
104N05068,366,130.142,20.276,"{48,120,137,145,158}",47632,61488,367.511,308.386,"{245,333,346,362,35788}",4431,6.178,42.1573,-79.4686,Chautauqua,I-86
104N05069,366,139.566,18.991,"{59,131,146,153,167}",51081,61488,484.137,257.475,"{332,445,463,483,47492}",4690,8.199,42.155,-79.5887,Chautauqua,I-86
104N05070,366,88.642,18.737,"{31,77,93,103,119}",32443,61488,70.811,82.053,"{46,63,66,70,6645}",9489,1.147,42.1322,-79.7377,Chautauqua,I-86
104N05071,366,69.262,16.613,"{26,59,73,81,107}",25350,61488,9.507,11.202,"{6,8,9,9,866}",9489,0.150,42.1302,-79.7594,Chautauqua,I-86
104N05108,366,21.959,9.950,"{1,14,22,29,63}",8037,61488,105.699,168.227,"{53,79,92,103,9374}",5383,1.190,42.1528,-79.3792,Chautauqua,RT-430
104N05109,366,8.758,5.346,"{1,5,8,11,35}",3074,61488,71.440,153.813,"{34,49,53,69,4712}",3399,0.814,42.1656,-79.3831,Chautauqua,RT-430
104N05110,366,2.852,2.459,"{1,1,2,3,22}",850,61488,8.165,4.680,"{5,6,6,9,57}",3399,0.089,42.1743,-79.3934,Chautauqua,RT-430
104N05111,366,145.107,17.266,"{53,135,153,157,164}",53109,61488,50.594,19.498,"{32,47,49,51,1929}",,0.833,42.2522,-79.7619,Chautauqua,I-90
104N05112,366,147.464,16.673,"{53,138,154,159,167}",53972,61488,63.933,84.040,"{27,47,56,67,3658}",264,0.632,42.2596,-79.7487,Chautauqua,I-90
104N05113,366,166.705,3.568,"{120,167,168,168,168}",61014,61488,598.666,253.043,"{390,535,565,607,17911}",329,9.277,42.2641,-79.7403,Chautauqua,I-90
104N05114,366,167.637,1.701,"{140,168,168,168,168}",61355,61488,985.299,454.008,"{754,949,982,1002,101761}",434,17.533,42.3357,-79.588,Chautauqua,I-90
104N05115,366,167.385,2.776,"{123,168,168,168,168}",61263,61488,672.059,241.836,"{499,644,665,680,27409}",3532,11.865,42.4615,-79.3097,Chautauqua,I-90
104N05116,366,157.126,13.707,"{54,150,164,166,168}",57508,61488,77.102,19.865,"{52,73,76,79,2498}",1620,1.294,42.5477,-79.112,Chautauqua,I-90
104N05117,366,74.079,15.935,"{17,64,77,86,105}",27113,61488,8.163,5.508,"{5,8,8,8,803}",,0.139,42.5618,-79.0952,Chautauqua,I-90
104N05736,153,12.000,5.909,"{1,8,12,16,32}",1824,25704,116.517,152.402,"{68,84,91,105,3580}",,1.236,42.1705,-79.4423,Chautauqua,W Lake Rd
104N05737,366,24.777,12.123,"{2,16,25,32,79}",9019,61488,357.053,764.257,"{129,170,202,314,14133}",3848,2.440,42.1509,-79.4068,Chautauqua,W Lake Rd
104N05738,366,32.235,14.447,"{2,20,35,42,79}",11798,61488,325.498,808.746,"{120,179,204,244,12454}",7917,2.150,42.0989,-79.3481,Chautauqua,W Fairmount Ave
104N05739,366,77.571,25.794,"{5,57,81,95,142}",28391,61488,810.255,1875.742,"{226,359,440,590,18322}",15663,3.163,42.0973,-79.2873,Chautauqua,Fairmount Ave
104N05740,366,51.470,19.126,"{3,35,55,66,110}",18838,61488,250.682,556.589,"{77,119,142,194,6431}",21973,1.110,42.097,-79.2657,Chautauqua,Fairmount Ave
104N05741,366,31.426,11.969,"{2,20,35,40,56}",11502,61488,95.755,193.807,"{38,57,63,77,2852}",13053,0.492,42.0981,-79.2564,Chautauqua,Fairmount Ave/W 6th St
104N05742,366,20.883,9.132,"{2,13,23,28,41}",7643,61488,45.184,82.548,"{11,20,26,39,734}",18146,0.127,42.0989,-79.2421,Chautauqua,5th St/6th St
104N05743,366,40.805,19.791,"{2,19,48,55,76}",14894,61488,443.183,903.966,"{82,175,226,349,7688}",8508,1.327,42.1075,-79.2225,Chautauqua,E 2nd St
104N05744,366,52.374,24.433,"{3,28,61,71,97}",19169,61488,483.530,1006.995,"{124,190,232,352,9143}",12503,1.578,42.119,-79.1981,Chautauqua,Main St
104N05745,366,44.694,21.878,"{3,19,55,61,75}",16358,61488,178.697,386.930,"{54,90,106,135,4462}",9713,0.770,42.1275,-79.1885,Chautauqua,E Main St
104N05746,153,17.784,8.935,"{1,11,19,24,39}",2721,25704,501.508,1395.771,"{103,144,161,207,11825}",,2.041,42.1573,-79.1023,Chautauqua,RT-394
104N05787,366,51.169,20.418,"{6,31,59,66,93}",18728,61488,154.023,382.033,"{35,71,80,105,3674}",15702,0.634,42.1115,-79.2409,Chautauqua,N Main St
104N05788,366,74.374,27.058,"{6,44,86,94,123}",27221,61488,401.980,870.767,"{184,260,290,359,22453}",10504,3.876,42.1207,-79.2409,Chautauqua,Main St Ext
104N05789,366,58.918,20.625,"{10,35,67,74,96}",21564,61488,158.170,292.009,"{74,106,121,145,8091}",7684,1.397,42.174,-79.2551,Chautauqua,RT-60
104N05790,366,109.590,31.895,"{17,75,124,132,156}",40110,61488,682.906,1264.779,"{366,507,551,649,44603}",7362,7.700,42.2519,-79.2664,Chautauqua,RT-60
104N05791,366,93.525,30.153,"{13,61,107,116,144}",34230,61488,434.108,901.923,"{226,313,338,384,26736}",8151,4.616,42.3486,-79.3106,Chautauqua,N Main St
104N05792,366,85.276,27.807,"{15,56,97,106,139}",31211,61488,290.624,810.326,"{141,189,204,232,15103}",13211,2.607,42.4134,-79.3048,Chautauqua,RT-60
104N05794,366,74.568,23.946,"{15,51,83,93,117}",27292,61488,160.469,356.734,"{35,63,80,121,3110}",19744,0.537,42.4505,-79.308,Chautauqua,Bennett Rd
104N05795,366,87.044,24.598,"{6,64,97,106,123}",31858,61488,344.659,755.165,"{110,198,238,299,10372}",7845,1.791,42.4577,-79.3118,Chautauqua,Bennett Rd
104N05796,366,35.492,15.622,"{1,19,40,47,65}",12990,61488,170.462,323.889,"{48,88,111,149,3068}",8700,0.530,42.4807,-79.327,Chautauqua,Main St/Maple Dr
104N05797,360,1.659,0.879,"{1,1,1,2,5}",224,60480,1.585,1.040,"{1,1,1,2,12}",8700,0.004,42.4882,-79.3294,Chautauqua,Main St
104N07245,366,56.667,17.139,"{14,41,61,70,91}",20740,61488,346.008,453.027,"{206,280,292,321,26306}",4612,4.541,41.9995,-79.1583,Chautauqua,US-62
104N07246,366,26.557,12.877,"{1,14,29,36,55}",9720,61488,360.168,872.242,"{109,156,187,255,11478}",6011,1.982,42.0562,-79.1987,Chautauqua,W Main St
104N07247,153,9.342,5.117,"{1,4,10,13,22}",1420,25704,52.565,105.209,"{18,27,33,46,1230}",,0.212,42.0527,-79.1611,Chautauqua,W Main St
104N07248,153,23.614,12.685,"{1,12,25,33,75}",3613,25704,338.311,640.835,"{122,198,232,288,13244}",,2.287,42.0545,-79.158,Chautauqua,Ivory Rd
104N07249,366,23.317,10.829,"{4,14,24,31,65}",8534,61488,532.070,1033.624,"{235,300,336,492,26969}",1674,4.656,42.0721,-79.1222,Chautauqua,Frewsburg-Kennedy Rd
104N07250,366,11.006,5.931,"{1,6,11,15,34}",3995,61488,125.556,201.814,"{66,88,96,113,7937}",1674,1.370,42.1247,-79.0986,Chautauqua,US-62
104N07251,366,11.679,6.179,"{1,7,12,16,31}",4263,61488,229.447,543.964,"{71,108,131,184,7459}",1687,1.288,42.1413,-79.0904,Chautauqua,Frewsburg Rd
104N07252,366,15.790,7.875,"{1,9,17,22,34}",5716,61488,283.232,771.610,"{61,88,101,133,6360}",3150,1.098,42.1573,-79.1023,Chautauqua,Frewsburg Rd
