tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05074,366,130.279,26.032,"{39,106,143,150,160}",47682,61488,84.224,19.119,"{59,80,83,86,1407}",25858,1.499,42.0001,-76.552,Chemung,RT-17
104N05075,366,136.391,25.657,"{44,113,150,156,164}",49919,61488,125.705,32.239,"{88,118,123,129,5398}",12483,2.158,42.0009,-76.5823,Chemung,RT-17
104N05076,366,151.011,19.984,"{64,134,162,165,168}",55270,61488,304.874,191.373,"{221,291,302,312,31477}",14628,5.434,42.0031,-76.6227,Chemung,RT-17
104N06005,366,59.251,24.504,"{5,31,69,77,98}",21686,61488,140.923,184.746,"{62,109,124,146,9938}",5271,1.460,42.1492,-76.8059,Chemung,RT-13
104N06884,366,64.844,27.147,"{7,35,76,85,106}",23733,61488,165.780,216.294,"{75,114,131,165,10238}",9357,1.768,42.1674,-76.8054,Chemung,RT-13
104N06885,366,63.251,27.190,"{9,32,75,84,100}",23150,61488,181.405,303.886,"{85,124,134,162,11527}",8982,1.990,42.1884,-76.7909,Chemung,RT-13
104N06886,366,93.077,37.292,"{12,52,110,121,143}",34066,61488,515.099,1214.503,"{294,418,440,473,40007}",7274,6.907,42.2123,-76.7709,Chemung,RT-13
104N07391,366,27.743,14.688,"{1,15,30,37,71}",10154,61488,381.750,620.059,"{208,282,302,347,25702}",4332,4.437,42.0019,-76.7778,Chemung,S Broadway
104N07392,366,29.495,13.603,"{2,16,33,40,63}",10795,61488,130.347,360.256,"{37,61,71,100,4789}",8024,0.827,42.0538,-76.8204,Chemung,Clemens Center Pky
104N07393,366,43.194,18.912,"{3,24,49,57,84}",15809,61488,231.447,590.206,"{92,137,156,190,10085}",,1.741,42.0582,-76.8063,Chemung,Clemens Center Pky
104N07394,366,26.415,12.590,"{1,15,29,35,71}",9668,61488,107.004,246.894,"{25,45,55,81,2417}",,0.417,42.0824,-76.8013,Chemung,Clemens Center Pky
104N07395,366,20.566,10.305,"{1,11,23,28,43}",7527,61488,75.557,159.696,"{13,26,35,55,1151}",,0.199,42.088,-76.8041,Chemung,Clemens Center Pky
104N07396,366,45.902,21.605,"{1,21,54,64,83}",16800,61488,287.526,701.784,"{65,137,163,220,8653}",12515,1.494,42.0907,-76.8055,Chemung,Clemens Center Pky
104N07397,365,14.391,7.668,"{1,7,15,20,38}",5224,61320,160.666,312.181,"{26,45,62,122,1952}",9384,0.337,42.1112,-76.814,Chemung,RT-14
104N07398,366,21.046,10.804,"{2,10,24,29,48}",7703,61488,146.467,331.770,"{38,59,65,91,2810}",11042,0.485,42.1092,-76.8198,Chemung,RT-14
104N07399,366,39.970,19.367,"{1,17,47,55,71}",14629,61488,278.711,623.017,"{83,129,153,194,5817}",10552,1.004,42.116,-76.8221,Chemung,College Ave
104N07400,366,62.533,26.876,"{5,32,74,83,100}",22887,61488,386.237,1054.075,"{119,184,206,260,12345}",16131,2.131,42.1302,-76.8262,Chemung,Corning Rd/College Ave
104N07401,366,35.437,14.230,"{5,22,39,46,66}",12970,61488,55.755,144.767,"{13,22,27,36,1320}",,0.228,42.1596,-76.838,Chemung,Corning Rd
104N07402,366,77.175,27.157,"{12,51,88,98,121}",28246,61488,259.075,536.113,"{89,146,172,221,8393}",10688,1.449,42.1619,-76.8388,Chemung,Corning Rd
104N07403,366,46.470,18.896,"{7,27,53,61,95}",17008,61488,75.965,118.334,"{29,48,56,72,3279}",11417,0.566,42.1815,-76.8317,Chemung,Westinghouse Rd/Watkins Rd
