tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05138,366,151.907,17.700,"{32,140,161,164,167}",55598,61488,445.136,220.938,"{317,427,441,453,45683}",451,7.887,42.1871,-75.642,Chenango,I-88
104N05139,366,144.202,20.668,"{22,128,155,158,166}",52778,61488,310.892,91.502,"{215,298,308,318,16037}",,5.537,42.2166,-75.5143,Chenango,I-88
104N05140,366,133.216,22.985,"{21,113,144,150,160}",48757,61488,187.590,160.491,"{132,179,186,191,19364}",,3.343,42.2856,-75.4732,Chenango,I-88
104N05141,366,28.117,7.949,"{4,23,28,34,47}",10291,61488,6.765,2.796,"{5,6,7,7,195}",,0.121,42.2926,-75.4179,Chenango,I-88
104N05978,366,48.172,21.494,"{4,23,56,64,88}",17631,61488,173.433,376.209,"{90,122,131,148,11122}",6688,1.920,42.2417,-75.8413,Chenango,RT-12
104N05979,366,43.806,18.843,"{4,22,50,58,79}",16033,61488,130.684,130.787,"{90,116,123,132,10823}",5574,1.869,42.3374,-75.7693,Chenango,RT-12
104N05980,366,57.391,23.995,"{7,31,65,77,101}",21005,61488,205.174,451.421,"{70,113,129,158,6405}",13527,1.106,42.5367,-75.5243,Chenango,N Broad St
104N05981,366,45.574,17.186,"{7,29,51,59,79}",16680,61488,193.881,406.635,"{54,91,107,144,4384}",9016,0.757,42.6782,-75.4989,Chenango,Main St
104N05982,366,25.978,10.501,"{3,16,28,34,46}",9508,61488,220.445,614.923,"{65,89,106,143,6860}",3664,1.184,42.6888,-75.5028,Chenango,Utica Rd
104N05987,153,13.638,7.824,"{1,7,14,18,36}",2032,25704,176.257,349.264,"{40,64,90,164,3602}",,0.622,42.6782,-75.4989,Chenango,State St
104N05988,366,14.476,8.735,"{1,7,14,20,69}",5052,61488,1058.955,3072.207,"{213,306,348,464,23664}",747,4.085,42.6425,-75.3303,Chenango,RT-80
104N05989,366,43.888,15.530,"{8,30,48,56,74}",16063,61488,242.515,628.959,"{72,120,138,168,7311}",4505,1.262,42.6243,-75.3323,Chenango,RT-80
104N07433,366,55.538,24.188,"{4,27,65,74,100}",20327,61488,251.472,694.125,"{147,185,193,205,17396}",6888,3.003,42.2614,-75.8179,Chenango,RT-12
104N07434,366,55.626,23.400,"{4,29,65,72,97}",20359,61488,238.411,425.473,"{136,175,189,212,15654}",6654,2.703,42.3027,-75.8026,Chenango,RT-12
104N07435,366,26.049,11.858,"{2,14,29,35,53}",9534,61488,77.029,194.979,"{26,37,42,56,2660}",6288,0.459,42.3319,-75.7741,Chenango,RT-12
104N07436,366,52.683,22.216,"{6,29,60,69,102}",19282,61488,250.439,560.182,"{153,203,215,231,18916}",4301,3.266,42.3493,-75.739,Chenango,RT-12
