tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06239,366,108.538,30.600,"{11,75,123,131,153}",39725,61488,329.928,171.712,"{229,309,321,333,16502}",,5.698,44.4924,-73.4962,Clinton,I-87
120N06240,366,108.268,30.882,"{8,77,121,132,148}",39626,61488,382.569,395.505,"{243,328,370,402,32801}",,5.663,44.5745,-73.5026,Clinton,I-87
120N06241,366,95.533,30.020,"{8,61,109,119,147}",34965,61488,160.287,131.987,"{104,144,151,160,15253}",,2.633,44.6542,-73.4827,Clinton,I-87
120N06242,366,78.754,26.491,"{6,49,90,98,117}",28824,61488,128.169,216.069,"{78,111,116,126,11508}",,1.987,44.6887,-73.4915,Clinton,I-87
120N06243,366,70.139,24.813,"{7,44,81,89,121}",25671,61488,92.448,71.505,"{60,84,87,92,8873}",,1.532,44.7113,-73.4692,Clinton,I-87
120N06244,366,79.361,27.170,"{13,51,90,100,128}",29046,61488,229.545,177.048,"{150,209,217,227,22387}",,3.865,44.7257,-73.4436,Clinton,I-87
120N06245,366,95.432,30.096,"{22,64,109,118,142}",34928,61488,443.544,223.344,"{303,410,425,441,21959}",,7.582,44.7785,-73.4362,Clinton,I-87
120N06246,366,86.440,27.234,"{20,59,97,106,132}",31637,61488,388.941,343.874,"{253,356,368,383,37534}",,6.480,44.8869,-73.4522,Clinton,I-87
120N06247,366,39.669,14.274,"{9,28,43,50,78}",14519,61488,86.766,167.589,"{49,68,74,86,6656}",,1.149,44.9788,-73.4561,Clinton,I-87
120N06248,366,30.038,10.598,"{4,23,30,37,67}",10994,61488,313.470,664.256,"{46,79,98,151,5275}",,0.911,44.996,-73.4556,Clinton,I-87
120N06249,366,5.207,3.717,"{1,3,4,7,28}",1838,61488,27.141,46.460,"{5,8,11,19,360}",,0.062,45.0081,-73.452,Clinton,I-87
120N07970,366,15.200,7.389,"{1,9,16,20,39}",5548,61488,150.798,378.722,"{38,55,63,85,3510}",14058,0.606,44.6964,-73.5293,Clinton,Blake Rd
120N07971,366,53.407,19.928,"{7,33,61,68,90}",19547,61488,234.575,536.656,"{62,98,119,169,5662}",16056,0.978,44.6951,-73.5172,Clinton,Blake Rd
120N07973,366,35.615,12.763,"{4,25,38,46,63}",13035,61488,124.290,221.825,"{19,53,73,110,2006}",23693,0.346,44.6963,-73.4974,Clinton,RT-3
120N07974,364,2.365,1.324,"{1,1,2,3,8}",693,61152,13.697,26.092,"{3,5,7,10,162}",8518,0.028,44.6995,-73.4536,Clinton,Cornelia St
120N08227,366,67.060,31.424,"{7,27,82,90,121}",24544,61488,377.037,806.764,"{122,217,254,330,15629}",6528,2.698,44.655,-73.4846,Clinton,RT-22
120N08228,366,29.060,14.247,"{1,15,34,40,59}",10636,61488,245.169,423.005,"{42,112,143,214,4442}",5034,0.767,44.6993,-73.4556,Clinton,N Catherine St/Oak St
120N08229,153,38.392,16.305,"{4,24,42,51,71}",5874,25704,877.777,2068.365,"{192,316,390,611,24957}",,4.309,44.7172,-73.4702,Clinton,RT-22
120N08230,153,17.333,8.659,"{1,11,17,23,41}",2652,25704,693.736,2092.851,"{151,234,262,333,19635}",,3.390,44.7754,-73.4916,Clinton,RT-22
120N08231,366,10.194,6.371,"{1,5,10,14,52}",3629,61488,879.106,2746.828,"{197,323,361,469,28166}",2397,4.863,44.8959,-73.5495,Clinton,RT-22
120N08232,365,14.475,6.923,"{1,9,15,20,31}",5269,61320,108.359,206.212,"{22,34,42,89,1659}",4390,0.286,44.9604,-73.5814,Clinton,Main St
120N08282,366,10.203,5.889,"{1,6,10,14,34}",3571,61488,406.932,1229.233,"{150,228,248,291,20556}",2252,3.549,44.5279,-73.4598,Clinton,US-9
120N08283,365,12.928,7.547,"{1,7,13,17,39}",4460,61320,567.818,1709.462,"{179,269,304,387,22066}",3456,3.810,44.5766,-73.4491,Clinton,US-9
120N08284,366,29.861,13.597,"{2,18,32,41,60}",10929,61488,948.848,2341.551,"{192,309,408,650,24711}",6390,4.266,44.7246,-73.4373,Clinton,US-9
120N08285,153,15.362,8.602,"{1,7,17,21,40}",2335,25704,183.204,539.994,"{85,109,117,136,10154}",,1.753,44.7828,-73.4265,Clinton,US-9
120N08286,366,22.291,12.510,"{1,9,25,31,52}",8114,61488,246.578,456.507,"{116,177,194,225,15099}",3250,2.607,44.8947,-73.4368,Clinton,US-9
120N08287,366,14.574,8.769,"{1,8,15,20,44}",4955,61488,416.681,909.501,"{163,222,253,353,18699}",1623,3.228,44.9323,-73.4391,Clinton,US-9
120N08288,366,24.803,13.164,"{1,12,28,35,59}",9053,61488,437.715,931.686,"{98,204,246,342,9913}",1645,1.711,44.9784,-73.4467,Clinton,US-9
120N08306,366,36.317,18.271,"{1,20,39,51,73}",13292,61488,120.544,192.431,"{80,102,106,115,9529}",3188,1.645,44.917,-73.9279,Clinton,US-11
120N08307,366,40.303,17.681,"{4,23,45,53,76}",14751,61488,298.186,626.067,"{138,218,241,272,15492}",2366,2.675,44.8919,-73.8415,Clinton,US-11
120N08308,366,22.697,10.524,"{2,13,24,31,45}",8307,61488,92.299,166.193,"{32,61,70,81,3475}",3783,0.600,44.9604,-73.5814,Clinton,Main St/Chapman St
120N08309,366,36.735,15.271,"{6,21,41,48,73}",13445,61488,80.973,92.249,"{22,46,69,95,1893}",7907,0.327,44.981,-73.4583,Clinton,US-11
120N08310,366,39.262,16.659,"{5,21,44,53,67}",14370,61488,116.436,254.299,"{47,74,83,99,6011}",8180,1.038,44.9784,-73.4467,Clinton,Champlain St
120N08311,366,57.708,24.086,"{6,30,67,77,100}",21121,61488,360.579,807.794,"{126,205,242,300,15156}",6175,2.616,44.9828,-73.4162,Clinton,Champlain St
120N08312,366,44.077,19.050,"{5,22,51,59,74}",16132,61488,132.795,203.601,"{34,102,111,125,4940}",6030,0.853,44.9828,-73.3629,Clinton,US-11
120N09298,366,45.224,19.132,"{5,26,53,59,80}",16552,61488,336.620,829.936,"{80,148,177,250,10240}",7464,1.768,44.6951,-73.5172,Clinton,Military Tpke
120N09299,366,44.541,17.904,"{6,26,50,58,78}",16302,61488,312.384,792.977,"{107,174,187,229,15631}",6958,2.699,44.7163,-73.5374,Clinton,Military Tpke/Taylor Rd
120N09311,366,16.258,9.212,"{1,9,17,23,54}",5918,61488,409.293,944.677,"{95,162,198,284,9101}",2283,1.570,44.4953,-73.5026,Clinton,RT-9N
120N09544,366,32.844,16.455,"{2,18,35,43,81}",12021,61488,965.199,2653.076,"{254,400,462,684,33759}",5443,5.828,44.7081,-73.616,Clinton,Big Hill Rd
120N09545,366,26.874,13.300,"{1,14,31,37,54}",9836,61488,175.007,426.488,"{78,101,109,136,9412}",6790,1.625,44.7163,-73.5374,Clinton,Big Hill Rd
120N09546,153,51.196,22.186,"{6,29,59,67,89}",7833,25704,354.945,760.758,"{132,208,227,285,19316}",,3.335,44.7172,-73.4702,Clinton,RT-374
120N11296,365,9.927,6.073,"{1,5,10,13,30}",3514,61320,503.888,1203.289,"{120,181,229,313,11236}",1904,1.940,44.5051,-73.4801,Clinton,Front St
120N11297,366,28.049,14.524,"{1,16,29,39,76}",10238,61488,907.625,2237.752,"{221,376,479,643,24449}",7131,4.221,44.627,-73.4476,Clinton,US-9
120N11298,366,33.672,17.938,"{1,15,39,48,71}",12324,61488,389.594,683.809,"{54,151,207,327,6206}",8944,1.071,44.686,-73.4504,Clinton,Peru St
120N11299,366,39.347,17.603,"{3,21,45,53,72}",14401,61488,642.694,1414.805,"{112,223,277,420,11349}",9276,1.959,44.6996,-73.4531,Clinton,Margaret St
120N11300,153,32.778,16.878,"{2,15,37,45,69}",5015,25704,1227.121,3478.762,"{261,440,541,746,36532}",,6.307,44.8077,-73.4332,Clinton,US-9
120N11301,360,1.063,0.243,"{1,1,1,1,2}",84,60480,5.226,6.963,"{1,3,4,6,67}",466,0.012,44.9992,-73.4538,Clinton,US-9
120N11609,366,2.484,1.587,"{1,1,2,3,11}",703,61488,65.859,116.777,"{15,24,32,53,961}",3444,0.166,44.5051,-73.4801,Clinton,RT-22
120N11610,364,2.919,1.808,"{1,2,3,4,10}",864,61152,63.910,85.909,"{18,28,37,60,1329}",1852,0.229,44.5058,-73.4833,Clinton,Main St
120N11611,153,5.122,3.106,"{1,3,5,7,15}",712,25704,112.221,241.607,"{45,70,82,98,4520}",,0.832,44.5074,-73.4873,Clinton,Main St
120N11615,153,5.136,3.073,"{1,2,5,7,15}",719,25704,21.987,40.138,"{11,15,16,19,1005}",,0.174,44.6363,-73.4879,Clinton,RT-22
120N11616,366,18.133,10.039,"{1,8,20,25,47}",6546,61488,123.024,346.487,"{44,72,80,91,5354}",4014,0.924,44.6388,-73.4876,Clinton,RT-22
120N11617,366,5.033,3.022,"{1,3,5,7,23}",1696,61488,34.494,77.350,"{12,16,19,34,1156}",4014,0.200,44.6518,-73.4851,Clinton,RT-22
120N11618,365,2.652,1.485,"{1,2,2,3,9}",777,61320,4.593,2.840,"{2,3,4,6,56}",4014,0.029,44.6547,-73.4849,Clinton,RT-22
120N11619,366,39.658,19.707,"{1,18,47,55,75}",14515,61488,373.828,776.324,"{62,173,198,265,7935}",12514,1.370,44.6755,-73.4601,Clinton,S Catherine St
120N11620,366,18.298,9.636,"{1,7,21,26,36}",6642,61488,120.288,174.452,"{13,56,73,108,1668}",4166,0.288,44.695,-73.4577,Clinton,Catherine St/Oak St
120N11621,366,26.139,12.391,"{2,14,30,35,57}",9567,61488,84.458,205.977,"{34,53,60,76,4333}",6653,0.748,44.7111,-73.4588,Clinton,N Catherine St/Oak St
120N11622,153,6.470,3.610,"{1,3,6,9,19}",977,25704,65.985,156.577,"{19,28,32,45,1761}",,0.304,44.771,-73.4921,Clinton,RT-22
120N11623,153,16.230,8.319,"{1,10,16,21,54}",2467,25704,1019.724,2948.896,"{258,390,433,515,33500}",,5.783,44.8206,-73.5086,Clinton,RT-22
120N11624,152,2.462,1.853,"{1,1,2,3,9}",224,25536,1418.634,3812.276,"{179,289,410,723,19528}",,3.371,44.9603,-73.5872,Clinton,Hemmingford Rd
120N11637,366,40.372,20.389,"{2,20,46,57,82}",14776,61488,163.185,287.201,"{105,135,141,149,13094}",4131,2.261,44.9374,-73.9637,Clinton,US-11
120N11638,366,48.060,23.225,"{3,25,54,67,94}",17590,61488,246.058,350.617,"{152,197,214,241,17770}",3188,3.068,44.9032,-73.9014,Clinton,US-11
120N11639,366,30.984,14.270,"{4,16,34,42,61}",11340,61488,169.254,304.700,"{98,132,145,165,11914}",2322,2.057,44.9061,-73.7928,Clinton,US-11
120N11640,366,17.658,8.795,"{1,10,18,24,42}",6463,61488,66.826,165.650,"{44,53,56,59,4928}",2322,0.851,44.9157,-73.7558,Clinton,US-11
120N11641,366,23.872,11.405,"{1,12,26,33,51}",8737,61488,114.014,117.850,"{73,103,107,112,9648}",2322,1.666,44.9188,-73.7391,Clinton,US-11
120N11642,366,41.057,18.551,"{5,22,46,56,82}",15027,61488,378.408,746.162,"{215,301,323,355,26899}",2791,4.644,44.9226,-73.7058,Clinton,US-11
120N11643,366,40.833,18.390,"{5,23,44,56,80}",14945,61488,379.780,981.979,"{131,210,241,300,15943}",3825,2.752,44.9603,-73.6341,Clinton,US-11
120N11644,366,58.336,22.804,"{10,36,65,76,104}",21351,61488,753.008,1865.456,"{230,377,410,533,34108}",4684,5.888,44.9664,-73.5741,Clinton,US-11
120N11645,366,21.623,9.912,"{3,12,23,28,44}",7914,61488,54.544,117.838,"{13,28,33,45,1705}",7907,0.294,44.9797,-73.4521,Clinton,US-11
120N11646,366,24.560,10.886,"{2,14,27,33,50}",8989,61488,52.500,75.067,"{28,38,42,50,3087}",7992,0.533,44.9827,-73.427,Clinton,Champlain St
