tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06257,366,136.631,18.741,"{47,125,144,150,162}",50007,61488,40.943,35.627,"{27,38,39,41,4032}",21747,0.696,42.3482,-73.4121,Columbia,I-90
120N06258,366,165.631,5.338,"{102,165,168,168,168}",60621,61488,363.059,175.494,"{235,330,350,373,33160}",21796,5.725,42.3555,-73.4232,Columbia,I-90
120N06259,366,160.661,10.617,"{74,156,166,167,168}",58802,61488,178.471,216.950,"{99,147,159,176,14437}",21846,2.492,42.3984,-73.505,Columbia,I-90
120N06260,366,165.738,5.069,"{105,166,168,168,168}",60660,61488,366.617,253.845,"{261,345,363,378,27350}",22965,6.296,42.4217,-73.5492,Columbia,I-90
120N06261,366,70.907,14.255,"{22,62,72,82,104}",25952,61488,7.933,6.411,"{6,7,8,8,834}",24084,0.144,42.4792,-73.6216,Columbia,I-90
120N07920,366,44.850,20.998,"{3,23,52,61,87}",16415,61488,138.706,425.881,"{61,89,96,104,7309}",5191,1.262,42.4641,-73.3967,Columbia,Columbia Pike
120N07937,366,39.883,15.842,"{5,26,44,52,75}",14597,61488,44.401,118.951,"{23,34,36,39,2516}",14316,0.434,42.2205,-73.8323,Columbia,RT-23
120N07938,366,28.951,11.634,"{3,20,30,38,53}",10596,61488,24.498,30.145,"{13,20,22,25,1609}",14254,0.278,42.2228,-73.8259,Columbia,Claverack Rd
120N07939,366,60.396,25.024,"{3,38,68,80,110}",22105,61488,243.407,549.077,"{111,145,159,193,13019}",7526,2.248,42.2081,-73.7907,Columbia,Claverack Rd
120N07940,366,66.773,28.656,"{4,41,72,92,120}",24439,61488,381.358,1055.365,"{120,194,226,289,15922}",5130,2.749,42.1781,-73.7585,Columbia,RT-23
120N07941,366,38.142,19.262,"{1,18,44,53,79}",13960,61488,187.978,490.895,"{52,76,91,128,6251}",5128,1.079,42.2225,-73.735,Columbia,RT-23
