tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04992,366,144.235,22.897,"{32,126,157,160,167}",52790,61488,129.490,25.618,"{91,123,129,134,4502}",,2.332,42.4034,-76.0116,Cortland,I-81
104N04993,366,164.464,7.914,"{71,164,168,168,168}",60194,61488,672.200,102.026,"{482,639,668,691,8529}",649,12.041,42.4397,-76.0294,Cortland,I-81
104N04994,366,145.915,22.331,"{35,126,158,161,167}",53405,61488,137.258,37.446,"{97,129,135,140,5123}",1851,2.400,42.5882,-76.1285,Cortland,I-81
104N04995,366,144.268,23.005,"{39,122,157,160,167}",52802,61488,105.405,70.908,"{72,98,102,106,10511}",2579,1.815,42.6096,-76.1634,Cortland,I-81
104N04996,366,163.270,9.219,"{65,161,168,168,168}",59757,61488,524.223,377.330,"{347,469,489,509,50796}",318,8.769,42.6175,-76.1805,Cortland,I-81
104N04997,366,145.762,22.929,"{38,128,158,162,168}",53349,61488,130.624,97.482,"{89,121,127,132,13355}",642,2.306,42.7442,-76.1378,Cortland,I-81
104N04998,366,58.820,14.045,"{16,50,61,69,94}",21528,61488,8.227,6.873,"{6,7,8,8,834}",,0.144,42.7763,-76.1266,Cortland,I-81
104N05464,366,80.175,28.683,"{11,53,91,103,126}",29344,61488,459.557,1058.162,"{124,234,272,343,12551}",16788,2.158,42.5751,-76.2168,Cortland,RT-13
104N05465,366,54.954,23.775,"{7,31,61,74,101}",20113,61488,262.220,544.000,"{48,103,131,194,4103}",12805,0.708,42.595,-76.1844,Cortland,Tompkins St
104N05466,366,55.713,21.815,"{8,35,62,73,99}",20391,61488,284.299,576.805,"{55,110,146,223,4515}",8794,0.779,42.6021,-76.178,Cortland,RT-13
104N05467,366,23.247,11.074,"{2,14,25,31,54}",8485,61488,259.054,574.799,"{85,130,161,218,8706}",5629,1.503,42.6087,-76.1666,Cortland,Clinton Rd/Clinton Ave Ext
104N05468,153,10.178,5.434,"{1,5,10,15,28}",1547,25704,295.433,1031.879,"{128,165,177,199,15322}",,2.645,42.712,-76.0259,Cortland,Main St
104N05917,153,11.144,6.040,"{1,7,11,14,31}",1627,25704,448.571,1323.297,"{192,247,272,342,22209}",,3.834,42.4693,-75.912,Cortland,RT-26
104N06901,366,56.033,21.930,"{3,31,65,73,93}",20508,61488,128.062,242.555,"{82,109,114,121,10071}",10580,1.739,42.5351,-76.2682,Cortland,Cortland Rd
104N06902,366,77.926,26.988,"{6,50,88,99,120}",28521,61488,309.452,784.784,"{111,169,194,245,12696}",10933,2.192,42.5512,-76.2429,Cortland,RT-13
104N06903,153,9.160,4.909,"{1,5,9,13,21}",1374,25704,93.627,144.073,"{50,62,67,76,2722}",,0.940,42.6278,-76.1528,Cortland,RT-13
104N06904,153,10.510,4.927,"{1,6,11,14,23}",1608,25704,133.652,251.619,"{60,73,78,91,6558}",,1.132,42.6384,-76.1413,Cortland,RT-13
104N06905,153,12.368,6.003,"{1,7,13,17,27}",1880,25704,216.205,393.446,"{76,103,112,132,9122}",,1.575,42.6487,-76.1243,Cortland,RT-13
104N06906,153,11.347,5.795,"{1,7,11,16,25}",1702,25704,254.421,817.498,"{87,113,127,152,9901}",,1.709,42.6655,-76.1039,Cortland,RT-13
104N06907,153,15.212,7.832,"{1,9,16,21,38}",2297,25704,468.013,1347.154,"{153,247,281,362,21339}",,3.684,42.677,-76.0744,Cortland,RT-13
104N06908,153,7.689,4.007,"{1,4,8,10,19}",1161,25704,136.562,195.388,"{90,109,116,123,5289}",,1.826,42.7218,-75.978,Cortland,RT-13
104N06909,153,7.081,4.115,"{1,4,7,10,23}",1055,25704,121.039,69.623,"{75,104,111,119,1261}",,1.742,42.7378,-75.9505,Cortland,RT-13
104N06910,153,8.592,4.656,"{1,5,9,12,21}",1306,25704,363.489,1133.883,"{88,133,163,228,11309}",,1.952,42.7502,-75.9213,Cortland,RT-13
104N07818,153,9.638,5.994,"{1,5,9,13,35}",1465,25704,438.474,1235.035,"{205,258,276,310,24765}",,4.275,42.4148,-75.9424,Cortland,RT-26
104N09890,153,22.605,11.563,"{3,13,25,29,59}",3436,25704,1156.618,2903.148,"{153,222,323,555,17204}",,2.970,42.4014,-76.0147,Cortland,US-11
104N09891,153,20.618,10.956,"{1,9,22,28,71}",3134,25704,211.685,524.147,"{39,89,101,134,4820}",,0.832,42.4418,-76.0324,Cortland,US-11
104N09892,153,13.589,7.133,"{1,8,14,19,32}",2052,25704,307.065,706.027,"{145,209,224,260,19041}",,3.287,42.4521,-76.0406,Cortland,US-11
104N09893,366,15.006,9.111,"{1,8,15,20,48}",5357,61488,619.808,1622.349,"{244,387,414,485,35196}",1449,6.076,42.4922,-76.0742,Cortland,US-11
104N09894,366,15.868,7.816,"{2,9,17,21,39}",5776,61488,283.153,487.828,"{66,114,164,274,8754}",1449,1.511,42.5684,-76.1205,Cortland,US-11
104N09895,366,54.134,23.007,"{9,26,64,71,93}",19813,61488,300.646,733.458,"{68,125,144,199,8651}",5521,1.493,42.5884,-76.1317,Cortland,US-11
104N09896,366,37.109,18.421,"{2,17,43,51,73}",13582,61488,104.786,222.018,"{30,57,65,82,2861}",10278,0.494,42.5982,-76.1571,Cortland,US-11
104N09897,366,45.131,21.307,"{5,22,51,63,86}",16518,61488,154.598,292.591,"{47,73,88,124,3273}",10895,0.565,42.5983,-76.1667,Cortland,US-11
104N09898,366,22.945,11.826,"{1,12,25,32,53}",8398,61488,163.040,313.224,"{24,50,69,109,1738}",9711,0.300,42.5978,-76.1778,Cortland,US-11
104N09899,366,27.150,13.189,"{2,14,29,38,54}",9937,61488,348.315,635.194,"{64,134,174,273,4638}",6329,0.801,42.6021,-76.178,Cortland,US-11
104N09900,153,36.157,16.893,"{1,19,43,48,60}",5532,25704,433.955,1049.963,"{89,136,162,253,7350}",,1.269,42.6083,-76.1861,Cortland,US-11
104N09901,153,27.614,13.040,"{3,14,32,36,66}",4225,25704,265.637,639.882,"{66,105,123,167,5350}",,0.924,42.6262,-76.1827,Cortland,US-11
104N09902,153,13.862,7.944,"{1,7,14,19,41}",2107,25704,657.467,1810.154,"{100,171,211,278,11401}",,1.968,42.6388,-76.1783,Cortland,US-11
104N09903,152,8.476,5.733,"{1,4,8,12,32}",1229,25536,252.511,796.558,"{106,137,146,159,12563}",,2.169,42.6658,-76.1671,Cortland,US-11
104N09904,153,7.862,5.127,"{1,4,7,11,29}",1140,25704,419.117,1135.826,"{146,184,198,222,17080}",,2.949,42.6949,-76.1512,Cortland,US-11
104N09905,153,7.531,4.999,"{1,4,7,10,25}",1077,25704,241.412,383.941,"{128,155,166,200,6807}",,2.350,42.7336,-76.1269,Cortland,US-11
104N10064,153,11.144,6.040,"{1,7,11,14,31}",1627,25704,448.571,1323.297,"{192,247,272,342,22209}",,3.834,42.4693,-75.912,Cortland,RT-41
104N10068,153,17.902,9.628,"{1,9,20,25,48}",2739,25704,201.869,513.091,"{88,121,138,165,9915}",,1.712,42.6001,-76.0608,Cortland,RT-41
104N10069,366,27.380,14.138,"{1,13,30,37,76}",10021,61488,251.622,658.252,"{89,132,149,180,10728}",6963,1.852,42.5962,-76.0932,Cortland,RT-41
104N10070,366,55.399,23.776,"{10,28,64,73,101}",20276,61488,260.828,690.347,"{79,132,149,190,9107}",9326,1.572,42.5909,-76.1283,Cortland,RT-41
104N10071,366,37.109,18.421,"{2,17,43,51,73}",13582,61488,104.786,222.018,"{30,57,65,82,2861}",10278,0.494,42.5982,-76.1571,Cortland,RT-41
104N10072,366,45.131,21.307,"{5,22,51,63,86}",16518,61488,154.598,292.591,"{47,73,88,124,3273}",10895,0.565,42.5983,-76.1667,Cortland,RT-41
104N10073,366,22.945,11.826,"{1,12,25,32,53}",8398,61488,163.040,313.224,"{24,50,69,109,1738}",9711,0.300,42.5978,-76.1778,Cortland,RT-41
104N10074,366,27.150,13.189,"{2,14,29,38,54}",9937,61488,348.315,635.194,"{64,134,174,273,4638}",6329,0.801,42.6021,-76.178,Cortland,RT-41
104N10075,153,36.157,16.893,"{1,19,43,48,60}",5532,25704,433.955,1049.963,"{89,136,162,253,7350}",,1.269,42.6083,-76.1861,Cortland,RT-41
104N10076,153,27.614,13.040,"{3,14,32,36,66}",4225,25704,265.637,639.882,"{66,105,123,167,5350}",,0.924,42.6262,-76.1827,Cortland,RT-41
104N10077,152,5.151,3.117,"{1,3,5,7,20}",752,25536,335.733,709.709,"{52,87,104,178,3747}",,0.647,42.6388,-76.1783,Cortland,RT-41
104N10078,153,28.131,13.381,"{3,15,30,37,68}",4304,25704,377.375,1131.286,"{126,169,195,252,14350}",,2.477,42.6448,-76.188,Cortland,RT-41
104N10079,153,22.699,10.352,"{2,14,25,30,42}",3473,25704,509.355,1564.191,"{197,272,288,318,24782}",,4.278,42.6721,-76.2186,Cortland,RT-41
104N10080,153,22.776,10.573,"{1,14,24,30,45}",3462,25704,497.258,1208.059,"{259,343,372,415,31000}",,5.352,42.7296,-76.2435,Cortland,RT-41
104P04993,366,144.847,22.953,"{48,123,157,161,167}",53014,61488,152.260,29.642,"{105,144,151,157,3920}",14270,2.707,42.4397,-76.0294,Cortland,I-81
104P04994,366,164.079,7.902,"{103,162,168,168,168}",60053,61488,649.644,129.714,"{466,620,647,667,22355}",10866,11.578,42.5882,-76.1285,Cortland,I-81
104P04995,366,146.967,21.964,"{54,129,159,162,168}",53790,61488,151.404,52.329,"{103,140,147,155,5934}",7839,2.561,42.6096,-76.1634,Cortland,I-81
104P04996,366,138.008,24.031,"{43,116,150,155,163}",50511,61488,80.532,35.139,"{55,74,77,81,3926}",15478,1.356,42.6175,-76.1805,Cortland,I-81
104P04997,366,163.934,8.076,"{94,162,168,168,168}",60000,61488,552.411,226.202,"{356,495,518,542,10238}",19991,9.144,42.7442,-76.1378,Cortland,I-81
104P04998,366,145.694,22.640,"{51,126,158,161,166}",53324,61488,121.137,84.706,"{85,112,118,122,12349}",28723,2.132,42.7763,-76.1266,Cortland,I-81
104P05464,366,81.732,26.109,"{8,54,94,101,117}",29914,61488,344.467,894.788,"{101,187,218,278,13485}",13818,2.315,42.5751,-76.2168,Cortland,RT-13
104P05465,366,70.951,26.348,"{11,43,80,92,113}",25968,61488,369.468,854.270,"{125,202,232,282,11709}",16788,2.022,42.595,-76.1844,Cortland,Tompkins St
104P05466,366,62.109,25.278,"{4,37,71,83,104}",22732,61488,249.512,460.908,"{58,110,147,213,4103}",12805,0.708,42.6021,-76.178,Cortland,RT-13
104P05467,366,58.303,21.183,"{10,36,66,75,96}",21339,61488,260.930,534.933,"{47,117,145,206,5213}",8794,0.900,42.6087,-76.1666,Cortland,Clinton Rd/Clinton Ave Ext
104P05468,153,15.649,8.069,"{1,8,16,21,35}",2363,25704,448.088,1332.069,"{168,244,277,348,21339}",,3.684,42.712,-76.0259,Cortland,Main St
