tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06188,366,148.811,19.339,"{29,134,158,162,167}",54465,61488,367.122,283.286,"{258,349,361,374,37350}",,6.448,42.33,-75.2834,Delaware,I-88
120N06214,366,29.475,8.741,"{4,23,30,35,53}",10788,61488,7.467,3.376,"{5,7,7,8,190}",,0.131,42.293,-75.4155,Delaware,I-88
120N06215,366,140.664,21.759,"{25,121,151,156,166}",51483,61488,269.115,194.570,"{192,257,266,274,27698}",,4.782,42.2933,-75.413,Delaware,I-88
120N06216,366,126.691,24.528,"{18,104,138,145,160}",46369,61488,147.264,102.998,"{102,140,146,150,15180}",,2.621,42.3098,-75.3346,Delaware,I-88
120N06287,366,40.257,13.025,"{4,29,44,50,65}",14734,61488,46.366,92.805,"{30,40,42,45,4370}",10464,0.754,42.0478,-75.4143,Delaware,RT-17
120N06288,366,5.744,2.737,"{1,4,6,7,17}",2085,61488,2.431,7.376,"{2,2,2,2,221}",8374,0.038,42.0559,-75.4221,Delaware,RT-17
120N09972,366,35.495,15.271,"{6,19,40,47,68}",12991,61488,230.145,473.061,"{45,100,137,191,6868}",4184,0.694,42.0478,-75.4143,Delaware,Oak St
120N09974,153,39.490,19.233,"{2,24,44,53,81}",6042,25704,996.672,1673.695,"{392,525,615,888,44257}",,7.641,42.2793,-74.9143,Delaware,Main St
120N09980,366,13.306,7.785,"{1,7,14,18,43}",4830,61488,138.080,284.878,"{72,94,101,114,8428}",2065,1.455,42.0768,-75.4004,Delaware,RT-8
120N09981,366,19.270,10.353,"{1,9,21,26,53}",6995,61488,375.709,1145.727,"{149,199,218,269,17901}",3126,3.090,42.2421,-75.3774,Delaware,RT-8
120N09982,366,56.219,19.597,"{13,36,63,71,95}",20576,61488,214.396,547.999,"{61,106,132,176,7202}",3278,1.243,42.292,-75.4055,Delaware,RT-8
120N09984,153,8.503,5.069,"{1,4,8,12,23}",1233,25704,129.618,242.343,"{77,97,110,129,8233}",,1.421,42.1286,-74.6937,Delaware,RT-28
120N09985,153,53.863,21.393,"{5,38,60,68,108}",8241,25704,915.055,1926.647,"{391,568,670,864,43192}",,7.457,42.2793,-74.9143,Delaware,Meredith St
120N09986,153,56.418,21.710,"{6,37,63,73,94}",8632,25704,405.134,641.168,"{202,307,339,398,24384}",,4.210,42.3921,-75.0852,Delaware,RT-28
120N10023,366,7.860,4.174,"{1,5,7,11,21}",2798,61488,162.399,332.830,"{49,75,90,138,5596}",2349,0.966,42.3309,-75.2993,Delaware,RT-357
120N10024,366,11.956,6.247,"{1,7,12,17,29}",4328,61488,278.271,741.999,"{128,179,191,215,15733}",1354,2.716,42.3327,-75.2807,Delaware,RT-357
120N10026,366,16.136,9.287,"{1,8,16,23,43}",5809,61488,1541.913,4243.605,"{377,591,655,964,52042}",686,8.818,41.9929,-75.1373,Delaware,RT-30
120N10029,153,18.980,10.102,"{1,11,19,26,45}",2904,25704,291.403,637.510,"{130,193,207,242,17792}",,3.072,42.1286,-74.6937,Delaware,RT-30
120N11653,153,7.744,4.915,"{1,4,7,11,23}",1030,25704,692.396,953.175,"{415,529,571,646,23255}",,8.030,42.0892,-74.8179,Delaware,RT-30
120N11654,153,6.882,3.696,"{1,4,6,9,16}",1046,25704,42.812,97.776,"{21,27,30,36,2147}",,0.371,42.1437,-74.6515,Delaware,Main St
120N11655,153,11.563,5.576,"{1,8,11,15,28}",1746,25704,775.645,1604.641,"{120,187,290,655,11786}",,2.035,42.1475,-74.6466,Delaware,Main St
120N11883,153,18.320,8.340,"{2,12,20,24,40}",2803,25704,120.863,259.421,"{62,84,94,120,7673}",,1.325,42.1474,-74.4945,Delaware,RT-28
120N11884,153,39.340,16.069,"{5,23,43,51,74}",6019,25704,553.362,1479.068,"{258,357,390,462,31775}",,5.486,42.1506,-74.5187,Delaware,RT-28
120N11885,153,25.242,10.604,"{2,16,27,33,43}",3862,25704,276.189,724.875,"{85,125,142,179,8241}",,1.423,42.1476,-74.6195,Delaware,RT-28
120N11886,153,6.430,3.340,"{1,4,6,8,19}",958,25704,44.837,103.067,"{19,27,31,39,2147}",,0.371,42.1475,-74.6466,Delaware,RT-28
120N11887,153,16.428,8.332,"{1,10,17,22,39}",2497,25704,219.309,664.815,"{86,118,126,149,10990}",,1.897,42.1437,-74.6515,Delaware,RT-28
120N11888,153,19.667,12.753,"{1,10,18,26,61}",2950,25704,892.566,2265.252,"{360,532,610,802,38831}",,6.704,42.1478,-74.6951,Delaware,RT-28
120N11889,153,13.565,9.172,"{1,7,12,17,44}",1994,25704,620.479,1584.663,"{210,324,383,593,27563}",,4.759,42.189,-74.7858,Delaware,Delaware Ave
120N11890,153,31.647,15.913,"{2,22,32,42,78}",4842,25704,1556.773,3996.462,"{391,527,678,1063,43583}",,7.524,42.2451,-74.8115,Delaware,RT-28
120N11891,153,24.235,11.009,"{2,14,26,33,46}",3708,25704,116.067,199.512,"{22,48,62,100,1643}",,0.284,42.2763,-74.9182,Delaware,RT-28
120N11892,153,43.124,17.808,"{5,29,47,57,83}",6598,25704,773.939,1840.169,"{385,542,595,688,44029}",,7.601,42.3672,-74.9535,Delaware,RT-28
120N12036,366,22.699,10.534,"{2,14,24,30,49}",8308,61488,140.935,203.037,"{78,105,119,145,9054}",2092,1.563,42.0597,-75.4154,Delaware,RT-10
120N12038,366,24.151,12.430,"{1,13,25,32,57}",8791,61488,798.719,2286.923,"{334,451,497,585,40103}",505,6.923,42.0768,-75.4004,Delaware,RT-10
