tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04098,366,69.844,24.031,"{7,49,79,88,106}",25563,61488,54.370,87.368,"{30,47,50,54,4192}",,0.724,41.6849,-73.9301,Dutchess,US-9
120N04099,366,36.727,12.324,"{3,28,39,47,58}",13442,61488,19.162,31.574,"{10,16,18,19,1454}",,0.251,41.69,-73.9344,Dutchess,US-9
120N04100,366,55.533,18.517,"{4,42,61,69,89}",20325,61488,38.551,62.586,"{20,29,32,36,2470}",,0.426,41.6946,-73.9372,Dutchess,US-9
120N04101,366,60.328,18.282,"{10,49,66,74,90}",22080,61488,39.041,79.293,"{12,21,26,36,1539}",9166,0.266,41.7008,-73.9361,Dutchess,US-9
120N04102,366,39.596,13.285,"{5,30,43,49,66}",14492,61488,78.061,230.400,"{15,25,27,29,1961}",,0.339,41.705,-73.9365,Dutchess,US-9
120N04103,366,38.169,13.281,"{4,29,41,48,66}",13970,61488,36.911,69.505,"{19,27,29,31,2327}",,0.402,41.7095,-73.9374,Dutchess,US-9
120N04104,366,39.377,13.407,"{4,31,43,49,64}",14412,61488,35.983,74.606,"{15,23,26,31,1588}",,0.274,41.7151,-73.9354,Dutchess,US-9
120N04131,366,161.156,11.774,"{90,160,167,168,168}",58983,61488,107.582,52.180,"{68,99,103,109,7834}",,1.578,41.5208,-74.0102,Dutchess,I-84
120N04132,366,93.997,20.494,"{29,82,98,110,130}",34403,61488,10.461,25.643,"{5,7,8,9,699}",10576,0.121,41.5177,-73.9793,Dutchess,I-84
120N04133,366,163.393,9.240,"{92,164,168,168,168}",59802,61488,203.857,158.022,"{139,185,192,198,19421}",,3.353,41.5178,-73.9771,Dutchess,I-84
120N04134,366,156.418,16.255,"{73,152,164,166,168}",57249,61488,83.979,82.274,"{55,74,77,80,7928}",4376,1.369,41.5286,-73.919,Dutchess,I-84
120N04135,366,163.254,8.842,"{107,163,168,168,168}",59751,61488,237.786,110.651,"{162,221,230,238,6194}",3988,4.061,41.5231,-73.895,Dutchess,I-84
120N04136,366,159.240,13.653,"{87,156,166,167,168}",58282,61488,139.388,76.169,"{94,127,132,136,6860}",3583,2.347,41.5299,-73.8087,Dutchess,I-84
120N04137,366,165.402,5.509,"{125,166,168,168,168}",60537,61488,356.339,165.926,"{244,330,342,355,18555}",4667,6.131,41.538,-73.7763,Dutchess,I-84
120N10098,366,50.030,21.337,"{3,31,55,66,86}",18311,61488,260.633,531.780,"{105,159,182,227,12021}",6967,2.075,41.625,-73.7747,Dutchess,RT-82
120N10099,153,60.444,26.267,"{7,35,71,80,101}",9248,25704,685.460,1678.569,"{277,389,427,509,31532}",,5.444,41.6711,-73.7633,Dutchess,RT-82
120N10100,366,40.975,19.331,"{4,21,47,56,76}",14997,61488,202.267,449.203,"{93,137,148,168,10924}",6524,1.886,41.7759,-73.7019,Dutchess,RT-82
120N10101,153,32.368,15.529,"{2,16,37,44,61}",4920,25704,166.058,354.979,"{65,90,102,130,7413}",,1.280,41.7827,-73.7557,Dutchess,RT-82
120N10102,153,32.601,14.706,"{2,19,38,44,55}",4988,25704,336.357,693.346,"{76,118,148,207,8262}",,1.426,41.9797,-73.6563,Dutchess,RT-82
120N10103,153,12.680,6.588,"{1,7,13,18,29}",1902,25704,186.616,242.024,"{86,124,142,171,4604}",,1.590,41.9731,-73.6307,Dutchess,RT-82
120N10104,366,46.000,20.467,"{3,25,53,60,85}",16836,61488,193.470,501.195,"{93,126,136,159,10826}",9870,1.869,41.9736,-73.9082,Dutchess,RT-199
120N10105,366,36.060,16.342,"{1,21,40,48,86}",13162,61488,411.926,967.593,"{70,171,212,293,10419}",8934,1.799,41.9999,-73.9091,Dutchess,W Market St
