tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04184,366,67.568,23.977,"{9,46,77,86,111}",24730,61488,50.958,103.272,"{24,36,40,45,2890}",,0.499,42.891,-78.8675,Erie,RT-33
104N04184,366,67.568,23.977,"{9,46,77,86,111}",24730,61488,50.958,103.272,"{24,36,40,45,2890}",,0.499,42.891,-78.8675,Erie,RT-33
104N04185,366,57.109,19.202,"{8,40,63,72,92}",20902,61488,20.272,24.001,"{12,18,19,21,1700}",,0.294,42.8946,-78.8607,Erie,RT-33
104N04186,366,77.544,26.533,"{12,55,89,98,118}",28381,61488,37.649,90.943,"{22,31,33,35,2996}",1355,0.517,42.8967,-78.8557,Erie,RT-33
104N04187,366,83.850,26.961,"{15,61,95,104,120}",30689,61488,49.582,174.232,"{21,32,35,38,3119}",2377,0.539,42.901,-78.8476,Erie,RT-33
104N04188,366,98.301,29.735,"{15,74,112,120,137}",35978,61488,65.444,225.286,"{27,40,43,48,3753}",6233,0.648,42.9075,-78.8437,Erie,RT-33
104N04189,366,69.085,21.304,"{12,54,76,86,105}",25285,61488,15.532,17.009,"{9,14,15,16,1244}",22321,0.215,42.9177,-78.8434,Erie,RT-33
104N04190,366,87.831,24.987,"{25,68,99,107,123}",32146,61488,36.845,94.517,"{21,29,31,34,2747}",22321,0.474,42.9186,-78.8434,Erie,RT-33
104N04191,366,94.527,25.630,"{21,74,106,113,129}",34597,61488,26.944,37.294,"{16,23,25,27,2232}",,0.385,42.926,-78.8393,Erie,RT-33
104N04192,366,80.383,21.879,"{22,63,87,97,115}",29420,61488,22.485,60.107,"{12,18,19,20,1729}",,0.298,42.9294,-78.8326,Erie,RT-33
104N04193,366,84.620,23.152,"{18,68,93,102,121}",30971,61488,19.625,20.207,"{12,17,18,20,1634}",5702,0.282,42.9298,-78.8268,Erie,RT-33
104N04194,366,83.749,23.342,"{18,64,92,101,124}",30652,61488,17.274,18.819,"{10,15,16,17,1364}",2362,0.236,42.9299,-78.8211,Erie,RT-33
104N04195,366,74.891,20.806,"{12,59,82,91,109}",27410,61488,14.074,22.519,"{7,11,12,13,1084}",3268,0.187,42.9309,-78.8179,Erie,RT-33
104N04196,366,107.945,30.030,"{23,82,123,130,142}",39508,61488,45.516,103.151,"{24,36,38,41,3432}",4072,0.592,42.9326,-78.8131,Erie,RT-33
104N04197,366,102.934,29.212,"{24,76,117,125,140}",37674,61488,37.861,59.681,"{21,32,33,36,3066}",,0.529,42.9331,-78.8021,Erie,RT-33
104N04198,366,79.883,22.797,"{16,62,88,98,113}",29237,61488,16.496,24.552,"{9,14,15,16,1345}",4315,0.232,42.9326,-78.7917,Erie,RT-33
104N04199,366,120.077,31.324,"{31,94,136,143,154}",43948,61488,60.419,97.817,"{38,52,55,58,4922}",3859,0.850,42.933,-78.7876,Erie,RT-33
104N04200,366,115.645,28.694,"{32,93,130,137,150}",42326,61488,56.262,80.414,"{32,48,52,57,4094}",8128,0.707,42.9327,-78.7715,Erie,RT-33
104N04201,366,88.126,25.738,"{18,68,100,107,122}",32254,61488,36.025,69.117,"{19,30,32,35,2730}",8959,0.471,42.9301,-78.7582,Erie,RT-33
104N04202,366,68.303,21.760,"{12,53,74,85,109}",24999,61488,63.522,192.913,"{24,38,42,48,2961}",,0.511,42.9301,-78.7481,Erie,RT-33
104N04202,366,68.303,21.760,"{12,53,74,85,109}",24999,61488,63.522,192.913,"{24,38,42,48,2961}",,0.511,42.9301,-78.7481,Erie,RT-33
104N04203,366,120.902,33.579,"{27,94,138,145,157}",44250,61488,210.227,409.992,"{61,124,151,194,6812}",,1.176,42.9295,-78.7393,Erie,RT-33
104N04204,366,36.555,20.480,"{3,20,29,57,85}",13379,61488,50.322,100.637,"{2,35,52,61,2998}",29244,0.036,42.9281,-78.8976,Erie,RT-198
104N04205,366,79.186,29.232,"{16,49,93,100,118}",28982,61488,74.993,101.137,"{35,64,70,76,4115}",3241,0.710,42.9287,-78.8967,Erie,RT-198
104N04206,366,66.587,24.863,"{14,40,77,85,106}",24371,61488,47.522,61.606,"{25,39,43,47,2519}",,0.435,42.9352,-78.8908,Erie,RT-198
104N04207,366,64.317,23.996,"{11,40,75,83,105}",23540,61488,61.913,141.619,"{22,43,47,51,2618}",2851,0.452,42.9361,-78.8808,Erie,RT-198
104N04208,366,92.219,31.882,"{23,60,106,116,137}",33752,61488,103.340,139.384,"{34,76,84,93,4207}",,0.726,42.9341,-78.868,Erie,RT-198
104N04208,366,92.219,31.882,"{23,60,106,116,137}",33752,61488,103.340,139.384,"{34,76,84,93,4207}",,0.726,42.9341,-78.868,Erie,RT-198
104N04209,366,57.437,20.550,"{13,38,65,73,98}",21022,61488,33.804,44.078,"{17,28,31,34,1649}",,0.285,42.9333,-78.8592,Erie,RT-198
