tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06232,366,110.557,25.596,"{12,89,122,128,145}",40464,61488,390.772,248.282,"{268,358,376,395,19534}",,6.745,43.7756,-73.8002,Essex,I-87
120N06233,366,101.418,26.755,"{6,75,112,121,136}",37119,61488,338.951,138.527,"{231,315,331,345,17195}",,5.937,43.8671,-73.7549,Essex,I-87
120N06234,366,119.989,26.772,"{11,98,132,140,158}",43916,61488,576.736,527.636,"{389,530,551,574,57211}",,9.877,43.9501,-73.738,Essex,I-87
120N06235,366,125.661,27.872,"{15,99,139,146,162}",45992,61488,847.066,869.219,"{538,741,787,866,76358}",,13.182,44.0749,-73.6666,Essex,I-87
120N06236,366,100.232,29.170,"{10,71,113,122,143}",36685,61488,356.363,481.261,"{238,324,337,352,34677}",,5.987,44.2063,-73.5079,Essex,I-87
120N06237,366,125.363,29.834,"{28,98,139,146,162}",45883,61488,651.879,392.463,"{442,608,632,658,65363}",625,11.284,44.2824,-73.5308,Essex,I-87
120N06238,366,89.689,28.148,"{14,59,102,111,128}",32826,61488,233.756,265.658,"{156,214,223,235,22773}",,3.932,44.4395,-73.4919,Essex,I-87
120N08050,153,57.647,21.131,"{8,39,66,74,90}",8820,25704,506.361,1349.194,"{181,254,302,361,16628}",,2.871,44.3,-74.0855,Essex,RT-86
120N08213,366,23.022,10.588,"{1,13,26,31,44}",8426,61488,386.800,857.795,"{94,161,184,253,11898}",4083,2.054,43.8586,-73.438,Essex,Mt Hope Rd
120N08214,366,17.388,8.769,"{1,8,19,24,38}",6364,61488,152.179,381.249,"{48,84,93,110,4731}",4083,0.817,43.9476,-73.4177,Essex,RT-22
120N08215,366,14.735,7.260,"{1,8,16,20,33}",5393,61488,100.288,217.626,"{35,60,69,85,3404}",3548,0.588,43.9512,-73.4314,Essex,RT-22
120N08216,366,20.560,10.410,"{1,9,23,28,45}",7525,61488,167.131,296.461,"{78,121,130,145,10024}",3013,1.731,43.9744,-73.4419,Essex,RT-22
120N08217,366,26.175,13.948,"{1,12,29,36,82}",9554,61488,260.821,501.282,"{133,198,217,244,15613}",3530,2.695,43.9966,-73.4548,Essex,RT-22
120N08218,366,14.565,8.314,"{1,6,16,20,49}",5258,61488,133.595,85.690,"{70,98,113,153,4076}",3269,1.307,44.0898,-73.454,Essex,RT-22
120N08219,366,20.512,11.469,"{1,9,23,29,75}",7446,61488,280.394,533.051,"{141,205,233,278,16512}",3269,2.851,44.1433,-73.4299,Essex,RT-22
120N08220,365,3.415,2.109,"{1,2,3,5,13}",1168,61320,142.372,324.361,"{29,51,61,105,2626}",1968,0.453,44.1842,-73.4353,Essex,North St
120N08225,153,5.058,3.053,"{1,3,4,7,17}",703,25704,131.212,281.437,"{61,76,86,120,6718}",,1.160,44.4437,-73.4889,Essex,RT-22
120N08277,153,10.328,9.170,"{1,4,8,14,46}",1384,25704,1036.961,2345.527,"{315,464,653,851,36044}",,6.223,43.8709,-73.7518,Essex,US-9
120N08279,366,10.942,11.299,"{1,4,8,13,66}",3578,61488,1933.250,4648.100,"{543,784,1070,1405,57807}",707,9.980,44.1014,-73.6864,Essex,US-9
120N08280,364,13.592,8.545,"{1,7,13,19,40}",4594,61152,656.785,1766.623,"{246,356,402,533,29561}",1789,5.103,44.2164,-73.5904,Essex,Court St/Maple St
120N08281,153,5.058,3.053,"{1,3,4,7,17}",703,25704,131.212,281.437,"{61,76,86,120,6718}",,1.160,44.4437,-73.4889,Essex,US-9
120N08290,366,41.281,17.510,"{2,26,45,55,80}",15109,61488,591.199,1373.574,"{244,359,412,523,30698}",2786,5.300,43.8586,-73.438,Essex,RT-74
120N08291,153,41.582,15.608,"{3,30,45,52,75}",6362,25704,498.717,490.508,"{330,437,463,505,34299}",,5.921,43.8782,-73.5388,Essex,RT-74
120N08295,153,35.941,13.703,"{4,27,37,45,71}",5499,25704,1327.335,3797.061,"{306,439,530,692,31823}",,5.494,44.157,-73.7726,Essex,RT-73
120N08296,366,26.189,11.168,"{1,18,27,34,59}",9585,61488,404.574,1212.877,"{103,151,177,227,10906}",3985,1.883,44.2331,-73.7828,Essex,RT-73
120N08297,366,51.057,20.088,"{4,37,53,65,108}",18687,61488,1159.903,3380.287,"{387,625,705,922,50272}",3158,8.679,44.2562,-73.7921,Essex,RT-73
120N09303,366,23.289,13.123,"{1,13,24,31,66}",8314,61488,1544.464,3705.315,"{412,670,775,1018,51941}",2566,8.967,43.7451,-73.4986,Essex,Lake Shore Dr
120N09304,362,1.662,0.915,"{1,1,1,2,6}",369,60816,3.642,6.717,"{1,2,2,3,72}",7875,0.012,43.8584,-73.438,Essex,RT-9N
120N09305,366,19.076,11.051,"{1,8,21,27,71}",6810,61488,264.028,670.027,"{90,168,187,210,10077}",3108,1.740,44.1844,-73.4356,Essex,RT-9N
120N09306,366,21.911,13.806,"{1,10,22,29,82}",7866,61488,460.948,841.014,"{180,272,336,462,22858}",2493,3.946,44.2091,-73.5059,Essex,RT-9N
120N09307,365,5.742,3.683,"{1,3,5,8,17}",1866,61320,149.421,324.850,"{46,68,85,113,4871}",1821,0.841,44.2126,-73.5982,Essex,RT-9N
120N09308,366,25.959,11.068,"{1,18,27,34,59}",9501,61488,399.590,1203.531,"{103,152,178,228,10954}",3282,1.891,44.2336,-73.7818,Essex,RT-9N
120N09309,366,8.832,4.961,"{1,5,8,12,26}",2950,61488,495.441,1542.388,"{145,208,235,333,17642}",1192,3.046,44.2562,-73.7921,Essex,RT-9N
120N09310,365,14.802,8.246,"{1,8,16,21,35}",5225,61320,460.362,1292.323,"{166,265,296,366,21750}",2255,3.755,44.3753,-73.7277,Essex,RT-9N
120N11286,366,19.290,10.545,"{1,12,18,26,53}",6983,61488,593.839,1913.553,"{202,274,307,382,23665}",2742,4.086,43.7795,-73.7938,Essex,US-9
120N11287,153,20.000,9.365,"{1,14,19,28,45}",3020,25704,994.433,2331.490,"{169,276,356,517,16531}",,2.854,43.8327,-73.7677,Essex,US-9
120N11288,153,5.722,4.476,"{1,3,5,7,27}",761,25704,316.301,446.556,"{133,188,227,328,7050}",,2.434,43.9527,-73.7283,Essex,US-9
120N11290,366,9.469,5.225,"{1,5,9,13,30}",3210,61488,151.989,301.438,"{38,66,78,109,2713}",2392,0.468,44.2126,-73.5982,Essex,Court St
120N11291,152,8.290,6.133,"{1,3,8,12,29}",1086,25536,979.341,3155.879,"{204,251,296,441,22047}",,3.806,44.284,-73.5628,Essex,US-9
120N11292,152,4.150,3.040,"{1,2,3,6,14}",469,25536,260.678,706.983,"{65,79,89,150,7417}",,1.280,44.3347,-73.5437,Essex,US-9
120N11293,364,8.629,7.046,"{1,3,7,12,34}",2580,61152,897.978,2711.360,"{349,446,495,811,41343}",625,7.137,44.3529,-73.5435,Essex,US-9
120N11294,153,6.259,3.870,"{1,3,6,8,18}",895,25704,242.715,758.919,"{115,139,152,187,12189}",,2.104,44.4596,-73.4837,Essex,US-9
120N11295,365,8.356,4.794,"{1,5,8,11,24}",2908,61320,543.950,1174.060,"{68,108,135,233,6285}",1826,1.085,44.4898,-73.4849,Essex,US-9
120N11590,366,17.205,7.967,"{1,10,18,23,39}",6280,61488,145.634,318.821,"{54,84,100,126,6430}",3084,1.110,43.8563,-73.4173,Essex,RT-22
120N11591,366,14.627,7.224,"{1,8,16,20,33}",5339,61488,127.777,172.597,"{68,105,113,125,8971}",4083,1.549,43.8855,-73.448,Essex,Mt Hope Rd
120N11592,366,23.716,11.528,"{1,11,27,32,48}",8680,61488,210.019,438.790,"{112,166,178,194,14569}",4083,2.515,43.9019,-73.4274,Essex,RT-22
120N11593,366,13.669,7.093,"{1,7,15,19,31}",4962,61488,69.292,55.098,"{41,59,64,70,2230}",4083,0.770,43.9367,-73.4195,Essex,RT-22
120N11594,366,17.339,8.794,"{1,8,19,24,42}",6346,61488,132.597,280.358,"{57,88,99,124,7337}",3013,1.267,43.9589,-73.4303,Essex,RT-22
120N11595,366,23.055,11.828,"{1,11,25,32,66}",8415,61488,202.344,452.143,"{69,112,123,152,5915}",3269,1.021,44.0342,-73.4623,Essex,S Main St
120N11596,366,27.356,14.242,"{1,12,31,38,79}",9985,61488,456.793,949.120,"{170,256,302,387,17800}",3269,3.073,44.0486,-73.4596,Essex,Main St
120N11597,366,19.033,10.677,"{1,8,21,27,65}",6890,61488,222.404,373.944,"{131,188,199,216,17088}",3269,2.950,44.1062,-73.4463,Essex,RT-22
120N11598,366,5.078,2.974,"{1,3,5,7,20}",1747,61488,36.125,72.585,"{17,22,25,28,1189}",3269,0.205,44.1819,-73.4329,Essex,RT-22
120N11605,153,13.676,8.950,"{1,6,14,18,44}",1983,25704,443.283,1137.343,"{211,259,292,413,21896}",,3.780,44.4022,-73.4543,Essex,RT-22
120N11606,153,6.259,3.870,"{1,3,6,8,18}",895,25704,242.715,758.919,"{115,139,152,187,12189}",,2.104,44.4596,-73.4837,Essex,RT-22
120N11607,364,6.933,4.096,"{1,4,7,9,21}",2385,61152,486.590,1086.668,"{60,91,107,156,5548}",1826,0.958,44.4898,-73.4849,Essex,RT-22
120N11608,365,2.850,1.762,"{1,2,2,4,11}",858,61320,47.603,86.230,"{13,18,23,37,737}",1826,0.127,44.5033,-73.4808,Essex,Front St
120N11719,366,15.797,8.497,"{1,7,18,22,37}",5687,61488,115.892,157.582,"{60,91,101,115,6447}",4928,1.113,44.331,-74.1266,Essex,Bloomingdale Ave
120N11720,366,31.401,16.139,"{1,15,36,44,67}",11367,61488,637.522,1888.800,"{267,347,377,435,29135}",4117,5.030,44.3455,-74.1177,Essex,Bloomingdale Ave
120N11721,366,5.854,3.536,"{1,3,5,8,18}",2043,61488,69.570,155.758,"{15,22,29,45,1086}",3023,0.187,44.4079,-74.0872,Essex,RT-3
120N11738,366,18.366,8.330,"{1,12,19,25,41}",6722,61488,58.480,117.929,"{24,34,39,48,1577}",8483,0.272,44.3228,-74.1225,Essex,Lake Flower Ave
120N12141,366,17.205,7.967,"{1,10,18,23,39}",6280,61488,145.634,318.821,"{54,84,100,126,6430}",3084,1.110,43.8563,-73.4173,Essex,RT-74
120N12142,153,49.327,16.932,"{3,37,53,60,85}",7547,25704,701.450,1390.636,"{339,457,503,601,35220}",,6.080,43.8905,-73.6442,Essex,RT-74
120N12774,366,19.416,8.809,"{1,13,21,26,42}",7087,61488,218.924,471.573,"{53,87,104,159,4369}",7875,0.754,43.8479,-73.4354,Essex,Wicker St
120N12775,366,18.584,10.383,"{1,10,20,26,72}",6783,61488,365.037,1175.041,"{102,145,155,186,13185}",3108,2.276,44.1935,-73.4661,Essex,RT-9N
120N12776,366,13.711,7.864,"{1,7,14,19,38}",4881,61488,262.324,586.940,"{63,110,135,178,5170}",2442,0.893,44.2127,-73.5836,Essex,River St
120N12777,366,22.006,13.377,"{1,11,23,30,64}",7680,61488,1022.330,2355.687,"{445,605,693,1008,53398}",1821,9.219,44.221,-73.6102,Essex,High St
120N12778,366,7.904,4.535,"{1,4,7,11,26}",2640,61488,327.021,995.010,"{155,200,218,267,17078}",1192,2.948,44.2985,-73.7863,Essex,RT-9N
120N12779,366,6.300,4.484,"{1,3,5,8,29}",2016,61488,748.412,2326.414,"{186,256,313,463,21284}",1192,3.675,44.3362,-73.7758,Essex,RT-9N
120N12780,365,16.269,9.044,"{1,9,17,23,43}",5873,61320,690.296,1760.929,"{129,209,279,448,14020}",2446,2.420,44.4132,-73.6814,Essex,RT-9N
