tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N08341,366,27.650,11.635,"{2,17,31,37,50}",10120,61488,164.031,440.603,"{63,89,102,119,6717}",4267,1.160,44.8185,-74.5562,Franklin,US-11
120N08342,366,17.514,7.450,"{2,11,19,23,36}",6410,61488,53.654,87.887,"{25,41,44,49,2355}",4267,0.407,44.8291,-74.5216,Franklin,US-11
120N08343,366,74.093,27.038,"{12,50,84,95,120}",27118,61488,828.943,2216.383,"{251,414,504,637,28669}",12078,4.949,44.842,-74.4008,Franklin,US-11
120N08344,366,51.281,21.984,"{4,31,57,69,95}",18769,61488,157.006,309.035,"{30,67,87,128,2621}",21708,0.453,44.8485,-74.3008,Franklin,W Main St
120N08345,366,72.199,28.584,"{9,47,81,95,120}",26425,61488,417.268,941.066,"{111,203,245,327,10775}",13078,1.860,44.8489,-74.2917,Franklin,E Main St
120N08346,366,35.838,19.420,"{1,16,42,52,70}",13081,61488,92.067,212.755,"{51,72,75,81,6761}",5099,1.167,44.9175,-74.203,Franklin,US-11
120N09668,366,34.333,15.285,"{4,19,39,45,75}",12566,61488,147.908,350.347,"{72,102,110,123,7018}",12644,1.212,44.9662,-74.6401,Franklin,RT-37
120N09669,366,30.836,14.586,"{2,16,34,42,64}",11286,61488,156.801,274.890,"{81,115,126,149,9969}",3482,1.721,44.944,-74.3954,Franklin,RT-37
120N09670,366,26.175,12.456,"{1,15,28,35,58}",9580,61488,521.223,1372.592,"{149,218,277,383,16672}",4398,2.878,44.8485,-74.3008,Franklin,Fort Covington St
120N09671,366,51.500,21.766,"{3,34,54,68,102}",18849,61488,1098.234,2673.349,"{278,396,557,793,32112}",5757,5.544,44.224,-74.4641,Franklin,Park St
120N09672,366,7.119,4.425,"{1,4,6,10,26}",2506,61488,159.497,362.661,"{54,73,97,131,5847}",1059,1.009,44.2441,-74.3573,Franklin,Tupper Saranac Hwy
120N09673,366,31.365,17.913,"{1,16,32,44,80}",11417,61488,832.318,1637.473,"{362,562,609,790,51715}",1979,8.928,44.4379,-74.2517,Franklin,RT-30
120N09674,366,20.867,13.073,"{1,10,21,28,56}",7533,61488,663.580,968.877,"{385,496,530,621,48362}",1231,8.349,44.5503,-74.3112,Franklin,Adirondack Trl
120N09675,366,45.333,19.920,"{4,26,50,61,88}",16592,61488,133.064,254.907,"{24,55,71,109,2073}",21708,0.358,44.8485,-74.3008,Franklin,RT-30
120N09676,153,26.993,16.186,"{2,16,26,34,84}",4103,25704,790.170,1676.194,"{185,350,455,633,19615}",,3.386,44.8489,-74.2917,Franklin,Elm St
120N09677,366,7.507,4.865,"{1,4,7,10,28}",2680,61488,1613.987,4530.146,"{277,417,540,778,30761}",3963,5.311,44.9294,-74.2965,Franklin,RT-30
120N09679,366,34.339,17.270,"{1,18,37,47,79}",12568,61488,648.799,2220.294,"{254,355,388,449,31210}",3963,5.388,44.9294,-74.2965,Franklin,RT-122
120N09680,366,29.266,15.184,"{2,14,31,41,67}",10682,61488,537.051,1479.725,"{238,322,356,426,27880}",2738,4.813,44.9175,-74.203,Franklin,RT-122
120N09681,366,18.658,9.512,"{1,11,20,26,40}",6810,61488,149.577,240.283,"{28,63,79,110,1766}",8747,0.305,44.325,-74.1318,Franklin,River St
120N09682,365,1.989,1.267,"{1,1,2,2,10}",519,61320,7.584,11.907,"{3,5,6,8,181}",3001,0.031,44.4382,-74.2513,Franklin,RT-86
120N09683,366,51.500,21.766,"{3,34,54,68,102}",18849,61488,1098.234,2673.349,"{278,396,557,793,32112}",5757,5.544,44.224,-74.4641,Franklin,Mill St/Park St
120N09684,366,19.145,9.694,"{1,11,19,26,51}",7007,61488,195.459,356.334,"{108,144,153,175,13491}",2818,2.329,44.2441,-74.3573,Franklin,Tupper Lake Hwy
120N09685,366,11.258,6.296,"{1,6,11,16,30}",4053,61488,80.064,136.408,"{23,36,47,77,1472}",5060,0.254,44.3297,-74.1313,Franklin,Bloomingdale Ave
120N11626,366,37.437,15.734,"{3,24,41,50,69}",13702,61488,411.118,1396.369,"{178,238,260,295,21331}",1894,3.683,44.7928,-74.6199,Franklin,US-11
120N11627,366,20.716,8.755,"{2,13,22,27,40}",7582,61488,70.270,145.278,"{37,53,60,68,4040}",4267,0.697,44.8258,-74.5349,Franklin,US-11
120N11628,366,35.680,14.773,"{4,22,40,47,67}",13059,61488,286.093,755.904,"{103,165,187,224,12562}",4267,2.169,44.8302,-74.5135,Franklin,Grove St
120N11629,366,41.877,17.317,"{4,26,47,55,75}",15327,61488,346.951,958.748,"{168,232,252,293,20183}",4267,3.484,44.8363,-74.4711,Franklin,US-11
120N11630,366,21.249,11.345,"{1,11,22,30,51}",7756,61488,81.017,196.249,"{30,42,47,60,3178}",6277,0.549,44.859,-74.2578,Franklin,US-11
120N11631,366,34.746,18.819,"{1,17,38,49,93}",12717,61488,228.450,599.332,"{134,165,173,187,15148}",3997,2.615,44.8641,-74.2495,Franklin,US-11
120N11632,366,29.038,16.197,"{2,14,32,42,63}",10628,61488,149.167,288.878,"{77,119,125,133,11058}",3997,1.909,44.8996,-74.2313,Franklin,US-11
