tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N07956,153,17.059,8.076,"{1,11,19,23,38}",2610,25704,191.441,436.163,"{34,55,65,101,2480}",,0.428,43.0066,-74.3681,Fulton,E Main St
120N07957,366,74.809,22.486,"{6,54,81,91,118}",27380,61488,87.640,166.849,"{28,48,57,75,2462}",20723,0.425,43.0074,-74.3597,Fulton,RT-29
120N07958,366,73.656,24.580,"{6,50,82,94,116}",26958,61488,442.867,1033.272,"{161,234,279,365,19904}",8013,3.436,43.0135,-74.3608,Fulton,RT-29
120N07959,366,58.467,18.649,"{9,42,64,73,97}",21399,61488,242.880,402.457,"{156,200,209,226,18578}",7396,3.207,43.0293,-74.298,Fulton,RT-29
120N07960,366,54.645,18.092,"{9,38,61,68,90}",20000,61488,122.090,222.465,"{59,86,96,116,7314}",8924,1.263,43.0487,-74.241,Fulton,RT-29
120N07961,366,71.798,22.292,"{11,51,79,89,123}",26278,61488,235.472,467.839,"{85,126,155,214,9837}",9201,1.698,43.0474,-74.2172,Fulton,RT-29
120N08150,366,36.902,13.926,"{5,26,38,48,64}",13506,61488,92.573,155.636,"{22,48,63,88,2015}",7025,0.348,43.0473,-74.2169,Fulton,RT-30
120N08151,366,25.131,11.738,"{2,15,26,34,51}",9198,61488,259.396,764.209,"{72,104,117,158,9251}",3688,1.597,43.0767,-74.2594,Fulton,RT-30
120N08152,366,38.934,15.174,"{6,27,41,50,78}",14250,61488,446.897,1277.861,"{167,249,273,320,21388}",9465,3.692,43.0947,-74.2791,Fulton,RT-30
120N11683,366,80.060,29.310,"{15,51,92,103,121}",29302,61488,388.845,1053.833,"{149,218,237,285,16619}",14290,2.869,42.9768,-74.1883,Fulton,Perth Rd
120N11684,366,60.694,23.081,"{12,38,68,78,103}",22214,61488,262.868,628.849,"{118,169,187,220,13842}",8748,2.390,43.0176,-74.1939,Fulton,RT-30
120N11685,366,49.202,20.801,"{8,32,52,66,98}",18008,61488,338.814,764.829,"{149,205,227,276,17460}",7025,3.014,43.0512,-74.2154,Fulton,RT-30
120N11686,366,31.716,13.546,"{2,20,34,43,66}",11608,61488,575.412,1722.261,"{244,356,373,400,33190}",5074,5.730,43.1381,-74.2373,Fulton,RT-30
120N11687,366,11.942,6.173,"{1,7,12,16,32}",4359,61488,136.394,395.558,"{40,62,69,91,5105}",5268,0.881,43.2118,-74.1894,Fulton,RT-30
120N11688,366,12.597,7.440,"{1,7,12,17,43}",4535,61488,291.720,680.009,"{136,188,202,234,17211}",2024,2.971,43.2239,-74.1849,Fulton,RT-30
120N11929,366,72.855,22.964,"{5,51,81,91,120}",26665,61488,253.230,541.644,"{160,205,215,228,19092}",8884,3.296,43.0574,-74.1873,Fulton,RT-29
120N12069,153,9.834,6.853,"{1,4,10,13,36}",1485,25704,216.968,281.928,"{98,152,184,225,9578}",,1.654,42.9869,-74.5359,Fulton,RT-10
120N12533,153,9.834,6.853,"{1,4,10,13,36}",1485,25704,216.968,281.928,"{98,152,184,225,9578}",,1.654,42.9869,-74.5359,Fulton,RT-67
120N13911,366,53.276,18.901,"{4,37,57,67,100}",19499,61488,55.470,96.299,"{34,45,48,53,3558}",10633,0.614,42.9918,-74.3818,Fulton,Mayor H W Mansfield Hwy/Comrie Ave
120N13912,366,86.680,24.918,"{13,62,95,107,126}",31725,61488,162.355,331.487,"{70,108,123,145,7021}",12770,1.212,42.995,-74.3707,Fulton,Mayor H W Mansfield Hwy/Comrie Ave
120N13913,366,74.809,22.486,"{6,54,81,91,118}",27380,61488,87.640,166.849,"{28,48,57,75,2462}",20723,0.425,43.0074,-74.3597,Fulton,Mayor H W Mansfield Hwy/Comrie Ave
120N13914,366,98.667,26.689,"{15,75,107,119,144}",36112,61488,467.287,1110.609,"{149,256,308,395,17165}",14779,2.963,43.0135,-74.3608,Fulton,Mayor H W Mansfield Hwy/Comrie Ave
120N13915,366,40.328,14.399,"{4,29,43,51,76}",14760,61488,69.445,128.498,"{35,47,52,65,3658}",,0.632,43.0428,-74.3259,Fulton,RT-30A
