tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04446,366,163.235,9.147,"{81,163,167,168,168}",59744,61488,132.601,80.451,"{98,126,132,136,13701}",,2.365,42.9858,-78.4638,Genesee,I-90
104N04447,366,165.934,5.526,"{97,167,168,168,168}",60732,61488,265.241,134.054,"{198,252,262,270,27357}",,4.734,43.0014,-78.4161,Genesee,I-90
104N04448,366,167.068,3.783,"{105,168,168,168,168}",61147,61488,415.774,97.346,"{309,397,413,424,6528}",,7.466,43.0122,-78.3325,Genesee,I-90
104N04777,366,72.066,20.664,"{17,52,81,88,106}",26376,61488,43.046,60.274,"{20,32,37,46,2842}",13072,0.491,43.0375,-77.9624,Genesee,I-490
104N04778,366,50.536,14.223,"{8,39,55,61,78}",18496,61488,24.621,40.216,"{4,13,16,23,505}",14265,0.075,43.0325,-77.9645,Genesee,I-490
104N04779,366,57.068,42.146,"{2,14,54,102,123}",20887,61488,87.948,97.641,"{1,79,90,103,5043}",,0.012,43.0314,-77.9646,Genesee,I-490
104N04788,366,167.473,2.301,"{131,168,168,168,168}",61295,61488,626.732,79.993,"{482,601,627,643,5275}",,11.285,43.0184,-78.1889,Genesee,I-90
104N04789,366,162.536,9.502,"{75,161,167,168,168}",59488,61488,173.968,85.067,"{124,165,171,177,17549}",,3.030,43.0289,-77.9696,Genesee,I-90
104N05251,366,44.827,18.551,"{6,25,52,58,80}",16362,61488,187.818,415.935,"{111,139,149,168,12957}",7063,2.237,42.9003,-78.4331,Genesee,Broadway Rd
104N05252,366,49.669,19.191,"{4,29,57,64,85}",18179,61488,115.886,241.306,"{52,75,85,103,6264}",7723,1.081,42.9012,-78.389,Genesee,Broadway Rd
104N05253,366,53.765,20.390,"{1,34,61,69,96}",19678,61488,157.454,239.387,"{95,134,141,152,12585}",3873,2.173,42.9021,-78.3508,Genesee,Broadway Rd
104N05254,366,45.566,17.980,"{1,27,52,59,81}",16677,61488,97.537,123.082,"{65,86,91,98,7844}",3873,1.354,42.9027,-78.3081,Genesee,Broadway Rd
104N05255,366,38.563,14.963,"{1,23,43,50,67}",14114,61488,66.605,68.517,"{42,59,64,68,4895}",3873,0.845,42.9025,-78.2814,Genesee,Broadway Rd
104N05256,366,27.093,10.914,"{1,17,30,35,55}",9916,61488,45.810,66.405,"{28,38,40,43,2973}",3873,0.513,42.9028,-78.2647,Genesee,Broadway Rd
