tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05834,366,160.120,11.120,"{71,154,166,167,168}",58604,61488,150.131,80.386,"{109,142,148,153,15516}",,2.679,42.4268,-73.805,Greene,I-87
120N06207,366,167.322,2.790,"{126,168,168,168,168}",61240,61488,689.577,73.101,"{519,661,690,710,5613}",,12.624,42.0796,-73.9738,Greene,I-87
120N06208,366,166.986,3.394,"{119,167,168,168,168}",61117,61488,568.280,76.024,"{407,544,569,586,4661}",,10.400,42.2479,-73.887,Greene,I-87
120N06209,366,160.205,11.073,"{75,154,166,167,168}",58635,61488,146.445,74.775,"{107,138,145,150,15192}",,2.623,42.3896,-73.8262,Greene,I-87
120N07935,366,63.806,25.452,"{7,38,74,84,111}",23353,61488,92.943,259.340,"{48,67,73,80,6277}",7803,1.084,42.2303,-73.8676,Greene,RT-23
120N07936,366,52.292,21.090,"{7,34,58,68,101}",19139,61488,85.818,187.967,"{23,42,52,70,2592}",13228,0.447,42.2266,-73.861,Greene,Bridge Appr
120N08313,153,56.261,23.136,"{5,33,66,74,92}",8608,25704,184.137,352.895,"{40,82,104,153,3204}",,0.553,42.2139,-73.8882,Greene,W Bridge St
120N08314,366,61.022,27.295,"{4,31,71,82,107}",22334,61488,202.796,432.904,"{62,112,127,164,5816}",11620,1.004,42.2154,-73.8777,Greene,Maple Ave
120N08315,366,43.612,21.120,"{2,22,50,60,84}",15962,61488,237.541,511.070,"{121,153,166,200,13416}",5491,2.316,42.2283,-73.8698,Greene,US-9W
120N08316,153,40.497,20.570,"{1,19,47,56,77}",6196,25704,283.703,1002.775,"{95,141,150,167,12748}",,2.201,42.2601,-73.8582,Greene,US-9W
120N08319,366,76.068,29.496,"{9,50,88,99,123}",27841,61488,373.600,1096.092,"{103,164,187,235,12594}",5299,2.174,42.3631,-73.8317,Greene,US-9W
120N08321,366,42.596,21.178,"{1,18,49,57,90}",15590,61488,133.233,185.645,"{74,107,115,124,9524}",5366,1.644,42.4244,-73.818,Greene,US-9W
120N10215,153,29.237,14.852,"{2,13,34,40,64}",4444,25704,730.485,2195.832,"{217,350,421,535,26415}",,4.560,42.1227,-73.934,Greene,US-9W
120N11200,153,28.053,17.045,"{1,8,31,40,65}",4236,25704,322.735,663.478,"{125,170,194,257,13870}",,2.394,42.1839,-73.91,Greene,US-9W
120N11201,153,40.170,19.081,"{4,18,48,53,72}",6146,25704,184.886,540.404,"{51,79,92,118,6353}",,1.097,42.3491,-73.8419,Greene,US-9W
120N11202,366,60.161,25.718,"{4,33,70,79,103}",22019,61488,302.760,638.619,"{100,145,167,265,12723}",5979,2.196,42.3939,-73.8293,Greene,US-9W
120N11203,366,54.421,26.228,"{4,22,66,74,99}",19918,61488,287.866,709.559,"{69,117,140,183,8427}",6040,1.455,42.4476,-73.8145,Greene,US-9W
120N12181,366,54.008,21.547,"{2,34,61,70,93}",19767,61488,117.570,214.084,"{69,96,102,114,9005}",13350,1.555,42.2385,-73.8855,Greene,RT-23
120N12185,366,49.281,20.038,"{4,30,56,64,83}",18037,61488,142.377,352.255,"{69,94,102,122,8809}",10400,1.521,42.2749,-73.959,Greene,RT-23
120N12186,366,30.883,12.615,"{1,21,34,40,55}",11303,61488,104.956,283.530,"{30,44,53,76,3654}",10400,0.631,42.29,-73.9804,Greene,RT-23
120N14365,366,39.396,19.068,"{2,21,43,53,104}",14419,61488,311.061,674.717,"{86,138,160,234,7850}",7286,1.355,42.2247,-73.8693,Greene,Main St
120N14366,366,55.372,20.928,"{7,36,63,71,91}",20266,61488,88.353,224.885,"{26,45,52,67,2856}",12060,0.493,42.2385,-73.8873,Greene,Jefferson HTS
120N14367,366,26.495,11.043,"{2,19,28,34,60}",9697,61488,393.184,784.417,"{77,138,218,348,6969}",8967,1.203,42.2455,-73.8861,Greene,CR-23B
120N14368,153,8.640,4.835,"{1,4,9,12,25}",1296,25704,268.017,652.424,"{55,80,109,185,5542}",,0.957,42.2554,-73.9023,Greene,Mohican Trl
120N14370,153,8.199,4.794,"{1,5,8,11,30}",1197,25704,246.708,584.476,"{86,116,129,157,8316}",,1.436,42.2647,-73.9349,Greene,Mohican Trl
120N14371,366,8.980,5.094,"{1,5,8,12,29}",3152,61488,526.807,1259.710,"{91,134,170,333,8912}",1940,1.539,42.277,-73.9569,Greene,CR-23B
120N14372,366,9.526,5.157,"{1,5,9,13,24}",3439,61488,123.452,282.971,"{28,52,61,93,3069}",,0.530,42.29,-73.9804,Greene,Main St
120N27986,366,53.096,21.196,"{6,32,60,70,93}",19433,61488,74.475,129.276,"{17,42,50,67,1996}",14273,0.345,42.2245,-73.8548,Greene,Bridge Appr
120N29800,153,15.453,7.460,"{2,11,15,22,39}",2318,25704,961.750,2321.399,"{237,399,489,665,23956}",,4.136,42.4261,-73.8173,Greene,RT-144
120P05834,366,160.448,11.393,"{82,154,166,168,168}",58724,61488,155.249,32.331,"{112,148,155,160,2679}",37639,2.811,42.4268,-73.805,Greene,I-87
120P06208,366,167.486,2.069,"{141,168,168,168,168}",61300,61488,704.792,99.490,"{539,675,705,727,14861}",34782,12.828,42.2479,-73.887,Greene,I-87
120P06209,366,166.945,2.988,"{130,167,168,168,168}",61102,61488,568.562,274.314,"{416,546,570,586,60513}",35902,10.447,42.3896,-73.8262,Greene,I-87
120P06210,366,159.557,11.926,"{81,152,166,167,168}",58398,61488,135.634,102.062,"{96,128,134,138,14078}",37639,2.419,42.4622,-73.8078,Greene,I-87
120P07935,366,58.921,23.040,"{9,36,66,77,104}",21565,61488,85.931,253.515,"{30,47,53,63,3497}",12183,0.604,42.2303,-73.8676,Greene,RT-23
120P07936,366,55.986,22.306,"{8,36,63,73,95}",20491,61488,81.893,163.790,"{26,46,53,68,2449}",14273,0.423,42.2266,-73.861,Greene,Bridge Appr
120P08313,153,30.775,18.184,"{1,9,35,44,70}",4647,25704,412.312,814.022,"{127,178,211,308,13870}",,2.394,42.2139,-73.8882,Greene,W Bridge St
120P08314,153,58.216,23.033,"{2,35,68,75,91}",8907,25704,177.954,328.871,"{44,85,109,152,3204}",,0.553,42.2154,-73.8777,Greene,Maple Ave
120P08315,366,61.238,25.820,"{2,35,72,81,104}",22413,61488,202.219,410.679,"{75,134,152,175,7966}",5491,1.375,42.2283,-73.8698,Greene,US-9W
120P08316,366,38.767,18.754,"{2,20,44,54,70}",14150,61488,229.184,608.630,"{96,129,141,164,11266}",6074,1.945,42.2601,-73.8582,Greene,US-9W
120P08317,153,41.268,19.980,"{2,21,49,55,76}",6314,25704,223.618,576.128,"{104,139,148,166,12748}",,2.201,42.2915,-73.8529,Greene,US-9W
120P08319,153,43.176,21.091,"{3,20,52,59,72}",6606,25704,203.463,551.410,"{60,79,98,133,6353}",,1.097,42.3631,-73.8317,Greene,US-9W
120P08321,366,52.222,24.984,"{4,24,62,71,126}",19061,61488,268.134,820.226,"{103,139,153,189,12411}",5979,2.143,42.4244,-73.818,Greene,US-9W
120P08322,366,49.885,24.459,"{3,20,60,68,107}",18158,61488,311.843,782.353,"{80,123,156,223,8511}",6040,1.469,42.4681,-73.8162,Greene,US-9W
120P11200,153,30.428,15.133,"{2,15,35,41,55}",4625,25704,664.298,1699.237,"{230,354,427,544,25776}",,4.450,42.1839,-73.91,Greene,US-9W
120P11202,366,76.101,27.832,"{5,48,88,97,119}",27853,61488,280.265,642.065,"{107,172,194,233,12905}",5299,2.228,42.3939,-73.8293,Greene,US-9W
120P11203,366,37.587,19.359,"{1,16,44,52,89}",13644,61488,154.281,428.396,"{80,105,111,119,9524}",5366,1.644,42.4476,-73.8145,Greene,US-9W
120P12181,366,66.596,24.976,"{12,40,77,86,101}",24374,61488,91.510,131.134,"{57,79,85,92,7368}",2645,1.272,42.2385,-73.8855,Greene,RT-23
120P12185,366,51.273,21.968,"{2,31,59,68,92}",18766,61488,124.958,306.506,"{63,88,94,104,8518}",,1.471,42.2749,-73.959,Greene,RT-23
120P12186,366,49.934,21.582,"{1,31,56,66,92}",18276,61488,155.670,377.771,"{64,95,105,130,8821}",,1.523,42.29,-73.9804,Greene,RT-23
120P14365,366,5.587,2.995,"{1,3,6,8,14}",1905,61488,27.304,36.969,"{10,17,19,26,849}",5997,0.147,42.2247,-73.8693,Greene,Main St
120P14366,366,50.339,22.332,"{2,30,56,66,110}",18424,61488,321.801,605.284,"{79,149,197,307,7976}",7286,1.377,42.2385,-73.8873,Greene,Jefferson HTS
120P14367,366,49.604,17.638,"{2,32,55,63,92}",18155,61488,62.004,128.492,"{21,35,41,54,2163}",8967,0.373,42.2455,-73.8861,Greene,CR-23B
120P14368,153,17.717,8.799,"{1,9,19,24,41}",2693,25704,414.466,918.905,"{77,113,136,242,6688}",,1.155,42.2554,-73.9023,Greene,Mohican Trl
120P14369,153,8.807,5.001,"{1,5,9,12,24}",1321,25704,266.376,685.669,"{58,80,106,198,5542}",,0.957,42.2604,-73.9197,Greene,Mohican Trl
120P14371,153,8.007,4.131,"{1,5,8,11,18}",1161,25704,285.876,834.626,"{85,112,124,146,8316}",,1.436,42.277,-73.9569,Greene,CR-23B
120P14372,366,9.263,5.140,"{1,5,9,13,27}",3270,61488,388.806,777.836,"{85,134,171,345,8962}",1940,1.547,42.29,-73.9804,Greene,Main St
120P14373,153,10.576,5.748,"{1,5,12,15,25}",1597,25704,128.903,301.124,"{37,55,68,102,3019}",,0.521,42.2934,-73.989,Greene,Main St
120P25354,366,15.629,9.029,"{1,8,16,21,64}",5642,61488,908.180,2152.102,"{247,386,490,725,23911}",2690,4.128,42.4748,-73.7928,Greene,Main St
120P50498,366,18.956,7.069,"{1,14,20,24,36}",6938,61488,27.978,34.721,"{11,21,25,31,1514}",34165,0.261,42.2479,-73.887,Greene,CR-23B
120P50500,366,33.918,14.579,"{3,19,39,46,64}",12414,61488,53.450,78.359,"{23,44,50,57,3001}",,0.518,42.2494,-73.8828,Greene,CR-23B
120P50502,366,62.079,22.654,"{7,39,71,79,98}",22721,61488,105.088,194.029,"{20,52,65,91,2121}",,0.366,42.2494,-73.8828,Greene,CR-23B
120P50504,366,58.331,20.521,"{3,38,65,74,90}",21349,61488,76.403,130.644,"{19,49,57,69,2140}",,0.369,42.2458,-73.8862,Greene,I-87
120P50506,366,15.038,6.475,"{1,10,15,20,34}",5504,61488,16.216,20.760,"{9,14,15,17,1028}",,0.177,42.2493,-73.8826,Greene,I-87 Northbound
120P50508,366,33.038,12.005,"{3,22,37,42,59}",12092,61488,56.309,29.196,"{19,49,55,61,2788}",,0.481,42.2493,-73.8826,Greene,I-87 Southbound
