tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N07947,366,1.346,0.704,"{1,1,1,1,4}",140,61488,6.721,13.007,"{1,2,3,4,68}",1543,0.012,43.857,-74.4311,Hamilton,RT-28
120N07948,153,24.837,12.301,"{1,17,25,32,64}",3800,25704,936.220,2585.096,"{329,421,484,805,39160}",,6.761,43.7825,-74.2654,Hamilton,E Main St
120N08024,366,30.274,13.738,"{4,20,30,38,72}",11050,61488,1193.171,3336.955,"{286,410,484,758,36750}",1461,6.345,43.5014,-74.3647,Hamilton,RT-8
120N08025,153,15.772,8.836,"{1,10,14,20,42}",2350,25704,797.603,2524.776,"{263,381,434,745,34250}",,5.913,43.4455,-74.2526,Hamilton,RT-8
120N08153,364,2.669,1.933,"{1,1,2,4,12}",750,61152,25.751,15.616,"{14,18,19,29,139}",1647,0.288,43.2528,-74.221,Hamilton,RT-30
120N08154,366,12.504,7.253,"{1,7,11,16,48}",4564,61488,269.498,516.824,"{151,205,218,241,19728}",1584,3.406,43.4455,-74.2526,Hamilton,RT-30
120N08155,366,11.623,10.406,"{1,5,9,15,71}",4010,61488,1286.690,3506.874,"{338,526,580,748,47877}",519,8.265,43.5014,-74.3641,Hamilton,RT-30
120N08156,366,15.964,9.416,"{1,9,14,21,50}",5811,61488,400.029,960.740,"{105,182,233,319,12110}",1561,2.091,43.7825,-74.2654,Hamilton,Sabael Rd
120N08157,366,26.204,13.987,"{1,16,24,34,82}",9512,61488,978.924,2528.218,"{383,559,639,930,43898}",1543,7.579,43.8572,-74.4311,Hamilton,RT-30
120N09551,365,1.259,0.543,"{1,1,1,1,3}",146,61320,3.158,4.151,"{1,2,2,3,44}",1543,0.008,43.9685,-74.4186,Hamilton,RT-28N
120N11689,366,9.077,5.639,"{1,5,8,12,35}",3177,61488,250.047,105.772,"{158,203,216,237,3244}",1647,3.361,43.2556,-74.2253,Hamilton,RT-30
120N11690,366,14.264,9.666,"{1,7,12,18,61}",5078,61488,838.488,2082.209,"{362,511,571,800,45998}",1647,7.941,43.3008,-74.2416,Hamilton,RT-30
120N11691,366,18.632,10.881,"{1,10,18,24,55}",6633,61488,966.924,2642.715,"{230,328,441,582,26200}",1036,4.523,43.3905,-74.2894,Hamilton,Main St
120N11692,366,25.773,12.237,"{2,17,25,33,75}",9433,61488,918.823,2439.956,"{270,398,469,691,36379}",1932,6.280,43.4884,-74.2733,Hamilton,RT-30
120N11693,366,12.545,12.015,"{1,4,9,15,71}",4140,61488,970.503,875.606,"{499,673,739,1237,29698}",583,10.254,43.6037,-74.4205,Hamilton,RT-30
120N11694,366,12.887,9.863,"{1,6,10,16,58}",4562,61488,831.021,1735.692,"{271,418,524,732,31124}",647,5.373,43.7178,-74.3139,Hamilton,Sabael Rd
120N11695,366,26.635,15.207,"{1,16,24,34,85}",9695,61488,1262.000,3795.329,"{430,629,709,1079,52848}",1561,9.124,43.7846,-74.3037,Hamilton,W Main St
120N11696,366,15.137,7.486,"{1,10,14,20,44}",5510,61488,494.099,1444.533,"{171,234,270,377,17518}",1543,3.024,43.9382,-74.4604,Hamilton,RT-30
120N11697,366,34.126,15.123,"{2,23,35,44,81}",12456,61488,1408.182,3831.176,"{328,461,710,1037,40950}",1576,7.070,43.9685,-74.4187,Hamilton,Lake St
120N11698,366,23.702,11.655,"{1,15,24,30,64}",8604,61488,505.702,552.109,"{257,361,392,514,34435}",1449,5.945,44.0338,-74.5154,Hamilton,RT-30
120N12495,153,31.238,15.594,"{1,20,32,41,77}",4717,25704,1099.500,2760.048,"{515,669,733,1043,61536}",,10.624,43.7671,-74.142,Hamilton,RT-28
120N12503,366,15.586,10.413,"{1,8,14,22,59}",5502,61488,2430.800,6653.355,"{701,976,1269,1771,76139}",1348,13.145,43.8085,-74.655,Hamilton,RT-28
120N12563,366,30.041,13.906,"{1,20,28,39,69}",10995,61488,1274.313,3990.609,"{347,606,668,786,51073}",2186,8.817,43.4283,-74.4971,Hamilton,RT-8
120N12564,366,16.283,8.276,"{1,10,15,21,51}",5927,61488,284.000,524.866,"{151,208,224,267,19728}",1584,3.406,43.4884,-74.2733,Hamilton,RT-8
120N12923,366,25.784,14.214,"{2,15,27,35,74}",9411,61488,1760.956,5386.061,"{466,651,762,1240,58267}",1086,10.059,43.9713,-74.2347,Hamilton,Roosevelt-Marcy Trl
120N13408,153,6.577,3.853,"{1,3,6,9,18}",855,25704,1296.250,4649.136,"{519,621,668,742,53441}",,9.226,43.7442,-74.7716,Hamilton,RT-28
120P07947,366,15.110,10.378,"{1,8,13,21,57}",5364,61488,2523.484,7277.465,"{663,973,1292,1804,76207}",1446,13.156,43.857,-74.4311,Hamilton,RT-28
120P07948,153,2.566,1.904,"{1,1,2,3,11}",331,25704,12.036,23.610,"{2,5,7,10,214}",,0.037,43.7825,-74.2654,Hamilton,E Main St
120P07949,153,27.322,14.220,"{1,18,27,35,69}",4153,25704,1217.045,3470.559,"{476,662,721,1161,61536}",,10.624,43.6971,-73.9887,Hamilton,RT-28
120P08024,366,25.500,12.480,"{2,17,26,34,65}",9333,61488,1405.210,4422.897,"{388,610,684,814,51267}",2186,8.851,43.5014,-74.3647,Hamilton,RT-8
120P08025,366,12.504,7.253,"{1,7,11,16,48}",4564,61488,269.498,516.824,"{151,205,218,241,19728}",1584,3.406,43.4455,-74.2526,Hamilton,RT-8
120P08154,366,18.896,10.896,"{1,11,19,25,56}",6916,61488,1176.917,3546.882,"{202,330,444,593,26200}",1036,4.523,43.4455,-74.2526,Hamilton,RT-30
120P08155,366,29.718,13.656,"{3,19,29,38,72}",10847,61488,1125.088,3197.235,"{285,406,474,730,36568}",1461,6.313,43.5014,-74.3641,Hamilton,RT-30
120P08156,366,13.476,10.395,"{1,6,11,17,59}",4784,61488,1086.933,2890.440,"{273,421,516,747,31124}",647,5.373,43.7825,-74.2654,Hamilton,Sabael Rd
120P08157,366,27.934,14.963,"{2,17,26,37,80}",10196,61488,1036.647,2391.648,"{410,620,687,921,52490}",1561,9.062,43.8572,-74.4311,Hamilton,RT-30
