tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06254,366,166.896,3.368,"{124,167,168,168,168}",61084,61488,508.578,59.117,"{372,487,509,526,8624}",21723,8.933,43.0169,-74.8139,Herkimer,I-90
120N06255,366,167.342,2.694,"{125,168,168,168,168}",61247,61488,639.283,239.089,"{476,604,627,644,21808}",22056,11.295,43.018,-74.9858,Herkimer,I-90
120N06256,366,68.880,13.051,"{18,61,70,77,110}",25210,61488,8.370,7.374,"{5,7,8,8,406}",22389,0.140,43.1045,-75.1676,Herkimer,I-90
120N08331,366,33.235,16.380,"{2,17,38,45,79}",12164,61488,456.295,1622.673,"{135,223,238,266,20114}",5909,3.473,43.0919,-75.1338,Herkimer,RT-5
120N08333,366,35.405,16.389,"{1,19,40,47,71}",12923,61488,966.240,3069.973,"{158,222,239,287,20178}",5669,3.484,43.0588,-75.0828,Herkimer,RT-5
120N08335,366,34.257,15.844,"{4,17,39,45,76}",12538,61488,124.161,333.992,"{57,84,91,105,7555}",10403,1.304,43.0239,-75.0338,Herkimer,RT-5
120N08336,366,46.751,22.925,"{3,21,56,64,87}",17111,61488,302.710,632.798,"{163,214,229,255,18857}",8016,3.256,43.0286,-74.9574,Herkimer,RT-5
120N08337,366,43.134,20.997,"{2,20,51,59,85}",15787,61488,325.704,856.273,"{104,174,203,245,11981}",7704,2.068,43.0233,-74.8942,Herkimer,RT-5
120N08338,366,17.055,7.904,"{1,10,18,23,38}",6225,61488,77.756,197.578,"{22,32,41,61,2484}",,0.429,43.0426,-74.8467,Herkimer,RT-5
120N08339,366,27.888,13.594,"{3,15,30,37,73}",10207,61488,504.431,1380.227,"{231,345,364,403,32396}",2890,5.593,43.0388,-74.8396,Herkimer,RT-5
120N09686,153,12.817,7.360,"{1,8,12,16,36}",1961,25704,500.158,1421.885,"{166,237,280,402,19395}",,3.348,42.8885,-75.1377,Herkimer,RT-51
120N09687,366,16.932,7.931,"{1,10,18,23,35}",6197,61488,79.389,136.036,"{14,29,41,65,1033}",13233,0.178,43.0163,-75.035,Herkimer,Otsego St/Central Ave
120N09688,366,13.847,6.812,"{1,8,15,19,42}",5054,61488,64.155,162.563,"{20,36,52,63,3565}",6762,0.345,43.0216,-75.03,Herkimer,Central Ave
120N09811,366,11.227,5.753,"{1,6,11,15,28}",4109,61488,33.518,70.406,"{12,17,22,30,1228}",,0.212,43.0427,-74.8502,Herkimer,RT-167
120N09812,366,25.421,11.868,"{3,14,27,34,53}",9304,61488,262.880,558.881,"{113,168,186,227,14318}",3988,2.472,43.0388,-74.8396,Herkimer,RT-167
120N09814,366,19.172,9.188,"{1,10,21,26,44}",7017,61488,148.502,302.906,"{42,64,75,113,2929}",7974,0.506,43.0114,-75.0042,Herkimer,Columbia St
120N09815,366,18.185,9.363,"{1,8,20,25,43}",6583,61488,190.859,388.156,"{34,62,85,161,3937}",5253,0.680,43.0274,-74.9809,Herkimer,Don Reile Blvd
120N09816,153,14.007,6.828,"{1,8,15,18,32}",2129,25704,379.155,963.573,"{86,130,159,212,9749}",,1.683,43.139,-74.9693,Herkimer,Bridge St
120N09817,153,13.080,6.203,"{2,8,13,18,30}",1962,25704,129.927,259.885,"{50,79,89,104,4262}",,0.736,43.2258,-75.061,Herkimer,Main St
120N09955,366,12.970,6.204,"{1,8,13,17,32}",4747,61488,91.454,205.973,"{26,43,48,60,2297}",3554,0.397,42.8852,-75.1934,Herkimer,Main St
120N09956,366,24.005,10.550,"{2,14,26,32,54}",8786,61488,258.687,741.059,"{70,114,137,171,8476}",4273,1.463,42.8886,-75.165,Herkimer,US-20
120N09957,366,17.746,7.695,"{1,11,19,23,40}",6495,61488,109.980,316.873,"{48,66,71,80,5896}",4273,1.018,42.8887,-75.145,Herkimer,US-20
120N09958,366,8.420,4.436,"{1,5,8,11,31}",3065,61488,40.606,69.488,"{19,25,27,33,2141}",4273,0.370,42.8885,-75.1377,Herkimer,US-20
120N11868,153,5.143,3.006,"{1,3,5,7,16}",720,25704,479.867,1074.390,"{178,263,301,387,19742}",,3.408,42.961,-74.9038,Herkimer,RT-167
120N11869,366,5.567,3.410,"{1,3,5,8,20}",1904,61488,257.905,682.814,"{105,161,187,221,13061}",1210,2.255,42.9871,-74.8696,Herkimer,RT-167
120N11870,366,23.745,11.135,"{2,12,27,33,46}",8667,61488,214.315,308.379,"{85,143,166,210,11986}",2821,2.069,43.0168,-74.8784,Herkimer,RT-167
120N11871,366,34.566,15.870,"{4,17,40,46,74}",12651,61488,189.480,453.289,"{46,74,98,153,4528}",4062,0.782,43.0412,-74.8606,Herkimer,RT-167
120N11872,366,16.913,9.223,"{1,8,18,23,45}",6190,61488,205.230,556.558,"{101,134,144,163,12364}",3077,2.135,43.0479,-74.7944,Herkimer,RT-167
120N11904,366,37.549,14.394,"{2,25,41,48,74}",13743,61488,292.955,799.350,"{102,137,151,198,12499}",3751,2.158,42.8588,-74.9995,Herkimer,W Main St
120N11905,153,33.980,12.834,"{8,22,37,44,66}",5199,25704,158.014,296.590,"{103,131,137,149,12343}",,2.131,42.8896,-75.0023,Herkimer,RT-28
120N11907,153,50.046,18.418,"{9,31,56,64,83}",7657,25704,300.867,390.166,"{165,224,254,316,18276}",,3.155,42.9498,-75.0135,Herkimer,RT-28
120N11908,366,26.066,10.373,"{2,17,28,34,47}",9540,61488,79.338,121.748,"{30,54,65,85,4187}",5143,0.723,42.992,-75.0092,Herkimer,RT-28
120N11909,366,36.667,14.015,"{4,24,41,47,66}",13420,61488,158.532,355.864,"{41,76,89,114,3746}",7908,0.647,43.0023,-75.0077,Herkimer,Columbia St
120N11910,366,27.579,11.986,"{1,16,31,36,61}",10094,61488,51.656,95.164,"{15,26,32,47,1119}",15515,0.193,43.0144,-74.9953,Herkimer,E Main St/Old NY-5S
120N11911,366,50.776,20.853,"{6,29,58,65,97}",18584,61488,154.423,289.868,"{35,65,84,125,2562}",8560,0.442,43.0169,-74.9939,Herkimer,Mohawk St
120N11912,366,61.268,26.377,"{4,33,73,81,100}",22424,61488,213.101,399.123,"{46,90,118,176,4055}",18546,0.700,43.0225,-74.993,Herkimer,S Caroline St
120N11913,366,14.446,7.159,"{1,9,15,19,34}",5244,61488,116.189,302.145,"{41,61,68,87,5024}",4769,0.867,43.0365,-74.9861,Herkimer,Don Reile Blvd/Middleville Rd
120N11914,366,13.599,6.852,"{1,8,14,18,37}",4950,61488,126.770,288.131,"{68,90,95,105,8397}",4285,1.450,43.0489,-74.9857,Herkimer,Middleville Rd
120N11915,153,27.546,12.318,"{3,18,30,36,63}",4187,25704,727.607,1871.804,"{238,340,404,579,29721}",,5.131,43.0694,-74.9914,Herkimer,Middleville Rd
120N11916,153,19.007,8.752,"{2,11,21,25,40}",2908,25704,404.739,944.657,"{177,232,265,331,17556}",,3.031,43.1594,-74.9872,Herkimer,RT-28
120N11917,153,19.281,9.289,"{1,12,21,25,49}",2950,25704,657.308,1771.702,"{171,244,287,380,19513}",,3.369,43.1909,-75.0183,Herkimer,Main St
120N11918,153,1.978,1.317,"{1,1,2,2,8}",180,25704,3.433,8.638,"{1,2,3,3,117}",,0.020,43.2304,-75.0734,Herkimer,N Main St
120N12020,366,27.973,11.679,"{3,18,29,36,65}",10238,61488,203.970,322.320,"{116,154,165,187,13874}",2386,2.395,42.8377,-74.87,Herkimer,US-20
120N12021,366,23.746,9.604,"{1,16,25,31,52}",8691,61488,142.325,353.392,"{79,102,110,121,9055}",2347,1.563,42.8462,-74.9156,Herkimer,US-20
120N12022,366,19.210,7.895,"{1,13,19,25,45}",7031,61488,93.519,198.556,"{51,66,71,79,5998}",3098,1.035,42.8494,-74.9459,Herkimer,US-20
120N12025,365,2.850,1.712,"{1,2,2,4,10}",915,61320,4.787,10.089,"{2,4,4,5,281}",3554,0.048,42.8844,-75.2011,Herkimer,US-20
120N12240,366,10.025,5.828,"{1,6,9,13,38}",3649,61488,577.456,1305.910,"{84,145,202,358,9307}",2022,1.607,42.8621,-75.1915,Herkimer,RT-51
120N12241,366,27.896,11.354,"{4,19,30,36,56}",10210,61488,295.182,908.103,"{76,123,151,186,8933}",4273,1.542,42.8852,-75.1934,Herkimer,South St
120N12242,366,20.183,7.964,"{2,14,22,26,41}",7387,61488,83.642,155.643,"{46,62,66,73,5439}",4273,0.939,42.8888,-75.1635,Herkimer,RT-51
120N12243,366,10.623,5.051,"{1,7,10,14,33}",3888,61488,50.632,138.774,"{20,25,27,34,2141}",4273,0.370,42.8887,-75.145,Herkimer,RT-51
120N12245,153,8.349,4.609,"{1,5,8,11,22}",1269,25704,207.353,461.547,"{47,68,79,120,3646}",,0.629,42.998,-75.0511,Herkimer,RT-51
120N12246,153,24.065,9.794,"{4,15,26,32,47}",3682,25704,276.251,561.507,"{72,117,136,184,5262}",,0.908,43.0051,-75.0441,Herkimer,Otsego St
120N12256,153,6.706,3.483,"{1,4,6,9,16}",1026,25704,198.429,529.391,"{79,108,123,144,5956}",,1.028,42.8913,-74.8366,Herkimer,RT-80
120N12511,366,31.858,15.013,"{1,17,37,43,58}",11660,61488,253.422,753.052,"{47,91,103,136,6249}",9808,1.079,43.1077,-75.1681,Herkimer,RT-5
120N12512,366,21.359,10.509,"{2,11,24,30,47}",7796,61488,150.076,402.575,"{45,74,81,103,5704}",5909,0.985,43.0983,-75.1511,Herkimer,RT-5
120N12513,366,37.746,15.161,"{3,24,43,49,65}",13815,61488,196.053,506.018,"{45,71,90,147,5641}",7936,0.974,43.0174,-75.0102,Herkimer,RT-5
120N12514,366,61.268,26.377,"{4,33,73,81,100}",22424,61488,213.101,399.123,"{46,90,118,176,4055}",18546,0.700,43.0225,-74.993,Herkimer,W State St
120N12515,366,46.623,22.872,"{3,19,56,63,81}",17064,61488,174.697,417.608,"{65,95,114,145,7100}",11296,1.226,43.0274,-74.9809,Herkimer,E State St
120N12516,366,35.377,16.230,"{5,18,41,48,78}",12948,61488,167.887,443.240,"{50,80,94,125,5125}",,0.885,43.0414,-74.8634,Herkimer,RT-5
120N13321,366,16.437,7.947,"{1,11,17,22,40}",6016,61488,62.896,125.581,"{16,31,36,48,1546}",9411,0.267,43.0184,-75.033,Herkimer,Central Ave
120N13389,366,17.055,7.904,"{1,10,18,23,38}",6225,61488,77.756,197.578,"{22,32,41,61,2484}",,0.429,43.0426,-74.8467,Herkimer,RT-167
120N13799,366,17.793,8.620,"{1,11,19,24,44}",6459,61488,429.036,1084.985,"{198,264,294,383,23743}",2134,4.099,42.9905,-74.751,Herkimer,RT-5S
120N13800,366,10.777,6.884,"{1,6,11,14,62}",3826,61488,329.730,603.120,"{147,195,217,307,17801}",1754,3.073,43.0211,-74.8193,Herkimer,RT-5S
120N13801,366,43.344,20.006,"{3,22,50,59,85}",15864,61488,698.129,2328.425,"{232,348,372,418,30604}",3543,5.283,43.0168,-74.8784,Herkimer,RT-5S
120N13802,366,23.260,11.969,"{1,11,27,32,64}",8490,61488,103.663,237.289,"{47,61,68,86,5225}",8001,0.902,43.0168,-74.9787,Herkimer,RT-5S
120N13803,366,37.844,15.944,"{3,21,42,50,74}",13851,61488,79.916,177.220,"{20,33,41,63,2344}",10898,0.405,43.0144,-74.9953,Herkimer,RT-5S
120N13804,366,46.601,21.571,"{6,20,55,63,85}",17056,61488,124.137,381.174,"{62,83,89,102,7542}",10848,1.302,43.0143,-75.0042,Herkimer,RT-5S
120N13805,366,43.161,19.963,"{5,20,51,59,76}",15797,61488,81.770,89.283,"{55,73,77,81,6912}",12738,1.193,43.0175,-75.0275,Herkimer,RT-5S
120N13806,366,58.358,26.582,"{6,26,71,78,98}",21359,61488,150.543,240.694,"{98,134,140,146,13261}",8044,2.289,43.0225,-75.0488,Herkimer,RT-5S
120N13807,153,81.085,31.607,"{17,46,97,104,121}",12406,25704,328.056,305.014,"{218,297,309,324,29332}",,5.064,43.0363,-75.0831,Herkimer,RT-5S
120N13808,153,47.961,20.936,"{7,25,57,63,81}",7338,25704,88.826,48.035,"{62,79,83,87,2623}",,1.359,43.084,-75.1579,Herkimer,RT-5S
120N13880,153,10.066,6.425,"{1,5,10,13,45}",1520,25704,213.216,602.828,"{88,112,126,158,10084}",,1.741,43.2307,-75.0883,Herkimer,Creek Rd
120N13881,153,6.359,3.567,"{1,3,6,9,15}",922,25704,98.121,251.070,"{57,70,74,81,6718}",,1.160,43.2444,-75.1162,Herkimer,Creek Rd
120N14051,366,25.691,12.821,"{2,13,27,34,79}",9403,61488,293.494,650.326,"{46,117,161,237,8674}",,1.024,43.0169,-74.8139,Herkimer,RT-169
120N14052,366,21.746,10.898,"{2,10,24,29,55}",7959,61488,167.312,322.570,"{88,119,130,153,10992}",2250,1.898,43.0255,-74.8206,Herkimer,RT-169
120N14053,366,9.834,5.246,"{1,6,10,13,30}",3560,61488,23.291,27.874,"{10,17,20,25,1277}",8944,0.220,43.0421,-74.8463,Herkimer,RT-169
120N14054,366,17.006,8.705,"{1,9,19,24,35}",6156,61488,290.532,514.196,"{44,97,141,222,3106}",1832,0.536,43.0428,-74.8503,Herkimer,E Main St
120N14055,366,16.199,8.364,"{1,9,17,23,42}",5929,61488,535.421,1069.767,"{94,204,272,428,8983}",2795,1.551,43.0433,-74.8596,Herkimer,RT-169
120N14056,153,6.884,3.811,"{1,4,7,9,16}",1012,25704,226.201,489.210,"{53,72,84,138,6230}",,1.076,43.0558,-74.8809,Herkimer,RT-169
120N14057,153,8.338,4.576,"{1,5,8,11,23}",1234,25704,569.405,1993.201,"{192,257,283,324,22653}",,3.911,43.0662,-74.8967,Herkimer,RT-169
120N14058,153,8.490,4.538,"{1,5,8,11,26}",1248,25704,549.317,1524.375,"{160,221,264,361,16608}",,2.867,43.1022,-74.9495,Herkimer,RT-169
120N14059,149,1.333,0.582,"{1,1,1,2,3}",92,25032,4.750,3.063,"{2,3,4,6,25}",,0.017,43.1388,-74.9692,Herkimer,S Main St
120N17008,366,16.538,7.180,"{1,12,18,21,36}",6053,61488,54.047,99.791,"{12,22,28,46,915}",5403,0.158,43.0114,-75.0042,Herkimer,Warren St
