tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05008,366,120.530,27.681,"{28,93,135,141,151}",44114,61488,152.345,109.373,"{109,142,149,154,15566}",,2.687,43.6833,-76.0728,Jefferson,I-81
104N05009,366,107.322,27.321,"{30,79,120,128,144}",39280,61488,93.745,135.717,"{59,81,85,88,8791}",,1.518,43.7113,-76.0755,Jefferson,I-81
104N05010,366,138.653,24.675,"{43,115,152,156,166}",50747,61488,339.979,312.875,"{237,316,331,341,34458}",,5.949,43.7346,-76.0744,Jefferson,I-81
104N05011,366,127.751,27.001,"{42,100,142,147,163}",46757,61488,211.659,201.807,"{148,196,206,213,21388}",,3.692,43.8118,-76.0341,Jefferson,I-81
104N05012,366,100.366,27.563,"{24,70,114,121,141}",36734,61488,85.316,80.564,"{57,79,83,87,8529}",,1.472,43.8649,-76.0158,Jefferson,I-81
104N05013,366,114.842,28.715,"{30,86,129,135,154}",42032,61488,139.355,170.276,"{91,125,131,138,13501}",,2.331,43.8848,-76.0018,Jefferson,I-81
104N05014,366,123.374,27.905,"{34,96,137,143,158}",45155,61488,257.013,287.944,"{176,235,245,254,25498}",,4.402,43.9114,-75.9781,Jefferson,I-81
104N05015,366,86.790,25.114,"{24,62,98,105,122}",31765,61488,65.299,67.286,"{44,59,62,65,6314}",,1.090,43.9732,-75.9484,Jefferson,I-81
104N05016,366,94.320,27.121,"{21,65,107,114,139}",34521,61488,88.897,126.701,"{61,81,84,88,8556}",,1.477,43.9869,-75.9455,Jefferson,I-81
104N05017,366,105.937,28.181,"{27,78,119,127,144}",38773,61488,152.716,157.063,"{104,139,145,153,14759}",,2.548,44.0001,-75.923,Jefferson,I-81
104N05018,366,50.060,15.684,"{14,36,55,62,89}",18322,61488,39.996,51.784,"{25,34,36,41,3502}",,0.604,44.0323,-75.9153,Jefferson,I-81
104N05019,366,98.352,26.158,"{13,76,107,118,153}",35997,61488,534.738,410.106,"{354,488,502,526,50724}",,8.757,44.1881,-75.8787,Jefferson,I-81
104N05020,366,31.852,12.377,"{2,22,34,41,70}",11658,61488,64.301,154.138,"{32,45,50,58,3877}",,0.669,44.289,-75.9706,Jefferson,I-81
104N05021,366,49.902,18.719,"{2,33,55,63,95}",18264,61488,260.050,467.591,"{137,192,207,236,18865}",,3.257,44.3097,-75.9942,Jefferson,I-81
104N05022,366,32.907,13.384,"{3,23,33,43,72}",12044,61488,618.755,916.259,"{39,109,179,896,4482}",,0.774,44.3387,-75.983,Jefferson,I-81
104N05023,366,12.715,5.644,"{1,8,13,17,27}",4641,61488,6.862,13.416,"{1,3,4,4,108}",,0.019,44.3471,-75.983,Jefferson,I-81
104N05894,366,52.396,17.077,"{6,41,54,64,97}",19177,61488,1135.966,2710.314,"{214,428,621,920,31473}",6506,5.434,43.9572,-76.0576,Jefferson,RT-3
104N05895,366,76.806,18.807,"{19,65,81,90,114}",28111,61488,286.882,637.812,"{64,126,156,218,5917}",19624,1.021,43.9752,-75.9517,Jefferson,RT-3
104N05896,366,24.964,9.208,"{3,18,26,31,50}",9137,61488,144.267,251.323,"{25,49,70,112,1572}",11652,0.271,43.9765,-75.9169,Jefferson,Arsenal St
104N05903,366,27.120,10.739,"{5,17,29,35,52}",9926,61488,84.465,157.984,"{17,41,48,71,2020}",11396,0.349,43.9656,-75.875,Jefferson,Gifford St
104N05904,366,80.342,23.768,"{13,63,89,97,124}",29405,61488,439.621,888.103,"{111,200,243,331,8317}",12506,1.428,43.9674,-75.8816,Jefferson,State St
104N05905,366,20.344,7.824,"{2,15,22,26,39}",7446,61488,40.464,74.972,"{7,17,22,31,586}",13179,0.101,43.9744,-75.9083,Jefferson,State St/Public Sq
104N05906,366,70.492,24.510,"{12,50,76,89,117}",25800,61488,259.595,491.145,"{59,114,148,210,3986}",16326,0.688,43.975,-75.9109,Jefferson,Court St
104N05907,366,23.224,11.846,"{1,11,26,32,47}",8500,61488,84.004,169.812,"{19,33,43,68,1389}",11276,0.240,43.9814,-75.9138,Jefferson,Court St Brg
104N05908,366,17.115,6.191,"{2,13,17,21,42}",6264,61488,55.397,98.956,"{7,14,20,36,463}",11652,0.080,43.9752,-75.9117,Jefferson,Arsenal St
104N05909,366,29.932,13.405,"{4,18,32,40,62}",10955,61488,163.458,325.758,"{45,72,86,139,3685}",9863,0.636,43.9674,-75.8816,Jefferson,Eastern Blvd
104N05910,366,23.626,12.074,"{1,13,24,32,63}",8647,61488,290.887,654.035,"{97,139,161,211,10552}",5361,1.822,44.034,-75.7189,Jefferson,RT-3
104N05911,366,6.125,4.030,"{1,3,5,8,23}",2058,61488,163.279,528.355,"{65,85,92,112,7114}",2831,1.228,44.0326,-75.6834,Jefferson,RT-3
104N05912,366,27.178,13.227,"{2,16,29,37,58}",9947,61488,576.194,1758.806,"{247,333,361,424,30340}",3159,5.238,44.0338,-75.5809,Jefferson,RT-3
104N07483,366,38.781,16.226,"{5,25,41,49,85}",14194,61488,608.598,1846.220,"{218,306,339,458,28370}",2883,4.898,43.8941,-75.6747,Jefferson,Main St
104N07484,366,29.112,12.458,"{4,18,32,37,66}",10655,61488,252.172,444.477,"{135,206,216,233,19777}",3454,3.414,43.9158,-75.7635,Jefferson,Van Allen Rd
104N07485,366,24.115,10.640,"{3,15,26,32,50}",8802,61488,170.163,319.997,"{85,121,133,154,10932}",4700,1.887,43.9284,-75.8276,Jefferson,Van Allen Rd
104N07486,366,21.180,9.503,"{2,14,22,28,53}",7752,61488,136.615,281.662,"{69,95,105,126,8181}",5420,1.412,43.9329,-75.8646,Jefferson,Van Allen Rd/Gifford St
104N07487,366,28.604,12.795,"{1,17,32,38,61}",10469,61488,140.138,250.909,"{49,91,101,125,6084}",5668,1.050,43.9504,-75.8743,Jefferson,Gifford St
104N07488,366,8.560,4.044,"{1,6,8,11,29}",3116,61488,10.816,18.086,"{3,6,7,9,183}",11652,0.032,43.9748,-75.9104,Jefferson,Arsenal St/Public Sq/Court St
104N07489,366,43.383,21.198,"{4,19,50,60,85}",15878,61488,247.461,574.010,"{79,124,142,183,6950}",7040,1.200,43.9838,-75.9173,Jefferson,Bradley St
104N07490,366,42.036,21.012,"{1,16,50,58,75}",15385,61488,240.509,518.134,"{99,147,172,224,12528}",5779,2.163,44.0005,-75.9194,Jefferson,RT-12
104N07491,153,35.046,17.146,"{1,16,40,48,67}",5362,25704,217.959,521.947,"{119,147,155,180,13673}",,2.361,44.0295,-75.9355,Jefferson,RT-12
104N07492,153,34.471,16.249,"{3,18,40,47,73}",5274,25704,403.434,926.872,"{224,281,301,342,26452}",,4.567,44.097,-75.998,Jefferson,RT-12
104N07493,153,18.447,9.223,"{2,9,20,25,39}",2804,25704,107.566,180.766,"{48,66,77,97,4280}",,0.950,44.1402,-76.0669,Jefferson,RT-12
