tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04881,366,112.333,22.275,"{31,96,120,130,144}",41114,61488,50.140,85.612,"{16,27,30,35,2246}",100661,0.388,40.6498,-73.9754,Kings,RT-27
120N04882,366,109.683,19.572,"{30,96,116,124,142}",40144,61488,30.269,66.131,"{12,21,23,25,1745}",100564,0.301,40.6548,-73.9787,Kings,RT-27
120N04883,366,145.686,19.458,"{57,134,155,159,165}",53321,61488,59.086,107.966,"{31,49,52,57,3662}",38181,0.632,40.6575,-73.9831,Kings,RT-27
120N04884,366,106.369,18.201,"{25,94,112,119,137}",38931,61488,21.197,43.441,"{8,15,17,20,1129}",40514,0.166,40.6643,-73.991,Kings,RT-27
120N04885,366,77.011,24.999,"{24,54,76,102,122}",28186,61488,21.183,58.159,"{1,4,17,21,985}",65510,0.028,40.666,-73.9939,Kings,RT-27
120N04992,366,132.369,27.024,"{37,112,146,152,161}",48447,61488,31.959,86.525,"{14,21,23,25,1883}",,0.325,40.6162,-74.0261,Kings,I-278
120N04993,366,126.795,27.150,"{31,106,139,146,158}",46407,61488,28.043,60.473,"{13,21,22,24,1900}",11415,0.328,40.6201,-74.0228,Kings,I-278
120N04994,366,134.107,26.959,"{34,115,148,152,164}",49083,61488,25.711,48.986,"{14,21,22,24,1955}",7585,0.337,40.6243,-74.0194,Kings,I-278
120N04995,366,136.314,26.371,"{36,120,150,154,162}",49891,61488,27.359,54.709,"{14,22,24,26,2135}",,0.325,40.629,-74.0173,Kings,I-278
120N04996,366,143.880,23.756,"{39,132,156,159,165}",52660,61488,49.450,111.667,"{20,32,36,42,2597}",,0.448,40.634,-74.0159,Kings,I-278
120N04997,366,157.549,16.535,"{67,156,165,167,168}",57663,61488,136.175,252.091,"{58,98,110,128,7660}",,1.322,40.638,-74.0208,Kings,I-278
120N04998,366,162.609,10.929,"{80,163,168,168,168}",59515,61488,110.666,124.378,"{44,79,91,120,5833}",29677,1.007,40.6541,-74.0078,Kings,I-278
120N04999,366,164.025,8.794,"{87,165,168,168,168}",60033,61488,106.223,98.100,"{36,67,83,129,4314}",,0.745,40.6659,-73.996,Kings,I-278
120N05000,366,165.519,6.537,"{107,166,168,168,168}",60580,61488,142.317,156.870,"{52,87,97,159,6089}",,1.051,40.6768,-74.0014,Kings,I-278
120N05001,366,164.284,8.812,"{92,165,168,168,168}",60128,61488,135.143,144.409,"{46,81,90,151,5146}",6918,0.888,40.6903,-73.9986,Kings,I-278
120N05002,366,163.885,9.916,"{85,165,168,168,168}",59982,61488,134.101,109.002,"{32,65,99,169,3453}",3437,0.596,40.701,-73.9947,Kings,I-278
120N05003,366,155.276,17.918,"{50,150,164,166,168}",56831,61488,57.867,53.244,"{13,28,47,70,1405}",,0.243,40.7002,-73.9851,Kings,I-278
120N05004,366,165.995,6.246,"{99,167,168,168,168}",60754,61488,235.479,182.676,"{41,86,212,312,5117}",,0.883,40.6972,-73.9818,Kings,I-278
120N05005,366,157.516,16.043,"{54,154,165,167,168}",57651,61488,101.019,101.327,"{15,27,67,152,1902}",,0.328,40.6958,-73.9646,Kings,I-278
120N05006,366,164.989,7.445,"{86,166,168,168,168}",60386,61488,170.678,172.235,"{31,66,102,233,4642}",,0.801,40.6999,-73.9617,Kings,I-278
120N05007,366,162.820,9.672,"{77,162,167,168,168}",59592,61488,63.949,66.447,"{20,34,41,76,2258}",,0.390,40.7111,-73.9553,Kings,I-278
