tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05901,366,40.680,16.021,"{7,28,43,53,84}",14889,61488,376.380,875.790,"{126,210,252,334,16356}",3672,2.824,43.7867,-75.4923,Lewis,Dayan St
104N05902,366,57.527,19.748,"{16,43,61,72,107}",21055,61488,1097.441,3074.318,"{439,613,680,907,55765}",2864,9.627,43.7934,-75.547,Lewis,RT-12
104N05913,366,43.142,17.622,"{2,28,47,55,87}",15790,61488,562.226,1468.965,"{209,310,376,479,25747}",3279,4.445,44.1209,-75.3674,Lewis,RT-3
104N07476,366,69.787,21.183,"{14,52,74,85,125}",25542,61488,606.214,1335.674,"{308,445,475,536,40976}",4260,7.074,43.4847,-75.3312,Lewis,Erwin Pky
104N07477,366,46.721,16.032,"{4,33,49,59,90}",17100,61488,279.635,682.770,"{111,170,190,239,15280}",4876,2.638,43.5827,-75.3449,Lewis,RT-12
104N07478,366,65.194,20.544,"{5,48,69,80,121}",23861,61488,481.845,722.115,"{306,405,419,442,38861}",5318,6.709,43.6156,-75.3685,Lewis,RT-12
104N07479,366,65.454,20.462,"{8,48,69,81,119}",23956,61488,542.051,1440.458,"{308,388,408,453,36069}",6009,6.227,43.7051,-75.406,Lewis,RT-12
104N07480,366,39.557,13.139,"{6,29,40,49,73}",14478,61488,156.130,318.334,"{35,70,87,125,3550}",6009,0.613,43.7747,-75.475,Lewis,RT-12
104N07481,366,31.732,11.003,"{8,23,33,40,56}",11614,61488,78.629,151.742,"{32,50,56,67,2335}",8560,0.403,43.7789,-75.4858,Lewis,S State St/Utica Blvd
104N07482,366,27.888,10.729,"{6,20,29,35,56}",10207,61488,79.632,160.507,"{19,35,44,60,1324}",11208,0.229,43.7838,-75.4901,Lewis,S State St
104N07545,366,31.978,14.561,"{1,21,33,42,71}",11704,61488,662.977,1709.447,"{354,461,488,540,44298}",2836,7.648,44.0691,-75.494,Lewis,RT-3
104N07852,153,31.346,16.436,"{5,20,29,37,86}",4796,25704,1091.684,2541.507,"{415,555,667,939,49374}",,8.524,43.4594,-75.4638,Lewis,RT-26
104N07854,366,21.792,10.722,"{1,14,20,27,60}",7976,61488,782.510,1792.438,"{242,335,398,599,27132}",2135,4.684,43.7142,-75.4634,Lewis,RT-26
104N07855,366,44.178,15.281,"{11,32,47,56,78}",16169,61488,163.055,337.079,"{32,86,101,131,3677}",8625,0.635,43.7787,-75.4861,Lewis,S State St
104N07856,366,57.295,20.788,"{13,39,62,73,111}",20970,61488,1234.301,3024.258,"{313,476,664,1097,39495}",6702,6.818,43.7867,-75.4923,Lewis,State St
104N07857,366,34.415,13.615,"{4,23,36,45,82}",12596,61488,388.894,667.750,"{214,298,320,360,26266}",3510,4.535,43.8727,-75.5562,Lewis,RT-26
