tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05122,366,159.079,13.589,"{72,151,167,168,168}",58223,61488,590.650,70.185,"{421,565,587,605,6722}",2044,10.445,42.5502,-77.701,Livingston,I-390
104N05123,366,143.530,23.647,"{36,119,155,161,168}",52532,61488,325.679,269.325,"{231,304,316,327,32233}",,5.565,42.668,-77.8123,Livingston,I-390
104N05124,366,146.484,23.735,"{44,126,160,163,168}",53613,61488,523.091,483.606,"{371,496,514,530,54065}",,9.276,42.7328,-77.8351,Livingston,I-390
104N05125,366,127.697,30.739,"{33,94,144,150,160}",46737,61488,199.026,173.500,"{135,187,196,202,20290}",2296,3.522,42.8227,-77.7367,Livingston,I-390
104N05126,366,127.970,30.442,"{27,94,144,150,163}",46837,61488,176.738,94.110,"{128,166,174,181,18056}",,3.117,42.8674,-77.7182,Livingston,I-390
104N05127,366,128.727,30.940,"{40,95,145,150,161}",47114,61488,142.959,73.843,"{102,135,141,146,14557}",,2.560,42.9013,-77.6947,Livingston,I-390
104N05128,366,30.689,9.285,"{9,24,31,37,57}",11232,61488,5.747,1.248,"{4,5,6,6,51}",,0.105,42.9388,-77.691,Livingston,I-390
104N05264,366,34.732,17.163,"{1,18,39,48,70}",12712,61488,292.458,695.613,"{157,216,227,251,20306}",2229,3.506,42.9122,-77.9499,Livingston,Broadway Rd/Telephone Rd
104N05265,366,46.049,23.563,"{3,23,52,66,92}",16808,61488,536.373,1280.492,"{282,384,414,469,34789}",2938,6.006,42.9139,-77.8808,Livingston,Telephone Rd
104N05266,366,35.421,17.619,"{3,16,38,49,74}",12964,61488,104.256,173.822,"{46,75,87,100,5116}",7892,0.883,42.9206,-77.764,Livingston,Telephone Rd
104N05267,366,23.691,12.442,"{1,12,23,33,55}",8671,61488,51.440,90.707,"{15,28,34,45,1218}",9888,0.210,42.9139,-77.7493,Livingston,W Main St
104N05268,366,68.667,29.224,"{6,37,79,92,116}",25132,61488,341.796,797.088,"{115,187,221,273,11956}",10799,2.064,42.9119,-77.7461,Livingston,Main St
104N05269,366,36.582,17.705,"{3,19,42,50,71}",13389,61488,106.842,232.414,"{34,51,60,83,3083}",8653,0.532,42.9093,-77.7064,Livingston,Avon-Lima Rd
104N05270,366,54.956,25.141,"{3,28,63,75,97}",20114,61488,326.377,979.323,"{118,172,189,226,14236}",8879,2.458,42.9063,-77.6967,Livingston,Avon-Lima Rd
104N05271,366,44.751,22.164,"{3,21,51,62,81}",16379,61488,221.288,542.495,"{96,140,159,190,11231}",6192,1.939,42.9014,-77.6494,Livingston,Avon-Lima Rd/W Main St
104N05272,366,45.489,23.728,"{2,20,52,66,86}",16649,61488,290.993,701.594,"{106,163,188,233,12583}",5245,2.172,42.9049,-77.6117,Livingston,Avon-Lima Rd/Main St
104N06754,153,25.366,10.171,"{4,16,28,34,46}",3881,25704,37.237,69.110,"{12,19,23,34,821}",,0.142,42.7723,-77.8967,Livingston,Main St
104N06755,366,32.016,11.361,"{2,23,35,40,61}",11718,61488,40.856,53.130,"{17,28,34,44,1787}",12335,0.308,42.7814,-77.8267,Livingston,US-20A
104N06756,366,66.590,25.618,"{4,43,76,87,116}",24372,61488,391.143,917.315,"{128,209,232,282,10846}",12464,1.872,42.7935,-77.8193,Livingston,South St
104N06757,153,64.542,25.183,"{7,38,76,82,98}",9875,25704,304.443,681.876,"{164,206,226,268,17546}",,3.029,42.7991,-77.7847,Livingston,Lakeville Rd
104N06758,153,29.000,12.098,"{4,19,32,38,54}",4437,25704,337.140,925.406,"{92,146,181,232,10535}",,1.819,42.8257,-77.7375,Livingston,Lakeville Rd
104N06759,153,46.503,17.901,"{7,31,51,60,79}",7115,25704,562.126,1460.266,"{113,199,231,314,11758}",,2.030,42.8364,-77.7052,Livingston,Lakeville Rd/Big Tree Rd
104N06760,153,25.817,12.395,"{3,16,26,36,54}",3950,25704,498.851,1126.963,"{155,251,322,407,17707}",,3.057,42.8219,-77.6716,Livingston,Main St
104N06761,153,21.954,10.221,"{1,12,25,29,45}",3337,25704,438.731,1218.833,"{106,184,216,264,12951}",,2.236,42.8215,-77.6115,Livingston,US-20A
104N06783,153,25.366,10.171,"{4,16,28,34,46}",3881,25704,37.237,69.110,"{12,19,23,34,821}",,0.142,42.7723,-77.8967,Livingston,Main St
104N06784,366,32.016,11.361,"{2,23,35,40,61}",11718,61488,40.856,53.130,"{17,28,34,44,1787}",12335,0.308,42.7814,-77.8267,Livingston,RT-39
104N06825,366,103.153,27.383,"{14,78,114,123,149}",37754,61488,398.337,758.633,"{212,296,319,364,26660}",4983,4.603,42.8308,-77.8971,Livingston,Genesee St
104N06826,366,96.380,25.876,"{10,73,105,116,136}",35275,61488,565.986,1441.981,"{248,382,413,466,30939}",5470,5.341,42.7936,-77.8273,Livingston,Genesee St
104N06827,366,53.956,17.642,"{4,37,60,67,89}",19748,61488,110.295,239.207,"{62,82,89,100,7082}",7716,1.223,42.7643,-77.8294,Livingston,RT-63
104N06828,366,64.844,21.937,"{4,43,71,82,111}",23733,61488,161.588,275.033,"{93,118,127,144,10298}",7716,1.778,42.7395,-77.8358,Livingston,RT-63
104N06829,366,11.063,8.010,"{1,5,10,15,58}",3894,61488,1187.679,3512.195,"{311,417,494,734,37058}",1751,6.398,42.6644,-77.7696,Livingston,RT-63
104N06830,153,9.701,5.043,"{1,6,9,14,26}",1397,25704,1058.522,2838.424,"{190,285,353,516,24516}",,4.232,42.613,-77.7272,Livingston,RT-63
104N06932,366,35.730,12.341,"{2,26,39,45,67}",13077,61488,47.756,91.143,"{14,25,31,43,1541}",12335,0.266,42.7816,-77.8257,Livingston,Mt Morris Rd
104N06933,366,37.467,12.498,"{2,27,40,47,62}",13713,61488,140.493,320.539,"{31,49,63,104,3535}",5685,0.610,42.7852,-77.8238,Livingston,Genesee St
104N06947,366,26.708,11.838,"{1,15,30,36,54}",9775,61488,92.077,233.675,"{32,55,62,72,3578}",10840,0.618,42.7852,-77.8238,Livingston,Mt Morris Rd
104N06959,366,40.626,19.701,"{4,21,46,56,79}",14869,61488,368.488,814.807,"{183,259,292,335,21468}",5526,3.706,42.7722,-77.894,Livingston,Main St
104N06961,366,12.326,5.482,"{1,8,13,16,26}",4499,61488,20.847,48.165,"{8,12,14,16,590}",12464,0.102,42.7935,-77.8193,Livingston,Mt Morris Rd/South St
104N06968,366,26.708,11.838,"{1,15,30,36,54}",9775,61488,92.077,233.675,"{32,55,62,72,3578}",10840,0.618,42.7852,-77.8238,Livingston,Mt Morris St
104N06969,366,40.626,19.701,"{4,21,46,56,79}",14869,61488,368.488,814.807,"{183,259,292,335,21468}",5526,3.706,42.7722,-77.894,Livingston,Main St
104N07360,366,21.123,9.423,"{1,14,22,26,54}",7710,61488,155.976,405.899,"{32,63,74,104,3631}",4910,0.627,42.546,-77.6972,Livingston,Clara Barton St
104N07363,153,4.832,2.353,"{1,3,5,6,11}",720,25704,10.546,12.543,"{5,7,9,11,299}",,0.052,42.5603,-77.704,Livingston,Ossian St
104N07364,153,30.098,11.104,"{7,23,32,38,58}",4605,25704,328.437,699.073,"{44,105,127,193,4814}",,0.831,42.5603,-77.705,Livingston,Dock St
104N07365,366,21.735,10.743,"{1,13,22,30,45}",7955,61488,1074.432,2214.389,"{333,447,528,890,39601}",2193,6.837,42.5678,-77.7173,Livingston,Dansville Mount Morris Rd
104N07366,153,7.099,3.581,"{1,4,7,9,18}",1079,25704,303.093,1106.561,"{56,70,75,88,6607}",,1.141,42.6479,-77.7905,Livingston,Dansville Mount Morris Rd
104N07367,363,7.324,4.975,"{1,3,6,10,31}",2512,60984,103.410,251.943,"{39,48,53,69,4325}",2722,0.747,42.6613,-77.8035,Livingston,Dansville Mount Morris Rd/Sonyea Rd
104N07368,366,62.019,24.628,"{8,37,67,83,105}",22699,61488,207.697,323.961,"{112,170,184,202,13448}",4062,2.322,42.6705,-77.8111,Livingston,Sonyea Rd
104N07369,153,77.170,28.352,"{11,46,88,100,117}",11807,25704,333.111,786.119,"{144,216,246,301,16385}",,2.829,42.6902,-77.8466,Livingston,Sonyea Rd
104N07370,366,94.366,32.350,"{18,66,102,123,144}",34538,61488,564.364,1315.987,"{163,298,362,461,20069}",11479,3.465,42.7252,-77.8738,Livingston,Main St
104N07371,153,25.464,9.199,"{4,19,27,32,44}",3896,25704,33.524,61.933,"{12,17,22,30,821}",,0.142,42.7722,-77.894,Livingston,Mt Morris Rd
104N07376,153,17.379,8.354,"{1,10,19,23,38}",2659,25704,115.674,264.557,"{22,47,55,75,2276}",,0.393,42.9734,-77.8607,Livingston,Leicester Rd
104N08283,153,49.216,23.113,"{2,25,58,66,99}",7530,25704,1327.593,3526.125,"{280,409,513,747,30266}",,5.225,42.9799,-77.955,Livingston,E Main Rd
104N08284,153,39.052,19.104,"{3,18,45,54,80}",5975,25704,701.293,2121.134,"{235,311,354,500,27986}",,4.832,42.9731,-77.853,Livingston,Main St/State St
104N08285,366,21.669,15.802,"{1,8,17,36,59}",7931,61488,326.456,845.985,"{47,64,72,185,5863}",3540,1.012,42.9283,-77.7828,Livingston,Avon Caledonia Rd
104N08286,366,4.536,2.750,"{1,2,4,6,16}",1583,61488,8.603,17.918,"{4,5,5,7,436}",3540,0.075,42.9212,-77.7653,Livingston,Avon Caledonia Rd
104N10120,153,29.967,11.712,"{4,22,31,38,56}",4585,25704,1857.475,5079.395,"{401,563,682,982,44666}",,7.711,42.7146,-77.6747,Livingston,RT-15
104N10121,153,45.118,16.597,"{7,29,51,58,69}",6903,25704,416.039,977.525,"{129,204,232,292,11758}",,2.030,42.8219,-77.6716,Livingston,RT-15
104N10122,153,27.209,12.770,"{2,16,29,36,52}",4163,25704,344.532,860.728,"{77,117,139,187,8104}",,1.399,42.8364,-77.7052,Livingston,RT-15
104N10125,366,23.577,12.840,"{1,12,26,33,64}",8582,61488,516.266,1321.175,"{125,183,219,343,15583}",3642,2.690,42.9093,-77.7064,Livingston,RT-15
104N10524,153,23.507,10.338,"{2,14,25,31,43}",3573,25704,272.138,563.949,"{108,162,192,227,12259}",,2.116,42.79,-77.6059,Livingston,Main St
104N10525,153,19.503,9.515,"{2,12,21,26,43}",2984,25704,271.356,800.997,"{147,182,190,207,16995}",,2.934,42.8203,-77.6099,Livingston,N Main St/Plank Rd
104N11144,153,50.993,25.039,"{4,30,55,68,112}",7802,25704,1107.559,3511.064,"{306,456,533,710,40484}",,6.989,42.6375,-77.9261,Livingston,Mt Morris Nunda Rd
104N11145,366,55.413,21.595,"{5,39,58,73,99}",20281,61488,472.745,1140.855,"{95,170,233,352,11175}",10104,1.929,42.7252,-77.8738,Livingston,Chapel St/E State St
104N11146,366,39.071,14.660,"{4,25,42,50,73}",14300,61488,95.541,198.726,"{15,29,41,75,1658}",9020,0.286,42.7369,-77.8404,Livingston,Mt Morris Geneseo Rd
104N11147,365,4.128,2.269,"{1,2,4,5,12}",1449,61320,2.629,5.401,"{1,2,2,2,114}",9312,0.020,42.7392,-77.836,Livingston,Mt Morris Geneseo Rd
104P05123,366,158.194,15.667,"{55,153,166,168,168}",57899,61488,577.360,258.833,"{415,550,573,592,59764}",8548,10.318,42.668,-77.8123,Livingston,I-390
104P05124,366,142.918,24.531,"{26,124,156,160,168}",52308,61488,318.160,119.960,"{220,295,308,321,10598}",8172,5.489,42.7328,-77.8351,Livingston,I-390
