tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04970,366,166.333,4.933,"{95,167,168,168,168}",60878,61488,367.270,38.582,"{265,352,366,377,2376}",,6.630,43.0933,-75.9755,Madison,I-90
104N04971,366,165.096,6.875,"{80,164,168,168,168}",60425,61488,280.059,33.097,"{199,269,279,287,2154}",,5.038,43.0956,-75.8451,Madison,I-90
104N04972,366,166.694,4.538,"{95,167,168,168,168}",61010,61488,492.270,222.729,"{351,470,490,504,50999}",,8.805,43.0914,-75.751,Madison,I-90
104N05373,366,28.668,11.661,"{3,19,31,37,57}",10464,61488,92.782,255.973,"{36,53,60,74,3946}",10760,0.681,42.9244,-75.8723,Madison,US-20
104N05374,366,40.970,15.390,"{1,28,44,52,74}",14995,61488,197.111,385.213,"{49,90,112,159,3557}",11872,0.614,42.9273,-75.8598,Madison,Ledyard Ave/Forman St
104N05375,366,51.667,20.578,"{2,32,59,67,92}",18910,61488,608.455,1681.298,"{175,279,327,449,22874}",8258,3.949,42.9299,-75.8509,Madison,Albany St
104N05376,366,34.790,14.816,"{2,21,39,46,62}",12733,61488,375.068,907.464,"{157,223,252,324,20078}",5306,3.466,42.9124,-75.7103,Madison,US-20
104N05377,366,42.943,19.344,"{2,22,50,59,75}",15717,61488,681.506,2045.667,"{180,264,305,407,21231}",5068,3.665,42.8989,-75.6459,Madison,Main St
104N05378,366,20.230,9.186,"{2,11,22,28,40}",7404,61488,88.675,141.054,"{46,62,69,83,4653}",4857,0.803,42.8879,-75.5808,Madison,US-20
104N05379,366,26.672,12.641,"{1,15,29,35,61}",9762,61488,305.189,937.564,"{86,125,138,157,9596}",4126,1.657,42.8857,-75.5669,Madison,US-20
104N05469,153,12.020,6.165,"{1,7,13,17,27}",1803,25704,800.643,1976.500,"{109,158,228,360,11873}",,2.050,42.7573,-75.8841,Madison,Utica St/Cortland St
104N05472,153,13.152,8.292,"{1,7,13,17,48}",1986,25704,237.515,536.192,"{84,110,129,188,9311}",,1.607,42.8479,-75.8627,Madison,Main St/Rippleton Rd
104N05473,153,23.013,10.497,"{2,15,23,29,54}",3498,25704,601.340,1450.401,"{210,286,325,476,25495}",,4.401,42.8686,-75.8737,Madison,Rippleton Rd
104N05474,366,40.142,15.180,"{1,27,44,52,74}",14692,61488,187.240,359.416,"{48,86,107,154,3430}",12983,0.592,42.9275,-75.8594,Madison,Rippleton Rd/Forman St
104N05475,366,18.121,9.836,"{1,10,18,25,59}",6614,61488,1581.986,4038.187,"{462,737,903,1154,53078}",1137,9.163,42.9299,-75.8509,Madison,Farnham St
104N05476,366,86.120,27.338,"{16,58,97,107,129}",31520,61488,1355.630,3879.070,"{357,522,648,884,38251}",9835,6.604,43.0441,-75.8669,Madison,Falls Blvd
104N05477,153,62.444,21.452,"{9,40,71,78,93}",9554,25704,190.459,400.490,"{52,87,105,145,3921}",,0.677,43.0697,-75.7521,Madison,S Peterboro St
104N06729,366,33.025,14.629,"{3,17,37,44,64}",12087,61488,253.231,670.900,"{111,158,174,203,13919}",2297,2.403,42.8991,-75.5123,Madison,Main St
104N06730,366,26.566,12.436,"{3,14,30,36,55}",9723,61488,194.733,585.245,"{62,98,110,127,7356}",5263,1.270,42.893,-75.5359,Madison,US-20
104N06731,366,32.068,14.491,"{1,19,36,43,63}",11737,61488,259.795,457.930,"{156,209,222,241,19754}",2037,3.410,42.9172,-75.7766,Madison,US-20
104N06732,366,17.653,8.086,"{1,11,20,24,39}",6461,61488,232.494,510.297,"{100,153,168,205,14245}",1966,2.459,42.9125,-75.9164,Madison,US-20
104N07451,366,42.164,16.257,"{1,27,47,55,75}",15432,61488,422.414,733.545,"{267,348,365,389,33031}",1664,5.702,42.7423,-75.4927,Madison,RT-12
104N07452,366,36.055,13.712,"{2,24,39,46,68}",13196,61488,288.243,510.641,"{188,244,256,271,23561}",1865,4.067,42.8117,-75.4519,Madison,RT-12
104N07829,153,8.359,4.230,"{1,5,8,12,19}",1279,25704,126.565,225.874,"{71,98,106,120,7650}",,1.321,42.8502,-75.6368,Madison,RT-26
104N07830,153,15.392,7.931,"{1,10,16,21,37}",2355,25704,507.601,1506.486,"{147,223,252,330,17387}",,3.002,42.8498,-75.6118,Madison,RT-26
104N07831,364,5.806,3.318,"{1,3,5,8,17}",2009,61152,161.337,365.374,"{34,52,69,122,3174}",1024,0.548,42.8793,-75.5723,Madison,Fargo Rd
104N07832,366,26.672,12.641,"{1,15,29,35,61}",9762,61488,305.189,937.564,"{86,125,138,157,9596}",4126,1.657,42.8857,-75.5669,Madison,RT-26
104N07833,366,26.566,12.436,"{3,14,30,36,55}",9723,61488,194.733,585.245,"{62,98,110,127,7356}",5263,1.270,42.893,-75.5359,Madison,RT-26
104N07834,366,27.923,12.868,"{2,14,32,38,54}",10220,61488,168.796,445.977,"{74,108,120,139,9287}",2297,1.603,42.8991,-75.5123,Madison,Main St
104N07835,366,19.292,10.224,"{2,10,19,27,58}",7003,61488,471.290,1361.316,"{135,199,232,296,15085}",2783,2.604,42.9072,-75.4802,Madison,RT-26
104N09662,366,24.344,8.843,"{2,18,25,30,48}",8910,61488,94.529,330.145,"{50,67,70,76,6056}",1981,1.045,42.7513,-75.292,Madison,RT-8
104N09663,366,49.205,16.977,"{8,34,52,62,95}",18009,61488,336.542,499.351,"{201,279,301,333,24972}",2550,4.311,42.7638,-75.2809,Madison,RT-8
104N09664,366,33.481,11.793,"{6,24,35,42,66}",12254,61488,107.339,114.725,"{69,93,98,105,8765}",3118,1.513,42.8202,-75.2534,Madison,RT-8
104N09665,366,44.639,15.593,"{9,32,48,56,83}",16338,61488,253.055,565.839,"{124,177,198,233,15604}",3406,2.694,42.8419,-75.2546,Madison,RT-8
104N09679,366,9.392,4.786,"{1,6,10,13,23}",3381,61488,70.780,200.372,"{21,33,36,45,2605}",4155,0.450,42.8793,-75.5718,Madison,RT-46
