tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04269,366,113.232,29.019,"{38,86,128,134,152}",41443,61488,70.873,107.156,"{47,64,67,71,6873}",43517,1.187,43.0416,-77.4622,Monroe,I-490
104N04270,366,122.896,29.780,"{34,98,138,144,158}",44980,61488,93.159,147.708,"{64,84,88,92,8913}",35266,1.539,43.0546,-77.4705,Monroe,I-490
104N04271,366,136.697,27.481,"{45,116,151,156,162}",50031,61488,161.818,205.520,"{100,137,144,152,14489}",35846,2.501,43.0791,-77.4855,Monroe,I-490
104N04272,366,113.527,27.934,"{36,92,126,134,147}",41551,61488,48.025,49.967,"{31,42,44,47,4335}",64386,0.748,43.1067,-77.5066,Monroe,I-490
104N04273,366,128.238,28.814,"{48,104,143,149,159}",46935,61488,69.188,58.750,"{46,64,67,70,6339}",79927,1.094,43.1168,-77.5071,Monroe,I-490
104N04274,366,132.746,27.847,"{49,111,147,152,162}",48585,61488,66.511,134.643,"{39,58,61,64,5777}",90481,0.997,43.1269,-77.5243,Monroe,I-490
104N04275,366,97.615,23.621,"{36,81,106,116,130}",35727,61488,19.974,35.716,"{12,17,18,19,1745}",55560,0.301,43.1377,-77.5357,Monroe,I-490
104N04276,366,105.956,27.740,"{32,83,119,126,144}",38780,61488,41.505,94.432,"{24,35,37,39,3436}",94267,0.593,43.1408,-77.5416,Monroe,I-490
104N04277,366,68.585,17.480,"{20,57,72,83,102}",25102,61488,12.063,19.043,"{7,11,11,12,1032}",88870,0.178,43.1439,-77.5503,Monroe,I-490
104N04278,366,127.158,29.691,"{46,104,143,148,158}",46540,61488,58.283,78.795,"{36,52,55,58,5014}",103299,0.866,43.1448,-77.5557,Monroe,I-490
104N04279,366,113.883,29.374,"{30,90,128,135,149}",41681,61488,43.937,105.457,"{23,34,36,39,3342}",102078,0.577,43.1437,-77.5706,Monroe,I-490
104N04280,366,102.246,27.788,"{29,78,115,123,138}",37422,61488,29.958,51.838,"{17,25,26,28,2423}",59341,0.418,43.1426,-77.5823,Monroe,I-490
104N04281,366,124.044,30.599,"{36,99,140,146,162}",45400,61488,66.890,179.183,"{31,50,53,56,4557}",60226,0.787,43.1418,-77.5911,Monroe,I-490
104N04282,366,71.492,18.876,"{21,58,76,87,105}",26166,61488,11.574,18.827,"{6,9,10,10,751}",48023,0.130,43.1469,-77.6012,Monroe,I-490
104N04283,366,114.066,30.430,"{33,87,129,136,153}",41748,61488,47.211,86.902,"{25,39,41,44,3141}",72077,0.542,43.1495,-77.6043,Monroe,I-490
104N04284,366,100.016,28.091,"{24,76,113,121,135}",36606,61488,35.710,110.164,"{17,26,27,29,2098}",56011,0.362,43.1519,-77.6144,Monroe,I-490
104N04285,366,109.194,28.659,"{33,86,122,131,142}",39965,61488,35.899,41.783,"{22,32,34,36,2529}",70256,0.437,43.1545,-77.62,Monroe,I-490
104N04286,366,109.437,27.993,"{37,88,122,130,144}",40054,61488,29.717,46.232,"{17,25,27,28,2309}",100280,0.399,43.1576,-77.6247,Monroe,I-490
104N04287,366,113.202,28.227,"{39,92,126,134,150}",41432,61488,37.216,74.952,"{21,30,32,34,2902}",93906,0.501,43.1567,-77.6327,Monroe,I-490
104N04288,366,116.508,28.926,"{33,94,131,137,150}",42642,61488,37.376,60.675,"{23,31,33,35,3057}",52466,0.528,43.1572,-77.6466,Monroe,I-490
104N04289,366,131.328,27.481,"{48,113,146,151,160}",48066,61488,67.811,89.468,"{43,59,62,65,5878}",69864,1.015,43.1571,-77.6553,Monroe,I-490
104N04290,366,145.317,24.450,"{47,131,159,161,167}",53186,61488,124.324,133.893,"{82,111,115,120,11136}",112766,1.923,43.1578,-77.6751,Monroe,I-490
104N04291,366,96.746,28.817,"{17,67,110,118,134}",35409,61488,54.197,53.864,"{34,47,49,52,4708}",120391,0.813,43.1577,-77.7133,Monroe,I-490
104N04292,366,98.257,27.900,"{22,69,111,119,138}",35962,61488,54.041,75.919,"{32,45,47,51,4467}",35479,0.771,43.1502,-77.7179,Monroe,I-490
104N04293,366,120.148,29.393,"{21,91,135,142,153}",43974,61488,93.155,78.180,"{63,87,91,95,9089}",18717,1.569,43.1322,-77.7218,Monroe,I-490
104N04294,366,131.369,28.489,"{24,105,146,151,161}",48081,61488,192.845,236.831,"{133,178,187,194,19585}",25600,3.381,43.1216,-77.7409,Monroe,I-490
104N04295,366,134.055,28.512,"{27,106,149,154,165}",49064,61488,248.261,194.343,"{172,232,242,252,25696}",10871,4.436,43.0975,-77.7955,Monroe,I-490
104N04296,366,121.063,29.960,"{29,89,137,143,152}",44309,61488,161.934,117.433,"{117,152,159,166,16956}",12603,2.927,43.0947,-77.881,Monroe,I-490
104N04297,366,120.249,29.110,"{26,89,135,141,156}",44011,61488,172.586,32.683,"{123,161,170,177,2217}",11308,3.061,43.0778,-77.9332,Monroe,I-490
104N04360,366,29.604,15.624,"{2,17,26,44,63}",10835,61488,51.359,101.456,"{4,40,48,56,3505}",48023,0.085,43.1509,-77.6081,Monroe,Inner Loop
104N04361,366,11.661,5.215,"{1,8,12,15,29}",4268,61488,5.409,2.895,"{3,5,5,6,97}",8600,0.050,43.1507,-77.6074,Monroe,Inner Loop
104N04362,366,9.819,4.816,"{1,6,10,13,27}",3574,61488,84.621,206.299,"{17,29,33,44,1631}",8600,0.282,43.1509,-77.6048,Monroe,Inner Loop
104N04363,363,2.817,3.256,"{1,1,2,3,34}",693,60984,680.707,659.111,"{21,107,342,1367,1709}",6545,0.295,43.1521,-77.5991,Monroe,Inner Loop
104N04364,364,2.555,2.334,"{1,1,2,3,15}",608,61152,470.391,617.028,"{26,96,210,578,2310}",5270,0.399,43.1561,-77.5966,Monroe,Inner Loop
104N04365,366,33.992,14.193,"{2,24,35,45,63}",12441,61488,40.835,113.097,"{19,28,29,32,2200}",6065,0.380,43.1613,-77.5976,Monroe,Inner Loop
104N04366,366,31.760,12.163,"{4,24,33,41,62}",11624,61488,44.512,140.994,"{14,22,23,26,1716}",27808,0.296,43.1622,-77.603,Monroe,Inner Loop
104N04367,366,35.503,12.510,"{5,26,37,45,70}",12994,61488,22.333,59.090,"{10,15,16,19,1128}",38991,0.195,43.1615,-77.6106,Monroe,Inner Loop
104N04368,366,40.798,14.369,"{7,30,43,51,69}",14932,61488,33.346,90.875,"{12,20,22,26,1666}",46336,0.257,43.1602,-77.6135,Monroe,Inner Loop
104N04369,366,45.601,30.000,"{2,16,43,74,100}",16690,61488,47.183,69.101,"{2,41,47,53,3301}",55027,0.030,43.1576,-77.6177,Monroe,Inner Loop
104N04381,366,138.516,28.250,"{43,111,154,158,164}",50697,61488,244.846,119.047,"{175,232,242,251,25422}",,4.389,42.9403,-77.6913,Monroe,I-390
104N04382,366,77.347,23.865,"{22,53,87,96,113}",28309,61488,36.447,43.627,"{25,33,35,36,3636}",,0.628,42.9993,-77.6718,Monroe,I-390
104N04383,366,137.866,28.155,"{34,111,153,157,165}",50459,61488,181.763,180.001,"{128,169,177,185,18244}",,3.150,43.006,-77.6665,Monroe,I-390
104N04384,366,84.238,23.318,"{17,64,93,101,120}",30831,61488,50.211,164.449,"{29,38,40,44,4091}",,0.706,43.0483,-77.6478,Monroe,I-390
104N04385,366,141.281,23.720,"{30,125,154,157,164}",51709,61488,78.197,178.170,"{52,69,72,75,7142}",5779,1.233,43.0582,-77.6418,Monroe,I-390
104N04386,366,136.303,24.906,"{30,116,149,154,161}",49887,61488,67.291,111.864,"{45,61,64,67,6430}",,1.110,43.0728,-77.6316,Monroe,I-390
104N04387,366,99.784,23.304,"{18,82,109,117,137}",36521,61488,29.595,55.814,"{18,26,27,29,2669}",,0.461,43.0824,-77.6117,Monroe,I-390
104N04388,366,107.396,25.149,"{25,90,118,126,141}",39307,61488,37.781,86.057,"{23,33,34,36,3341}",,0.577,43.0871,-77.6046,Monroe,I-390
104N04389,366,117.194,25.286,"{22,98,129,135,146}",42893,61488,46.927,36.662,"{30,43,45,48,4075}",,0.704,43.1075,-77.5998,Monroe,I-390
104N04390,366,133.049,24.029,"{27,115,144,150,159}",48696,61488,61.310,124.799,"{36,54,56,59,5341}",,0.922,43.1084,-77.6116,Monroe,I-390
104N04391,366,144.246,23.037,"{32,129,156,159,167}",52794,61488,77.424,67.152,"{51,71,74,78,7000}",,1.208,43.1112,-77.6214,Monroe,I-390
104N04392,366,129.861,25.093,"{25,113,141,147,159}",47529,61488,42.795,27.543,"{27,39,41,43,3803}",,0.657,43.1229,-77.6486,Monroe,I-390
104N04393,366,124.883,32.455,"{35,95,142,148,159}",45707,61488,60.831,43.713,"{39,54,57,60,5449}",,0.941,43.1282,-77.6589,Monroe,I-390
104N04394,366,128.874,31.216,"{37,104,145,151,162}",47168,61488,66.027,43.350,"{44,61,63,66,6094}",,1.052,43.1399,-77.6685,Monroe,I-390
104N04395,366,59.489,18.729,"{16,44,64,74,99}",21773,61488,10.481,16.351,"{6,9,9,10,861}",,0.149,43.1539,-77.679,Monroe,I-390
104N04449,366,119.503,33.165,"{22,91,135,143,157}",43738,61488,121.491,163.124,"{62,88,125,137,12220}",72433,1.393,43.1093,-77.6089,Monroe,I-590
104N04450,366,128.623,31.521,"{30,104,145,150,160}",47076,61488,88.154,101.933,"{60,81,85,88,8169}",,1.410,43.1075,-77.5801,Monroe,I-590
104N04451,366,122.612,30.924,"{26,98,138,144,156}",44876,61488,70.647,111.471,"{48,63,66,69,6288}",,1.086,43.111,-77.5532,Monroe,I-590
104N04452,366,104.716,28.385,"{20,80,117,126,140}",38326,61488,37.032,78.489,"{24,32,34,36,3265}",4894,0.564,43.1268,-77.5533,Monroe,I-590
104N04453,366,88.016,24.884,"{19,67,98,107,122}",32214,61488,22.133,20.142,"{15,20,21,22,1977}",,0.341,43.1345,-77.5529,Monroe,I-590
104N04454,366,86.680,25.960,"{15,66,97,106,123}",31725,61488,40.568,80.715,"{25,34,36,38,3114}",,0.538,43.139,-77.5527,Monroe,I-590
