tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06250,366,166.544,4.075,"{108,166,168,168,168}",60955,61488,322.577,38.761,"{243,309,322,332,3781}",27183,5.750,42.8938,-74.091,Montgomery,I-90
120N06251,366,166.921,3.775,"{108,167,168,168,168}",61093,61488,485.068,58.366,"{358,464,487,503,8289}",25080,8.586,42.9226,-74.1939,Montgomery,I-90
120N06252,366,167.421,2.363,"{133,168,168,168,168}",61276,61488,646.907,63.031,"{481,622,650,668,5662}",22800,11.731,42.9443,-74.3565,Montgomery,I-90
120N06253,366,167.779,1.344,"{149,168,168,168,168}",61407,61488,916.987,65.196,"{702,884,924,947,5101}",22172,16.733,42.9062,-74.5582,Montgomery,I-90
120N07983,153,57.340,23.891,"{5,37,64,75,105}",8773,25704,907.277,2018.005,"{465,631,676,778,56789}",,9.804,42.9109,-74.5708,Montgomery,E Grand St
120N07984,366,118.443,18.451,"{20,108,123,132,147}",43350,61488,87.449,108.971,"{32,56,68,88,2235}",10918,0.386,42.9544,-74.377,Montgomery,W Main St
120N07985,366,20.586,10.678,"{2,11,21,29,46}",7514,61488,131.250,266.293,"{35,62,73,105,3366}",3942,0.581,42.9549,-74.3694,Montgomery,E Main St
120N07986,153,18.444,9.580,"{1,9,20,25,44}",2822,25704,93.783,49.627,"{55,79,86,95,1787}",,1.234,42.9542,-74.3584,Montgomery,RT-5
120N07987,153,19.379,10.090,"{1,10,21,27,39}",2965,25704,121.958,128.217,"{77,102,108,114,4664}",,1.691,42.9463,-74.3369,Montgomery,RT-5
120N07988,153,16.013,7.850,"{1,9,18,22,31}",2418,25704,92.898,183.239,"{50,67,72,88,6186}",,1.068,42.9488,-74.3049,Montgomery,RT-5
120N07989,366,60.022,25.773,"{5,34,70,80,98}",21968,61488,254.036,629.100,"{107,166,190,225,12248}",9252,2.114,42.9567,-74.2398,Montgomery,RT-5
120N07990,366,72.811,30.013,"{9,40,87,95,113}",26649,61488,633.689,1806.494,"{144,233,314,448,18626}",9476,3.216,42.9361,-74.1929,Montgomery,RT-5
120N07992,366,25.872,12.397,"{1,12,30,36,49}",9469,61488,52.802,155.514,"{31,42,44,46,4121}",,0.711,42.9174,-74.1352,Montgomery,RT-5
120N07993,153,57.601,24.617,"{4,30,69,76,91}",8813,25704,173.894,200.343,"{113,154,161,170,15443}",,2.666,42.9132,-74.1224,Montgomery,RT-5
120N08001,366,6.292,3.165,"{1,4,6,8,19}",2284,61488,186.365,431.472,"{67,93,104,165,8741}",1024,1.509,42.9898,-74.6535,Montgomery,New Turnpike Rd
120N08006,366,60.022,25.773,"{5,34,70,80,98}",21968,61488,254.036,629.100,"{107,166,190,225,12248}",9252,2.114,42.9567,-74.2398,Montgomery,Fort Johnson Ave
120N08007,366,90.885,26.560,"{28,64,102,112,137}",33264,61488,436.552,830.486,"{108,245,287,371,10517}",7158,1.816,42.9394,-74.1973,Montgomery,Church St
120N08008,366,37.601,13.628,"{6,26,41,48,65}",13762,61488,114.547,336.157,"{53,70,76,87,5559}",6669,0.960,42.9437,-74.1632,Montgomery,Church St
120N08009,366,46.145,17.058,"{11,29,51,60,77}",16889,61488,156.474,364.089,"{67,86,96,121,7522}",5134,1.299,42.947,-74.1449,Montgomery,RT-67
120N08010,366,23.221,8.574,"{3,16,25,30,42}",8499,61488,40.385,63.290,"{29,36,37,40,3162}",5134,0.546,42.9513,-74.1206,Montgomery,RT-67
120N08011,366,31.325,11.354,"{4,21,34,40,55}",11465,61488,61.568,95.174,"{36,51,55,61,4391}",5134,0.758,42.9566,-74.1129,Montgomery,RT-67
120N08012,366,47.260,16.507,"{12,31,53,60,76}",17297,61488,123.379,294.307,"{68,96,102,111,8939}",5148,1.543,42.9674,-74.1137,Montgomery,RT-67
120N08032,153,30.176,12.052,"{8,21,30,39,65}",4617,25704,898.741,2184.883,"{225,394,545,744,26790}",,4.625,42.9355,-74.7094,Montgomery,RT-80
120N08146,366,26.989,12.800,"{4,17,28,34,74}",9878,61488,159.741,361.391,"{67,103,114,135,8651}",3900,1.494,42.9051,-74.2245,Montgomery,RT-30
120N08147,366,44.585,12.940,"{9,36,45,54,73}",16318,61488,44.298,70.309,"{5,18,27,41,537}",,0.093,42.9262,-74.2002,Montgomery,North South Arterial
120N08148,366,80.178,25.526,"{19,54,90,100,119}",29345,61488,84.393,166.836,"{32,53,62,76,3816}",973,0.659,42.9274,-74.1992,Montgomery,North South Arterial
120N08149,366,87.123,29.134,"{17,56,99,110,131}",31887,61488,260.214,517.903,"{90,151,178,223,7129}",14578,1.231,42.9388,-74.1892,Montgomery,Market St
120N08340,366,27.396,13.007,"{2,15,29,37,65}",10027,61488,533.317,1587.021,"{158,229,266,358,19149}",2938,3.306,43.0062,-74.7435,Montgomery,RT-5
120N09562,153,2.655,1.838,"{1,1,2,4,11}",369,25704,6.341,2.951,"{3,5,5,7,31}",,0.076,42.8923,-74.5217,Montgomery,Sloansville Rd
120N11675,153,24.529,12.880,"{2,14,24,31,77}",3753,25704,262.249,602.016,"{101,147,163,197,11625}",,2.007,42.8601,-74.1981,Montgomery,RT-30
120N11676,153,4.900,2.828,"{1,3,4,6,15}",735,25704,21.101,35.716,"{8,11,14,19,731}",,0.126,42.8845,-74.2156,Montgomery,RT-30
