tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04917,366,165.008,7.722,"{109,167,168,168,168}",60393,61488,104.919,63.044,"{61,87,93,101,7484}",181506,1.462,40.7841,-73.4393,Nassau,I-495
120N04918,366,156.727,19.585,"{67,157,166,168,168}",57362,61488,40.278,32.982,"{21,30,32,35,2201}",129972,0.551,40.7925,-73.4612,Nassau,I-495
120N04919,366,152.732,22.922,"{72,151,164,166,168}",55900,61488,33.391,125.829,"{15,22,23,25,2166}",179626,0.374,40.7975,-73.4737,Nassau,I-495
120N04920,366,147.770,24.612,"{63,140,161,163,167}",54084,61488,15.063,12.676,"{9,13,14,15,1298}",121039,0.224,40.7989,-73.4804,Nassau,I-495
120N04921,366,161.792,12.647,"{94,164,168,168,168}",59216,61488,50.124,20.658,"{30,45,47,51,1081}",82807,0.747,40.7993,-73.4838,Nassau,I-495
120N04922,366,164.809,8.005,"{102,167,168,168,168}",60320,61488,87.155,42.449,"{56,79,83,87,5860}",128008,1.371,40.7986,-73.4989,Nassau,I-495
120N04923,366,158.418,16.690,"{88,158,167,168,168}",57981,61488,30.761,9.455,"{18,28,30,32,435}",,0.451,40.7902,-73.5208,Nassau,I-495
120N04924,366,164.694,7.740,"{117,167,168,168,168}",60278,61488,78.570,53.894,"{37,58,63,74,3518}",97626,1.038,40.7868,-73.5279,Nassau,I-495
120N04925,366,167.478,2.021,"{146,168,168,168,168}",61297,61488,293.212,191.654,"{176,233,245,267,23013}",66988,3.879,40.7838,-73.543,Nassau,I-495
120N04926,366,158.751,15.655,"{81,158,166,167,168}",58103,61488,30.941,27.335,"{18,26,27,29,2522}",197272,0.435,40.7837,-73.6182,Nassau,I-495
120N04927,366,165.954,5.406,"{121,167,168,168,168}",60739,61488,80.157,42.104,"{42,65,74,89,2124}",220447,0.995,40.7846,-73.6303,Nassau,I-495
120N04928,366,164.429,8.365,"{91,166,168,168,168}",60181,61488,67.074,60.345,"{27,42,49,86,3815}",216352,0.659,40.785,-73.6443,Nassau,I-495
120N04929,366,165.505,6.684,"{106,167,168,168,168}",60575,61488,89.437,64.218,"{40,59,63,113,5460}",212257,0.935,40.7805,-73.6583,Nassau,I-495
120N04930,366,165.907,6.006,"{99,167,168,168,168}",60722,61488,100.797,65.566,"{46,69,74,97,3212}",195166,1.109,40.7745,-73.671,Nassau,I-495
120N04931,366,163.109,10.219,"{81,165,168,168,168}",59698,61488,52.814,52.579,"{24,35,38,56,3278}",215696,0.566,40.7704,-73.6889,Nassau,I-495
