tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04794,366,164.019,8.849,"{51,164,167,168,168}",60031,61488,40.867,28.411,"{6,16,40,55,883}",,0.152,40.8458,-73.9302,New York,I-95
120N05023,366,167.555,1.499,"{154,168,168,168,168}",61325,61488,218.355,159.262,"{100,166,185,222,11035}",,1.905,40.7752,-73.9232,New York,I-278
120N05040,366,159.126,17.159,"{65,158,166,167,168}",58240,61488,137.873,132.255,"{22,72,99,177,2244}",49890,0.387,40.7476,-73.9709,New York,I-495
120N05040,366,159.126,17.159,"{65,158,166,167,168}",58240,61488,137.873,132.255,"{22,72,99,177,2244}",49890,0.387,40.7476,-73.9709,New York,I-495
120N05041,366,107.989,17.333,"{14,97,111,120,141}",39524,61488,39.060,55.515,"{4,13,28,46,659}",,0.114,40.846,-73.9302,New York,Lower LVL Washington Brg
120N05042,366,157.180,12.547,"{41,153,162,165,168}",57528,61488,154.453,222.684,"{24,56,102,181,2874}",,0.496,40.8467,-73.9319,New York,Lower LVL Washington Brg
120N05043,366,102.437,15.318,"{16,94,105,112,133}",37492,61488,138.581,220.931,"{26,63,84,134,3616}",179825,0.624,40.8495,-73.9407,New York,Lower LVL Washington Brg
120N05045,366,149.609,16.218,"{29,142,155,161,168}",54757,61488,34.370,38.508,"{4,13,26,44,633}",110554,0.109,40.846,-73.9302,New York,Upper LVL Washington Brg
120N05046,366,163.642,9.594,"{41,163,167,168,168}",59893,61488,121.949,118.560,"{17,45,93,164,2479}",110554,0.428,40.8465,-73.932,New York,Upper LVL Washington Brg
120N05047,366,167.317,4.575,"{88,168,168,168,168}",61238,61488,135.795,103.820,"{30,57,104,184,4021}",179825,0.694,40.8492,-73.9394,New York,Upper LVL Washington Brg
120N05048,366,108.178,19.255,"{8,96,111,122,146}",39593,61488,3.809,5.869,"{1,1,3,4,88}",,0.015,40.8517,-73.9523,New York,Upper LVL Washington Brg
120N05119,366,152.675,16.932,"{44,144,161,164,168}",55879,61488,104.856,158.402,"{33,55,64,108,4162}",,0.718,40.7715,-73.9942,New York,RT-9A
120N05120,366,125.934,20.775,"{23,111,133,141,157}",46092,61488,28.988,36.776,"{11,18,20,25,1468}",,0.253,40.7798,-73.9884,New York,RT-9A
120N05121,366,154.555,15.313,"{46,146,161,164,168}",56567,61488,101.322,125.539,"{41,66,72,98,5494}",,0.948,40.7839,-73.9851,New York,RT-9A
120N05122,366,159.445,12.152,"{70,155,165,167,168}",58357,61488,139.390,127.576,"{65,104,113,131,8989}",,1.552,40.7959,-73.9765,New York,RT-9A
120N05123,366,159.000,11.830,"{68,155,164,166,168}",58194,61488,136.307,193.398,"{50,85,100,136,7053}",,1.218,40.8111,-73.9668,New York,RT-9A
120N05124,366,152.197,15.544,"{45,145,159,163,167}",55704,61488,90.904,108.406,"{32,55,61,104,4668}",,0.806,40.833,-73.9501,New York,RT-9A
120N05125,366,130.117,21.021,"{35,118,138,146,158}",47623,61488,95.766,187.850,"{27,42,47,78,3535}",,0.601,40.8419,-73.9454,New York,RT-9A
120N05126,366,146.648,19.322,"{48,135,156,160,166}",53673,61488,134.816,158.556,"{55,84,90,100,7403}",,1.278,40.8504,-73.9431,New York,RT-9A
120N05127,366,127.806,22.138,"{44,114,136,144,158}",46777,61488,85.147,149.646,"{35,54,58,65,4649}",,0.803,40.8666,-73.9321,New York,RT-9A
120N05128,366,73.115,15.915,"{23,63,76,85,114}",26760,61488,17.986,34.895,"{4,10,12,15,589}",61633,0.102,40.876,-73.9249,New York,RT-9A
120N05278,366,40.090,13.086,"{5,31,40,50,71}",14673,61488,471.240,589.321,"{22,52,221,653,2362}",46593,0.408,40.7013,-74.0127,New York,South St
120N05279,366,54.115,16.265,"{14,42,57,67,85}",19806,61488,31.169,77.945,"{4,10,12,16,536}",46593,0.092,40.7049,-74.0166,New York,South St
120N05289,366,64.077,23.371,"{7,43,72,83,109}",23452,61488,20.635,47.493,"{4,8,9,14,487}",,0.084,40.7013,-74.0125,New York,FDR Dr
120N05290,366,121.281,26.951,"{27,100,134,141,156}",44389,61488,169.337,412.339,"{31,58,68,110,3811}",5076,0.658,40.702,-74.0095,New York,FDR Dr
120N05291,366,152.216,16.431,"{54,142,160,164,167}",55711,61488,173.440,332.909,"{46,84,96,163,6130}",,1.058,40.7064,-74.0024,New York,FDR Dr
