tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04241,366,133.429,24.138,"{43,116,145,151,159}",48835,61488,56.856,17.096,"{34,51,55,60,1401}",,0.726,43.0638,-78.9906,Niagara,I-190
104N04242,366,103.137,25.792,"{26,79,114,123,138}",37748,61488,35.905,68.527,"{21,30,32,35,2871}",,0.496,43.0736,-78.9906,Niagara,I-190
104N04243,366,91.598,23.631,"{24,70,101,109,131}",33525,61488,28.057,27.450,"{16,24,26,30,2511}",7715,0.371,43.0786,-78.9906,Niagara,I-190
104N04244,366,118.380,31.654,"{38,86,134,142,154}",43327,61488,99.477,198.173,"{63,86,90,96,9014}",,1.556,43.0875,-78.9907,Niagara,I-190
104N04245,366,117.287,32.917,"{33,81,135,142,153}",42927,61488,140.502,205.205,"{96,128,133,141,13286}",3371,2.294,43.1061,-78.9865,Niagara,I-190
104N04246,366,108.079,31.860,"{25,74,123,132,147}",39557,61488,113.284,128.440,"{69,101,108,116,9917}",4299,1.712,43.1273,-79.0172,Niagara,I-190
104N04247,366,30.686,10.789,"{7,22,32,39,53}",11231,61488,17.474,20.765,"{7,14,16,18,943}",,0.163,43.15,-79.0276,Niagara,I-190
104N04248,366,91.230,28.769,"{13,67,100,113,136}",33390,61488,273.195,377.043,"{27,97,141,257,2825}",1017,0.488,43.1515,-79.0314,Niagara,I-190
104N04249,366,53.137,21.995,"{5,28,61,70,89}",19448,61488,23.105,47.050,"{6,12,15,17,559}",,0.097,43.1528,-79.0419,Niagara,Niagara Expy
104N04352,366,39.615,18.852,"{5,20,45,54,79}",14499,61488,143.787,381.797,"{50,74,83,108,6671}",11618,1.152,43.0748,-78.9405,Niagara,Lasalle Expy
104N04353,366,25.322,11.579,"{2,15,28,35,52}",9268,61488,40.441,101.427,"{22,33,35,37,3139}",9530,0.542,43.0787,-78.961,Niagara,Lasalle Expy
104N04354,366,32.776,13.176,"{5,22,35,44,58}",11996,61488,48.276,95.667,"{28,40,42,46,3769}",18350,0.651,43.0795,-78.9728,Niagara,Lasalle Expy
104N04355,366,12.404,5.445,"{1,8,13,16,31}",4540,61488,12.769,31.229,"{6,9,12,13,1055}",2851,0.131,43.0802,-78.982,Niagara,Lasalle Expy
104N04356,366,15.150,10.016,"{1,7,12,24,45}",5545,61488,54.977,124.058,"{3,45,57,66,3946}",2851,0.051,43.0805,-78.9871,Niagara,Lasalle Expy
104N04357,366,7.202,3.654,"{1,5,7,9,26}",2607,61488,52.169,151.378,"{16,26,44,51,3386}",11601,0.305,43.0777,-78.9878,Niagara,Robert Moses Pky
104N04358,366,79.620,20.799,"{32,63,78,99,121}",29141,61488,367.854,966.732,"{154,228,258,316,19298}",7124,3.329,43.0743,-78.9897,Niagara,Robert Moses Pky
104N04359,366,28.716,12.771,"{7,18,27,38,63}",10510,61488,25.967,55.503,"{7,13,16,22,552}",,0.095,43.0825,-79.0517,Niagara,Robert Moses Pky
104N04370,366,18.822,16.790,"{1,6,11,34,57}",6870,61488,410.284,1016.027,"{59,129,152,233,8950}",3169,1.461,43.09,-79.0619,Niagara,Robert Moses Pky
104N04371,366,9.778,9.549,"{1,3,5,18,35}",3481,61488,58.310,114.835,"{25,35,38,42,2600}",3169,0.449,43.1101,-79.0562,Niagara,Robert Moses Pky
104N04372,366,9.503,9.021,"{1,3,5,17,32}",3383,61488,56.379,106.821,"{25,36,41,49,2443}",4734,0.422,43.116,-79.0597,Niagara,Robert Moses Pky
104N04373,366,8.306,4.357,"{1,5,8,11,22}",2982,61488,157.861,383.019,"{54,74,85,96,6353}",4072,0.877,43.1216,-79.0619,Niagara,Robert Moses Pky
104N04374,366,9.306,5.171,"{1,5,9,13,40}",3378,61488,187.515,503.685,"{66,94,109,129,7738}",3411,1.336,43.1328,-79.0472,Niagara,Robert Moses Pky
104N04375,366,8.768,5.237,"{1,5,8,12,26}",3174,61488,224.496,594.166,"{98,136,150,172,10783}",4143,1.862,43.1466,-79.0396,Niagara,Robert Moses Pky
104N04376,366,19.776,8.304,"{1,14,19,26,42}",7238,61488,205.624,508.847,"{110,155,165,181,15059}",,2.600,43.1698,-79.0302,Niagara,Robert Moses Pky
104N04377,366,15.915,7.423,"{1,10,15,21,43}",5809,61488,215.498,408.825,"{129,174,186,200,17377}",,3.000,43.2051,-79.0275,Niagara,Robert Moses Pky
104N04378,366,8.126,6.187,"{1,4,7,11,33}",2836,61488,371.939,1203.179,"{138,180,203,321,17360}",,2.997,43.2486,-79.0307,Niagara,Robert Moses Pky
