tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04973,366,156.298,16.436,"{37,146,165,167,168}",57205,61488,133.437,61.375,"{94,127,133,137,13878}",,2.396,43.1236,-75.5857,Oneida,I-90
104N04974,366,164.254,8.136,"{65,162,168,168,168}",60117,61488,381.069,38.774,"{284,366,381,392,2421}",,6.890,43.1297,-75.5346,Oneida,I-90
104N04975,366,166.186,5.273,"{90,166,168,168,168}",60824,61488,592.194,117.484,"{438,567,589,605,7827}",,10.539,43.1244,-75.4058,Oneida,I-90
104N04976,366,155.519,15.427,"{43,146,163,165,168}",56920,61488,95.596,27.863,"{68,91,95,98,4873}",,1.694,43.1128,-75.2079,Oneida,I-90
104N04977,366,64.232,14.096,"{14,56,67,75,95}",23509,61488,7.433,2.730,"{5,7,7,8,183}",,0.126,43.1061,-75.1727,Oneida,I-90
104N05380,366,31.626,13.297,"{3,20,34,41,71}",11575,61488,458.913,1439.293,"{165,223,255,329,19481}",2999,3.363,42.8994,-75.3062,Oneida,Cherry Valley Tpke Rd
104N05381,366,16.175,7.285,"{1,11,16,21,49}",5920,61488,118.931,281.101,"{25,40,47,77,2470}",3440,0.426,42.8792,-75.2512,Oneida,State St
104N05406,366,24.888,11.591,"{2,14,27,34,54}",9109,61488,250.547,651.962,"{137,177,185,203,16317}",5124,2.817,43.2254,-75.5392,Oneida,Rome-New London Rd
104N05407,366,25.647,11.719,"{2,15,28,34,54}",9361,61488,328.231,1061.047,"{124,157,170,203,13792}",5794,2.381,43.2295,-75.4936,Oneida,Rome-New London Rd
104N05408,366,18.216,6.568,"{3,14,19,23,34}",6667,61488,17.224,32.450,"{6,10,12,15,467}",23192,0.081,43.2082,-75.457,Oneida,Erie Blvd E
104N05455,152,16.783,7.067,"{3,11,18,22,38}",2551,25536,120.788,280.221,"{39,53,59,76,4109}",,0.709,43.3024,-75.6199,Oneida,RT-69
104N05456,153,24.830,11.677,"{4,13,28,33,58}",3799,25704,220.951,558.749,"{111,151,164,181,13418}",,2.316,43.2943,-75.6112,Oneida,Rome Taberg Rd
104N05457,366,39.492,15.202,"{3,26,43,51,68}",14454,61488,313.879,960.989,"{163,210,221,240,19222}",8495,3.319,43.2783,-75.5717,Oneida,Rome Taberg Rd
104N05458,366,98.331,28.538,"{10,72,110,120,140}",35989,61488,481.318,1168.593,"{145,234,270,343,13191}",24305,2.277,43.2295,-75.4936,Oneida,Rome Taberg Rd/Erie Blvd W
104N05459,366,67.194,23.476,"{11,45,77,85,105}",24593,61488,192.663,482.147,"{56,88,108,150,6580}",13858,1.136,43.2096,-75.4582,Oneida,Erie Blvd E
104N05460,366,39.497,11.201,"{6,32,42,47,67}",14456,61488,26.016,29.510,"{15,22,24,27,2051}",,0.354,43.1939,-75.4529,Oneida,Erie Blvd E
104N05461,366,21.861,9.487,"{3,14,23,29,48}",8001,61488,1060.005,2849.057,"{231,367,472,653,26435}",5661,4.564,43.1937,-75.4367,Oneida,Lamphear Rd/Rome Oriskany Rd
104N05462,153,14.758,8.115,"{1,6,16,20,32}",2199,25704,275.317,765.488,"{89,124,139,177,9916}",,1.712,43.1714,-75.3588,Oneida,RT-69
104N05463,366,61.691,23.654,"{8,40,70,81,103}",22579,61488,464.590,1209.540,"{110,191,226,295,11642}",8565,2.010,43.1388,-75.3052,Oneida,RT-69
104N05897,366,69.689,23.004,"{14,47,76,87,114}",25506,61488,139.653,287.337,"{76,116,123,132,11178}",1336,1.978,43.1168,-75.2336,Oneida,RT-12
104N05898,366,68.093,20.405,"{20,48,74,83,116}",24922,61488,244.159,303.269,"{141,209,221,243,20321}",,3.508,43.1719,-75.1835,Oneida,RT-12
104N05899,366,61.325,19.169,"{13,45,66,76,94}",22445,61488,197.281,546.253,"{82,121,134,160,11328}",,1.956,43.2578,-75.185,Oneida,RT-12
104N05900,366,48.366,15.762,"{7,35,51,61,81}",17702,61488,119.123,228.276,"{63,90,95,102,8907}",762,1.538,43.2833,-75.1829,Oneida,RT-12
104N05921,153,55.242,21.692,"{6,32,64,71,86}",8452,25704,466.816,1335.638,"{144,207,241,312,15302}",,2.642,43.0798,-75.3919,Oneida,RT-233
104N05922,366,35.238,15.582,"{4,20,39,47,72}",12897,61488,565.129,1669.699,"{173,235,262,356,20992}",6084,3.624,43.12,-75.4052,Oneida,RT-233
104N05923,366,23.157,12.090,"{1,10,26,32,49}",8383,61488,368.347,760.582,"{38,81,113,214,4074}",4961,0.703,43.1937,-75.4367,Oneida,Rome-Westmoreland Rd/Martin St
104N05924,366,29.115,11.098,"{4,19,32,38,54}",10656,61488,201.355,542.598,"{51,88,98,127,5192}",7271,0.896,43.0781,-75.6348,Oneida,State St
104N05925,366,118.426,24.933,"{20,98,130,136,154}",43344,61488,238.166,557.000,"{122,171,183,210,15632}",,2.699,43.13,-75.5783,Oneida,RT-365
104N05926,366,109.235,24.657,"{16,88,120,127,141}",39980,61488,139.977,241.129,"{75,109,118,135,10112}",,1.746,43.1877,-75.4891,Oneida,RT-365
104N05927,366,57.413,15.326,"{7,45,61,69,87}",21013,61488,39.846,80.505,"{24,34,36,38,3278}",,0.566,43.1898,-75.4517,Oneida,RT-365
104N05928,366,98.500,22.575,"{17,79,107,115,133}",36051,61488,76.300,109.657,"{47,68,71,76,6495}",,1.121,43.1929,-75.441,Oneida,RT-365
104N05929,366,23.664,10.149,"{1,16,26,31,50}",8661,61488,79.232,175.075,"{26,42,50,67,2696}",11435,0.465,43.2016,-75.4277,Oneida,RT-365
104N05946,366,89.768,18.797,"{18,75,95,104,125}",32855,61488,65.165,46.861,"{42,59,62,66,5458}",16393,0.942,43.2047,-75.4193,Oneida,RT-49
104N05947,366,71.022,17.408,"{12,58,76,83,109}",25994,61488,53.475,76.302,"{33,46,49,53,4565}",11862,0.788,43.2022,-75.4021,Oneida,RT-49
104N05948,153,131.340,19.103,"{38,119,138,145,156}",20095,25704,298.394,321.964,"{196,270,279,293,28360}",,4.896,43.1709,-75.3239,Oneida,River Rd
104N05949,153,116.987,18.667,"{31,105,123,130,150}",17899,25704,157.091,69.365,"{97,138,146,161,7160}",,2.472,43.1475,-75.2876,Oneida,River Rd
104N05950,366,81.363,16.347,"{19,68,86,94,112}",29779,61488,57.930,51.194,"{42,54,56,58,5680}",19237,0.981,43.1417,-75.2747,Oneida,River Rd
104N05951,366,112.333,18.834,"{38,97,120,126,144}",41114,61488,122.705,125.697,"{83,115,118,123,12032}",17512,2.077,43.1253,-75.2413,Oneida,River Rd
104N05952,366,77.355,14.861,"{21,65,81,88,107}",28312,61488,50.694,57.406,"{30,44,46,52,4443}",14749,0.767,43.1203,-75.2253,Oneida,River Rd
104N06726,366,27.156,12.226,"{3,16,28,35,65}",9939,61488,276.482,700.350,"{160,205,218,238,19479}",2999,3.363,42.9132,-75.3623,Oneida,US-20
104N06727,366,17.347,7.317,"{1,11,18,22,35}",6349,61488,134.590,364.114,"{40,59,70,91,4920}",2999,0.849,42.9138,-75.3789,Oneida,US-20
104N06728,366,40.511,18.111,"{4,23,45,54,79}",14827,61488,499.510,1320.728,"{220,297,321,395,27618}",,4.768,42.9082,-75.467,Oneida,US-20
104N06838,366,68.811,22.480,"{8,47,78,86,102}",25185,61488,150.824,272.147,"{77,109,122,145,8980}",22059,1.550,43.1926,-75.4463,Oneida,Erie Blvd E
104N06880,153,11.792,5.846,"{1,7,12,16,24}",1757,25704,292.711,665.230,"{200,240,252,266,23603}",,4.075,43.3683,-75.8869,Oneida,RT-69
104N06881,366,46.497,16.222,"{3,32,51,59,81}",17018,61488,250.930,669.444,"{84,143,162,197,11033}",13948,1.905,43.2475,-75.5223,Oneida,Rome Taberg Rd
104N06882,153,21.418,11.260,"{2,11,24,30,47}",3277,25704,393.046,1044.634,"{105,146,168,235,11398}",,1.968,43.1584,-75.3315,Oneida,Erie Blvd
104N06883,366,11.808,5.205,"{1,8,11,16,32}",4298,61488,30.149,90.961,"{9,14,16,20,893}",,0.154,43.1162,-75.2899,Oneida,RT-69
104N06956,366,2.733,1.520,"{1,1,3,4,8}",861,61488,3.931,2.559,"{3,3,4,4,61}",3440,0.050,42.8782,-75.2429,Oneida,E State St
104N06963,366,84.757,17.826,"{20,71,90,98,123}",31021,61488,61.056,106.024,"{39,54,56,59,5165}",17453,0.892,43.194,-75.4377,Oneida,RT-49
104N06964,366,97.361,27.800,"{11,72,109,119,136}",35634,61488,474.483,1085.566,"{149,235,277,360,13169}",24310,2.274,43.2099,-75.4582,Oneida,Erie Blvd
104N06966,366,16.142,6.465,"{1,11,16,21,36}",5908,61488,12.163,21.708,"{3,5,7,12,214}",,0.037,43.2098,-75.4584,Oneida,Erie Blvd
104N06967,366,16.490,6.486,"{1,11,17,21,32}",6019,61488,30.607,49.636,"{15,19,25,32,1649}",,0.285,43.1929,-75.441,Oneida,RT-69
104N07453,366,42.156,15.809,"{6,28,46,54,80}",15429,61488,394.620,983.045,"{223,282,300,336,26367}",2536,4.552,42.8531,-75.4041,Oneida,Faulkner Rd
104N07454,366,42.016,16.613,"{4,26,48,55,75}",15378,61488,367.962,873.951,"{79,146,170,225,7861}",4204,1.357,42.9135,-75.3788,Oneida,RT-12
104N07455,366,41.806,17.393,"{3,26,47,55,73}",15301,61488,568.909,1600.925,"{163,237,291,419,20097}",4122,3.470,42.9311,-75.38,Oneida,Main St
104N07456,366,29.464,12.623,"{2,19,33,39,60}",10784,61488,296.008,1071.080,"{120,152,160,172,14307}",4121,2.470,42.9658,-75.3354,Oneida,RT-12
104N07457,366,14.298,6.156,"{1,10,15,19,33}",5233,61488,49.263,22.953,"{31,40,44,52,732}",4130,0.632,42.9981,-75.3171,Oneida,RT-12
104N07458,366,37.139,15.499,"{4,23,41,49,67}",13593,61488,345.237,991.799,"{167,233,257,294,20078}",4758,3.466,43.0052,-75.3241,Oneida,RT-12
104N07459,366,14.688,6.049,"{1,10,16,19,28}",5361,61488,49.616,58.556,"{27,40,44,49,3628}",5385,0.626,43.051,-75.3185,Oneida,New Paris Rd
104N07460,366,25.943,10.845,"{2,16,28,34,48}",9495,61488,149.350,367.338,"{69,93,110,138,7853}",5385,1.356,43.06,-75.3195,Oneida,New Paris Rd
104N07461,366,14.101,5.659,"{1,10,14,18,32}",5147,61488,31.809,69.336,"{7,16,19,25,664}",,0.115,43.0762,-75.3047,Oneida,New Paris Rd
104N07462,366,49.101,16.245,"{5,36,53,62,84}",17971,61488,103.274,291.808,"{27,41,48,68,3511}",,0.606,43.0773,-75.3063,Oneida,Genesee St/North-South Arterial Hwy
104N07463,366,77.128,21.349,"{20,60,84,93,129}",28229,61488,72.664,80.315,"{40,61,66,74,5508}",,0.951,43.0796,-75.2949,Oneida,RT-12
104N07464,366,44.945,14.069,"{10,34,47,55,95}",16450,61488,33.106,54.504,"{20,28,30,33,2718}",5377,0.451,43.0887,-75.2754,Oneida,RT-12
104N07465,366,93.270,27.690,"{23,72,102,115,146}",34137,61488,265.083,710.646,"{89,153,177,220,11781}",5450,2.034,43.0908,-75.2679,Oneida,RT-12
104N07466,366,72.189,22.159,"{20,51,80,89,110}",26421,61488,66.726,111.680,"{35,57,61,67,5452}",,0.893,43.1052,-75.2389,Oneida,RT-12
104N07468,366,68.833,21.754,"{20,49,76,86,116}",25193,61488,178.677,124.621,"{116,162,170,178,16290}",,2.812,43.1424,-75.2138,Oneida,RT-12
104N07469,366,71.467,21.245,"{21,51,78,88,115}",26157,61488,297.115,825.386,"{129,181,201,241,16407}",337,2.832,43.2184,-75.1747,Oneida,RT-12
104N07470,366,39.836,13.382,"{5,29,43,50,72}",14580,61488,76.713,105.493,"{50,66,69,74,6440}",,1.112,43.3083,-75.1883,Oneida,RT-12
104N07471,366,39.648,12.630,"{6,30,42,48,78}",14511,61488,75.055,142.536,"{46,61,65,73,5984}",,1.033,43.3242,-75.1922,Oneida,RT-12
104N07472,366,76.932,22.187,"{15,57,84,93,124}",28157,61488,341.769,456.451,"{223,298,312,334,29024}",,5.011,43.3373,-75.2019,Oneida,RT-12
104N07473,366,25.454,8.454,"{2,19,26,31,55}",9316,61488,42.073,94.610,"{25,32,34,38,2959}",,0.511,43.4064,-75.2193,Oneida,RT-12
104N07474,366,81.620,23.325,"{14,60,89,98,131}",29873,61488,547.298,1080.831,"{271,412,436,489,38517}",2946,6.650,43.4173,-75.2251,Oneida,RT-12
104N07475,366,40.120,12.786,"{4,30,42,49,72}",14684,61488,116.595,263.129,"{45,74,81,97,4937}",4072,0.852,43.477,-75.3183,Oneida,Headwaters Plz
104N07840,366,22.631,12.443,"{1,13,22,30,65}",8283,61488,1053.975,2935.876,"{199,274,324,483,21252}",2556,3.669,43.1387,-75.5007,Oneida,RT-26
104N07841,366,42.320,12.099,"{4,33,44,50,71}",15489,61488,28.728,41.853,"{14,20,23,28,1799}",,0.311,43.187,-75.4877,Oneida,RT-26
104N07842,366,12.770,6.452,"{1,8,13,17,33}",4661,61488,178.864,465.099,"{52,95,104,117,6129}",2485,1.058,43.1882,-75.4831,Oneida,S James St
104N07843,153,16.954,6.859,"{1,12,17,21,34}",2594,25704,382.845,818.174,"{62,107,134,232,5071}",,0.876,43.1999,-75.4692,Oneida,S James St
104N07844,152,1.673,0.780,"{1,1,2,2,4}",164,25536,3.061,4.429,"{1,2,2,3,57}",,0.010,43.2098,-75.4584,Oneida,James St
104N07846,153,19.471,7.540,"{3,13,21,24,40}",2979,25704,208.873,466.588,"{64,91,106,152,4559}",,0.787,43.2257,-75.4556,Oneida,Turin Rd
104N07847,153,31.516,12.360,"{5,21,33,41,57}",4822,25704,316.403,839.598,"{116,158,175,219,10347}",,1.786,43.2371,-75.4554,Oneida,Turin Rd
104N07848,153,29.183,11.044,"{3,21,30,38,57}",4465,25704,289.717,815.746,"{78,127,138,177,9219}",,1.592,43.2622,-75.4631,Oneida,Turin Rd
104N07849,153,22.889,8.787,"{4,16,24,29,46}",3502,25704,216.320,580.917,"{62,104,117,157,7666}",,1.323,43.2845,-75.4709,Oneida,Turin Rd
104N07850,153,29.144,15.297,"{5,17,28,38,77}",4459,25704,908.442,2626.317,"{393,518,570,805,47315}",,8.168,43.3035,-75.4732,Oneida,Turin Rd
104N07851,153,18.216,9.026,"{3,11,17,23,45}",2787,25704,349.982,779.858,"{129,190,221,317,16963}",,2.928,43.4188,-75.4795,Oneida,RT-26
104N07874,366,26.604,11.061,"{3,15,29,35,49}",9737,61488,72.670,162.679,"{14,31,38,56,1559}",6880,0.269,43.1163,-75.4038,Oneida,RT-233
104N07875,366,30.486,14.683,"{3,16,34,42,60}",11158,61488,190.947,450.702,"{87,124,137,167,10660}",7909,1.840,43.171,-75.4178,Oneida,RT-233
104N07876,365,2.134,1.255,"{1,1,2,3,7}",591,61320,11.323,22.395,"{2,4,5,7,138}",1076,0.024,43.1993,-75.448,Oneida,Martin St
104N07877,366,69.653,21.461,"{15,51,77,86,110}",25493,61488,384.755,955.155,"{144,221,252,314,16878}",10188,2.914,43.0905,-75.6299,Oneida,State St
104N07878,366,104.071,22.193,"{22,87,113,120,134}",38090,61488,129.256,284.011,"{47,72,90,117,5545}",,0.957,43.119,-75.5939,Oneida,RT-365
104N07879,366,121.672,24.901,"{22,101,133,139,151}",44532,61488,231.888,249.824,"{157,214,223,231,20804}",,3.592,43.1627,-75.5501,Oneida,RT-365
104N07880,366,42.268,17.314,"{6,26,48,55,75}",15470,61488,198.216,434.860,"{79,132,146,176,8978}",6997,1.550,43.2046,-75.4237,Oneida,River Rd
104N07881,366,29.549,12.399,"{3,20,31,39,60}",10815,61488,354.569,1007.422,"{141,203,218,253,18408}",5211,3.178,43.2022,-75.3936,Oneida,New Floyd Rd
104N07882,366,27.885,11.849,"{1,19,29,36,57}",10206,61488,321.017,898.746,"{128,181,196,221,15388}",5597,2.657,43.2187,-75.3351,Oneida,New Floyd Rd
104N07883,366,21.664,10.243,"{1,15,22,29,65}",7929,61488,170.792,372.227,"{87,120,134,154,9950}",5793,1.718,43.2335,-75.2877,Oneida,RT-365
104N07884,366,24.541,10.841,"{3,16,25,32,62}",8982,61488,331.445,944.893,"{98,142,168,226,12190}",4644,2.104,43.242,-75.2566,Oneida,Main St
104N07885,366,15.265,7.126,"{1,10,15,20,37}",5587,61488,133.931,395.785,"{70,97,103,112,9219}",3494,1.591,43.2575,-75.221,Oneida,RT-365
104N07886,366,16.847,7.502,"{2,11,17,23,37}",6166,61488,215.645,590.666,"{55,89,112,160,6258}",3620,1.080,43.2724,-75.197,Oneida,RT-365
104N07887,366,15.765,7.956,"{2,9,14,21,42}",5770,61488,218.771,666.721,"{101,146,157,175,13780}",3349,2.379,43.2838,-75.1852,Oneida,RT-365
104N07888,153,14.078,5.949,"{1,10,14,18,41}",2154,25704,187.322,597.765,"{102,129,137,150,12430}",,2.146,43.3082,-75.1546,Oneida,RT-365
104N07889,153,5.392,4.171,"{1,3,4,7,31}",798,25704,108.598,301.607,"{40,55,59,68,5189}",,0.896,43.3425,-75.0954,Oneida,RT-365
