tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04098,366,134.615,25.438,"{39,110,147,152,163}",49269,61488,69.825,41.563,"{48,64,67,70,7035}",,1.215,42.7782,-76.1264,Onondaga,I-81
104N04099,366,158.055,14.521,"{66,149,166,167,168}",57848,61488,248.498,133.339,"{180,231,241,251,24586}",,4.245,42.7965,-76.1233,Onondaga,I-81
104N04100,366,153.429,18.267,"{58,141,163,165,168}",56155,61488,153.709,130.310,"{103,137,147,159,14100}",,2.434,42.8557,-76.119,Onondaga,I-81
104N04101,366,93.085,21.489,"{26,76,100,108,134}",34069,61488,21.116,20.486,"{14,19,20,21,2018}",,0.348,42.8902,-76.1094,Onondaga,I-81
104N04102,366,159.372,13.132,"{73,152,166,167,168}",58330,61488,288.113,195.013,"{195,258,274,294,26851}",1200,4.636,42.8951,-76.1109,Onondaga,I-81
104N04103,366,156.243,16.060,"{67,145,165,167,168}",57185,61488,187.768,91.048,"{136,175,182,190,13301}",5701,3.215,42.9528,-76.1383,Onondaga,I-81
104N04104,366,122.145,25.118,"{38,99,134,140,158}",44705,61488,51.819,73.080,"{31,45,48,51,4512}",1477,0.779,43.0034,-76.1337,Onondaga,I-81
104N04105,366,131.505,24.792,"{35,111,144,149,161}",48131,61488,57.257,90.670,"{37,51,53,57,5115}",19331,0.883,43.0134,-76.1384,Onondaga,I-81
104N04106,366,139.705,24.400,"{43,119,152,157,164}",51132,61488,65.835,105.724,"{40,56,59,63,5455}",6795,0.942,43.0264,-76.1401,Onondaga,I-81
104N04107,366,109.913,23.843,"{26,89,119,127,147}",40228,61488,33.402,75.143,"{14,21,23,29,1859}",,0.321,43.039,-76.1421,Onondaga,I-81
104N04108,366,99.495,21.825,"{27,83,109,116,129}",36415,61488,35.905,86.819,"{14,22,24,28,1867}",8975,0.309,43.0443,-76.1425,Onondaga,I-81
104N04109,366,118.331,24.502,"{41,98,128,136,151}",43309,61488,65.291,139.910,"{26,45,49,56,3679}",12150,0.635,43.0488,-76.1425,Onondaga,I-81
104N04110,366,68.183,17.173,"{15,57,71,80,121}",24955,61488,15.557,27.764,"{7,12,13,14,1010}",8700,0.174,43.0543,-76.152,Onondaga,I-81
104N04111,366,75.383,18.215,"{23,62,78,89,119}",27590,61488,14.305,21.765,"{7,11,12,13,975}",5512,0.168,43.0576,-76.1538,Onondaga,I-81
104N04112,366,90.434,21.396,"{30,74,96,105,141}",33099,61488,26.956,43.200,"{13,21,22,24,1907}",,0.329,43.0595,-76.1548,Onondaga,I-81
104N04113,366,82.964,20.092,"{32,68,88,98,127}",30365,61488,20.135,29.312,"{11,16,17,19,1477}",4067,0.255,43.0626,-76.1581,Onondaga,I-81
