tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04268,366,121.937,30.221,"{45,94,137,144,155}",44629,61488,123.126,132.822,"{86,111,117,123,12134}",31539,2.095,43.0143,-77.4393,Ontario,I-490
104N04775,366,92.137,35.251,"{21,64,80,129,148}",33722,61488,75.447,108.507,"{5,16,85,101,5544}",33953,0.067,43.0112,-77.4388,Ontario,I-490
104N04776,366,90.708,23.971,"{29,69,99,109,127}",33199,61488,69.536,124.549,"{14,30,39,67,1776}",33953,0.307,43.0125,-77.4389,Ontario,I-490
104N04792,366,160.634,11.622,"{69,157,166,167,168}",58792,61488,90.557,77.304,"{61,84,88,92,9296}",,1.567,43.0084,-77.4385,Ontario,I-90
104N04793,366,163.243,9.053,"{72,162,167,168,168}",59747,61488,122.669,14.777,"{85,116,122,127,792}",,2.187,42.9988,-77.4169,Ontario,I-90
104N04794,366,166.724,4.111,"{104,167,168,168,168}",61021,61488,404.067,36.604,"{302,388,405,417,2862}",,7.371,42.9958,-77.3711,Ontario,I-90
104N04795,366,162.803,9.289,"{73,160,167,168,168}",59586,61488,150.847,73.446,"{110,145,151,155,15840}",,2.735,42.9787,-77.2382,Ontario,I-90
104N04796,366,167.429,2.645,"{124,168,168,168,168}",61279,61488,547.183,45.008,"{417,526,549,564,2923}",,9.958,42.9735,-77.1782,Ontario,I-90
104N04797,366,156.817,14.380,"{56,149,164,166,168}",57395,61488,60.588,53.453,"{43,57,60,62,6299}",,1.088,42.9548,-76.9868,Ontario,I-90
104N04798,366,66.123,14.281,"{18,58,68,76,97}",24201,61488,6.784,5.076,"{5,6,7,7,713}",,0.123,42.9551,-76.9655,Ontario,I-90
104N05273,366,39.361,20.469,"{1,19,45,55,111}",14406,61488,176.946,538.453,"{77,114,126,142,9674}",5184,1.670,42.9094,-77.5706,Ontario,E Main St
104N05274,366,41.642,22.251,"{3,17,47,60,83}",15241,61488,212.265,537.440,"{105,140,152,171,12437}",4726,2.147,42.9058,-77.539,Ontario,US-20
104N05275,366,32.667,17.637,"{1,14,36,47,73}",11956,61488,116.537,188.324,"{63,95,99,106,8791}",4726,1.518,42.9025,-77.497,Ontario,US-20
104N05276,366,28.669,15.348,"{1,13,32,41,62}",10493,61488,108.093,254.625,"{55,77,82,93,7005}",4726,1.209,42.902,-77.4676,Ontario,US-20
104N05277,366,31.981,15.620,"{2,16,35,44,77}",11705,61488,124.999,280.582,"{54,90,96,104,5820}",5530,1.005,42.8975,-77.4446,Ontario,US-20
104N05278,366,23.395,11.033,"{1,14,26,32,48}",8539,61488,76.219,176.888,"{39,52,57,67,4574}",5530,0.790,42.8925,-77.4261,Ontario,Buffalo Rd
104N05279,366,39.183,17.559,"{3,22,44,53,72}",14341,61488,141.013,391.850,"{63,85,92,107,7275}",7709,1.256,42.8858,-77.4135,Ontario,Buffalo Rd
104N05280,366,31.839,16.556,"{1,16,33,44,66}",11653,61488,102.911,222.107,"{38,59,70,95,4419}",6824,0.763,42.8821,-77.3106,Ontario,US-20
104N05281,366,34.492,15.985,"{3,20,37,47,67}",12624,61488,104.752,269.672,"{34,49,59,80,3923}",8596,0.677,42.875,-77.3019,Ontario,US-20
104N05282,366,23.986,10.480,"{1,16,26,32,50}",8779,61488,70.312,195.920,"{22,31,36,47,2675}",10406,0.462,42.8717,-77.2908,Ontario,US-20
104N05283,366,24.473,10.131,"{2,16,27,32,46}",8957,61488,43.324,77.049,"{22,32,36,43,2687}",11629,0.464,42.8754,-77.2834,Ontario,Western Blvd
104N05284,366,81.667,27.578,"{9,58,92,103,125}",29890,61488,237.237,501.849,"{77,130,157,204,7547}",,1.303,42.8782,-77.2746,Ontario,Western Blvd/Eastern Blvd
104N05285,366,73.164,27.678,"{2,48,84,95,117}",26778,61488,314.743,835.404,"{91,157,187,246,11808}",12424,2.039,42.8763,-77.25,Ontario,Eastern Blvd
104N05286,366,50.219,22.762,"{2,26,58,68,91}",18380,61488,158.612,366.010,"{99,120,126,135,10903}",8368,1.882,42.8641,-77.214,Ontario,US-20
104N05287,366,63.537,27.642,"{5,35,75,84,131}",23191,61488,249.519,402.683,"{159,213,223,239,19386}",8368,3.347,42.8615,-77.1774,Ontario,US-20
104N05288,366,65.918,29.481,"{3,35,78,88,120}",24126,61488,186.112,395.982,"{87,121,135,157,10365}",8368,1.789,42.8595,-77.1119,Ontario,US-20
104N05289,366,94.577,34.694,"{1,67,109,121,142}",34615,61488,464.706,1211.499,"{169,251,296,379,19879}",11876,3.432,42.861,-77.0775,Ontario,US-20
104N05290,366,61.740,24.382,"{8,37,71,82,96}",22597,61488,72.621,136.225,"{36,54,59,67,3507}",19485,0.606,42.8609,-76.9845,Ontario,Hamilton St
104N05840,153,58.993,22.972,"{10,34,69,76,98}",9026,25704,159.726,311.372,"{88,123,132,149,10814}",,1.867,42.946,-76.9749,Ontario,RT-96
