tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04106,366,167.932,0.612,"{157,168,168,168,168}",61463,61488,736.409,185.805,"{551,689,717,743,8533}",7124,13.356,41.1346,-74.1681,Orange,I-87
120N04107,366,167.790,1.374,"{146,168,168,168,168}",61411,61488,888.979,338.099,"{662,825,861,892,33451}",,15.400,41.3013,-74.1338,Orange,I-87
120N04108,366,166.216,4.728,"{107,166,168,168,168}",60835,61488,362.982,101.414,"{259,340,357,370,6467}",,6.509,41.5074,-74.0749,Orange,I-87
120N04109,366,73.481,12.540,"{15,66,75,82,102}",26894,61488,7.112,4.282,"{5,7,7,7,376}",,0.130,41.5986,-74.0852,Orange,I-87
120N04110,366,100.683,23.617,"{34,81,110,119,135}",36850,61488,33.159,45.038,"{21,29,31,34,3073}",64337,0.530,41.396,-74.3372,Orange,RT-17
120N04111,366,147.607,21.328,"{63,133,158,162,168}",54024,61488,161.733,176.129,"{108,148,156,164,16075}",33208,2.775,41.4052,-74.3426,Orange,RT-17
120N04112,366,89.612,21.245,"{25,75,96,106,123}",32798,61488,31.272,40.479,"{20,27,29,31,2910}",33912,0.502,41.4439,-74.3644,Orange,RT-17
120N04113,366,128.219,23.698,"{47,111,138,145,159}",46928,61488,54.498,95.920,"{33,46,50,55,4775}",31646,0.798,41.4456,-74.3676,Orange,RT-17
120N04114,366,142.620,22.462,"{52,128,154,158,165}",52199,61488,178.471,170.361,"{119,163,171,180,17762}",36750,3.066,41.4578,-74.3759,Orange,RT-17
120N04115,366,86.967,20.720,"{24,72,93,102,122}",31830,61488,37.355,74.762,"{25,32,34,36,3631}",32887,0.627,41.4924,-74.3992,Orange,RT-17
120N04116,366,102.481,23.999,"{22,84,110,120,143}",37508,61488,58.026,29.755,"{40,53,56,59,2982}",32887,1.030,41.5032,-74.408,Orange,RT-17
120N04117,366,132.877,24.093,"{47,116,144,150,164}",48633,61488,152.492,43.116,"{109,141,150,157,5138}",32725,2.661,41.5176,-74.4136,Orange,RT-17
120N04118,366,66.224,15.784,"{16,57,69,77,101}",24238,61488,21.353,10.244,"{15,19,20,22,517}",32200,0.357,41.5536,-74.4248,Orange,RT-17
120N04119,366,23.689,7.346,"{6,18,23,28,56}",8670,61488,3.020,1.690,"{2,3,3,3,152}",,0.053,41.559,-74.4257,Orange,RT-17
120N04120,366,136.178,20.434,"{50,125,143,151,162}",49841,61488,54.327,70.476,"{34,47,49,53,4830}",3921,0.834,41.3577,-74.6954,Orange,I-84
120N04121,366,161.213,10.247,"{95,159,166,167,168}",59004,61488,236.547,129.669,"{152,216,228,242,21993}",4851,3.797,41.3539,-74.6822,Orange,I-84
120N04122,366,166.224,4.540,"{126,167,168,168,168}",60838,61488,596.580,364.817,"{443,570,589,606,60240}",829,10.400,41.374,-74.6116,Orange,I-84
120N04123,366,161.254,10.821,"{84,160,166,167,168}",59019,61488,210.933,103.919,"{154,200,207,213,7181}",,3.662,41.4122,-74.4301,Orange,I-84
120N04124,366,164.180,7.794,"{98,165,168,168,168}",60090,61488,281.760,215.147,"{184,251,260,269,26436}",7369,4.621,41.4433,-74.3744,Orange,I-84
120N04125,366,163.863,8.596,"{99,165,168,168,168}",59974,61488,303.595,323.571,"{202,272,283,293,29631}",4566,5.116,41.4771,-74.3002,Orange,I-84
120N04126,366,163.445,9.117,"{102,163,168,168,168}",59821,61488,242.734,235.777,"{170,225,233,240,24175}",5542,4.193,41.5092,-74.2114,Orange,I-84
120N04127,366,161.251,11.849,"{89,159,167,168,168}",59018,61488,140.744,112.682,"{91,129,136,142,13039}",5347,2.251,41.518,-74.1134,Orange,I-84
120N04128,366,157.801,15.113,"{71,154,165,167,168}",57755,61488,75.764,56.626,"{48,69,73,77,6714}",6609,1.159,41.5149,-74.0766,Orange,I-84
120N04129,366,158.997,14.142,"{86,157,166,167,168}",58193,61488,88.554,50.687,"{59,80,84,88,7998}",6579,1.381,41.5134,-74.0541,Orange,I-84
120N04130,366,155.161,16.409,"{76,150,163,165,168}",56789,61488,61.900,102.838,"{36,55,57,60,5274}",9304,0.910,41.5195,-74.0248,Orange,I-84
120N04189,366,18.637,6.757,"{2,14,18,23,47}",6821,61488,22.327,51.788,"{13,18,19,21,1862}",8730,0.321,41.2948,-74.0282,Orange,Palisades Interstate Pky
120N04190,366,18.238,7.053,"{1,13,18,23,61}",6657,61488,46.441,62.172,"{30,40,43,47,3876}",8730,0.669,41.301,-74.0306,Orange,Palisades Interstate Pky
120N04191,366,49.727,14.884,"{13,39,50,60,115}",18200,61488,181.788,538.311,"{96,139,150,163,13220}",3305,2.282,41.3079,-74.0264,Orange,Palisades Interstate Pky
120N04192,366,18.844,6.162,"{4,15,19,22,60}",6897,61488,25.239,53.459,"{9,18,20,23,1131}",,0.186,41.3222,-73.9948,Orange,Palisades Interstate Pky
120N05428,366,145.937,18.806,"{57,137,150,160,168}",53413,61488,146.284,252.754,"{14,45,149,190,11072}",25904,0.278,41.3147,-74.1297,Orange,RT-17
120N05429,366,111.342,24.510,"{34,93,120,130,156}",40751,61488,47.910,135.844,"{27,38,40,44,3834}",46935,0.662,41.315,-74.1304,Orange,RT-17
120N05430,366,62.948,12.285,"{20,56,64,71,89}",23039,61488,8.615,16.670,"{6,7,8,9,837}",53464,0.144,41.3187,-74.143,Orange,RT-17
120N05438,366,151.585,17.270,"{79,144,160,163,168}",55480,61488,158.386,121.328,"{109,143,150,157,15321}",35572,2.645,41.3207,-74.1484,Orange,US-6
120N05439,366,117.932,23.859,"{40,101,126,137,150}",43163,61488,48.293,81.984,"{30,40,43,46,4377}",31350,0.756,41.3435,-74.1851,Orange,US-6
120N05440,366,140.418,22.784,"{52,125,151,156,165}",51393,61488,91.587,76.472,"{56,80,85,92,8320}",56340,1.436,41.3468,-74.1961,Orange,US-6
120N05441,366,135.363,24.722,"{50,119,146,153,162}",49543,61488,78.121,76.780,"{53,70,74,78,7751}",55720,1.338,41.347,-74.2245,Orange,US-6
120N05442,366,141.194,23.505,"{55,126,153,157,165}",51677,61488,107.135,126.504,"{71,95,101,106,10565}",30043,1.824,41.3551,-74.2573,Orange,US-6
120N05443,366,150.563,19.499,"{62,140,160,163,168}",55106,61488,201.291,270.135,"{131,177,187,196,19325}",41637,3.336,41.3521,-74.2817,Orange,US-6
120N05444,366,111.872,24.629,"{27,95,121,130,147}",40945,61488,39.764,46.452,"{27,35,37,40,3851}",41653,0.665,41.3907,-74.3206,Orange,US-6
