tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05684,366,20.921,9.944,"{1,12,23,29,43}",7657,61488,218.342,696.630,"{79,107,118,133,9210}",3375,1.590,43.2544,-78.4628,Orleans,Ridge Rd
104N05824,366,29.986,13.620,"{2,18,33,40,63}",10975,61488,436.337,1232.441,"{134,213,235,311,18323}",3137,3.163,43.2672,-78.3932,Orleans,Ridge Rd
104N05825,366,22.871,10.170,"{1,15,25,31,47}",8348,61488,258.407,813.950,"{67,88,98,126,7965}",3620,1.375,43.2868,-78.1918,Orleans,Ridge Rd
104N05829,153,37.359,17.366,"{4,20,42,50,67}",5716,25704,279.806,541.888,"{64,112,140,219,4492}",,0.776,43.2411,-78.1939,Orleans,S Main St
104N05830,366,18.246,9.868,"{1,11,18,24,55}",6678,61488,830.312,1842.549,"{113,187,246,470,14563}",1830,2.514,43.2868,-78.1918,Orleans,Oak Orchard Rd
104N05865,366,31.492,13.278,"{3,20,35,41,61}",11526,61488,351.948,760.617,"{79,121,140,201,5620}",7523,0.970,43.2072,-78.3879,Orleans,RT-63
104N05866,366,25.273,13.008,"{1,13,27,34,66}",9174,61488,680.964,1895.309,"{177,261,305,424,21636}",3491,3.735,43.2672,-78.3898,Orleans,RT-63
104N05867,149,1.424,0.828,"{1,1,1,2,4}",84,25032,7.143,2.916,"{4,5,6,8,19}",,0.029,43.3474,-78.3887,Orleans,N Lyndonville Rd
104N06715,366,29.159,12.345,"{1,19,32,39,56}",10643,61488,299.623,978.694,"{90,125,132,146,11379}",5433,1.965,43.2676,-78.0311,Orleans,Ridge Rd
104N06716,366,26.104,11.174,"{2,17,28,34,53}",9554,61488,213.576,669.249,"{68,97,107,127,8246}",4466,1.424,43.2757,-78.0565,Orleans,Ridge Rd
104N06717,366,24.449,10.872,"{2,16,26,32,46}",8924,61488,183.551,520.177,"{88,120,126,135,11069}",4441,1.911,43.2864,-78.0914,Orleans,Ridge Rd
104N06718,366,27.210,11.910,"{1,17,29,36,55}",9959,61488,238.906,713.167,"{93,142,150,165,13172}",3620,2.274,43.2905,-78.1356,Orleans,Ridge Rd
104N06719,366,21.482,9.622,"{1,14,23,29,41}",7841,61488,121.379,281.624,"{67,91,95,102,8648}",3620,1.493,43.2901,-78.1649,Orleans,Ridge Rd
104N06720,366,18.668,8.581,"{2,12,20,25,43}",6814,61488,207.475,607.735,"{48,91,101,125,7013}",3144,1.211,43.2851,-78.2156,Orleans,Ridge Rd
104N06721,366,20.307,9.487,"{1,12,22,27,43}",7412,61488,250.341,805.535,"{78,129,140,158,11370}",2407,1.963,43.2765,-78.2522,Orleans,Ridge Rd
104N06722,366,24.189,11.713,"{1,14,26,32,52}",8829,61488,308.942,808.147,"{123,190,200,216,17460}",2659,3.014,43.2792,-78.3108,Orleans,Ridge Rd
104N06723,366,15.328,7.591,"{1,9,17,21,44}",5610,61488,148.361,486.884,"{46,78,86,98,6735}",2249,1.163,43.2742,-78.3327,Orleans,Ridge Rd
104N06809,153,18.510,9.885,"{1,11,19,25,43}",2795,25704,761.938,1600.799,"{103,194,262,436,10465}",,1.807,43.3213,-78.3887,Orleans,Main St
104N06810,366,31.139,14.622,"{1,20,33,42,69}",11397,61488,890.094,2235.829,"{195,291,362,550,20643}",3466,3.564,43.2204,-78.3869,Orleans,RT-63
104N06811,366,45.964,20.144,"{5,25,53,61,81}",16823,61488,326.860,845.680,"{133,198,224,265,15674}",4371,2.706,43.1695,-78.3904,Orleans,RT-63
104N06812,153,60.399,26.114,"{3,35,71,80,97}",9241,25704,570.210,1681.723,"{256,324,348,418,29227}",,5.046,43.0964,-78.391,Orleans,RT-63
104N06934,366,9.625,4.602,"{1,6,10,13,25}",3513,61488,47.144,107.494,"{8,17,23,39,1049}",3862,0.181,43.2669,-78.3931,Orleans,RT-63
