tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04999,366,136.142,26.538,"{43,112,150,155,163}",49828,61488,203.124,261.923,"{135,184,194,204,19690}",,3.399,43.2348,-76.1295,Oswego,I-81
104N05000,366,150.366,19.970,"{61,134,162,164,168}",55034,61488,481.185,461.726,"{344,447,467,484,49172}",1634,8.489,43.2838,-76.1252,Oswego,I-81
104N05001,366,125.792,27.638,"{35,98,140,146,156}",46040,61488,199.977,195.978,"{139,183,193,201,20274}",588,3.500,43.4059,-76.1162,Oswego,I-81
104N05002,366,127.937,26.798,"{38,102,142,147,158}",46825,61488,194.887,136.590,"{137,180,189,196,19817}",720,3.421,43.4551,-76.1196,Oswego,I-81
104N05003,366,125.617,27.401,"{31,100,140,145,158}",45976,61488,198.335,204.113,"{136,182,191,198,19993}",1601,3.452,43.5036,-76.1205,Oswego,I-81
104N05004,366,85.484,23.719,"{19,62,95,104,119}",31287,61488,54.658,65.966,"{37,50,53,55,5484}",,0.947,43.5531,-76.1139,Oswego,I-81
104N05005,366,135.407,25.072,"{41,111,148,154,162}",49559,61488,315.122,304.392,"{218,289,302,313,31811}",911,5.492,43.5672,-76.1134,Oswego,I-81
104N05006,366,44.530,12.820,"{11,34,48,54,74}",16298,61488,16.305,13.844,"{11,15,16,16,1661}",,0.287,43.6414,-76.0805,Oswego,I-81
104N05007,366,108.899,27.344,"{26,81,123,129,143}",39857,61488,115.183,106.215,"{81,106,111,115,11709}",,2.021,43.646,-76.0801,Oswego,I-81
104N05129,366,52.686,19.912,"{7,31,60,68,88}",19283,61488,60.803,119.714,"{40,52,55,58,5813}",,1.004,43.2113,-76.2664,Oswego,RT-481
104N05130,366,69.107,25.423,"{6,40,80,88,105}",25293,61488,133.363,225.646,"{91,116,123,129,13020}",2475,2.248,43.2245,-76.2727,Oswego,RT-481
104N05131,366,65.585,24.387,"{4,38,76,84,111}",24004,61488,154.525,299.937,"{99,132,139,146,14731}",2475,2.543,43.25,-76.3018,Oswego,RT-481
104N05383,366,35.549,14.572,"{2,20,40,47,66}",13011,61488,123.968,228.310,"{70,93,101,118,8497}",4154,1.467,43.306,-76.5794,Oswego,RT-104
104N05384,366,52.055,20.037,"{7,33,57,67,94}",19052,61488,707.952,2402.825,"{291,380,402,444,34612}",3398,5.975,43.3233,-76.5677,Oswego,RT-104
104N05385,366,56.992,23.283,"{5,37,59,73,111}",20859,61488,611.948,1606.444,"{188,302,345,452,21238}",5603,3.667,43.409,-76.5786,Oswego,RT-104
104N05386,366,32.951,14.351,"{4,20,35,44,78}",12060,61488,321.062,1016.116,"{139,193,205,230,17175}",5593,2.965,43.4711,-76.3879,Oswego,RT-104
104N05387,366,41.855,17.184,"{6,28,44,55,79}",15319,61488,1005.956,2852.058,"{277,407,473,621,29330}",3586,5.064,43.4792,-76.3309,Oswego,RT-104
104N05388,366,49.883,20.520,"{6,32,55,65,92}",18257,61488,672.219,1893.526,"{218,308,360,508,25393}",5714,4.384,43.4597,-76.2317,Oswego,Main St
104N05389,366,24.213,11.331,"{1,13,27,33,47}",8862,61488,146.750,404.005,"{59,78,89,112,6680}",3168,1.153,43.4573,-76.1452,Oswego,RT-104
104N05390,366,36.475,13.868,"{7,24,39,47,65}",13350,61488,1015.551,1878.552,"{197,331,539,1105,22103}",1127,3.816,43.4575,-76.1223,Oswego,RT-104
104N05391,153,5.248,3.208,"{1,3,5,7,16}",698,25704,303.062,691.654,"{143,187,204,229,9698}",,2.930,43.4703,-75.9907,Oswego,RT-104
104N05392,152,1.302,0.569,"{1,1,1,2,4}",69,25536,6.188,2.504,"{3,4,6,7,17}",,0.032,43.4539,-75.9376,Oswego,RT-104
104N05396,366,21.690,10.106,"{1,14,23,29,54}",7917,61488,684.060,1727.583,"{183,270,343,532,20215}",8015,3.490,43.2871,-76.1461,Oswego,East Ave/Fulton Ave
104N05397,366,50.085,17.390,"{8,34,55,63,84}",18331,61488,293.864,641.516,"{81,131,163,235,6923}",11922,1.195,43.2861,-76.1242,Oswego,RT-49
104N05446,366,22.071,11.710,"{1,12,23,30,58}",8034,61488,900.381,2416.892,"{216,334,403,607,28236}",2631,4.875,43.4595,-76.2288,Oswego,Church St
104N05447,366,17.810,10.228,"{1,9,18,25,72}",6483,61488,605.062,1567.654,"{128,208,251,336,13434}",3212,2.319,43.4203,-76.1588,Oswego,RT-69
104N05448,366,36.011,15.827,"{4,22,37,47,83}",13180,61488,992.168,2751.211,"{326,448,493,743,41622}",4171,7.186,43.4049,-76.1192,Oswego,E Main St
104N05495,366,30.410,12.210,"{2,22,31,38,61}",11130,61488,296.670,657.291,"{61,100,121,181,4886}",9513,0.844,43.555,-76.1129,Oswego,Rome Rd/Rome St
104N05496,153,19.322,9.682,"{1,13,19,26,52}",2937,25704,1002.899,2635.410,"{181,257,335,568,18253}",,3.151,43.5621,-76.1265,Oswego,Rome Rd/Rome St/Port St
104N05497,151,1.310,0.622,"{1,1,1,1,4}",76,25368,11.526,21.320,"{3,4,5,6,97}",,0.017,43.5667,-76.1872,Oswego,RT-13
104N05516,153,2.008,1.122,"{1,1,2,3,6}",241,25704,6.415,6.943,"{3,4,5,7,88}",,0.030,43.3056,-76.5794,Oswego,RT-34
104N05886,153,13.791,6.703,"{1,9,13,17,38}",2110,25704,1488.665,3366.446,"{190,335,424,693,19757}",,3.411,43.3311,-76.6285,Oswego,RT-3
104N05887,366,47.607,19.407,"{3,33,52,62,90}",17424,61488,518.207,1454.327,"{234,319,341,401,29999}",6471,5.179,43.3233,-76.5677,Oswego,Fulton St
104N05891,366,25.030,14.943,"{1,15,26,34,168}",9136,61488,1587.899,3842.713,"{204,365,491,752,22567}",1810,3.896,43.4597,-76.2317,Oswego,Scenic Ave
104N06834,153,10.220,5.376,"{1,6,10,14,22}",1533,25704,136.596,109.954,"{79,108,118,136,2387}",,1.648,43.2998,-76.2108,Oswego,RT-49
104N06835,366,46.022,18.686,"{3,29,52,60,83}",16844,61488,511.108,1406.092,"{161,228,261,337,17500}",8684,3.021,43.2808,-76.0665,Oswego,RT-49
104N06836,153,36.529,17.270,"{2,20,43,50,64}",5589,25704,821.585,2493.465,"{229,323,373,455,25015}",,4.319,43.2479,-76.0002,Oswego,RT-49
104N06837,153,29.810,13.485,"{3,16,32,39,54}",4561,25704,799.885,2270.782,"{203,304,340,425,22925}",,3.958,43.2424,-75.9247,Oswego,RT-49
104N06877,153,27.895,12.627,"{1,19,30,37,56}",4268,25704,499.661,1074.863,"{293,363,385,425,34100}",,5.887,43.2208,-76.5791,Oswego,RT-34
104N06878,364,11.694,7.388,"{1,6,11,16,51}",4163,61152,351.269,1248.649,"{116,146,155,168,14291}",,2.467,43.3835,-75.9836,Oswego,RT-69
104N06879,153,11.503,7.055,"{1,6,11,16,39}",1714,25704,388.013,1098.624,"{128,167,178,207,16173}",,2.792,43.369,-75.9415,Oswego,RT-69
104N06913,153,10.020,5.129,"{1,7,10,13,29}",1523,25704,208.693,668.102,"{119,144,154,167,12926}",,2.231,43.5099,-76.0063,Oswego,RT-13
104N06914,366,28.839,11.594,"{3,20,31,37,56}",10555,61488,795.078,2336.132,"{222,297,341,470,24913}",2403,4.301,43.5288,-76.0391,Oswego,RT-13
104N06928,366,35.757,15.048,"{4,21,40,47,64}",13087,61488,248.174,570.684,"{151,194,206,224,18274}",3364,3.155,43.2802,-76.6273,Oswego,RT-104
104N06929,366,63.117,21.601,"{6,45,70,79,102}",23101,61488,489.892,1148.393,"{111,196,240,330,9228}",14050,1.593,43.4492,-76.5367,Oswego,RT-104
104N06930,366,92.464,27.207,"{17,67,103,114,138}",33842,61488,1386.946,3243.496,"{267,619,806,1082,35713}",15384,6.166,43.4576,-76.5077,Oswego,E Bridge St
104N06931,366,5.738,3.621,"{1,3,5,8,25}",1905,61488,269.162,269.099,"{149,206,230,265,5915}",777,3.064,43.4633,-76.048,Oswego,RT-104
104N06944,366,18.686,8.409,"{1,12,19,25,40}",6839,61488,92.883,191.591,"{15,36,45,68,1486}",9403,0.257,43.4599,-76.2368,Oswego,Main St
104N07518,366,26.910,11.387,"{1,18,29,35,59}",9849,61488,108.652,240.915,"{53,72,80,102,6237}",7622,1.077,43.3292,-76.4659,Oswego,RT-3
104N07519,153,52.843,17.937,"{6,38,57,65,87}",8085,25704,385.068,996.256,"{103,170,205,265,10053}",,1.736,43.3259,-76.446,Oswego,RT-3
104N07520,153,42.922,15.212,"{8,29,46,55,72}",6567,25704,128.370,269.646,"{24,49,64,98,1947}",,0.336,43.3161,-76.4184,Oswego,W Broadway
104N07526,366,29.454,12.951,"{2,19,31,39,63}",10780,61488,551.223,1518.322,"{210,296,335,461,26351}",3794,4.549,43.397,-76.2567,Oswego,RT-3
104N07527,366,18.686,8.409,"{1,12,19,25,40}",6839,61488,92.883,191.591,"{15,36,45,68,1486}",9403,0.257,43.4599,-76.2368,Oswego,Norman Ave
104N07528,153,27.634,12.919,"{2,16,31,36,59}",4228,25704,219.489,470.348,"{111,158,168,186,14352}",,2.478,43.5136,-76.2236,Oswego,RT-3
104N07529,153,24.497,11.068,"{2,16,28,33,46}",3748,25704,190.725,509.830,"{93,120,132,153,10276}",,1.774,43.5418,-76.1933,Oswego,RT-3
104N07530,153,29.601,13.725,"{2,20,32,39,60}",4529,25704,567.832,1400.321,"{252,337,376,449,28721}",,4.958,43.5667,-76.1876,Oswego,RT-3
104N07531,153,12.414,6.215,"{1,8,12,16,30}",1887,25704,585.417,1591.154,"{226,293,314,371,26683}",,4.607,43.6331,-76.1533,Oswego,RT-3
104N09933,153,37.399,17.031,"{3,20,44,50,70}",5722,25704,884.846,2327.107,"{183,277,331,447,17898}",,3.090,43.2425,-76.1408,Oswego,US-11
104N09977,366,80.716,28.370,"{6,50,94,102,122}",29542,61488,266.996,425.872,"{163,220,235,258,23952}",,4.135,43.2789,-76.3291,Oswego,RT-481
104N09977,366,80.716,28.370,"{6,50,94,102,122}",29542,61488,266.996,425.872,"{163,220,235,258,23952}",,4.135,43.2789,-76.3291,Oswego,RT-481
104N09978,366,80.246,28.384,"{14,49,93,101,120}",29370,61488,215.466,494.831,"{69,124,140,170,6802}",18284,1.174,43.3074,-76.3962,Oswego,RT-481
104N09979,366,52.016,20.220,"{6,30,59,68,86}",19038,61488,176.475,378.750,"{43,68,85,127,3004}",14688,0.519,43.3183,-76.4124,Oswego,RT-481
104N09980,366,84.508,31.269,"{8,49,98,108,128}",30930,61488,745.258,1918.018,"{267,384,451,611,34526}",13610,5.961,43.3251,-76.4166,Oswego,RT-481
104N09981,366,71.413,27.228,"{10,42,82,92,125}",26137,61488,569.729,1534.362,"{211,307,354,460,27012}",10790,4.663,43.4015,-76.4611,Oswego,RT-481
104N09982,366,1.924,1.095,"{1,1,2,2,7}",508,61488,3.533,2.839,"{1,3,3,4,52}",9349,0.009,43.4575,-76.5077,Oswego,RT-481
