tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05913,366,117.615,25.768,"{14,93,129,137,153}",43047,61488,97.149,176.394,"{63,83,90,96,8455}",,1.460,42.4263,-75.1305,Otsego,I-88
120N05914,366,133.656,23.699,"{20,112,145,151,161}",48918,61488,145.390,233.789,"{100,131,137,143,13614}",,2.350,42.4379,-75.1056,Otsego,I-88
120N05915,366,83.101,21.223,"{3,63,91,99,119}",30415,61488,38.812,42.513,"{27,36,37,39,3817}",,0.659,42.4444,-75.0671,Otsego,I-88
120N05916,366,127.699,24.715,"{13,105,139,146,155}",46738,61488,130.473,113.173,"{89,123,127,132,13220}",,2.282,42.4488,-75.0557,Otsego,I-88
120N05917,366,115.361,24.109,"{8,93,126,133,147}",42222,61488,83.393,62.085,"{58,79,82,85,8550}",,1.476,42.4582,-75.0143,Otsego,I-88
120N05918,366,105.369,22.900,"{9,85,115,123,136}",38565,61488,61.336,10.479,"{43,58,61,63,947}",,1.090,42.4745,-74.9945,Otsego,I-88
120N06189,366,145.505,21.401,"{29,129,156,161,168}",53255,61488,333.768,518.972,"{207,294,317,336,30054}",,5.189,42.3798,-75.1882,Otsego,I-88
120N06190,366,152.896,17.420,"{26,144,161,164,168}",55960,61488,536.635,65.898,"{379,514,533,547,3970}",,9.596,42.4801,-74.9757,Otsego,I-88
120N06191,366,139.404,22.097,"{13,123,150,155,163}",51022,61488,315.681,281.744,"{217,297,308,318,32073}",,5.537,42.5421,-74.8196,Otsego,I-88
120N06192,366,157.317,14.685,"{31,150,164,167,168}",57578,61488,671.559,409.522,"{478,637,659,682,67061}",184,11.577,42.5895,-74.7343,Otsego,I-88
120N09983,366,17.817,7.133,"{3,12,18,23,36}",6521,61488,69.021,143.531,"{11,19,29,60,1076}",6535,0.186,42.3174,-75.4122,Otsego,RT-8
120N09987,366,128.355,23.361,"{12,108,139,146,156}",46978,61488,140.910,243.193,"{81,113,118,128,11968}",14874,2.066,42.4501,-75.0516,Otsego,RT-28
120N09987,366,128.355,23.361,"{12,108,139,146,156}",46978,61488,140.910,243.193,"{81,113,118,128,11968}",14874,2.066,42.4501,-75.0516,Otsego,RT-28
120N09988,366,28.375,10.964,"{5,20,30,36,57}",10357,61488,87.386,186.494,"{44,63,70,84,5765}",4718,0.995,42.4801,-74.9757,Otsego,RT-28
120N09989,366,58.175,22.048,"{6,39,67,74,97}",21292,61488,304.576,789.778,"{169,219,232,254,19267}",5832,3.326,42.4906,-74.9727,Otsego,RT-28
120N09990,153,73.627,24.374,"{9,56,83,91,109}",11265,25704,807.939,2344.929,"{304,427,477,563,31630}",,5.461,42.5906,-74.9455,Otsego,RT-28
