tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04138,366,161.107,11.798,"{99,161,167,168,168}",58965,61488,173.295,34.862,"{123,166,172,177,2567}",2788,3.063,41.5129,-73.6836,Putnam,I-84
120N04139,366,161.902,10.799,"{102,162,167,168,168}",59256,61488,208.508,39.930,"{139,197,206,214,2063}",2929,3.594,41.4778,-73.6517,Putnam,I-84
120N04140,366,161.380,11.436,"{90,160,167,168,168}",59065,61488,167.777,69.026,"{118,157,164,170,10673}",3510,2.818,41.4276,-73.6295,Putnam,I-84
120N04141,366,160.227,11.825,"{100,157,166,167,168}",58643,61488,86.292,41.307,"{53,73,77,83,2717}",14717,1.238,41.3936,-73.6004,Putnam,I-84
120N04142,366,164.180,7.828,"{117,164,168,168,168}",60090,61488,131.720,71.075,"{85,117,121,126,2834}",2233,2.063,41.3832,-73.5824,Putnam,I-84
120N04172,366,162.317,9.297,"{107,163,166,167,168}",59408,61488,247.862,153.722,"{171,221,232,243,24011}",3637,4.145,41.3457,-73.6517,Putnam,I-684
120N04173,366,69.079,21.134,"{12,54,77,85,99}",25283,61488,52.956,119.627,"{28,42,46,52,4086}",2587,0.705,41.3867,-73.5998,Putnam,I-684
120N04174,366,44.604,14.547,"{7,33,48,55,76}",16325,61488,30.753,54.157,"{18,25,27,29,2484}",,0.429,41.3956,-73.5953,Putnam,I-684
120N04175,366,15.891,5.130,"{3,12,16,20,28}",5816,61488,3.777,4.867,"{3,3,4,4,318}",,0.055,41.4004,-73.5894,Putnam,I-684
120N07178,366,90.964,32.899,"{14,63,107,114,133}",33293,61488,134.993,189.294,"{80,116,123,132,9502}",26705,1.640,41.3277,-73.9268,Putnam,US-9
120N07208,366,66.757,14.470,"{29,58,68,78,106}",24433,61488,150.214,353.495,"{94,125,134,143,14089}",30269,2.432,41.3392,-73.8157,Putnam,Taconic State Pky
120N07877,366,40.104,16.220,"{4,27,44,52,72}",14678,61488,111.466,258.169,"{22,44,52,71,2269}",16528,0.392,41.3946,-73.6068,Putnam,US-202
120N07878,366,22.027,9.146,"{1,15,23,29,42}",8062,61488,35.212,79.571,"{10,20,22,27,1089}",16711,0.188,41.3983,-73.6004,Putnam,US-202
120N07879,366,42.866,17.396,"{2,28,47,56,107}",15689,61488,84.235,184.132,"{16,32,41,66,1792}",16711,0.309,41.3967,-73.5977,Putnam,US-202
120N10371,366,58.880,25.646,"{4,37,70,78,99}",21550,61488,228.091,465.264,"{117,169,182,201,13470}",9198,2.325,41.3522,-73.6631,Putnam,Mahopac Ave
120N10482,366,92.716,34.391,"{11,62,111,117,131}",33934,61488,268.132,733.609,"{118,170,184,209,13803}",11513,2.383,41.35,-73.9264,Putnam,Albany Post Rd
120N10483,366,97.167,35.639,"{12,66,115,123,139}",35563,61488,258.910,424.746,"{143,223,237,253,18497}",11592,3.193,41.3814,-73.9124,Putnam,Albany Post Rd
120N10484,366,39.260,17.322,"{2,22,45,53,71}",14369,61488,36.427,58.949,"{22,30,32,34,2457}",11592,0.424,41.4252,-73.9137,Putnam,Albany Post Rd
120N10485,366,50.492,22.291,"{4,29,60,68,90}",18480,61488,53.072,93.587,"{24,38,43,51,2705}",11592,0.467,41.431,-73.9164,Putnam,Albany Post Rd
120N10486,366,94.153,34.494,"{12,65,111,119,132}",34460,61488,236.421,512.839,"{98,141,160,194,10450}",13422,1.804,41.4377,-73.9165,Putnam,Albany Post Rd
120N10487,366,8.795,4.209,"{1,6,9,12,25}",3210,61488,4.595,9.221,"{2,3,3,4,184}",13422,0.032,41.4626,-73.921,Putnam,Albany Post Rd
120N10809,366,86.811,30.735,"{13,60,101,109,132}",31773,61488,350.204,812.958,"{123,219,242,288,14102}",16849,2.435,41.4226,-73.6784,Putnam,US-6
120N10810,366,78.445,26.728,"{9,54,89,98,115}",28711,61488,621.795,1319.388,"{108,212,270,407,9871}",6274,1.704,41.3946,-73.6068,Putnam,US-6
120N10815,366,88.251,28.464,"{19,63,101,109,130}",32300,61488,112.297,221.994,"{48,84,91,101,6380}",25627,1.101,41.4021,-73.5855,Putnam,RT-22
120N10816,366,99.497,30.830,"{19,71,113,123,141}",36416,61488,193.231,404.758,"{56,105,126,162,5504}",25627,0.950,41.4153,-73.5746,Putnam,RT-22
120N10817,366,73.923,26.742,"{12,49,85,95,115}",27056,61488,95.870,210.526,"{25,42,52,76,2667}",14877,0.460,41.4286,-73.5772,Putnam,RT-22
120N10818,366,78.434,28.881,"{11,49,91,101,118}",28707,61488,128.850,237.012,"{56,94,103,117,7603}",14877,1.313,41.4351,-73.5754,Putnam,RT-22
120N10819,366,76.167,28.385,"{9,47,89,98,117}",27877,61488,122.249,255.815,"{65,94,102,115,7993}",14877,1.380,41.4537,-73.5785,Putnam,RT-22
120N10820,366,62.153,23.274,"{8,39,72,79,104}",22748,61488,94.751,292.225,"{37,56,61,69,4648}",14840,0.802,41.4736,-73.5806,Putnam,RT-22
120N10821,366,91.995,30.617,"{21,63,106,115,131}",33670,61488,232.949,540.993,"{98,166,178,199,13104}",14840,2.262,41.4843,-73.5759,Putnam,RT-22
120N10928,366,52.197,23.243,"{3,31,62,69,95}",19104,61488,139.271,250.698,"{70,108,117,132,8075}",8030,1.394,41.3763,-73.6345,Putnam,Brewster Ave/Brewster Rd
120N10929,366,23.282,11.797,"{1,13,26,31,53}",8498,61488,88.933,244.019,"{35,51,57,67,3394}",8030,0.586,41.3908,-73.6165,Putnam,RT-22
120N10930,366,40.104,16.220,"{4,27,44,52,72}",14678,61488,111.466,258.169,"{22,44,52,71,2269}",16528,0.392,41.3946,-73.6068,Putnam,RT-22
120N10931,366,25.904,10.686,"{1,17,28,34,50}",9481,61488,43.214,91.224,"{12,24,27,32,1285}",16711,0.222,41.3982,-73.6011,Putnam,RT-22
120N10932,366,59.265,20.355,"{9,41,66,75,97}",21691,61488,74.842,175.729,"{32,48,52,61,4384}",11034,0.757,41.3967,-73.5977,Putnam,RT-22
120N10932,366,59.265,20.355,"{9,41,66,75,97}",21691,61488,74.842,175.729,"{32,48,52,61,4384}",11034,0.757,41.3967,-73.5977,Putnam,RT-22
120N11046,366,47.956,20.359,"{4,28,56,63,85}",17552,61488,178.439,481.585,"{68,98,110,133,7276}",9504,1.256,41.3993,-73.6338,Putnam,US-6
120N11047,366,100.268,32.380,"{13,75,115,123,138}",36698,61488,480.053,1048.872,"{117,248,297,384,13437}",15484,2.320,41.4157,-73.6416,Putnam,US-6
120N11048,366,91.691,30.377,"{17,67,106,113,135}",33559,61488,356.801,901.110,"{112,196,216,255,12919}",14079,2.230,41.399,-73.7063,Putnam,US-6
120N11049,366,111.601,33.381,"{21,90,128,134,149}",40846,61488,531.226,1158.407,"{127,265,317,412,14596}",14756,2.520,41.3771,-73.7264,Putnam,US-6
120N11064,366,9.220,3.999,"{1,6,9,12,20}",3356,61488,7.242,14.193,"{2,4,5,5,196}",,0.034,41.3982,-73.6011,Putnam,US-202
120N11173,153,44.817,21.963,"{5,25,53,61,81}",6857,25704,181.265,508.195,"{58,86,97,123,7260}",,1.253,41.3906,-73.5412,Putnam,Danbury Rd
120N11174,366,40.000,20.151,"{1,19,47,55,78}",14640,61488,120.453,350.131,"{45,63,70,79,5457}",8083,0.942,41.3872,-73.5645,Putnam,Danbury Rd
120N11175,366,50.284,22.450,"{3,28,60,67,84}",18404,61488,170.421,512.540,"{40,61,70,98,4851}",10048,0.837,41.3859,-73.582,Putnam,Danbury Rd
120N11176,366,66.842,26.093,"{9,43,76,87,111}",24464,61488,257.200,554.851,"{54,107,131,188,5346}",16620,0.923,41.3928,-73.5949,Putnam,Danbury Rd
