tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04934,366,166.590,4.711,"{108,168,168,168,168}",60972,61488,108.481,89.817,"{48,81,88,100,3507}",96588,1.147,40.7654,-73.7181,Queens,I-495
120N04935,366,158.768,14.336,"{60,158,165,167,168}",58109,61488,24.537,28.091,"{9,15,19,28,1156}",99798,0.200,40.7578,-73.7382,Queens,I-495
120N04936,366,161.872,12.285,"{74,162,167,168,168}",59245,61488,57.589,51.632,"{18,30,36,77,2509}",133512,0.433,40.7567,-73.7399,Queens,I-495
120N04937,366,160.486,14.066,"{84,161,167,168,168}",58738,61488,46.840,37.661,"{18,29,33,54,2186}",54138,0.377,40.7521,-73.7469,Queens,I-495
120N04938,366,163.402,10.248,"{93,165,168,168,168}",59805,61488,71.530,57.643,"{27,45,54,85,3327}",76084,0.574,40.7507,-73.7508,Queens,I-495
120N04939,366,160.628,14.554,"{75,162,167,168,168}",58790,61488,54.833,37.939,"{14,28,48,67,1891}",76556,0.327,40.7467,-73.7644,Queens,I-495
120N04940,366,162.645,11.190,"{79,164,168,168,168}",59528,61488,111.746,83.843,"{22,45,93,153,3041}",104544,0.525,40.7457,-73.7684,Queens,I-495
120N04941,366,161.120,12.838,"{93,163,167,168,168}",58970,61488,94.338,78.908,"{26,46,71,125,3602}",66056,0.622,40.743,-73.7788,Queens,I-495
120N04942,366,163.964,9.162,"{98,166,168,168,168}",60011,61488,142.008,118.671,"{41,67,89,194,5426}",85625,0.937,40.7401,-73.7899,Queens,I-495
120N04943,366,163.104,10.271,"{93,165,168,168,168}",59696,61488,106.706,90.252,"{34,56,68,137,4442}",102817,0.767,40.7385,-73.8065,Queens,I-495
120N04944,366,161.907,11.884,"{83,163,167,168,168}",59258,61488,86.694,67.585,"{27,47,54,108,3588}",107170,0.619,40.741,-73.8213,Queens,I-495
120N04945,366,161.060,12.814,"{82,162,167,168,168}",58948,61488,86.398,68.356,"{28,48,57,110,3486}",54010,0.602,40.7432,-73.8329,Queens,I-495
120N04946,366,165.486,6.298,"{101,166,168,168,168}",60568,61488,89.226,62.978,"{26,53,70,107,3450}",99981,0.569,40.7411,-73.8434,Queens,I-495
120N04947,366,166.205,5.471,"{94,167,168,168,168}",60831,61488,70.997,42.730,"{20,37,59,93,878}",98952,0.455,40.7372,-73.8529,Queens,I-495
120N04948,366,164.653,7.448,"{84,165,167,168,168}",60263,61488,54.452,45.165,"{15,26,40,74,1978}",98952,0.342,40.7355,-73.8598,Queens,I-495
120N04949,366,157.934,12.633,"{55,155,163,165,168}",57804,61488,31.989,26.395,"{9,15,21,43,1161}",98952,0.200,40.7332,-73.8671,Queens,I-495
120N04950,366,165.153,7.090,"{84,166,168,168,168}",60446,61488,82.656,65.482,"{21,34,59,118,2790}",88328,0.482,40.7321,-73.8706,Queens,I-495
120N04951,366,164.956,7.099,"{81,165,168,168,168}",60374,61488,70.010,58.766,"{22,32,38,97,2594}",88328,0.448,40.7293,-73.8791,Queens,I-495
120N04952,366,166.880,4.177,"{105,168,168,168,168}",61078,61488,101.775,83.921,"{37,55,60,132,4414}",88328,0.762,40.7279,-73.8872,Queens,I-495
120N04953,366,155.989,12.988,"{52,152,161,164,168}",57092,61488,22.152,22.302,"{7,11,12,25,906}",88328,0.156,40.7259,-73.9007,Queens,I-495
120N04954,366,152.964,12.974,"{47,146,158,161,167}",55985,61488,59.489,72.016,"{16,25,27,49,2199}",88328,0.380,40.7262,-73.9034,Queens,I-495
120N05010,366,166.975,4.049,"{115,167,168,168,168}",61113,61488,156.948,118.223,"{38,110,137,183,4055}",,0.700,40.724,-73.9376,Queens,I-278
