tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05839,366,149.582,17.675,"{61,138,158,162,168}",54747,61488,280.450,140.982,"{190,263,275,286,28501}",22976,4.920,42.4869,-73.6736,Rensselaer,I-90
120N05840,366,135.505,24.940,"{37,114,148,153,163}",49595,61488,85.146,41.322,"{61,80,84,88,8805}",29748,1.520,42.5542,-73.6832,Rensselaer,I-90
120N05841,366,151.658,19.036,"{59,137,162,164,168}",55507,61488,216.310,118.621,"{152,204,214,222,22386}",49912,3.865,42.5767,-73.6789,Rensselaer,I-90
120N05842,366,144.516,23.116,"{43,126,157,160,167}",52893,61488,107.197,63.053,"{80,101,106,111,10849}",64764,1.873,42.6259,-73.6972,Rensselaer,I-90
120N05843,366,125.803,26.062,"{38,103,138,144,158}",46044,61488,40.593,22.975,"{29,38,40,42,3886}",75048,0.671,42.6466,-73.7111,Rensselaer,I-90
120N05844,366,131.861,25.260,"{43,112,145,150,162}",48261,61488,39.509,39.244,"{25,35,38,41,3334}",82574,0.576,42.66,-73.7218,Rensselaer,I-90
120N05888,366,114.281,32.066,"{24,84,130,138,151}",41827,61488,99.194,236.076,"{24,41,52,82,3045}",54867,0.526,42.7396,-73.6816,Rensselaer,RT-7
120N06289,366,160.648,10.231,"{80,156,165,167,168}",58797,61488,137.828,20.232,"{97,131,136,143,3027}",24084,2.375,42.4803,-73.6239,Rensselaer,I-90
120N06290,366,128.735,22.596,"{29,107,139,145,156}",47117,61488,129.817,165.649,"{42,94,108,131,4976}",12772,0.859,42.4826,-73.6659,Rensselaer,I-90
120N06291,366,160.582,10.390,"{86,156,165,167,168}",58773,61488,301.169,44.713,"{225,290,300,309,7634}",12912,5.272,42.4826,-73.6659,Rensselaer,Gov Dewey Thwy/NY St Thwy
120N07912,366,94.475,36.890,"{9,65,107,124,147}",34578,61488,174.718,398.626,"{51,91,106,136,5168}",22952,0.892,42.6295,-73.7434,Rensselaer,Columbia Tpke
120N07913,366,44.727,16.756,"{5,29,50,58,80}",16370,61488,158.118,377.462,"{33,62,78,115,3748}",21374,0.647,42.5981,-73.7093,Rensselaer,Columbia Tpke
120N07914,366,67.743,27.494,"{10,38,79,89,106}",24794,61488,212.733,531.622,"{82,129,145,168,9322}",11820,1.609,42.5558,-73.6776,Rensselaer,Columbia Tpke
120N07915,366,39.101,17.872,"{2,21,45,53,76}",14311,61488,43.744,98.872,"{13,20,24,33,1409}",,0.243,42.5529,-73.6749,Rensselaer,Columbia Tpke
