tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04977,366,161.852,11.701,"{47,163,167,168,168}",59238,61488,128.153,108.913,"{56,90,106,153,6190}",,1.069,40.6359,-74.1974,Richmond,I-278
120N04978,366,119.910,20.188,"{11,108,123,135,156}",43887,61488,17.423,22.644,"{4,7,8,24,577}",5278,0.100,40.6279,-74.1825,Richmond,I-278
120N04979,366,120.847,19.542,"{13,110,124,135,154}",44230,61488,21.643,30.915,"{6,9,10,28,777}",5092,0.134,40.6261,-74.1793,Richmond,I-278
120N04980,366,159.396,13.035,"{41,158,164,166,168}",58339,61488,85.032,89.051,"{31,50,55,77,4512}",5092,0.779,40.6247,-74.1776,Richmond,I-278
120N04981,366,155.328,13.871,"{53,152,161,164,168}",56850,61488,39.246,39.069,"{18,27,29,34,2538}",,0.430,40.6199,-74.166,Richmond,I-278
120N04982,366,142.183,15.686,"{31,136,146,153,165}",52039,61488,15.538,15.308,"{6,10,12,15,929}",5521,0.160,40.6166,-74.1598,Richmond,I-278
120N04983,366,161.773,10.787,"{62,161,166,167,168}",59209,61488,70.826,62.976,"{29,47,50,61,4342}",,0.782,40.613,-74.1549,Richmond,I-278
120N04984,366,157.664,12.972,"{56,156,163,165,168}",57705,61488,43.799,47.098,"{19,28,30,38,2694}",,0.451,40.6095,-74.1504,Richmond,I-278
120N04985,366,162.648,9.896,"{68,163,167,168,168}",59529,61488,80.167,78.497,"{32,49,54,66,4871}",8492,0.809,40.6078,-74.1363,Richmond,I-278
120N04986,366,158.331,12.796,"{61,156,164,166,168}",57949,61488,50.960,69.474,"{19,32,34,38,2971}",,0.482,40.6101,-74.1196,Richmond,I-278
120N04987,366,157.287,13.655,"{56,155,163,166,168}",57567,61488,41.021,35.422,"{18,28,32,37,2432}",11465,0.516,40.6105,-74.1112,Richmond,I-278
120N04988,366,163.005,9.992,"{65,162,167,168,168}",59660,61488,81.900,102.320,"{37,58,63,71,5460}",,0.860,40.6102,-74.1051,Richmond,I-278
120N04989,366,160.016,12.099,"{65,158,165,167,168}",58566,61488,66.804,82.760,"{23,37,60,68,5482}",8028,0.530,40.6094,-74.0914,Richmond,I-278
120N04990,366,161.727,10.386,"{93,161,166,167,168}",59192,61488,56.995,68.080,"{17,39,46,57,1960}",11000,0.338,40.6039,-74.0692,Richmond,I-278
120N04991,366,134.038,14.728,"{60,127,137,144,158}",49058,61488,11.848,17.441,"{2,6,8,11,301}",,0.052,40.6023,-74.0644,Richmond,I-278
120N05100,366,164.645,7.427,"{98,165,168,168,168}",60260,61488,182.620,193.756,"{81,138,154,178,9939}",,1.716,40.6018,-74.0611,Richmond,Verrazano Brg Upper Level
120N05103,366,162.372,9.724,"{96,161,167,168,168}",59428,61488,182.987,243.431,"{77,137,152,175,9905}",,1.710,40.6017,-74.063,Richmond,Verrazano Brg Lower Level
120N05323,366,103.645,19.173,"{20,94,107,118,143}",37934,61488,31.324,69.040,"{15,23,25,27,2239}",1272,0.387,40.5318,-74.2238,Richmond,RT-440
120N05324,366,131.044,21.658,"{38,120,138,146,161}",47962,61488,55.725,73.496,"{34,49,52,56,4689}",,0.810,40.5367,-74.2242,Richmond,RT-440
120N05325,366,124.921,22.113,"{38,115,133,141,156}",45721,61488,41.704,49.576,"{25,37,40,42,3630}",4360,0.627,40.5484,-74.2206,Richmond,RT-440
120N05326,366,148.699,20.482,"{51,140,159,162,168}",54424,61488,86.030,74.283,"{55,78,83,88,7683}",,1.304,40.555,-74.2122,Richmond,RT-440
120N05327,366,155.533,17.604,"{67,153,164,166,168}",56925,61488,106.677,70.154,"{62,92,99,111,8472}",,1.463,40.5661,-74.1935,Richmond,RT-440
120N05328,366,147.997,22.048,"{58,139,159,162,168}",54167,61488,80.134,68.454,"{38,55,60,80,5232}",3624,0.903,40.5855,-74.1923,Richmond,RT-440
120N05329,366,153.601,19.063,"{61,146,163,166,168}",56218,61488,134.610,128.665,"{61,87,93,109,8339}",3570,1.440,40.5985,-74.1907,Richmond,RT-440
120N05330,366,65.877,13.696,"{9,58,67,76,95}",24111,61488,7.236,11.871,"{2,4,4,5,325}",4687,0.056,40.6166,-74.1775,Richmond,RT-440
120N05331,366,31.464,11.771,"{6,21,33,40,71}",11516,61488,76.730,126.116,"{11,27,44,80,1123}",3353,0.194,40.6087,-74.154,Richmond,RT-440
120N05331,366,31.464,11.771,"{6,21,33,40,71}",11516,61488,76.730,126.116,"{11,27,44,80,1123}",3353,0.194,40.6087,-74.154,Richmond,RT-440
120N05332,366,94.344,26.189,"{24,71,106,113,128}",34530,61488,75.949,198.088,"{35,58,62,67,4901}",10694,0.846,40.6115,-74.1539,Richmond,RT-440
120N05333,366,82.396,27.267,"{14,57,94,102,123}",30157,61488,79.359,229.800,"{28,49,54,62,3815}",,0.659,40.6215,-74.1481,Richmond,RT-440
120N05334,366,27.232,11.546,"{1,22,29,35,62}",9613,61488,51.693,109.842,"{9,22,27,40,992}",,0.171,40.6314,-74.1456,Richmond,RT-440
120N05335,366,33.758,14.296,"{1,26,38,43,67}",11984,61488,87.753,233.877,"{20,34,39,49,2008}",25383,0.347,40.6336,-74.1453,Richmond,RT-440
120N05335,366,33.758,14.296,"{1,26,38,43,67}",11984,61488,87.753,233.877,"{20,34,39,49,2008}",25383,0.347,40.6336,-74.1453,Richmond,RT-440
120N07085,366,29.691,12.967,"{1,20,33,38,58}",10570,61488,87.602,210.113,"{14,25,29,36,1496}",,0.258,40.6385,-74.1437,Richmond,Bayonne Brg
120N07086,366,4.330,2.234,"{1,3,4,6,11}",1403,61488,1.432,3.068,"{1,1,1,1,63}",25383,0.011,40.642,-74.1422,Richmond,Bayonne Brg
120N07091,366,128.776,19.930,"{13,120,134,143,161}",47132,61488,54.998,92.443,"{25,42,46,52,3510}",3813,0.606,40.5248,-74.2468,Richmond,Outer Bridge Xing
120N07092,366,90.240,16.694,"{8,81,90,100,133}",33028,61488,22.072,33.983,"{9,15,16,18,1320}",,0.228,40.5253,-74.2365,Richmond,Outer Bridge Xing
120N10848,366,15.831,6.239,"{2,12,16,20,33}",5794,61488,81.311,189.379,"{16,27,34,55,1654}",2796,0.286,40.5559,-74.1761,Richmond,Drumgoole Rd W
120N10849,153,37.085,13.068,"{6,29,39,46,63}",5674,25704,192.881,398.890,"{32,74,98,158,3916}",,0.676,40.547,-74.1813,Richmond,Drumgoole Rd W
120N10850,153,57.954,16.334,"{13,49,63,70,89}",8867,25704,223.763,430.282,"{47,117,143,193,5979}",,1.032,40.5358,-74.1938,Richmond,Drumgoole Rd W
120N10851,153,60.033,15.190,"{16,52,65,71,90}",9185,25704,255.441,596.783,"{49,105,125,171,5764}",,0.995,40.5303,-74.2111,Richmond,Drumgoole Rd W
120N10852,153,45.699,10.892,"{11,41,47,53,70}",6992,25704,93.833,199.360,"{16,35,46,81,1862}",,0.322,40.5287,-74.2168,Richmond,Drumgoole Rd W
