tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04105,366,161.096,9.670,"{92,158,165,167,168}",58961,61488,70.066,47.963,"{48,63,67,71,6901}",15374,1.191,41.118,-74.1547,Rockland,I-87
120N04176,366,89.221,15.715,"{34,79,91,101,125}",32655,61488,162.167,440.522,"{92,128,137,147,13392}",1405,2.312,41.0049,-73.9198,Rockland,Palisades Interstate Pky
120N04177,366,67.951,13.254,"{27,59,69,78,105}",24870,61488,62.403,108.516,"{39,53,58,63,5880}",3051,1.015,41.0338,-73.9427,Rockland,Palisades Interstate Pky
120N04178,366,100.590,19.745,"{41,86,105,116,138}",36816,61488,167.762,189.699,"{106,149,160,172,15883}",907,2.742,41.0427,-73.9564,Rockland,Palisades Interstate Pky
120N04179,366,72.137,14.755,"{21,62,74,83,103}",26402,61488,53.232,78.791,"{34,46,50,54,5085}",2373,0.878,41.08,-73.9858,Rockland,Palisades Interstate Pky
120N04180,366,77.675,15.975,"{37,67,81,89,115}",28429,61488,48.301,101.851,"{28,39,43,48,4021}",9478,0.694,41.0886,-73.9899,Rockland,Palisades Interstate Pky
120N04181,366,118.907,19.294,"{51,108,124,134,153}",43520,61488,133.302,234.652,"{76,109,119,130,10915}",9721,1.884,41.0973,-73.9912,Rockland,Palisades Interstate Pky
120N04182,366,104.932,21.219,"{40,92,111,121,148}",38405,61488,140.371,225.225,"{86,116,126,136,12692}",5102,2.191,41.1199,-74.0055,Rockland,Palisades Interstate Pky
120N04183,366,88.795,18.359,"{33,78,92,102,139}",32499,61488,112.011,209.712,"{65,90,97,106,9471}",,1.635,41.1459,-74.0229,Rockland,Palisades Interstate Pky
120N04184,366,76.410,16.180,"{29,67,78,88,118}",27966,61488,76.015,173.317,"{42,59,64,71,6196}",7868,1.070,41.1696,-74.0306,Rockland,Palisades Interstate Pky
120N04185,366,83.426,19.227,"{25,73,86,97,135}",30534,61488,151.018,210.773,"{94,130,139,151,13860}",3909,2.393,41.185,-74.038,Rockland,Palisades Interstate Pky
120N04186,366,52.527,13.192,"{15,44,53,61,100}",19225,61488,63.350,112.349,"{36,49,54,59,4930}",2166,0.851,41.2177,-74.033,Rockland,Palisades Interstate Pky
120N04187,366,52.754,12.748,"{17,46,53,61,106}",19308,61488,89.594,210.085,"{52,72,78,85,7628}",1421,1.317,41.2362,-74.0322,Rockland,Palisades Interstate Pky
120N04188,366,73.587,17.210,"{24,64,75,85,137}",26933,61488,238.969,332.333,"{152,204,219,235,21824}",72,3.768,41.2487,-74.0369,Rockland,Palisades Interstate Pky
120N04246,366,167.402,2.776,"{129,168,168,168,168}",61269,61488,258.374,194.323,"{129,200,215,266,17637}",8061,3.045,41.0676,-73.8673,Rockland,I-87/I-287
120N04247,366,165.626,5.827,"{97,166,168,168,168}",60619,61488,127.052,174.474,"{54,75,80,90,7618}",8061,1.315,41.0796,-73.9217,Rockland,I-87/I-287
120N04248,366,164.238,7.481,"{99,164,167,168,168}",60111,61488,82.610,87.991,"{37,57,62,73,5470}",6035,0.944,41.0932,-73.9312,Rockland,I-87/I-287
120N04249,366,166.374,4.935,"{110,167,168,168,168}",60893,61488,154.483,150.241,"{75,103,109,122,10778}",4210,1.861,41.1,-73.9522,Rockland,I-87/I-287
120N04250,366,166.464,5.191,"{97,167,168,168,168}",60926,61488,144.482,125.239,"{70,101,106,116,3595}",6082,1.803,41.1014,-73.987,Rockland,I-87/I-287
120N04251,366,158.109,11.346,"{56,154,162,165,168}",57868,61488,36.233,30.064,"{19,27,29,32,1395}",8526,0.482,41.1038,-74.0234,Rockland,I-87/I-287
120N04252,366,154.246,12.512,"{55,149,159,163,168}",56454,61488,30.276,34.116,"{15,22,23,25,2321}",16709,0.401,41.1018,-74.0304,Rockland,I-87/I-287
120N04253,366,162.861,8.900,"{80,160,166,168,168}",59607,61488,64.090,75.348,"{39,51,54,57,5527}",5830,0.954,41.1006,-74.0332,Rockland,I-87/I-287
120N04254,366,166.587,4.633,"{121,167,168,168,168}",60971,61488,184.452,99.958,"{127,167,175,183,17970}",,3.102,41.0983,-74.0544,Rockland,I-87/I-287
120N04255,366,166.347,4.976,"{107,166,168,168,168}",60883,61488,141.411,41.482,"{100,133,140,146,7119}",7007,2.458,41.1151,-74.1067,Rockland,I-87/I-287
120N04256,366,70.205,11.327,"{12,63,72,78,94}",25695,61488,2.746,4.188,"{2,2,3,3,241}",,0.042,41.1182,-74.1535,Rockland,I-87/I-287
120N04257,366,124.721,18.049,"{37,116,128,137,157}",45648,61488,7.447,5.390,"{2,4,9,10,428}",,0.058,41.1129,-74.1624,Rockland,I-287
120N04258,366,118.156,31.912,"{42,90,108,153,166}",43245,61488,32.975,46.736,"{2,3,42,47,3401}",,0.037,41.1142,-74.1617,Rockland,I-287
120N04259,366,65.552,10.655,"{12,59,66,73,91}",23992,61488,19.164,36.886,"{13,16,17,18,1882}",,0.325,41.0664,-74.0565,Rockland,Garden State Pky
120N04260,366,122.505,17.581,"{44,113,128,136,148}",44837,61488,84.596,70.209,"{59,77,81,86,8709}",,1.503,41.07,-74.0536,Rockland,Garden State Pky
120N04261,366,78.637,11.220,"{24,71,80,87,103}",28781,61488,17.930,20.691,"{12,16,17,18,1783}",5830,0.308,41.0891,-74.041,Rockland,Garden State Pky
120N06131,365,9.222,5.681,"{1,5,8,13,34}",3329,61320,371.381,931.718,"{51,107,133,216,6258}",3575,1.080,41.1211,-74.1652,Rockland,Old Route 17
120N06132,366,28.885,13.785,"{2,16,30,40,63}",10572,61488,63.935,146.706,"{15,32,39,52,1710}",3643,0.295,41.1314,-74.17,Rockland,Old Route 17
120N06133,153,92.039,25.320,"{26,78,102,110,123}",14082,25704,142.973,366.668,"{61,97,105,115,8246}",,1.424,41.1374,-74.1668,Rockland,RT-17
120N06134,153,89.993,21.624,"{32,79,96,105,122}",13769,25704,268.740,669.308,"{57,95,112,153,6204}",,1.071,41.1465,-74.1901,Rockland,RT-17
120N07214,366,66.139,21.064,"{5,51,73,82,111}",24207,61488,113.247,184.915,"{32,58,72,102,3170}",18486,0.547,41.3199,-73.9796,Rockland,Bear Mtn Brg
120N07858,366,36.951,15.406,"{4,23,41,48,72}",13524,61488,213.885,503.597,"{41,71,82,113,3619}",10052,0.625,41.108,-74.1503,Rockland,Orange Ave
120N07859,366,51.596,22.039,"{2,29,58,69,91}",18884,61488,165.653,321.968,"{23,60,81,135,2688}",13734,0.464,41.1164,-74.1546,Rockland,Orange Ave
120N07860,153,54.503,22.805,"{6,28,65,71,87}",8339,25704,114.816,250.951,"{55,78,84,98,5821}",,1.005,41.1384,-74.1196,Rockland,Haverstraw Rd
120N07861,153,49.248,21.357,"{3,25,58,65,83}",7535,25704,100.418,154.363,"{55,82,88,97,6584}",,1.137,41.1493,-74.1069,Rockland,Haverstraw Rd
120N07862,153,43.523,18.396,"{3,24,51,57,77}",6659,25704,76.093,111.694,"{46,61,66,72,4612}",,0.796,41.1629,-74.0949,Rockland,Haverstraw Rd
120N07863,153,57.523,23.489,"{6,35,68,74,93}",8801,25704,117.847,195.538,"{62,95,102,112,7154}",,1.235,41.171,-74.085,Rockland,Haverstraw Rd
120N07864,366,43.923,19.072,"{6,22,49,58,88}",16076,61488,85.987,183.486,"{34,56,62,73,4088}",10148,0.706,41.1828,-74.0678,Rockland,Haverstraw Rd
120N07865,366,59.027,23.830,"{9,36,65,76,106}",21604,61488,123.066,271.525,"{42,69,80,101,4425}",14967,0.764,41.1821,-74.0547,Rockland,US-202
120N07866,366,126.298,25.383,"{49,108,138,144,160}",46225,61488,472.187,1050.409,"{120,271,313,385,14811}",17855,2.557,41.1855,-74.0409,Rockland,US-202
120N07867,366,78.205,23.276,"{19,59,88,96,118}",28623,61488,203.152,406.180,"{57,105,122,157,5137}",20052,0.887,41.201,-73.9992,Rockland,Ramapo Rd
120N07868,366,98.880,28.857,"{22,81,111,120,143}",36190,61488,232.685,439.748,"{41,121,147,196,4951}",18924,0.855,41.1987,-73.9838,Rockland,US-202
120N07869,366,71.847,27.696,"{8,51,82,93,122}",26296,61488,162.624,313.149,"{39,74,96,138,3415}",18329,0.590,41.2097,-73.9855,Rockland,US-202
120N07870,366,60.082,24.961,"{4,40,69,79,113}",21990,61488,159.225,340.078,"{42,74,85,113,3679}",18329,0.635,41.2182,-73.9864,Rockland,S Liberty Dr
120N07871,366,72.503,28.823,"{4,48,83,94,125}",26536,61488,296.645,616.555,"{93,164,192,241,8914}",13532,1.539,41.2263,-73.987,Rockland,S Liberty Dr
120N07872,366,39.347,18.614,"{1,22,45,54,84}",14401,61488,131.259,343.503,"{44,77,84,95,4877}",8736,0.842,41.2476,-73.988,Rockland,N Liberty Dr
120N07873,366,75.521,31.049,"{3,50,88,99,133}",27565,61488,598.711,1371.882,"{291,443,483,531,32594}",6212,5.627,41.2586,-73.9829,Rockland,N Liberty Dr
120N07874,366,21.489,9.347,"{2,15,22,28,60}",7865,61488,57.641,127.709,"{18,31,35,41,2086}",4276,0.360,41.3146,-73.9885,Rockland,US-202
120N10465,366,51.216,17.362,"{8,39,54,64,92}",18745,61488,214.840,457.803,"{49,109,132,181,6335}",8888,1.094,41.0776,-73.9231,Rockland,Hillside Ave
120N10466,366,54.609,29.582,"{4,32,44,83,116}",19987,61488,284.350,642.014,"{9,108,154,238,6888}",8913,0.103,41.0924,-73.9287,Rockland,Highland Ave
120N10467,366,56.057,21.611,"{5,37,63,72,91}",20517,61488,233.992,543.488,"{78,131,147,179,8760}",8913,1.512,41.1092,-73.9271,Rockland,N Highland Ave
120N10468,366,68.134,27.650,"{5,42,78,90,105}",24937,61488,87.071,156.007,"{38,59,66,78,3760}",12169,0.649,41.1683,-73.9379,Rockland,US-9W
120N10469,366,80.117,31.590,"{11,52,95,105,124}",29323,61488,120.515,216.780,"{51,86,95,110,5538}",18390,0.956,41.1737,-73.9458,Rockland,US-9W
120N10470,366,115.175,34.789,"{23,92,134,139,155}",42154,61488,293.463,584.494,"{72,177,212,264,10807}",18390,1.497,41.1823,-73.9551,Rockland,US-9W
120N10471,366,9.703,4.251,"{1,7,10,13,21}",3532,61488,4.098,6.060,"{1,2,3,4,99}",18390,0.017,41.1987,-73.982,Rockland,Congers Ave
120N10552,366,72.776,24.728,"{17,53,80,93,116}",26636,61488,131.024,297.817,"{44,74,85,106,4804}",8553,0.829,41.0332,-73.9452,Rockland,RT-303
120N10553,366,90.317,35.402,"{7,56,108,117,136}",33056,61488,80.661,152.162,"{26,47,58,74,2704}",15707,0.467,41.0919,-73.9505,Rockland,RT-303
120N10554,366,122.620,37.270,"{24,98,142,148,160}",44879,61488,229.142,422.716,"{80,147,173,211,8898}",22581,1.536,41.0986,-73.9509,Rockland,RT-303
120N10555,366,13.239,5.977,"{1,9,13,17,31}",4819,61488,11.196,23.838,"{5,6,7,10,449}",10895,0.078,41.1675,-73.9385,Rockland,RT-303
120N10718,153,77.190,22.518,"{23,62,87,92,108}",11810,25704,98.713,220.182,"{27,49,57,80,3326}",,0.574,41.1398,-74.173,Rockland,RT-59
120N10719,366,82.842,35.993,"{9,42,100,111,128}",30320,61488,230.302,468.217,"{82,139,156,190,8372}",13632,1.445,41.1347,-74.1666,Rockland,Korean War Veterans Memorial Hwy
120N10720,366,42.765,17.285,"{4,29,47,55,84}",15652,61488,224.826,342.817,"{14,77,107,189,1892}",16584,0.327,41.1172,-74.1549,Rockland,Korean War Veterans Memorial Hwy
120N10721,366,143.473,22.187,"{52,131,154,158,165}",52511,61488,402.191,652.744,"{101,251,302,380,10174}",,1.757,41.1035,-74.0301,Rockland,Korean War Veterans Memorial Hwy
120N10722,366,120.377,30.593,"{29,99,134,143,159}",44058,61488,275.722,643.645,"{103,177,204,245,12651}",11159,2.184,41.0908,-73.9934,Rockland,Korean War Veterans Memorial Hwy
120N10723,366,80.773,24.553,"{20,65,88,99,121}",29563,61488,251.925,664.759,"{38,86,103,140,5179}",25069,0.894,41.0941,-73.9522,Rockland,Korean War Veterans Memorial Hwy
