tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05865,366,159.087,13.239,"{62,152,166,167,168}",58226,61488,114.158,73.298,"{78,102,106,111,7240}",,1.875,42.791,-73.7606,Saratoga,I-87
120N05866,366,153.164,18.586,"{45,141,163,165,168}",56058,61488,86.288,83.848,"{57,73,76,80,8084}",,1.396,42.8176,-73.767,Saratoga,I-87
120N05867,366,155.784,16.345,"{51,145,164,166,168}",57017,61488,96.164,67.833,"{64,82,86,90,9068}",3510,1.566,42.8361,-73.7702,Saratoga,I-87
120N05868,366,147.407,20.864,"{44,131,158,162,167}",53951,61488,58.857,58.317,"{40,51,54,57,5776}",,0.948,42.8588,-73.7746,Saratoga,I-87
120N05869,366,156.981,15.315,"{59,148,165,166,168}",57455,61488,110.632,37.589,"{78,101,106,111,2207}",,1.954,42.8731,-73.7769,Saratoga,I-87
120N05870,366,158.019,14.457,"{51,151,165,167,168}",57835,61488,143.070,18.050,"{106,136,142,147,1030}",,2.622,42.9012,-73.7846,Saratoga,I-87
120N05871,366,157.407,14.815,"{49,150,165,166,168}",57611,61488,126.718,24.303,"{93,120,125,130,2808}",,2.314,42.9339,-73.8035,Saratoga,I-87
120N05872,366,160.716,11.346,"{63,156,166,167,168}",58822,61488,194.265,54.282,"{144,185,193,200,12245}",,3.523,42.9675,-73.8014,Saratoga,I-87
120N05873,366,160.126,11.902,"{60,155,166,167,168}",58606,61488,221.870,140.080,"{164,210,219,227,23217}",1617,4.008,43.0178,-73.7956,Saratoga,I-87
120N05874,366,151.290,18.515,"{43,139,161,164,168}",55372,61488,106.149,20.635,"{77,101,105,109,2805}",,1.937,43.07,-73.7519,Saratoga,I-87
120N05875,366,161.131,11.151,"{53,157,166,168,168}",58974,61488,309.925,215.804,"{221,288,301,313,31901}",3789,5.507,43.0932,-73.7509,Saratoga,I-87
120N06211,366,155.738,16.957,"{40,145,165,166,168}",57000,61488,254.871,199.158,"{184,239,249,258,23385}",,4.614,43.1666,-73.7141,Saratoga,I-87
120N06212,366,143.123,23.752,"{32,124,156,159,166}",52383,61488,135.379,110.515,"{96,124,130,137,13707}",1366,2.366,43.2319,-73.692,Saratoga,I-87
120N06213,366,31.445,8.660,"{7,25,32,38,56}",11509,61488,3.652,5.641,"{3,3,3,4,376}",,0.065,43.2629,-73.6767,Saratoga,I-87
120N07962,366,58.563,20.681,"{4,39,65,74,106}",21434,61488,154.833,342.114,"{70,103,112,132,9206}",6941,1.589,43.0556,-74.0484,Saratoga,RT-29
120N07963,366,49.333,18.464,"{6,37,52,64,93}",18056,61488,280.554,478.502,"{56,112,155,242,3876}",10763,0.669,43.0832,-73.7848,Saratoga,Lake Ave
120N07964,366,40.574,17.000,"{5,24,46,53,78}",14850,61488,159.492,336.685,"{39,73,90,127,4318}",8452,0.745,43.0999,-73.5813,Saratoga,Ferry St
120N08013,366,60.533,22.159,"{12,38,69,77,112}",22155,61488,246.369,581.568,"{134,171,182,208,15775}",8568,2.723,42.9731,-74.0297,Saratoga,Amsterdam Rd
120N08014,366,65.254,24.571,"{7,42,75,84,108}",23883,61488,225.639,504.889,"{60,102,120,164,5251}",16764,0.907,43.0008,-73.8488,Saratoga,High St
120N08015,366,35.645,14.438,"{5,22,40,46,65}",13046,61488,154.247,367.495,"{43,64,73,105,4460}",20097,0.770,42.9882,-73.8525,Saratoga,Church Ave
120N08016,366,70.046,23.779,"{13,47,80,88,111}",25637,61488,107.829,144.161,"{35,76,89,109,3418}",14595,0.590,42.9701,-73.8042,Saratoga,Dunning St
120N08017,366,80.702,30.038,"{13,51,94,103,136}",29537,61488,283.034,551.902,"{66,150,189,272,9275}",13738,1.601,42.9711,-73.7931,Saratoga,RT-67
120N08075,366,90.831,29.581,"{13,63,104,113,130}",33244,61488,103.129,220.784,"{24,48,61,86,2519}",36188,0.435,42.8625,-73.7782,Saratoga,Clifton Park Blvd
120N08076,366,54.719,23.179,"{7,28,64,73,90}",20027,61488,111.339,255.062,"{48,72,82,100,5475}",12483,0.945,42.8686,-73.7269,Saratoga,Mechanicville Rd
120N08077,366,45.940,20.537,"{4,22,54,61,99}",16814,61488,89.965,161.526,"{55,75,79,85,6716}",10498,1.160,42.8817,-73.7214,Saratoga,RT-146
120N08078,366,35.587,15.711,"{1,19,41,48,62}",13025,61488,58.264,89.070,"{27,38,44,61,3264}",10498,0.563,42.8853,-73.701,Saratoga,RT-146
120N08079,366,15.374,9.144,"{1,8,13,24,37}",5596,61488,77.071,170.450,"{6,24,29,75,2088}",10498,0.116,42.8878,-73.6909,Saratoga,RT-146
120N08105,366,96.563,35.303,"{18,62,114,122,137}",35342,61488,385.374,786.849,"{132,221,256,317,10157}",16566,1.753,42.7752,-73.6975,Saratoga,Saratoga St
120N08106,366,96.708,40.539,"{5,50,118,126,144}",35395,61488,858.383,2033.700,"{282,461,539,668,30718}",6660,5.303,42.7901,-73.6783,Saratoga,RT-32
120N08107,366,44.530,21.193,"{3,20,53,60,86}",16298,61488,183.978,407.439,"{90,136,146,160,10887}",5620,1.879,42.8623,-73.6779,Saratoga,Hudson River Rd/Mechanicville Rd
120N08108,153,56.817,22.664,"{8,32,66,73,97}",8693,25704,169.883,341.642,"{49,80,96,136,3260}",,0.563,42.9033,-73.6878,Saratoga,Central Ave
120N08109,153,64.072,25.759,"{8,37,75,84,97}",9803,25704,571.847,1544.743,"{163,242,270,338,14696}",,2.537,42.9097,-73.6837,Saratoga,RT-32
120N08110,153,43.399,19.068,"{3,24,49,58,79}",6640,25704,581.430,1412.338,"{152,251,307,389,15942}",,2.752,42.9379,-73.6548,Saratoga,Hudson Ave
120N08111,153,7.606,4.507,"{1,4,7,11,19}",1080,25704,272.849,328.237,"{127,167,188,261,4263}",,2.208,42.9723,-73.6331,Saratoga,Lakes To Locks Psge
120N08113,153,7.193,5.161,"{1,4,6,9,37}",1043,25704,426.966,728.703,"{161,213,255,379,11613}",,3.007,42.9846,-73.6672,Saratoga,RT-32
