tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N05855,366,166.230,4.139,"{115,166,168,168,168}",60840,61488,281.262,74.515,"{209,266,278,288,9057}",52373,5.082,42.7512,-73.928,Schenectady,I-90
120N05856,366,165.227,5.522,"{100,164,167,168,168}",60473,61488,220.398,31.827,"{161,210,220,228,3748}",34602,3.859,42.787,-74.0139,Schenectady,I-90
120N05857,366,166.391,4.141,"{105,166,168,168,168}",60899,61488,282.411,24.530,"{204,272,283,291,1280}",27183,5.096,42.8304,-74.0111,Schenectady,I-90
120N05858,366,100.295,16.262,"{27,89,105,112,128}",36708,61488,15.718,9.621,"{11,15,16,16,1682}",27183,0.290,42.8918,-74.0863,Schenectady,I-90
120N05877,366,85.773,29.647,"{21,56,100,108,123}",31393,61488,38.885,35.687,"{25,34,36,38,3381}",,0.584,42.7602,-73.9319,Schenectady,I-890
120N05878,366,99.587,32.095,"{27,68,115,123,139}",36449,61488,54.033,62.666,"{34,48,51,54,4789}",,0.827,42.769,-73.927,Schenectady,I-890
120N05879,366,118.238,33.703,"{34,89,135,142,154}",43275,61488,77.637,80.371,"{48,70,74,79,6811}",,1.176,42.7804,-73.9235,Schenectady,I-890
120N05880,366,89.036,31.868,"{18,57,102,114,131}",32587,61488,45.447,96.582,"{27,40,42,44,3957}",,0.683,42.7967,-73.9291,Schenectady,I-890
120N05881,366,61.904,23.202,"{9,39,71,79,109}",22657,61488,19.316,19.750,"{12,17,18,20,1716}",,0.296,42.8012,-73.9409,Schenectady,I-890
120N05882,366,88.962,31.669,"{17,58,102,114,137}",32560,61488,67.767,237.721,"{25,39,42,47,3626}",,0.626,42.805,-73.948,Schenectady,I-890
120N05883,366,31.205,13.454,"{5,20,32,42,68}",11421,61488,17.794,54.870,"{8,12,13,15,1119}",13526,0.193,42.8096,-73.9498,Schenectady,I-890
120N05884,366,80.328,32.303,"{1,47,92,106,127}",29400,61488,103.959,257.377,"{55,80,85,91,7763}",,1.340,42.8131,-73.9527,Schenectady,I-890
120N05885,366,33.828,15.159,"{5,19,37,46,66}",12381,61488,21.222,47.695,"{12,18,19,20,1749}",2195,0.302,42.8139,-73.9765,Schenectady,I-890
