tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06193,366,112.396,23.214,"{14,92,122,130,146}",41137,61488,98.299,73.982,"{71,93,96,100,9929}",896,1.714,42.6392,-74.5518,Schoharie,I-88
120N06217,366,141.161,21.653,"{15,123,152,156,165}",51665,61488,294.505,136.200,"{210,279,290,301,29531}",933,5.098,42.6521,-74.5147,Schoharie,I-88
120N06218,366,144.781,20.768,"{27,128,155,159,166}",52990,61488,355.492,71.503,"{236,331,349,370,11395}",604,5.902,42.6777,-74.4232,Schoharie,I-88
120N06219,366,114.735,27.413,"{19,89,127,135,149}",41993,61488,142.406,83.956,"{101,133,139,145,14892}",2150,2.571,42.7057,-74.3208,Schoharie,I-88
120N06220,366,22.268,6.654,"{5,18,22,27,41}",8150,61488,6.159,7.924,"{4,5,6,6,601}",,0.104,42.7143,-74.2738,Schoharie,I-88
120N07896,366,37.751,15.210,"{7,27,38,47,88}",13817,61488,838.024,2472.154,"{183,252,289,425,22527}",2577,3.889,42.7895,-74.6222,Schoharie,US-20
120N07897,366,66.481,17.087,"{10,55,68,78,118}",24332,61488,581.291,1536.463,"{234,324,383,504,28736}",3318,4.961,42.761,-74.5328,Schoharie,US-20
120N07898,366,62.036,15.416,"{6,53,63,73,105}",22705,61488,545.543,1753.346,"{201,305,324,374,28998}",3135,5.006,42.7571,-74.3304,Schoharie,US-20
120N07899,366,35.781,12.465,"{5,26,37,45,62}",13096,61488,298.066,701.793,"{101,167,191,233,13463}",4101,2.324,42.761,-74.246,Schoharie,Western Tpke
120N08125,366,16.069,8.160,"{1,9,16,22,38}",5801,61488,162.654,416.783,"{44,68,80,117,5132}",5710,0.886,42.6387,-74.5469,Schoharie,RT-10
120N08126,366,18.805,9.009,"{1,12,19,26,44}",6864,61488,213.232,587.903,"{65,113,123,148,8458}",5710,1.460,42.6459,-74.5327,Schoharie,RT-10
120N08140,152,11.671,5.363,"{1,7,12,16,25}",1774,25536,34.946,72.000,"{17,23,25,29,1864}",,0.322,42.6812,-74.3009,Schoharie,RT-30
120N08141,153,5.164,2.998,"{1,3,5,7,15}",754,25704,191.781,535.103,"{76,110,123,149,9681}",,1.671,42.7003,-74.3018,Schoharie,RT-30
120N09532,153,31.209,12.476,"{2,22,31,41,61}",4775,25704,796.746,1975.690,"{280,378,412,577,34603}",,5.974,42.5993,-74.3361,Schoharie,RT-145
120N09533,366,61.650,20.396,"{13,44,67,77,102}",22564,61488,456.527,1111.273,"{127,241,281,361,16306}",10810,2.815,42.6783,-74.4174,Schoharie,RT-145
120N09534,153,11.869,5.721,"{1,7,12,16,28}",1816,25704,376.748,794.791,"{110,167,195,249,10765}",,1.859,42.6802,-74.4886,Schoharie,N Grand St
120N09975,153,23.987,11.716,"{1,13,26,32,56}",3670,25704,915.112,2593.253,"{193,287,347,493,22201}",,3.833,42.4103,-74.6249,Schoharie,Hobart Rd/Lake St
120N11666,153,7.329,3.454,"{1,5,7,9,16}",1114,25704,33.259,65.681,"{11,17,20,26,709}",,0.122,42.5996,-74.3384,Schoharie,RT-30
120N11669,153,28.471,12.365,"{4,17,31,38,49}",4356,25704,134.743,460.551,"{61,81,86,93,6625}",,1.144,42.6848,-74.2969,Schoharie,RT-30
120N11670,153,2.654,1.477,"{1,1,2,4,7}",345,25704,35.588,92.535,"{10,14,17,25,850}",,0.147,42.7137,-74.2763,Schoharie,RT-30
120N12015,366,29.434,9.970,"{3,22,31,37,52}",10773,61488,242.048,663.234,"{78,128,141,162,11550}",3668,1.994,42.7577,-74.2913,Schoharie,US-20
120N12016,366,65.139,15.333,"{9,57,66,76,105}",23841,61488,456.411,1159.366,"{245,343,365,393,30866}",2993,5.329,42.7569,-74.4288,Schoharie,US-20
120N12049,153,10.827,6.530,"{1,6,10,14,33}",1624,25704,158.091,271.726,"{92,114,125,147,10020}",,1.730,42.4478,-74.5791,Schoharie,RT-10
120N12055,153,16.397,8.123,"{1,10,16,22,41}",2476,25704,184.888,440.227,"{70,99,121,177,8749}",,1.510,42.6221,-74.5638,Schoharie,RT-10
120N12056,366,10.687,5.417,"{1,7,10,14,33}",3890,61488,51.065,131.229,"{12,22,25,32,1451}",8742,0.251,42.6574,-74.5107,Schoharie,RT-10
120N12057,153,48.549,18.460,"{8,31,53,63,79}",7428,25704,624.933,1376.866,"{102,234,284,405,12135}",,2.095,42.66,-74.5073,Schoharie,RT-10
120N12301,153,17.605,8.474,"{1,11,19,23,37}",2676,25704,273.926,748.643,"{102,140,161,210,11627}",,2.007,42.7158,-74.2764,Schoharie,RT-7
