tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N06006,366,53.667,23.080,"{3,29,62,72,89}",19642,61488,167.567,386.645,"{69,98,105,124,8957}",7551,1.546,42.2937,-76.7153,Schuyler,RT-13
104N07408,366,91.005,32.477,"{12,57,105,116,141}",33308,61488,635.134,1396.270,"{334,476,520,585,35675}",7093,6.159,42.2654,-76.8347,Schuyler,Main St/Sullivan Trl
104N07409,366,13.495,6.281,"{1,9,14,18,30}",4939,61488,18.933,30.509,"{5,13,15,18,584}",7765,0.101,42.3459,-76.8441,Schuyler,S Catherine St
104N07410,366,75.358,27.907,"{11,46,88,96,122}",27581,61488,371.406,921.768,"{116,209,239,288,13257}",10187,2.289,42.3471,-76.8451,Schuyler,N Catherine St
104N07411,366,47.760,18.386,"{4,34,51,63,84}",17480,61488,82.624,176.633,"{17,35,41,56,1573}",12971,0.272,42.3719,-76.8688,Schuyler,S Franklin St
104N07412,366,65.814,23.890,"{3,51,71,84,114}",24088,61488,129.618,222.540,"{23,59,76,114,2165}",13242,0.374,42.3755,-76.8708,Schuyler,Franklin St
104N07413,366,85.680,30.452,"{8,60,99,109,129}",31359,61488,538.898,1253.712,"{153,226,279,415,17849}",6948,3.081,42.3806,-76.8735,Schuyler,N Franklin St
104N08012,153,11.980,6.062,"{1,8,12,16,35}",1809,25704,237.567,565.230,"{108,146,163,197,12435}",,2.147,42.4496,-76.6707,Schuyler,RT-79
104N08013,153,17.941,9.325,"{1,13,17,23,61}",2745,25704,598.617,1901.433,"{201,265,311,457,23300}",,4.022,42.4566,-76.7106,Schuyler,RT-79
104N10152,153,37.085,15.465,"{1,21,41,49,64}",5674,25704,272.736,1017.553,"{108,152,165,190,13853}",,2.392,42.3203,-76.8967,Schuyler,RT-414
104N10153,366,37.970,17.018,"{2,22,43,50,79}",13859,61488,272.957,811.973,"{69,125,177,227,9072}",4231,1.566,42.3507,-76.8748,Schuyler,RT-414
104N10154,366,47.760,18.386,"{4,34,51,63,84}",17480,61488,82.624,176.633,"{17,35,41,56,1573}",12971,0.272,42.3719,-76.8688,Schuyler,RT-414
104N10155,366,65.814,23.890,"{3,51,71,84,114}",24088,61488,129.618,222.540,"{23,59,76,114,2165}",13242,0.374,42.3755,-76.8708,Schuyler,RT-414
104N10156,366,51.596,19.456,"{4,39,56,66,90}",18884,61488,467.309,955.271,"{84,201,266,382,9351}",8956,1.614,42.3806,-76.8735,Schuyler,RT-414
104P06887,366,51.142,21.197,"{4,30,60,67,87}",18718,61488,172.900,510.776,"{74,99,107,125,8957}",7551,1.546,42.2974,-76.6879,Schuyler,Elmira Rd
104P07409,366,84.798,31.868,"{7,53,98,110,135}",31036,61488,643.884,1528.889,"{272,463,510,580,35675}",7093,6.159,42.3459,-76.8441,Schuyler,S Catherine St
104P07410,366,23.882,10.706,"{1,15,26,32,48}",8693,61488,65.957,127.263,"{10,27,34,55,1096}",7765,0.189,42.3471,-76.8451,Schuyler,N Catherine St
104P07411,366,71.046,27.122,"{4,46,81,93,111}",26003,61488,379.240,959.186,"{106,202,229,277,12745}",11398,2.200,42.3719,-76.8688,Schuyler,S Franklin St
104P07412,366,39.495,15.545,"{6,29,41,51,76}",14455,61488,79.134,148.147,"{24,37,43,63,1573}",12971,0.272,42.3755,-76.8708,Schuyler,Franklin St
104P07413,366,55.825,21.289,"{7,44,58,72,97}",20432,61488,164.354,288.494,"{24,59,83,135,2165}",13242,0.374,42.3806,-76.8735,Schuyler,N Franklin St
104P07414,366,78.082,27.855,"{9,53,89,99,129}",28578,61488,589.948,1642.579,"{160,244,304,434,19149}",4397,3.306,42.4186,-76.9026,Schuyler,RT-14
104P08013,153,16.862,7.911,"{1,12,18,22,36}",2563,25704,247.843,398.630,"{111,156,175,228,12973}",,2.240,42.4566,-76.7106,Schuyler,RT-79
104P08014,153,21.118,9.548,"{1,15,22,28,48}",3231,25704,586.133,1634.729,"{200,268,307,422,22762}",,3.930,42.4481,-76.7792,Schuyler,RT-79
104P10153,153,21.216,9.169,"{1,15,22,28,50}",3246,25704,252.767,745.835,"{110,150,160,181,13853}",,2.392,42.3507,-76.8748,Schuyler,RT-414
104P10154,366,19.139,8.757,"{1,14,19,25,55}",7005,61488,235.881,582.420,"{83,113,133,185,9072}",4231,1.566,42.3719,-76.8688,Schuyler,RT-414
104P10155,366,39.495,15.545,"{6,29,41,51,76}",14455,61488,79.134,148.147,"{24,37,43,63,1573}",12971,0.272,42.3755,-76.8708,Schuyler,RT-414
104P10156,366,55.825,21.289,"{7,44,58,72,97}",20432,61488,164.354,288.494,"{24,59,83,135,2165}",13242,0.374,42.3806,-76.8735,Schuyler,RT-414
104P10157,366,44.443,16.578,"{3,34,47,57,85}",16266,61488,424.926,926.078,"{89,183,231,330,9351}",8956,1.614,42.3949,-76.8569,Schuyler,RT-414
