tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N04964,366,161.866,10.585,"{68,159,167,168,168}",59243,61488,123.281,53.764,"{88,118,122,126,12683}",,2.190,42.9555,-76.9635,Seneca,I-90
104N04965,366,164.025,8.175,"{76,163,168,168,168}",60033,61488,199.391,24.691,"{140,190,198,205,2356}",,3.547,42.958,-76.9215,Seneca,I-90
104N04966,366,167.197,3.421,"{115,168,168,168,168}",61194,61488,558.997,95.415,"{421,533,555,571,9558}",,10.027,42.9669,-76.8556,Seneca,I-90
104N05291,366,61.347,24.681,"{5,37,71,80,97}",22453,61488,545.962,1631.444,"{183,252,283,344,17238}",9967,2.976,42.8931,-76.9188,Seneca,Waterloo Geneva Rd
104N05292,366,53.019,21.571,"{2,30,61,70,87}",19405,61488,310.497,767.665,"{97,145,162,198,7945}",15595,1.372,42.9047,-76.8629,Seneca,Main St
104N05293,366,64.347,23.971,"{7,40,73,83,102}",23551,61488,504.028,1132.538,"{176,274,340,430,18341}",9634,3.166,42.9103,-76.7965,Seneca,US-20
104N05294,366,77.246,29.190,"{12,48,90,100,123}",28272,61488,207.449,505.068,"{96,131,143,171,11619}",11098,2.006,42.9493,-76.7676,Seneca,US-20
104N05839,366,16.764,7.425,"{1,11,17,22,36}",6102,61488,252.724,569.608,"{63,97,117,172,4651}",3573,0.803,42.9047,-76.8629,Seneca,RT-96
104N06738,366,67.869,24.706,"{6,45,78,86,109}",24840,61488,614.826,1418.574,"{139,253,304,416,12885}",9488,2.224,42.9028,-76.8367,Seneca,US-20
104N06739,366,45.544,19.527,"{1,24,54,60,76}",16669,61488,168.935,451.948,"{79,105,113,126,7890}",9967,1.362,42.8815,-76.9405,Seneca,Waterloo Geneva Rd
104N07703,153,25.052,11.055,"{1,17,25,33,51}",3833,25704,549.735,1674.867,"{180,242,280,371,20045}",,3.461,42.8507,-76.8496,Seneca,RT-96
104N07704,366,18.779,7.850,"{1,12,20,24,44}",6873,61488,216.406,417.394,"{36,61,78,125,2616}",5219,0.452,42.8989,-76.8637,Seneca,Fayette St
104N07705,366,25.005,10.344,"{3,18,27,32,52}",9152,61488,318.058,868.808,"{103,153,176,225,12173}",5728,2.102,42.9162,-76.8629,Seneca,RT-96
104N07706,153,35.327,14.600,"{5,23,40,47,74}",5405,25704,470.775,1594.634,"{210,258,274,313,23501}",,4.057,42.9245,-76.9025,Seneca,RT-96
104N09792,153,15.054,10.598,"{1,8,15,19,84}",2228,25704,255.370,697.245,"{97,139,152,189,12554}",,2.167,43.0163,-76.7033,Seneca,RT-31
104N10168,366,37.749,16.663,"{2,25,40,50,79}",13816,61488,845.546,2393.083,"{198,313,419,575,23593}",3277,4.073,42.8517,-76.8047,Seneca,RT-414
104N10169,366,63.648,24.056,"{6,43,72,82,106}",23295,61488,653.850,1534.749,"{119,242,295,421,12690}",9488,2.191,42.9103,-76.7957,Seneca,RT-414
104N10170,366,105.156,34.622,"{14,71,123,130,152}",38487,61488,718.746,1605.555,"{215,366,456,623,25555}",8074,4.412,42.9029,-76.8352,Seneca,RT-414
104N10291,366,68.298,25.347,"{9,43,77,88,117}",24997,61488,477.824,1413.277,"{180,245,276,354,21766}",6810,3.758,42.9548,-76.9041,Seneca,RT-318
104P04964,366,64.713,11.734,"{25,57,65,74,93}",23685,61488,5.076,1.038,"{4,5,5,5,68}",33727,0.094,42.9555,-76.9635,Seneca,I-90
104P04965,366,163.317,7.625,"{100,161,167,168,168}",59774,61488,135.696,23.420,"{100,130,136,139,1979}",33727,2.460,42.958,-76.9215,Seneca,I-90
104P04966,366,164.699,6.140,"{109,163,167,168,168}",60280,61488,192.131,35.141,"{141,183,191,196,2220}",33727,3.440,42.9669,-76.8556,Seneca,I-90
104P04967,366,167.445,2.164,"{137,168,168,168,168}",61285,61488,556.430,85.886,"{412,532,555,570,5074}",33350,10.084,43.0231,-76.6737,Seneca,I-90
104P05291,366,43.429,17.371,"{1,27,50,56,77}",15895,61488,172.254,423.159,"{76,105,113,127,7890}",9967,1.362,42.8931,-76.9188,Seneca,Waterloo Geneva Rd
104P05292,366,60.038,23.597,"{8,36,69,77,101}",21974,61488,594.363,1686.958,"{167,253,292,375,17238}",9967,2.976,42.9047,-76.8629,Seneca,Main St
104P05293,366,65.844,24.202,"{6,45,74,84,108}",24099,61488,652.029,1513.009,"{121,249,308,432,12951}",8228,2.236,42.9103,-76.7965,Seneca,US-20
104P05294,366,66.686,23.971,"{8,44,77,84,100}",24407,61488,573.787,1307.220,"{166,270,346,486,18014}",9634,3.110,42.9493,-76.7676,Seneca,US-20
104P05357,366,77.426,29.094,"{10,50,90,99,118}",28338,61488,189.409,424.477,"{93,129,141,165,11619}",11098,2.006,42.963,-76.7338,Seneca,Clark St Rd
104P05839,366,19.262,9.120,"{1,13,20,25,73}",7050,61488,166.365,314.697,"{25,65,82,128,2616}",5219,0.452,42.9047,-76.8629,Seneca,RT-96
104P05840,153,37.190,14.607,"{2,27,39,48,66}",5690,25704,458.944,1478.523,"{229,280,299,341,25463}",,4.396,42.946,-76.9749,Seneca,RT-96
104P06738,366,53.740,21.105,"{5,33,62,69,89}",19669,61488,357.048,919.475,"{87,151,171,220,8364}",15595,1.444,42.9028,-76.8367,Seneca,US-20
104P07704,153,25.922,10.999,"{2,17,27,34,61}",3966,25704,688.783,2336.501,"{177,237,278,371,20045}",,3.461,42.8989,-76.8637,Seneca,Fayette St
104P07705,366,17.251,7.134,"{1,12,17,22,38}",6314,61488,258.853,601.809,"{57,97,113,154,4651}",3573,0.803,42.9162,-76.8629,Seneca,RT-96
104P07706,366,24.500,9.742,"{1,17,25,31,54}",8967,61488,285.933,814.133,"{107,155,173,211,12173}",5728,2.102,42.9245,-76.9025,Seneca,RT-96
104P09793,153,16.184,11.821,"{1,7,16,21,88}",2460,25704,297.790,788.758,"{110,150,164,223,13478}",,2.327,43.0234,-76.7449,Seneca,RT-31
104P10169,366,43.582,18.201,"{4,28,47,57,89}",15951,61488,850.677,2120.433,"{209,320,449,673,23817}",8234,4.112,42.9103,-76.7957,Seneca,RT-414
104P10170,366,66.678,24.463,"{6,45,76,85,108}",24404,61488,600.747,1387.501,"{138,247,298,404,12835}",9488,2.216,42.9029,-76.8352,Seneca,RT-414
104P10171,366,110.770,35.330,"{14,76,129,136,153}",40542,61488,799.351,1808.631,"{228,378,481,677,26046}",6225,4.497,42.9655,-76.8469,Seneca,RT-414
104P10292,366,79.719,28.564,"{8,49,92,102,128}",29177,61488,585.869,1320.040,"{184,255,303,481,21896}",6810,3.780,42.9519,-76.9774,Seneca,RT-318
