tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05883,366,21.986,13.290,"{1,12,21,31,73}",7959,61488,2545.655,6111.950,"{333,859,1098,1616,48641}",2402,8.397,44.3351,-75.4694,St Lawrence,Clinton St
104N05884,153,6.781,5.086,"{1,3,5,8,26}",929,25704,437.610,1160.869,"{158,200,245,366,16420}",,2.835,44.4846,-75.5811,St Lawrence,RT-58
104N05885,151,1.452,0.755,"{1,1,1,2,4}",45,25368,10.311,22.943,"{3,5,6,8,161}",,0.028,44.5781,-75.6409,St Lawrence,RT-58
104N05914,366,12.583,6.117,"{1,8,12,17,31}",4555,61488,114.232,332.784,"{53,68,74,83,6326}",2146,1.092,44.1633,-75.3123,St Lawrence,RT-3
104N05915,366,13.630,7.213,"{1,8,14,18,37}",4893,61488,179.853,350.643,"{99,131,138,155,12694}",2383,2.192,44.2425,-75.1356,St Lawrence,RT-3
104N05916,366,22.342,10.766,"{1,14,24,29,56}",8177,61488,361.627,877.571,"{153,209,223,265,19587}",2166,3.382,44.2925,-74.7207,St Lawrence,RT-3
104N05958,152,1.663,1.187,"{1,1,1,2,7}",143,25536,8.930,4.681,"{4,6,8,10,38}",,0.039,44.6791,-75.5199,St Lawrence,RT-68
104N05959,366,13.641,6.570,"{1,8,14,19,32}",4938,61488,315.416,634.101,"{53,93,134,222,3547}",7752,0.612,44.69,-75.4751,St Lawrence,Canton St
104N05960,366,50.172,24.959,"{2,20,61,69,88}",18363,61488,624.738,1838.780,"{226,303,361,511,27072}",8650,4.674,44.5951,-75.1756,St Lawrence,Main St
104N05961,366,84.290,31.607,"{11,48,99,109,125}",30850,61488,350.846,780.189,"{94,174,213,277,8100}",16658,1.398,44.5974,-75.1475,St Lawrence,E Main St
104N07501,153,32.490,14.226,"{7,19,35,43,76}",4971,25704,610.474,417.326,"{413,497,522,550,8971}",,8.415,44.3516,-75.861,St Lawrence,RT-12
104N07502,153,18.595,9.157,"{3,10,19,24,44}",2845,25704,253.632,113.157,"{160,208,220,235,2270}",,3.527,44.442,-75.7521,St Lawrence,RT-12
104N07503,366,28.025,13.544,"{1,16,30,38,62}",10229,61488,610.783,456.437,"{386,516,542,568,18653}",1757,8.732,44.4862,-75.7676,St Lawrence,RT-12
104N07504,366,3.519,2.308,"{1,2,3,4,19}",1200,61488,17.120,37.994,"{8,12,13,16,1103}",,0.190,44.5727,-75.6469,St Lawrence,RT-12
104N07546,366,18.242,8.931,"{1,12,18,25,43}",6622,61488,435.717,1354.566,"{224,292,308,336,27879}",1424,4.813,44.2132,-75.2147,St Lawrence,RT-3
104N07547,366,18.477,10.312,"{1,10,19,25,49}",6707,61488,300.090,716.190,"{158,205,217,243,19657}",2383,3.394,44.2356,-75.0934,St Lawrence,RT-3
104N07548,366,24.885,13.637,"{1,13,25,33,79}",9058,61488,720.230,2294.975,"{249,349,410,559,29092}",2383,5.022,44.1923,-75.0639,St Lawrence,RT-3
104N07549,365,14.958,9.812,"{1,7,14,20,61}",5310,61320,315.434,371.409,"{181,237,250,299,22963}",1185,3.964,44.1671,-74.9937,St Lawrence,RT-3
104N07550,366,34.981,19.995,"{1,19,36,46,106}",12628,61488,1039.064,2761.501,"{431,588,694,1004,54281}",1095,9.371,44.2195,-74.8532,St Lawrence,RT-3
