tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05024,366,103.027,25.778,"{22,79,114,122,139}",37708,61488,39.780,38.445,"{27,37,39,40,4074}",16591,0.703,42.1343,-76.9657,Steuben,I-86
104N05025,366,139.885,25.656,"{35,116,153,158,166}",51198,61488,132.565,65.942,"{94,125,131,135,13626}",33378,2.352,42.1309,-76.973,Steuben,I-86
104N05026,366,141.306,24.812,"{36,121,154,159,166}",51718,61488,149.693,58.574,"{107,143,148,153,11666}",31034,2.685,42.1222,-77.018,Steuben,I-86
104N05027,366,136.817,25.339,"{34,115,149,156,164}",50075,61488,112.436,57.321,"{80,106,110,115,11310}",19015,1.922,42.1535,-77.0489,Steuben,I-86
104N05028,366,75.751,19.147,"{25,62,79,91,112}",27725,61488,21.268,8.245,"{15,19,21,22,651}",22912,0.368,42.1586,-77.0761,Steuben,I-86
104N05029,366,77.486,19.322,"{15,63,85,91,111}",28360,61488,33.658,55.457,"{24,30,32,34,3230}",11994,0.558,42.1542,-77.0806,Steuben,I-86
104N05030,366,130.492,24.030,"{41,109,142,148,161}",47760,61488,78.146,68.750,"{56,73,76,79,7738}",17605,1.336,42.1543,-77.0901,Steuben,I-86
104N05031,366,146.027,21.117,"{48,128,157,161,167}",53446,61488,126.756,20.469,"{95,121,125,130,1647}",21523,2.248,42.1687,-77.1041,Steuben,I-86
104N05032,366,154.145,17.207,"{61,142,163,166,168}",56417,61488,237.279,73.129,"{168,219,228,239,4619}",17857,3.987,42.1861,-77.1385,Steuben,I-86
104N05033,366,155.568,15.837,"{67,143,164,166,168}",56938,61488,265.651,167.133,"{189,252,262,271,27255}",11908,4.705,42.2267,-77.184,Steuben,I-86
104N05034,366,151.568,18.177,"{57,137,161,164,168}",55474,61488,201.919,86.958,"{147,194,201,206,17296}",14027,3.626,42.2864,-77.2236,Steuben,I-86
104N05035,366,150.005,19.265,"{53,134,160,163,168}",54902,61488,198.711,31.710,"{144,190,198,204,3968}",14739,3.562,42.315,-77.2767,Steuben,I-86
104N05036,366,147.555,19.990,"{51,132,158,162,168}",54005,61488,164.913,38.309,"{117,157,163,169,6767}",8617,2.884,42.3355,-77.3321,Steuben,I-86
104N05037,366,132.970,23.676,"{44,112,143,150,162}",48667,61488,87.535,43.368,"{62,82,85,89,8725}",14201,1.543,42.3768,-77.3591,Steuben,I-86
104N05038,366,131.464,23.784,"{36,118,140,149,164}",48116,61488,381.146,267.163,"{274,360,372,384,39382}",3190,6.799,42.3852,-77.3755,Steuben,I-86
104N05039,366,140.352,21.617,"{46,130,150,156,166}",51369,61488,555.101,167.541,"{384,519,542,568,27440}",2630,9.475,42.3657,-77.5033,Steuben,I-86
104N05040,366,120.369,24.395,"{31,108,129,139,156}",44055,61488,274.313,168.202,"{193,254,264,274,27681}",3336,4.779,42.3748,-77.6722,Steuben,I-86
104N05103,366,88.880,25.859,"{13,63,100,107,127}",32530,61488,48.348,29.650,"{34,46,48,50,4902}",125,0.846,42.0752,-77.1483,Steuben,US-15
104N05104,366,108.899,28.992,"{14,80,123,129,146}",39857,61488,93.441,51.832,"{67,89,92,95,9580}",,1.654,42.0833,-77.1536,Steuben,US-15
104N05105,366,128.172,29.466,"{23,98,143,150,162}",46911,61488,161.823,120.077,"{116,152,157,163,16220}",3134,2.800,42.1064,-77.1545,Steuben,US-15
104N05106,366,45.227,14.717,"{7,33,46,57,76}",16553,61488,13.979,17.034,"{6,9,15,17,1636}",,0.156,42.1482,-77.1063,Steuben,US-15
104N05107,366,71.579,40.905,"{5,34,64,116,136}",26198,61488,99.037,203.313,"{4,94,104,115,9578}",31030,0.105,42.1504,-77.103,Steuben,US-15
104N05118,366,101.030,24.913,"{27,78,112,119,138}",36977,61488,63.651,49.205,"{44,60,62,65,6487}",337,1.120,42.3852,-77.3755,Steuben,I-390
104N05119,366,152.923,17.761,"{66,138,163,165,168}",55970,61488,504.282,101.941,"{359,483,502,516,17515}",,9.072,42.3977,-77.4009,Steuben,I-390
104N05120,366,146.975,22.001,"{49,127,158,162,167}",53793,61488,356.834,213.873,"{223,322,347,375,33013}",432,5.699,42.4929,-77.5102,Steuben,I-390
104N05121,366,148.557,21.055,"{53,128,160,164,168}",54372,61488,396.692,181.415,"{250,356,385,419,35859}",,6.191,42.5421,-77.5862,Steuben,I-390
104N05995,366,54.101,20.777,"{4,33,62,70,90}",19801,61488,271.714,620.540,"{65,141,164,212,7039}",10880,1.215,42.3401,-77.34,Steuben,W Washington St
104N05996,153,41.869,17.057,"{4,26,46,55,76}",6406,25704,699.052,1745.919,"{354,459,490,559,41611}",,7.184,42.4008,-77.2218,Steuben,RT-54
104N06845,153,21.503,11.563,"{1,11,23,30,50}",3247,25704,591.146,1382.985,"{316,404,438,508,36315}",,6.269,42.3799,-77.6527,Steuben,RT-21
104N06847,153,12.567,7.454,"{1,7,12,17,40}",1885,25704,357.604,818.265,"{186,228,244,298,20850}",,3.600,42.4822,-77.5704,Steuben,RT-21
104N06848,366,4.824,3.333,"{1,2,4,6,20}",1645,61488,90.055,213.868,"{37,47,51,77,4298}",2127,0.742,42.5309,-77.5892,Steuben,RT-21
104N06849,366,26.779,12.415,"{2,15,28,36,53}",9801,61488,335.943,830.579,"{99,161,195,251,10813}",5537,1.867,42.5414,-77.5925,Steuben,RT-21
104N06948,153,28.484,12.933,"{2,18,30,38,61}",4358,25704,1470.848,4109.420,"{356,502,629,915,39178}",,6.764,42.5678,-77.5897,Steuben,RT-21
104N06958,153,15.340,7.235,"{1,9,16,21,38}",2301,25704,281.065,627.682,"{85,115,150,236,9536}",,1.646,42.3626,-77.6727,Steuben,RT-21
104N07346,366,117.650,29.358,"{16,89,132,139,154}",43060,61488,133.823,39.548,"{93,124,130,138,4410}",,2.284,41.9995,-77.1357,Steuben,Main St
104N07347,366,126.546,28.855,"{21,99,141,147,161}",46316,61488,190.109,156.546,"{133,178,186,195,18930}",,3.268,42.0288,-77.1411,Steuben,US-15
104N07356,366,27.658,11.550,"{4,17,30,37,65}",10095,61488,89.669,219.331,"{22,36,47,67,2546}",,0.439,42.3626,-77.6727,Steuben,W Genesee St
104N07357,366,68.459,26.277,"{8,43,77,88,117}",25056,61488,260.423,809.194,"{102,153,170,198,12541}",5013,2.165,42.3687,-77.6749,Steuben,W Genesee St
104N07358,153,82.588,30.579,"{12,50,96,105,132}",12636,25704,402.204,796.471,"{240,318,332,359,29581}",,5.107,42.3945,-77.6966,Steuben,RT-36
104N07359,366,87.301,31.384,"{13,56,98,112,134}",31952,61488,588.379,1254.397,"{262,397,446,541,34599}",6146,5.973,42.466,-77.7187,Steuben,RT-36
104N07737,366,71.784,27.267,"{11,44,82,92,119}",26273,61488,1012.293,2739.132,"{316,517,627,807,39561}",7800,6.830,42.337,-77.318,Steuben,RT-54
104N10100,153,18.667,10.772,"{1,11,17,25,49}",2856,25704,560.300,1194.145,"{118,213,301,470,12065}",,2.083,42.1703,-77.1043,Steuben,RT-415
104N10101,366,8.702,6.427,"{1,3,7,13,29}",2889,61488,382.496,937.685,"{104,165,209,318,12732}",2585,2.198,42.1823,-77.1415,Steuben,RT-415
104N10102,153,5.690,4.936,"{1,2,4,7,24}",808,25704,247.048,714.371,"{79,107,122,189,9176}",,1.584,42.2065,-77.1635,Steuben,RT-415
104N10103,153,27.107,15.663,"{2,13,28,36,74}",4066,25704,1129.991,3144.228,"{258,358,453,671,28840}",,4.979,42.2271,-77.1757,Steuben,RT-415
104N10104,366,15.688,9.169,"{1,7,16,23,44}",5679,61488,678.440,1800.597,"{182,297,350,501,25539}",2236,4.409,42.289,-77.2193,Steuben,RT-415
104N10105,366,24.530,11.078,"{1,14,27,33,49}",8978,61488,240.974,643.660,"{69,107,120,145,6943}",8325,1.199,42.3249,-77.2858,Steuben,RT-415
104N10106,366,21.749,10.513,"{2,11,24,29,44}",7960,61488,396.056,783.564,"{69,115,150,242,4958}",7300,0.856,42.3318,-77.307,Steuben,RT-415
104N10107,366,39.997,16.901,"{4,24,46,52,68}",14639,61488,172.968,347.638,"{30,89,105,139,4294}",12414,0.741,42.337,-77.318,Steuben,RT-415
104N10108,366,52.120,20.670,"{5,32,60,67,103}",19076,61488,647.061,1554.517,"{112,247,312,433,16200}",8180,2.797,42.3378,-77.3324,Steuben,RT-415
104N10109,366,12.380,7.062,"{1,6,13,17,38}",4494,61488,293.754,776.025,"{125,163,176,225,14410}",3634,2.488,42.3699,-77.3641,Steuben,RT-415
104N10110,366,6.167,3.700,"{1,3,6,9,22}",2140,61488,112.822,319.154,"{40,55,62,90,4754}",2961,0.821,42.3895,-77.4004,Steuben,RT-415
104N10111,153,20.399,11.634,"{3,10,20,28,57}",3121,25704,464.434,1151.638,"{174,230,259,363,19790}",,3.416,42.3962,-77.4112,Steuben,RT-415
104N10114,153,14.190,6.535,"{1,10,15,18,36}",2171,25704,169.667,355.403,"{53,78,92,122,3669}",,0.633,42.5005,-77.4935,Steuben,RT-415
104N10115,366,11.276,8.906,"{1,5,9,15,48}",3969,61488,1161.435,3412.579,"{303,428,516,745,35747}",1236,6.171,42.5019,-77.5056,Steuben,RT-415
104N10116,357,1.113,0.317,"{1,1,1,1,2}",59,59976,5.763,9.958,"{2,3,3,4,72}",1236,0.012,42.5437,-77.5928,Steuben,RT-415
104N10136,365,8.629,6.150,"{1,4,7,12,43}",2977,61320,973.493,3230.679,"{178,259,300,387,20506}",,3.540,42.4822,-77.5704,Steuben,CR-121
104N10137,366,11.934,6.469,"{1,7,12,16,29}",4344,61488,81.260,140.026,"{28,45,57,79,2778}",2094,0.480,42.4971,-77.5118,Steuben,CR-121
104N10138,366,1.773,0.999,"{1,1,1,2,6}",461,61488,4.985,4.436,"{2,3,4,5,54}",2094,0.019,42.5016,-77.5057,Steuben,CR-121
104N10147,153,37.314,13.154,"{5,29,41,46,65}",5709,25704,343.349,687.332,"{62,104,137,253,4805}",,0.830,42.1423,-77.0527,Steuben,RT-414
104N10148,153,83.954,30.696,"{7,49,98,106,125}",12845,25704,1078.047,2618.096,"{430,653,719,852,55390}",,9.563,42.1542,-77.0531,Steuben,RT-414
104N12309,366,100.082,28.003,"{13,71,112,121,138}",36630,61488,55.581,61.646,"{39,52,54,56,5503}",1161,0.950,42.1389,-77.1209,Steuben,US-15
104N50228,366,46.413,18.263,"{6,31,50,60,90}",16987,61488,441.534,1188.794,"{89,158,203,283,10675}",,1.843,42.1528,-77.0867,Steuben,RT-352
104N50229,366,30.311,14.347,"{4,18,32,41,65}",11094,61488,233.930,538.684,"{28,79,96,138,3728}",,0.644,42.1423,-77.0527,Steuben,Denison Pkwy E
104N50230,366,20.775,10.888,"{1,11,23,29,43}",7583,61488,142.588,391.495,"{39,56,66,86,4059}",,0.701,42.14,-77.0405,Steuben,Denison Pkwy E
104N50231,366,19.813,10.180,"{1,10,22,27,42}",7212,61488,87.674,205.567,"{41,58,63,73,4753}",10302,0.820,42.1358,-77.0285,Steuben,RT-352
