tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04741,366,122.178,28.349,"{30,117,133,139,158}",44717,61488,152.222,169.244,"{79,116,123,133,11727}",19285,2.025,40.891,-72.4916,Suffolk,RT-27
120N04742,366,133.377,25.331,"{49,130,142,148,164}",48816,61488,287.227,254.515,"{171,239,253,269,25254}",19454,4.360,40.8826,-72.5312,Suffolk,RT-27
120N04743,366,111.541,29.053,"{25,104,122,130,156}",40824,61488,90.686,74.361,"{59,82,87,92,8651}",22319,1.494,40.8723,-72.6101,Suffolk,RT-27
120N04744,366,136.620,25.420,"{39,134,146,152,166}",50003,61488,243.688,35.446,"{165,230,241,252,2729}",17828,4.240,40.8687,-72.6384,Suffolk,RT-27
120N04745,366,98.555,29.559,"{13,88,109,119,139}",36071,61488,78.275,62.138,"{52,71,76,81,7743}",28228,1.337,40.8481,-72.7145,Suffolk,RT-27
120N04746,366,72.372,24.720,"{10,61,80,89,114}",26488,61488,38.784,19.097,"{27,35,38,40,1918}",19455,0.662,40.8387,-72.7351,Suffolk,RT-27
120N04747,366,122.940,30.399,"{33,114,136,143,156}",44996,61488,133.578,39.640,"{89,124,131,139,5561}",16664,2.304,40.8343,-72.7471,Suffolk,RT-27
120N04748,366,91.691,28.775,"{15,80,102,112,130}",33559,61488,43.181,10.921,"{29,40,42,45,709}",22140,0.735,40.824,-72.7892,Suffolk,RT-27
120N04749,366,138.298,29.154,"{38,134,151,157,166}",50617,61488,212.370,121.857,"{141,198,209,219,20941}",38920,3.615,40.8234,-72.8033,Suffolk,RT-27
120N04750,366,140.093,29.828,"{48,133,154,159,166}",51274,61488,132.842,128.382,"{89,122,129,136,12621}",28924,2.179,40.8053,-72.8671,Suffolk,RT-27
120N04751,366,141.525,29.945,"{54,133,157,160,166}",51798,61488,126.079,54.553,"{84,116,122,130,4075}",44177,2.110,40.7979,-72.9072,Suffolk,RT-27
120N04752,366,126.866,33.574,"{36,114,144,150,161}",46433,61488,58.521,33.365,"{39,54,57,60,5627}",37463,0.971,40.7889,-72.9451,Suffolk,RT-27
120N04753,366,124.779,34.041,"{33,107,141,149,160}",45669,61488,47.411,46.685,"{29,41,44,48,4222}",55614,0.729,40.7879,-72.9604,Suffolk,RT-27
