tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06267,366,52.287,12.797,"{15,44,53,62,83}",19137,61488,13.398,14.688,"{9,12,13,14,1344}",31058,0.232,41.5595,-74.4259,Sullivan,RT-17
120N06268,366,127.814,25.835,"{36,105,140,146,160}",46780,61488,120.338,98.729,"{82,109,116,124,12006}",30402,2.016,41.5622,-74.4276,Sullivan,RT-17
120N06269,366,130.585,26.138,"{40,110,142,149,163}",47794,61488,134.974,83.256,"{85,120,129,142,12178}",29747,2.159,41.5655,-74.464,Sullivan,RT-17
120N06270,366,120.205,27.477,"{37,94,133,140,154}",43995,61488,123.571,131.568,"{82,114,120,127,12276}",29632,2.119,41.5583,-74.4995,Sullivan,RT-17
120N06271,366,128.459,26.972,"{36,107,141,147,160}",47016,61488,185.449,132.390,"{130,172,180,190,19112}",29432,3.299,41.5877,-74.5119,Sullivan,RT-17
120N06272,366,85.762,22.590,"{15,67,93,102,129}",31389,61488,46.689,37.511,"{32,42,44,47,4702}",28605,0.812,41.605,-74.561,Sullivan,RT-17
120N06273,366,113.221,27.675,"{27,88,125,134,153}",41439,61488,94.316,79.669,"{61,84,90,97,9078}",30562,1.567,41.6171,-74.5773,Sullivan,RT-17
120N06274,366,93.781,25.971,"{19,69,103,113,137}",34324,61488,52.656,46.732,"{32,44,49,56,4598}",24446,0.794,41.6243,-74.5962,Sullivan,RT-17
120N06275,366,100.055,26.833,"{20,76,111,120,142}",36620,61488,56.459,36.642,"{39,52,55,58,5746}",32740,0.992,41.6306,-74.6106,Sullivan,RT-17
120N06276,366,100.639,27.020,"{20,75,112,120,145}",36834,61488,65.101,61.737,"{45,59,63,66,6513}",24334,1.124,41.6381,-74.6235,Sullivan,RT-17
120N06277,366,112.366,28.354,"{27,84,126,133,146}",41126,61488,99.923,104.782,"{68,92,97,102,9948}",26052,1.717,41.6422,-74.6443,Sullivan,RT-17
