tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05077,366,37.268,11.939,"{7,28,40,46,63}",13640,61488,7.963,7.258,"{5,7,8,8,788}",,0.136,41.9998,-76.5322,Tioga,RT-17
104N05078,366,155.145,19.223,"{48,143,166,167,168}",56783,61488,455.711,259.173,"{321,437,452,465,47594}",,8.217,42,-76.529,Tioga,RT-17
104N05079,366,144.694,27.177,"{34,121,160,163,168}",52958,61488,260.528,170.876,"{182,249,258,266,27094}",,4.678,42.0263,-76.382,Tioga,RT-17
104N05080,366,149.363,24.290,"{43,128,164,165,168}",54667,61488,285.144,262.690,"{198,265,275,287,28488}",,4.918,42.0611,-76.3287,Tioga,RT-17
104N05081,366,126.112,32.308,"{20,93,144,149,158}",46157,61488,77.361,64.017,"{53,73,76,79,7916}",,1.367,42.0937,-76.2663,Tioga,RT-17
104N05082,366,151.484,22.873,"{39,134,165,166,168}",55443,61488,311.371,161.133,"{227,298,309,318,32420}",,5.597,42.0919,-76.2329,Tioga,RT-17
104N05983,366,31.189,14.202,"{1,19,35,43,56}",11415,61488,227.218,612.143,"{90,118,133,166,9939}",5981,1.716,42.1272,-76.2699,Tioga,RT-96
104N05984,153,12.717,6.213,"{1,8,12,17,28}",1933,25704,248.655,524.289,"{61,90,106,169,4130}",,0.713,42.2267,-76.3324,Tioga,Main St
104N05985,153,36.484,16.099,"{3,22,39,50,70}",5582,25704,1444.484,3477.009,"{371,542,639,959,46029}",,7.946,42.2098,-76.493,Tioga,Main St
104N05990,366,39.675,18.653,"{2,18,47,55,73}",14521,61488,73.898,131.767,"{14,36,46,67,1605}",11915,0.277,42.0987,-76.2585,Tioga,Susquehanna River Bridge Rd
104N05991,366,95.762,37.966,"{10,63,114,124,140}",35049,61488,531.688,922.955,"{121,244,326,499,11093}",12648,1.915,42.102,-76.2615,Tioga,Court St/Park St
104N05992,366,49.689,25.184,"{2,21,60,68,99}",18186,61488,263.799,473.185,"{108,167,187,229,14205}",5237,2.452,42.1272,-76.2699,Tioga,North Ave
104N05998,366,35.525,12.451,"{3,26,38,45,63}",13002,61488,335.643,733.651,"{103,157,177,233,13024}",3659,2.248,42.3564,-76.2007,Tioga,RT-79
104N07679,366,56.101,23.232,"{2,34,62,74,106}",20533,61488,862.866,2554.809,"{325,441,477,563,36743}",5981,6.343,42.1442,-76.2933,Tioga,RT-96
104N07680,153,19.745,10.191,"{1,11,23,27,46}",3021,25704,206.634,486.298,"{105,148,157,170,13801}",,2.383,42.2225,-76.4002,Tioga,Spencer Rd
104N07681,153,15.163,7.862,"{1,8,17,20,35}",2320,25704,143.874,434.052,"{66,92,97,104,8864}",,1.530,42.2178,-76.4444,Tioga,Candor Rd
104N07682,153,19.830,10.397,"{1,8,23,28,40}",3034,25704,169.532,365.964,"{59,83,103,153,6582}",,1.136,42.2083,-76.4712,Tioga,Candor Rd
104N07956,366,26.189,13.507,"{1,14,30,36,62}",9559,61488,139.153,185.232,"{76,114,121,128,10989}",3682,1.897,42.1596,-76.2523,Tioga,RT-38
104N07957,153,33.105,16.308,"{2,18,38,44,70}",5065,25704,271.956,665.867,"{119,179,189,213,16604}",,2.866,42.1754,-76.2221,Tioga,RT-38
104N07999,366,69.617,24.760,"{1,46,77,87,116}",25480,61488,809.876,1888.860,"{372,535,580,705,49337}",3962,8.518,42.3584,-76.0499,Tioga,RT-79
104N08000,366,35.240,12.671,"{3,26,39,45,60}",12898,61488,272.743,606.705,"{130,210,221,238,19506}",4424,3.367,42.3619,-76.2372,Tioga,RT-79
104N10275,366,34.803,14.315,"{2,22,39,45,63}",12738,61488,213.605,468.006,"{38,85,106,159,4085}",7040,0.705,42.0002,-76.5251,Tioga,RT-34
104N10276,366,44.112,20.405,"{4,24,50,59,97}",16145,61488,1170.562,3216.858,"{322,466,579,849,40193}",5911,6.939,42.0103,-76.5274,Tioga,RT-34
104N10277,153,31.137,14.390,"{1,18,34,41,59}",4764,25704,1095.649,3058.378,"{299,430,473,734,40394}",,6.974,42.1046,-76.5458,Tioga,RT-34
104N10278,153,33.314,16.044,"{3,17,38,46,62}",5097,25704,388.854,921.028,"{162,216,242,305,17674}",,3.051,42.2018,-76.5519,Tioga,RT-34
104N10279,153,4.980,2.486,"{1,3,5,7,12}",742,25704,15.410,29.103,"{4,7,9,12,220}",,0.038,42.2098,-76.4938,Tioga,RT-34
104N12770,153,27.065,13.127,"{2,14,30,37,65}",4141,25704,506.648,1553.683,"{142,205,232,322,18327}",,3.164,42.2327,-76.3421,Tioga,Spencer Ave
104N12840,153,21.542,9.807,"{1,12,25,29,39}",3296,25704,199.179,519.538,"{51,82,93,121,5189}",,0.896,42.2267,-76.3324,Tioga,RT-96B
104N12841,153,27.693,12.095,"{2,20,29,36,53}",4237,25704,557.960,1857.263,"{227,288,306,377,26751}",,4.618,42.2358,-76.342,Tioga,RT-96B
104P05074,366,76.131,21.564,"{16,55,85,92,108}",27864,61488,10.232,6.436,"{7,10,10,11,1043}",,0.180,42.0001,-76.552,Tioga,RT-17
104P05077,366,58.342,15.563,"{15,46,61,70,92}",21353,61488,4.309,3.751,"{3,4,4,4,450}",18482,0.078,41.9998,-76.5322,Tioga,RT-17
104P05078,366,65.948,17.135,"{17,52,70,79,100}",24137,61488,15.708,12.513,"{11,14,15,16,1544}",18482,0.266,42,-76.529,Tioga,RT-17
104P05079,366,157.697,14.485,"{66,148,166,167,168}",57717,61488,473.869,121.662,"{353,455,471,485,24647}",17947,8.510,42.0263,-76.382,Tioga,RT-17
104P05080,366,146.598,22.273,"{54,127,159,162,167}",53655,61488,252.436,50.183,"{179,241,250,258,5256}",18730,4.537,42.0611,-76.3287,Tioga,RT-17
104P05081,366,146.792,22.758,"{57,126,159,163,168}",53726,61488,226.364,173.294,"{158,215,223,230,23295}",19269,4.022,42.0937,-76.2663,Tioga,RT-17
104P05082,366,139.699,25.971,"{47,114,153,158,166}",51130,61488,129.585,72.289,"{94,123,128,132,13305}",28594,2.297,42.0919,-76.2329,Tioga,RT-17
104P05083,366,152.639,19.581,"{64,136,164,166,168}",55866,61488,311.045,151.212,"{231,296,308,317,21528}",30410,5.575,42.0628,-76.1439,Tioga,RT-17
104P05983,364,3.522,2.063,"{1,2,3,5,10}",1187,61152,9.424,18.270,"{2,4,5,7,134}",,0.023,42.1272,-76.2699,Tioga,RT-96
104P05984,366,57.257,24.721,"{2,35,65,77,104}",20956,61488,998.916,3211.514,"{337,441,477,565,36743}",5981,6.343,42.2267,-76.3324,Tioga,Main St
104P05985,153,24.072,12.569,"{1,10,29,33,46}",3659,25704,186.575,351.383,"{51,84,111,178,6582}",,1.136,42.2098,-76.493,Tioga,Main St
104P05990,363,1.896,1.142,"{1,1,2,2,9}",476,60984,5.074,9.176,"{2,3,3,4,64}",,0.011,42.0987,-76.2585,Tioga,Susquehanna River Bridge Rd
104P05991,366,60.647,28.961,"{3,31,72,84,102}",22136,61488,160.953,260.395,"{16,65,92,149,2207}",11915,0.381,42.102,-76.2615,Tioga,Court St/Park St
104P05992,366,89.891,37.063,"{3,56,106,118,136}",32900,61488,491.854,972.071,"{113,208,271,410,10253}",12648,1.770,42.1272,-76.2699,Tioga,North Ave
104P05993,153,34.052,17.007,"{2,19,38,46,76}",5210,25704,289.355,736.600,"{127,179,189,210,16604}",,2.866,42.2093,-76.1921,Tioga,RT-38
104P05998,366,63.918,24.549,"{1,44,70,82,109}",23394,61488,889.987,2285.368,"{401,545,590,701,49337}",3962,8.518,42.3564,-76.2007,Tioga,RT-79
104P07346,366,54.544,16.278,"{3,42,58,66,91}",19963,61488,15.710,5.589,"{10,14,15,16,478}",,0.246,41.9995,-77.1357,Tioga,Main St
104P07679,366,30.923,14.368,"{2,18,34,42,62}",11287,61488,165.378,342.568,"{78,114,126,150,9805}",5981,1.693,42.1442,-76.2933,Tioga,RT-96
