tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05997,366,47.328,17.351,"{4,34,51,61,91}",17322,61488,130.163,232.321,"{24,66,81,113,2505}",17272,0.432,42.4373,-76.486,Tompkins,E State St
104N06007,366,70.973,28.062,"{6,42,83,92,117}",25976,61488,171.128,469.990,"{83,118,126,139,9003}",18958,1.554,42.3957,-76.5463,Tompkins,Elmira Rd
104N06021,366,68.997,25.603,"{3,43,78,89,107}",25253,61488,90.327,141.808,"{58,80,85,90,7926}",840,1.353,42.4618,-76.4998,Tompkins,RT-13
104N06022,366,67.005,25.763,"{8,40,78,87,111}",24524,61488,148.923,421.070,"{61,90,98,114,7217}",17933,1.246,42.4687,-76.4093,Tompkins,RT-13
104N06023,366,57.287,22.992,"{5,33,67,74,94}",20967,61488,147.569,288.760,"{36,68,81,118,3065}",9304,0.529,42.4906,-76.2977,Tompkins,RT-13
104N06024,366,72.495,27.207,"{7,44,84,93,114}",26533,61488,346.057,931.364,"{144,205,227,275,17687}",10227,3.054,42.4982,-76.2981,Tompkins,North St
104N06887,366,67.325,29.025,"{5,37,77,90,118}",24641,61488,280.109,721.153,"{145,188,198,236,17814}",8263,3.075,42.2974,-76.6879,Tompkins,Elmira Rd
104N06888,366,60.249,25.918,"{5,31,71,80,111}",22051,61488,192.815,452.816,"{118,160,167,174,15338}",8263,2.648,42.3288,-76.6465,Tompkins,Elmira Rd
104N06889,366,56.366,24.573,"{5,30,66,75,108}",20630,61488,151.550,351.579,"{91,122,128,136,11503}",8263,1.986,42.3528,-76.6086,Tompkins,Elmira Rd
104N06890,366,56.653,24.615,"{2,30,66,76,97}",20735,61488,138.062,320.111,"{79,103,112,129,9622}",8263,1.661,42.3699,-76.5781,Tompkins,Elmira Rd
