tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06204,366,167.087,3.160,"{123,168,168,168,168}",61154,61488,515.488,140.646,"{378,486,509,525,9096}",,9.271,41.6006,-74.0845,Ulster,I-87
120N06205,366,167.787,1.398,"{144,168,168,168,168}",61410,61488,864.532,125.297,"{658,821,858,886,6609}",,15.690,41.7326,-74.066,Ulster,I-87
120N06206,366,166.932,3.511,"{116,167,168,168,168}",61097,61488,542.281,128.452,"{400,519,541,558,28579}",,9.868,41.9463,-74.0292,Ulster,I-87
120N10031,366,70.620,24.162,"{10,51,79,90,108}",25847,61488,92.655,180.888,"{46,66,74,85,5116}",1772,0.883,41.9477,-74.0328,Ulster,Onteora Trl
120N10032,153,37.523,14.592,"{1,21,42,48,63}",5741,25704,121.718,276.486,"{61,76,82,95,6850}",,1.183,41.9972,-74.1048,Ulster,Onteora Trl
120N10033,153,45.647,18.263,"{7,27,51,59,77}",6984,25704,302.536,904.924,"{121,165,183,222,14542}",,2.511,42.0043,-74.2656,Ulster,RT-28
120N10034,153,43.007,18.579,"{4,25,50,57,84}",6580,25704,308.736,616.243,"{188,243,257,277,22591}",,3.900,42.0387,-74.2784,Ulster,RT-28
120N10035,153,41.922,18.629,"{3,22,48,56,82}",6414,25704,519.486,1720.408,"{212,314,332,370,29231}",,5.046,42.0812,-74.3178,Ulster,RT-28
120N10036,153,14.628,13.295,"{1,3,9,26,51}",2004,25704,358.198,952.530,"{144,195,207,254,18046}",,3.115,42.1194,-74.3935,Ulster,RT-28
120N10045,366,83.842,27.291,"{16,56,95,104,122}",30686,61488,371.749,819.510,"{94,194,228,286,10476}",11020,1.809,41.7169,-74.3956,Ulster,Main St
120N10046,366,90.943,31.875,"{15,59,105,115,132}",33285,61488,491.397,1241.055,"{191,336,365,412,25214}",10542,4.353,41.7383,-74.3765,Ulster,US-209
120N10047,366,44.637,18.547,"{1,24,52,59,77}",16337,61488,119.705,270.930,"{49,68,76,98,4938}",9136,0.852,41.7715,-74.3141,Ulster,US-209
120N10048,366,89.120,32.406,"{7,58,104,114,134}",32618,61488,614.207,1633.165,"{246,371,404,467,27085}",9136,4.676,41.7749,-74.2987,Ulster,US-209
120N10049,366,54.281,23.489,"{3,29,64,72,91}",19867,61488,228.836,502.206,"{128,169,180,196,13839}",8845,2.389,41.7946,-74.2195,Ulster,US-209
120N10050,366,38.521,17.370,"{1,19,45,51,75}",14060,61488,97.694,250.051,"{51,68,72,80,5979}",8845,1.032,41.8215,-74.1943,Ulster,US-209
120N10051,366,53.503,22.750,"{4,30,63,70,92}",19582,61488,166.051,389.849,"{86,121,130,142,10027}",8845,1.731,41.8302,-74.1799,Ulster,US-209
120N10052,366,48.814,20.516,"{2,29,57,63,87}",17866,61488,124.514,253.257,"{42,78,88,103,4853}",12610,0.838,41.8408,-74.1526,Ulster,Main St
120N10053,366,60.418,25.222,"{4,35,71,79,105}",22113,61488,221.656,457.649,"{86,130,148,183,8062}",11858,1.392,41.8499,-74.1419,Ulster,Main St
120N10055,366,64.866,26.079,"{5,37,77,84,106}",23741,61488,156.216,228.741,"{93,129,135,144,11916}",13595,2.057,41.9255,-74.0659,Ulster,US-209
120N10056,366,98.940,32.439,"{20,68,114,124,139}",36212,61488,163.104,184.168,"{94,145,153,163,13762}",2751,2.376,41.9472,-74.0385,Ulster,Clayton Peg Leg Bates Mem Hwy
120N10057,366,64.593,22.696,"{9,42,74,81,104}",23641,61488,58.303,111.600,"{34,51,53,57,4866}",,0.840,41.9752,-74.017,Ulster,Clayton Peg Leg Bates Mem Hwy
120N10058,366,46.874,16.740,"{8,31,52,59,78}",17156,61488,35.484,54.810,"{21,30,32,36,2842}",1546,0.491,41.9759,-74.0018,Ulster,Clayton Peg Leg Bates Mem Hwy
