tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N06221,366,138.391,24.845,"{27,119,151,156,164}",50651,61488,123.868,43.254,"{88,115,121,126,4276}",,2.215,43.2637,-73.6762,Warren,I-87
120N06222,366,130.754,25.765,"{22,110,142,150,160}",47856,61488,126.483,157.435,"{86,115,121,126,12834}",,2.216,43.2951,-73.6796,Warren,I-87
120N06223,366,123.899,25.656,"{20,105,134,143,157}",45347,61488,132.660,191.007,"{91,121,127,133,13484}",,2.328,43.3278,-73.6826,Warren,I-87
120N06224,366,119.443,25.780,"{20,105,130,139,155}",43716,61488,196.203,229.302,"{139,179,189,198,20008}",,3.454,43.3616,-73.7033,Warren,I-87
120N06225,366,93.128,25.046,"{11,75,102,113,135}",34085,61488,86.441,55.438,"{59,79,84,88,8691}",,1.500,43.4007,-73.7094,Warren,I-87
120N06226,366,117.257,27.510,"{20,95,129,138,157}",42916,61488,264.227,108.273,"{183,243,255,268,9648}",,4.664,43.4272,-73.7204,Warren,I-87
120N06227,366,125.691,25.564,"{20,103,137,145,156}",46003,61488,478.389,302.583,"{335,444,465,481,48849}",,8.433,43.4838,-73.754,Warren,I-87
120N06228,366,110.191,26.462,"{14,86,121,130,151}",40330,61488,301.479,188.311,"{213,282,295,305,30814}",,5.320,43.6017,-73.7297,Warren,I-87
120N06229,366,103.708,25.541,"{14,81,114,122,145}",37957,61488,260.297,225.213,"{184,240,252,261,26406}",,4.559,43.6653,-73.7723,Warren,I-87
120N06230,366,62.199,18.523,"{5,46,68,76,104}",22765,61488,61.155,44.124,"{42,57,60,62,6276}",,1.084,43.7218,-73.8185,Warren,I-87
120N06231,366,88.760,23.980,"{8,67,99,107,130}",32486,61488,175.755,52.867,"{122,164,171,178,6059}",,3.138,43.736,-73.8252,Warren,I-87
120N07949,153,27.283,12.811,"{1,19,28,35,60}",4147,25704,862.056,3020.834,"{289,362,396,499,30918}",,5.338,43.6971,-73.9887,Warren,RT-28
120N08026,153,27.480,13.139,"{2,18,28,37,64}",4177,25704,993.367,2774.604,"{345,489,555,712,32744}",,5.653,43.6335,-73.941,Warren,RT-8
120N08027,153,11.247,5.721,"{1,7,11,15,29}",1687,25704,228.679,630.948,"{101,141,157,182,10394}",,1.794,43.6693,-73.8661,Warren,RT-8
120N08028,366,21.803,10.664,"{1,14,22,29,63}",7980,61488,339.332,941.522,"{65,106,127,191,8007}",5032,1.382,43.656,-73.8014,Warren,RT-8
120N08029,366,14.596,7.687,"{1,9,14,20,36}",5269,61488,276.850,476.445,"{103,163,189,252,10345}",2888,1.786,43.6681,-73.7802,Warren,RT-8
120N08030,366,12.460,7.594,"{1,7,11,17,36}",4361,61488,962.061,2128.124,"{378,549,626,800,34416}",744,5.942,43.6758,-73.7518,Warren,RT-8
120N08268,366,48.992,18.456,"{3,35,54,63,97}",17931,61488,409.920,673.417,"{54,165,245,336,5380}",13919,0.929,43.3094,-73.6439,Warren,Glen St
120N08269,366,53.325,15.713,"{8,43,56,65,82}",19517,61488,462.817,1036.205,"{80,166,216,325,8961}",10467,1.547,43.3303,-73.673,Warren,Upper Glen St
120N08270,366,84.642,23.556,"{10,72,89,102,129}",30979,61488,209.043,367.240,"{40,92,118,184,4323}",15093,0.746,43.3589,-73.7014,Warren,US-9
120N08271,366,54.732,23.555,"{4,38,55,74,110}",20032,61488,743.545,1623.072,"{141,253,320,486,17013}",10036,2.937,43.3693,-73.698,Warren,US-9
120N08272,366,57.781,28.804,"{2,35,54,78,134}",21148,61488,762.846,1387.605,"{87,208,281,525,8927}",7020,1.541,43.4097,-73.7109,Warren,Canada St
120N08273,153,8.597,5.777,"{1,4,6,12,29}",1281,25704,66.162,151.036,"{14,25,31,42,1210}",,0.209,43.4314,-73.7125,Warren,Canada St
120N08274,153,29.654,16.803,"{1,16,30,39,80}",4537,25704,1440.784,3583.555,"{417,588,775,1163,50013}",,8.634,43.5335,-73.7955,Warren,US-9
120N08275,366,10.909,5.768,"{1,7,11,14,29}",3949,61488,217.788,422.142,"{101,151,166,193,11633}",1894,2.008,43.656,-73.8014,Warren,Main St
120N08276,153,8.349,4.895,"{1,5,8,11,25}",1244,25704,315.221,456.772,"{163,207,228,278,8393}",,2.656,43.6693,-73.8661,Warren,US-9
120N09292,366,80.232,25.990,"{6,56,89,99,123}",29365,61488,274.682,589.087,"{86,119,138,183,9503}",7054,1.641,43.3693,-73.698,Warren,RT-149
120N09302,153,24.118,11.374,"{2,15,23,33,52}",3690,25704,97.940,212.587,"{23,41,50,70,2226}",,0.384,43.4014,-73.7149,Warren,RT-9N
120N11279,366,47.642,15.126,"{4,38,51,58,77}",17437,61488,445.275,967.347,"{63,145,186,288,6768}",13919,1.169,43.3186,-73.6568,Warren,Glen St
120N11280,366,29.628,12.465,"{1,22,29,37,66}",10844,61488,276.056,709.400,"{51,87,100,132,5671}",10467,0.979,43.348,-73.6897,Warren,US-9
120N11281,366,53.642,20.717,"{3,41,60,68,112}",19633,61488,369.686,794.458,"{95,160,190,257,7200}",10900,1.243,43.4861,-73.7564,Warren,US-9
120N11282,153,45.595,18.430,"{2,30,50,57,87}",6976,25704,688.744,1512.370,"{141,250,334,502,17058}",,2.945,43.4966,-73.7759,Warren,Main St
120N11283,153,10.762,5.515,"{1,7,10,15,28}",1625,25704,242.689,621.830,"{112,144,160,185,10394}",,1.794,43.6632,-73.8363,Warren,US-9
120N11284,366,12.904,6.039,"{1,8,12,17,33}",4697,61488,392.356,825.177,"{135,199,252,329,13331}",1724,2.301,43.7019,-73.8489,Warren,US-9
120N11285,366,24.475,11.720,"{1,15,23,33,55}",8909,61488,765.570,1870.944,"{208,325,441,651,26025}",1656,4.493,43.7268,-73.8252,Warren,US-9
120N11408,366,18.827,11.602,"{1,12,17,24,79}",6872,61488,822.518,2474.364,"{188,304,362,486,24829}",2476,4.287,43.4337,-73.715,Warren,Canada St
120N11857,366,85.044,35.265,"{8,45,101,113,128}",31126,61488,467.354,783.067,"{114,224,298,454,9704}",12652,1.675,43.3094,-73.6439,Warren,Warren St
120N12565,153,22.336,11.964,"{2,14,21,29,58}",3395,25704,1010.458,2056.333,"{488,666,722,1089,60980}",,10.528,43.5031,-74.1791,Warren,RT-8
120N12567,153,11.099,5.917,"{1,7,10,15,29}",1676,25704,208.024,571.276,"{83,116,135,181,9044}",,1.561,43.6184,-73.961,Warren,RT-8
120N12568,366,12.102,6.875,"{1,7,12,16,33}",4381,61488,216.171,550.959,"{100,149,163,188,11633}",1894,2.008,43.6632,-73.8363,Warren,RT-8
120N12741,366,37.615,12.332,"{2,28,40,47,66}",13767,61488,47.064,74.855,"{9,28,34,45,1126}",8773,0.194,43.3593,-73.7053,Warren,Gurney Ln
120N12742,366,43.699,14.195,"{3,33,46,54,73}",15994,61488,55.445,119.472,"{13,27,32,44,1409}",15093,0.243,43.3589,-73.7014,Warren,Gurney Ln
120N12743,366,90.645,29.892,"{8,56,105,112,132}",33176,61488,258.372,528.034,"{128,198,214,238,16394}",7766,2.830,43.3758,-73.6669,Warren,RT-149
120N12767,153,12.242,6.781,"{1,7,13,17,31}",1824,25704,177.859,429.879,"{49,71,81,107,4108}",,0.709,43.3127,-73.8348,Warren,Lake Ave
120N12768,153,48.843,23.102,"{1,27,57,66,95}",7473,25704,1153.588,3230.867,"{523,698,765,894,55874}",,9.646,43.3219,-73.8382,Warren,Lake Ave
120N12769,366,52.481,26.825,"{3,32,50,73,122}",19208,61488,468.873,930.323,"{73,144,190,319,7201}",10534,1.243,43.4052,-73.7093,Warren,Canada St
120N12770,366,35.458,20.376,"{2,20,31,49,88}",12942,61488,398.012,639.667,"{35,104,151,319,3630}",7020,0.627,43.4227,-73.7139,Warren,Canada St
120N12771,366,8.431,5.416,"{1,4,7,12,30}",3035,61488,141.455,313.169,"{22,44,56,106,2222}",3369,0.384,43.4314,-73.7125,Warren,Lake Shore Dr
120N12772,153,31.283,14.158,"{4,23,31,39,69}",4755,25704,630.051,1978.203,"{234,327,355,404,23422}",,4.044,43.4804,-73.6868,Warren,Lake Shore Dr
120N12773,153,25.833,13.164,"{2,15,25,36,61}",3875,25704,2412.222,6420.858,"{885,1280,1424,1699,98225}",,16.958,43.5822,-73.6517,Warren,Lake Shore Dr
120N13386,366,36.375,18.063,"{3,24,34,49,86}",13277,61488,590.701,1634.550,"{203,282,309,356,19487}",4306,3.364,43.4357,-73.7081,Warren,Lake Shore Dr
120N13387,153,31.329,14.517,"{2,21,30,39,66}",4762,25704,1326.814,2967.349,"{201,326,406,662,19872}",,3.431,43.5362,-73.6678,Warren,Lake Shore Dr
120N13394,366,73.842,21.441,"{8,62,76,90,121}",27026,61488,160.990,274.258,"{28,63,85,153,2914}",15093,0.503,43.3624,-73.701,Warren,RT-149
120N14123,366,66.989,26.038,"{6,41,78,86,114}",24518,61488,405.950,929.417,"{120,187,234,324,12166}",13427,2.100,43.3109,-73.6077,Warren,Quaker Rd
120N14124,366,87.167,30.475,"{8,58,100,111,129}",31903,61488,400.474,889.844,"{104,189,234,310,10786}",23019,1.862,43.3311,-73.6367,Warren,Quaker Rd
120N14125,366,73.014,25.027,"{6,50,80,92,119}",26723,61488,163.463,300.926,"{32,77,101,146,3329}",26762,0.575,43.3303,-73.673,Warren,Quaker Rd/Aviation Rd
120N14126,366,18.304,8.146,"{1,13,18,24,41}",6681,61488,57.470,118.148,"{8,21,29,43,826}",,0.143,43.3298,-73.6828,Warren,Aviation Rd
120N50429,366,85.172,31.644,"{14,53,100,108,128}",31173,61488,367.494,675.990,"{69,191,233,311,7623}",11016,1.316,43.2975,-73.68,Warren,Main St
120N50430,366,19.096,8.770,"{1,12,21,26,40}",6951,61488,261.854,532.393,"{29,79,104,174,3297}",6756,0.569,43.3052,-73.6563,Warren,Broad St
120N50431,366,6.696,3.527,"{1,4,6,9,20}",2397,61488,68.173,114.923,"{5,21,29,48,570}",6833,0.098,43.3096,-73.6472,Warren,South St
120N50433,366,49.866,22.555,"{3,26,57,67,88}",18251,61488,277.493,547.054,"{49,110,139,209,4172}",12914,0.720,43.3052,-73.6563,Warren,Hudson St
120N50434,366,11.352,5.324,"{1,7,11,15,27}",4155,61488,7.327,5.085,"{2,6,6,7,111}",,0.019,43.3094,-73.6441,Warren,Hudson St
120P06221,366,19.426,8.213,"{4,14,18,23,45}",7110,61488,2.480,8.657,"{1,2,2,2,196}",47920,0.034,43.2637,-73.6762,Warren,I-87
120P06222,366,139.383,24.227,"{37,123,151,156,164}",51014,61488,150.494,149.313,"{107,138,145,152,15354}",45608,2.651,43.2951,-73.6796,Warren,I-87
120P06223,366,130.287,25.712,"{26,113,142,148,161}",47685,61488,132.958,213.809,"{88,117,124,131,13021}",37108,2.248,43.3278,-73.6826,Warren,I-87
120P06224,366,124.708,26.260,"{27,110,134,143,157}",45643,61488,145.052,187.998,"{97,129,137,144,14226}",39912,2.456,43.3616,-73.7033,Warren,I-87
120P06225,366,115.175,27.930,"{21,98,125,136,154}",42154,61488,175.529,156.293,"{122,160,170,179,17802}",40650,3.073,43.4007,-73.7094,Warren,I-87
120P06226,366,97.883,26.638,"{17,78,107,118,137}",35825,61488,106.790,73.100,"{77,99,104,109,11144}",32397,1.924,43.4272,-73.7204,Warren,I-87
120P06227,366,115.104,27.702,"{21,93,127,136,150}",42128,61488,273.493,167.440,"{185,243,260,285,26437}",14061,4.564,43.4838,-73.754,Warren,I-87
120P06228,366,122.148,26.959,"{23,104,133,142,160}",44706,61488,470.474,280.664,"{331,435,458,477,47970}",19245,8.281,43.6017,-73.7297,Warren,I-87
120P06229,366,107.784,27.085,"{17,85,120,128,145}",39449,61488,309.175,193.270,"{214,289,304,316,31569}",13829,5.450,43.6653,-73.7723,Warren,I-87
120P06230,366,95.027,25.247,"{12,74,104,114,138}",34780,61488,240.371,82.143,"{169,223,235,244,8266}",14412,4.281,43.7218,-73.8185,Warren,I-87
120P06231,366,54.107,16.407,"{7,41,59,66,89}",19803,61488,59.877,65.695,"{41,55,59,60,6095}",14097,1.052,43.736,-73.8252,Warren,I-87
120P06232,366,82.158,23.028,"{9,63,90,99,121}",30070,61488,182.636,57.289,"{127,168,178,186,4636}",13285,3.201,43.7756,-73.8002,Warren,I-87
120P07950,153,27.704,12.478,"{2,19,28,34,66}",4211,25704,701.694,1990.508,"{271,360,396,515,30918}",,5.338,43.6335,-73.941,Warren,RT-28
120P08026,153,9.584,4.888,"{1,7,9,13,27}",1428,25704,211.122,522.338,"{77,114,131,186,9044}",,1.561,43.6335,-73.941,Warren,RT-8
120P08027,153,22.954,10.906,"{2,15,23,31,50}",3512,25704,927.026,2353.566,"{341,477,546,687,32744}",,5.653,43.6693,-73.8661,Warren,RT-8
120P08028,366,10.909,5.768,"{1,7,11,14,29}",3949,61488,217.788,422.142,"{101,151,166,193,11633}",1894,2.008,43.656,-73.8014,Warren,RT-8
120P08029,366,22.320,11.079,"{1,14,23,30,61}",8169,61488,245.503,515.812,"{76,124,145,205,9287}",5032,1.603,43.6681,-73.7802,Warren,RT-8
120P08030,366,12.255,6.281,"{1,8,12,16,33}",4375,61488,302.123,746.294,"{99,146,170,235,9172}",744,1.584,43.6758,-73.7518,Warren,RT-8
120P08269,366,49.470,16.739,"{3,37,53,62,82}",18106,61488,476.889,959.014,"{69,157,209,338,6768}",13919,1.169,43.3303,-73.673,Warren,Upper Glen St
120P08270,366,45.044,16.556,"{6,35,45,55,87}",16486,61488,364.664,678.736,"{81,129,186,329,7236}",12780,1.249,43.3589,-73.7014,Warren,US-9
120P08271,366,63.959,18.606,"{12,52,65,78,100}",23409,61488,129.359,265.879,"{29,60,73,102,2757}",15093,0.476,43.3693,-73.698,Warren,US-9
120P08272,366,54.642,24.040,"{2,39,54,73,111}",19999,61488,807.358,1991.449,"{131,258,321,479,17013}",10036,2.937,43.4097,-73.7109,Warren,Canada St
120P08273,366,55.962,29.155,"{2,34,50,82,129}",20482,61488,780.988,1440.869,"{82,196,271,525,8927}",7020,1.541,43.4314,-73.7125,Warren,Canada St
120P08274,153,46.497,19.070,"{3,32,52,59,83}",7114,25704,711.718,1811.821,"{151,237,305,425,17058}",,2.945,43.5335,-73.7955,Warren,US-9
120P08275,153,32.072,17.176,"{2,18,34,42,84}",4907,25704,1670.111,4335.936,"{420,579,820,1220,50013}",,8.634,43.656,-73.8014,Warren,Main St
120P08276,153,11.467,5.829,"{1,7,11,15,29}",1720,25704,245.796,651.538,"{104,147,164,189,10698}",,1.847,43.6693,-73.8661,Warren,US-9
120P09292,366,63.959,18.606,"{12,52,65,78,100}",23409,61488,129.359,265.879,"{29,60,73,102,2757}",15093,0.476,43.3693,-73.698,Warren,RT-149
120P09302,153,48.320,19.864,"{2,33,53,63,89}",7393,25704,1696.053,5060.147,"{536,735,831,1062,57361}",,9.903,43.4014,-73.7149,Warren,RT-9N
