tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N07965,366,44.087,18.744,"{5,26,49,59,98}",16136,61488,125.012,242.499,"{59,86,98,115,5763}",9844,0.995,43.0936,-73.5288,Washington,RT-29
120N07966,366,55.079,22.063,"{5,35,62,72,103}",20159,61488,326.885,650.087,"{95,167,201,277,8021}",8326,1.385,43.1036,-73.5186,Washington,RT-29
120N07967,366,30.218,15.208,"{2,15,34,42,70}",10939,61488,764.966,2113.405,"{225,320,371,483,25595}",3174,4.419,43.0903,-73.4995,Washington,Salem St
120N07968,153,29.242,15.754,"{1,12,33,42,55}",4474,25704,334.694,626.968,"{168,231,255,297,19155}",,3.307,43.1405,-73.4163,Washington,RT-29
120N07969,150,1.463,0.870,"{1,1,1,2,5}",98,25200,4.316,3.187,"{2,3,3,4,24}",,0.025,43.1502,-73.3546,Washington,RT-29
120N08161,153,78.529,28.197,"{21,49,91,100,122}",12015,25704,1012.490,2852.807,"{470,664,710,789,58962}",,10.179,42.9548,-73.5712,Washington,RT-40
120N08162,366,44.087,18.744,"{5,26,49,59,98}",16136,61488,125.012,242.499,"{59,86,98,115,5763}",9844,0.995,43.0936,-73.5288,Washington,RT-40
120N08163,366,30.230,13.885,"{3,17,33,41,77}",11064,61488,177.467,422.558,"{49,72,95,173,5522}",3573,0.953,43.1036,-73.5186,Washington,RT-40
120N08164,153,43.765,19.389,"{4,22,50,58,87}",6696,25704,382.115,755.356,"{178,256,282,340,21733}",,3.752,43.1848,-73.4933,Washington,RT-40
120N08166,153,29.405,13.926,"{3,17,33,40,55}",4499,25704,715.959,1681.911,"{329,436,477,576,37465}",,6.468,43.2671,-73.4663,Washington,RT-40
120N08167,153,21.614,9.761,"{1,14,23,29,45}",3307,25704,144.437,300.887,"{71,94,103,119,7370}",,1.272,43.3455,-73.4081,Washington,RT-40
120N08168,153,20.270,10.034,"{2,12,20,28,44}",3081,25704,376.173,528.005,"{124,192,230,346,7966}",,2.751,43.3604,-73.3934,Washington,RT-40
