tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05847,366,58.344,24.934,"{5,33,67,77,113}",21354,61488,1431.606,3754.831,"{347,559,765,1178,44379}",6035,7.662,43.0597,-76.9923,Wayne,Geneva St
104N05848,153,6.913,3.561,"{1,4,6,9,17}",1037,25704,104.547,199.124,"{26,41,56,90,1987}",,0.343,43.2064,-76.9822,Wayne,RT-14
104N05855,366,55.986,22.710,"{5,34,64,73,99}",20491,61488,344.887,739.003,"{72,149,176,245,7021}",7079,1.212,43.0636,-77.2334,Wayne,Canandaigua St
104N05856,153,22.719,9.983,"{1,14,24,30,46}",3476,25704,1676.997,3206.853,"{188,305,543,1420,18459}",,3.187,43.2328,-77.187,Wayne,Lake Ave
104N06856,153,41.582,20.010,"{4,20,48,56,86}",6362,25704,573.456,1673.260,"{249,319,342,394,28404}",,4.904,43.0692,-77.2153,Wayne,RT-21
104N06857,153,27.588,13.466,"{1,15,31,39,51}",4221,25704,203.532,444.316,"{73,113,133,182,9116}",,1.574,43.1368,-77.1953,Wayne,RT-21
104N06858,153,55.771,23.360,"{6,32,64,75,93}",8533,25704,928.725,2243.505,"{300,431,530,691,31807}",,5.491,43.1566,-77.1849,Wayne,RT-21
104N06859,152,1.643,0.961,"{1,1,1,2,6}",161,25536,26.118,51.322,"{7,11,14,20,424}",,0.073,43.2785,-77.1854,Wayne,Hamilton St
104N06915,366,113.126,36.441,"{21,76,132,139,155}",41404,61488,309.778,600.672,"{158,231,253,290,20318}",,3.508,43.2236,-77.3753,Wayne,RT-104
104N06916,366,83.331,30.074,"{7,51,97,106,127}",30499,61488,145.377,337.524,"{53,82,95,125,7129}",,1.231,43.2275,-77.3062,Wayne,RT-104
104N06917,366,109.940,34.539,"{11,77,128,135,151}",40238,61488,452.290,1245.502,"{210,307,331,377,27949}",13518,4.825,43.2272,-77.2826,Wayne,RT-104
104N06918,366,93.484,35.290,"{9,58,111,120,135}",34215,61488,297.109,813.928,"{103,148,177,237,12541}",13318,2.165,43.2328,-77.187,Wayne,RT-104
104N06919,366,84.325,30.716,"{10,50,99,107,124}",30863,61488,241.550,327.046,"{161,208,215,228,19357}",10147,3.342,43.2356,-77.1446,Wayne,RT-104
104N06920,366,49.014,19.355,"{4,29,57,64,81}",17939,61488,77.007,142.432,"{43,60,65,73,5486}",9020,0.947,43.2397,-77.0794,Wayne,RT-104
104N06921,366,60.399,23.468,"{7,34,70,79,94}",22106,61488,140.210,313.093,"{70,104,111,126,9659}",9020,1.668,43.2434,-77.0621,Wayne,RT-104
104N06922,366,74.888,28.541,"{9,44,87,96,121}",27409,61488,258.480,506.643,"{150,198,209,234,18416}",7327,3.179,43.2295,-77.0358,Wayne,RT-104
104N06923,366,76.344,28.277,"{8,45,89,98,113}",27942,61488,295.295,514.174,"{184,246,257,274,23524}",6585,4.061,43.2064,-76.9822,Wayne,RT-104
104N06924,366,75.290,28.023,"{9,44,88,97,115}",27556,61488,330.892,640.893,"{206,272,284,302,26125}",6786,4.510,43.2064,-76.9027,Wayne,RT-104
104N06925,366,51.511,19.923,"{7,31,59,66,91}",18853,61488,183.164,430.163,"{95,130,139,159,12391}",3989,2.139,43.2078,-76.8139,Wayne,RT-104
104N06926,366,53.350,21.556,"{5,30,61,70,90}",19526,61488,218.940,370.841,"{123,166,176,202,15745}",4508,2.718,43.2242,-76.7819,Wayne,RT-104
104N07425,366,30.287,14.587,"{1,14,35,42,60}",11085,61488,66.765,101.368,"{38,56,60,66,4906}",5462,0.847,43.0119,-76.9838,Wayne,RT-14
104N07426,366,58.686,26.563,"{7,29,68,79,108}",21479,61488,349.156,1042.776,"{132,194,214,253,14741}",7004,2.545,43.0236,-76.9886,Wayne,RT-14
104N07427,153,28.588,13.638,"{2,16,32,39,55}",4374,25704,365.639,1025.718,"{129,190,213,264,15890}",,2.743,43.1673,-76.9871,Wayne,RT-14
104N07428,153,20.497,9.242,"{1,13,20,28,43}",3136,25704,891.383,2316.181,"{223,332,412,569,23882}",,4.123,43.2111,-76.9803,Wayne,RT-14
104N07429,153,14.281,5.792,"{3,10,14,17,35}",2185,25704,532.548,1004.778,"{82,136,169,318,5405}",,0.933,43.267,-76.9918,Wayne,RT-14
104N07430,152,1.373,0.649,"{1,1,1,2,3}",103,25536,15.437,30.567,"{3,4,7,12,147}",,0.025,43.2686,-76.9777,Wayne,Greig St
104N09793,153,19.603,10.621,"{1,8,22,26,49}",2960,25704,480.815,1386.805,"{164,216,249,332,18903}",,3.263,43.0234,-76.7449,Wayne,RT-31
104N09794,153,29.007,15.328,"{1,13,33,41,55}",4438,25704,1436.121,4033.974,"{288,419,498,755,36102}",,6.233,43.0672,-76.7601,Wayne,RT-31
104N09795,153,36.778,17.676,"{2,18,43,50,68}",5627,25704,695.334,1781.775,"{198,272,354,507,22287}",,3.848,43.0839,-76.8697,Wayne,RT-31
104N09796,366,25.281,12.928,"{1,13,28,35,57}",9253,61488,220.700,510.068,"{126,174,182,196,16036}",7074,2.768,43.0787,-76.939,Wayne,RT-31
104N09797,366,19.836,9.992,"{1,10,22,28,40}",7260,61488,114.579,271.593,"{37,62,73,98,4986}",7074,0.861,43.0615,-76.976,Wayne,RT-31
104N09798,366,94.107,29.536,"{19,65,108,115,138}",34443,61488,1238.552,3173.355,"{282,513,654,867,34661}",9059,5.984,43.0597,-76.9923,Wayne,RT-31
104N09799,366,81.011,27.979,"{17,52,94,101,119}",29650,61488,683.642,1799.924,"{144,268,355,472,19590}",9354,3.382,43.0466,-77.0952,Wayne,RT-31
104N09800,366,50.180,21.775,"{4,29,58,67,84}",18366,61488,418.442,1320.735,"{163,243,255,274,21682}",7927,3.743,43.0386,-77.1539,Wayne,RT-31
