tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
120N04161,366,45.828,8.072,"{12,41,47,51,65}",16773,61488,21.220,44.871,"{13,17,19,20,1992}",,0.344,41.0174,-73.7155,Westchester,I-684
120N04162,366,66.260,10.452,"{22,60,67,74,95}",24251,61488,49.224,71.108,"{33,44,46,50,4918}",,0.849,41.0209,-73.7156,Westchester,I-684
120N04163,366,162.418,9.682,"{88,162,167,168,168}",59445,61488,192.919,97.647,"{136,181,190,198,19898}",19779,3.426,41.0304,-73.7239,Westchester,I-684
120N04165,366,163.467,8.601,"{100,164,167,168,168}",59829,61488,289.344,90.717,"{209,269,283,295,3981}",5216,5.208,41.1218,-73.7044,Westchester,I-684
120N04166,366,162.645,9.460,"{94,163,167,168,168}",59528,61488,260.934,83.778,"{173,241,253,266,7382}",3673,4.461,41.1902,-73.6874,Westchester,I-684
120N04167,366,135.137,22.269,"{37,123,144,151,161}",49460,61488,47.751,28.902,"{32,43,46,48,4613}",,0.796,41.2522,-73.6752,Westchester,I-684
120N04168,366,151.740,17.697,"{70,147,160,163,168}",55537,61488,70.113,19.757,"{46,64,68,72,1714}",5078,1.184,41.2637,-73.6838,Westchester,I-684
120N04169,366,143.227,20.860,"{62,135,153,157,165}",52421,61488,46.430,26.411,"{30,41,43,46,4430}",4609,0.796,41.2808,-73.681,Westchester,I-684
120N04170,366,158.183,13.567,"{89,156,164,166,168}",57895,61488,150.470,75.371,"{97,130,136,143,4109}",,2.497,41.2915,-73.6772,Westchester,I-684
120N04171,366,152.648,17.186,"{72,148,160,163,167}",55869,61488,94.338,80.351,"{61,80,84,88,9044}",4175,1.546,41.3236,-73.6579,Westchester,I-684
120N04193,366,111.189,32.895,"{19,91,127,133,149}",40695,61488,46.913,39.219,"{27,42,45,48,4068}",5307,0.702,41.1918,-73.8804,Westchester,US-9
