tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05642,153,27.359,10.348,"{2,20,29,34,49}",4186,25704,156.838,452.855,"{75,98,107,126,8853}",,1.528,42.77,-78.4188,Wyoming,Big Tree Rd
104N05643,153,16.771,6.149,"{1,13,17,21,29}",2566,25704,62.361,98.837,"{32,47,52,60,3746}",,0.647,42.7704,-78.3887,Wyoming,Big Tree Rd
104N05715,366,72.418,26.156,"{9,49,82,91,114}",26505,61488,464.010,1166.847,"{144,229,260,317,13829}",13140,2.388,42.5303,-78.4786,Wyoming,Main St
104N05767,153,25.954,12.434,"{1,13,30,35,72}",3971,25704,277.001,702.885,"{98,144,169,221,11265}",,1.945,42.8487,-78.0284,Wyoming,RT-19
104N06806,153,14.164,6.779,"{1,8,15,19,31}",2153,25704,125.759,466.708,"{47,64,69,77,5347}",,0.923,42.8484,-78.0465,Wyoming,RT-19
104N06824,366,77.689,23.118,"{8,56,87,95,112}",28434,61488,153.014,313.488,"{95,128,136,146,11660}",5514,2.013,42.8458,-77.9813,Wyoming,Big Tree Rd
104P05643,153,28.183,10.191,"{5,21,29,35,51}",4312,25704,136.152,362.904,"{75,96,101,111,8853}",,1.528,42.7704,-78.3887,Wyoming,Big Tree Rd
104P05644,153,17.131,6.370,"{2,12,17,22,33}",2621,25704,61.133,138.870,"{33,43,46,52,3746}",,0.647,42.7706,-78.3761,Wyoming,US-20A
104P05716,366,72.522,27.339,"{7,49,82,93,122}",26543,61488,499.361,1322.147,"{123,234,266,322,13829}",13140,2.388,42.5337,-78.4322,Wyoming,Main St
104P05767,153,16.303,7.375,"{2,10,17,22,34}",2478,25704,99.682,124.539,"{50,72,81,97,2949}",,1.018,42.8487,-78.0284,Wyoming,RT-19
104P05834,153,25.816,12.333,"{3,14,29,34,76}",3924,25704,318.950,800.836,"{94,136,164,228,10714}",,1.850,42.8761,-78.0227,Wyoming,Lake St
104P06823,366,77.678,25.721,"{4,53,88,97,114}",28430,61488,149.112,296.287,"{81,125,131,138,11660}",5514,2.013,42.8662,-78.0093,Wyoming,Ellicott St
