tmc,days_in_sample,daily_occ_mean,daily_occ_stddev,daily_occ_quartiles,epochs_with_data_yr,epochs_in_tmc_date_range,travel_time_mean_yr,travel_time_stddev_yr,travel_time_quartiles_yr,aadt,length,latitude,longitude,county,road
104N05844,366,61.626,24.407,"{4,37,71,80,106}",22555,61488,189.544,401.644,"{116,161,167,175,15164}",4235,2.618,42.6809,-76.9631,Yates,RT-14
104N05872,366,32.891,14.887,"{3,19,36,44,65}",12038,61488,955.502,3032.414,"{241,341,428,572,26294}",3845,4.539,42.6638,-77.0554,Yates,Clinton St
104N05873,365,3.508,2.148,"{1,2,3,5,11}",1112,61320,71.187,175.030,"{24,35,42,58,2362}",2877,0.408,42.6807,-76.9711,Yates,RT-54
104N07414,366,88.197,29.145,"{10,63,100,111,132}",32280,61488,577.048,1408.684,"{312,457,474,496,43162}",3900,7.452,42.4186,-76.9026,Yates,RT-14
104N07415,366,73.383,27.068,"{4,47,83,94,118}",26858,61488,394.917,945.650,"{224,317,330,346,30107}",3467,5.198,42.5234,-76.9197,Yates,RT-14
104N07416,366,73.497,26.900,"{10,47,84,93,118}",26900,61488,291.098,431.756,"{188,250,261,275,23711}",3225,4.093,42.5944,-76.9435,Yates,RT-14
104N07417,366,55.964,22.666,"{3,33,64,74,92}",20483,61488,167.840,296.224,"{99,142,149,160,13273}",3225,2.292,42.6536,-76.9438,Yates,RT-14
104N07418,366,62.981,25.170,"{2,39,72,82,113}",23051,61488,219.230,493.803,"{141,182,188,198,16963}",4235,2.928,42.7156,-76.9757,Yates,RT-14
104N07740,153,57.379,19.354,"{7,42,65,71,94}",8779,25704,1180.636,2869.594,"{193,317,476,764,21400}",,3.694,42.6152,-77.073,Yates,RT-54
104N10140,153,14.966,7.035,"{2,9,16,20,33}",2230,25704,905.948,3053.787,"{254,339,387,528,29061}",,5.017,42.7048,-77.2716,Yates,RT-245
104P05844,366,50.803,19.708,"{4,32,56,66,93}",18594,61488,219.965,462.393,"{136,173,182,194,16381}",3730,2.828,42.6809,-76.9631,Yates,RT-14
104P05872,153,58.346,20.101,"{7,43,65,73,90}",8927,25704,1032.741,2346.070,"{191,327,507,819,21287}",,3.675,42.6638,-77.0554,Yates,Clinton St
104P05873,366,31.787,13.714,"{3,21,34,41,67}",11634,61488,792.459,2251.769,"{245,354,438,601,28656}",3845,4.947,42.6807,-76.9711,Yates,RT-54
104P07415,366,74.727,25.110,"{10,55,83,94,113}",27350,61488,596.433,1664.272,"{309,436,453,475,41843}",3900,7.224,42.5234,-76.9197,Yates,RT-14
104P07416,366,61.454,22.568,"{5,40,69,78,98}",22492,61488,428.839,1176.461,"{221,314,327,345,30107}",3467,5.198,42.5944,-76.9435,Yates,RT-14
104P07417,366,56.885,21.243,"{6,38,65,73,95}",20820,61488,321.314,786.343,"{181,247,259,273,23711}",3225,4.093,42.6536,-76.9438,Yates,RT-14
104P07418,366,46.104,17.940,"{4,29,51,60,83}",16874,61488,149.197,299.543,"{98,126,132,140,12057}",4235,2.081,42.7156,-76.9757,Yates,RT-14
104P07419,366,51.981,20.280,"{4,33,58,68,90}",19025,61488,215.073,509.927,"{136,175,182,190,16963}",4235,2.928,42.7573,-76.9756,Yates,RT-14
104P10141,153,13.563,7.364,"{1,7,14,19,32}",2048,25704,757.563,1988.316,"{244,338,396,542,28718}",,4.958,42.7602,-77.2264,Yates,RT-245
