Maintaining Region,Owning Region,County,Municipality,Device Number,Main Route,Intersecting Route,Location,Device Type,Device Purpose,Device Priority,Maintenance Responsibility,Latitude (UTM Y [Meters]),Longitude (UTM X [Meters])
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L36,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L36 S side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L50,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L50 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L59,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L59 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L71,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L71 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L86,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L86 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,262 LU3,Washington Ave Ext,Fuller Rd,Rte I90 @ Fuller Road UNDER BRIDGE LIGHTING LU3 (SE) 250W (also LU1),STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4727497.731,595812.3136
01 - Albany,01 - Albany,ALBANY,COLONIE-TOWN,266 L5,NY 002,NY 009,Rte 2 @ Rte 9 ROUND ABOUT LIGHTING L5 ENE 250W,STREET LIGHT,ROUND ABOUT,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4733596.894,601441.3133
01 - Albany,01 - Albany,ALBANY,ALBANY-CITY,32B,I 087 SB,I 087 SB Internally lit sign,I-Rte 87 SB Internally Lit Sign,BEACON,SIGN,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4728269.748,595406.288
01 - Albany,01 - Albany,ALBANY,COHOES-CITY,6N,NY 470,112th St Br Nav Lights,Rte 470 @ 112 TH. STREET BR. NAVIGATION LIGHT,NAVIGATION LIGHTS,NAVIGATION LIGHTS,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4736300.701,607860.7147
01 - Albany,01 - Albany,ALBANY,RENSSELAER-CITY,260 L83,US 009,US 020,"Rte 9&20 Dunn Mamorial Bridge, BRIDGE LIGHTING L83 N side (also L1)",STREET LIGHT,BRIDGE LIGHTING,SELECTIVE RESPONSE 3,STATE  RESPONSIBILITY (STATE OWNED SIGNAL - MAINTAINED BY STATE FORCES),4721635.505,602752.6345
